captured_at,match_date,kickoff_at,competition,home_team,away_team,bookmaker,player_name,odds_decimal,role_team,corner_share_last5_pct,corner_share_total_pct,fk_share_last5_pct,fk_share_total_pct,setpiece_share_last5_pct,total_share_pct,latest_role_week,role_source,join_status,shadow_status,notes
2026-08-30T12:49:14Z,2026-08-30,2026-08-30T16:30:00Z,Italy - Serie A,SSC Napoli,Como 1907,Bet365,Luis Milla,4.5000,Getafe,100.0,83.69,100.0,88.06,96.88,83.49,38,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:17Z,2026-08-30,2026-08-30T13:00:00Z,France - Ligue 1,Paris FC,OGC Nice,Bet365,Gauthier Hein,6.5000,Metz,90.91,64.17,100.0,76.32,94.12,67.68,34,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-30,2026-08-30T15:00:00Z,Spain - LaLiga,Real Madrid,Malaga CF,Bet365,Trent Alexander-Arnold,2.6250,Real Madrid,78.95,28.38,77.78,25.27,78.57,25.96,52,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:17Z,2026-08-30,2026-08-30T13:00:00Z,France - Ligue 1,Paris FC,OGC Nice,Bet365,Pablo Pagis,5.0000,Lorient,83.33,58.54,63.64,49.28,72.0,53.16,34,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T15:30:00Z,England - Premier League,Manchester United,Ipswich Town,Bet365,Bruno Fernandes,2.5000,Manchester United,59.09,49.38,100.0,79.17,65.38,57.41,39,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:17Z,2026-08-30,2026-08-30T15:15:00Z,France - Ligue 1,Stade Rennais FC,Le Mans FC,Bet365,Sebastian Szymanski,3.7500,Rennes,65.79,23.78,66.67,18.18,64.44,21.96,34,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-30,2026-08-30T16:30:00Z,Italy - Serie A,SSC Napoli,Como 1907,Bet365,Lucas Da Cunha,7.5000,Como,60.0,29.82,50.0,35.21,58.62,32.64,38,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T13:00:00Z,England - Premier League,Leeds United,Brentford FC,Bet365,Mathias Jensen,7.5000,Brentford,57.89,36.52,66.67,36.76,58.62,35.27,41,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T13:00:00Z,England - Premier League,Chelsea FC,Brighton & Hove Albion,Bet365,Enzo Fernandez,5.0000,Chelsea,57.14,22.27,63.64,21.21,57.69,22.73,54,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-31,2026-08-31T19:00:00Z,England - Premier League,Aston Villa,Arsenal FC,Bet365,Declan Rice,5.0000,Arsenal,35.71,39.48,88.89,75.86,56.52,47.27,57,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T13:00:00Z,England - Premier League,Chelsea FC,Brighton & Hove Albion,Bet365,Pascal Gross,7.0000,Brighton & Hove Albion,48.15,35.06,77.78,33.33,55.56,33.99,40,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T13:00:00Z,England - Premier League,Leeds United,Brentford FC,Bet365,Anton Stach,6.5000,Leeds United,61.9,56.76,44.44,41.46,54.84,50.18,43,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-31,2026-08-31T18:45:00Z,Italy - Serie A,Atalanta BC,Bologna FC,Bet365,Giacomo Raspadori,6.5000,Atalanta,54.55,12.2,50.0,3.7,53.85,10.19,50,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-30,2026-08-30T15:30:00Z,Germany - Bundesliga,FC Augsburg,Schalke 04,Bet365,Fabian Rieder,5.5000,FC Augsburg,41.67,40.16,85.71,43.75,53.12,40.91,34,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-31,2026-08-31T19:00:00Z,England - Premier League,Aston Villa,Arsenal FC,Bet365,Bruno Guimaraes,6.5000,Newcastle United,50.0,15.65,55.56,12.05,52.17,15.23,53,rotowire,matched,role_matched,research_only_no_public_signal
