chance_of_playing_next_round,element_id,player_name,source,source_fetched_at_utc,source_season,status,team,web_name
,1,David Raya Martín,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Raya
,2,Kepa Arrizabalaga Revuelta,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Arrizabalaga
,3,Illan Meslier,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Meslier
,4,Gabriel dos Santos Magalhães,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Gabriel
0,5,Jurriën Timber,fpl_api,2026-08-07T23:02:11+00:00,2026/27,i,Arsenal,J.Timber
0,6,William Saliba,fpl_api,2026-08-07T23:02:11+00:00,2026/27,i,Arsenal,Saliba
,7,Myles Lewis-Skelly,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Lewis-Skelly
,8,Riccardo Calafiori,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Calafiori
,9,Piero Hincapié,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Hincapie
100,10,Benjamin White,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,White
,11,Cristhian Mosquera,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Mosquera
,12,Bukayo Saka,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Saka
,13,Declan Rice,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Rice
,14,Eberechi Eze,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Eze
,15,Martin Ødegaard,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Ødegaard
,16,Noni Madueke,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Madueke
,17,Mikel Merino Zazón,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Merino
,18,Gabriel Martinelli Silva,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Martinelli
,19,Martín Zubimendi Ibáñez,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Zubimendi
,20,Max Dowman,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Dowman
,22,Ethan Nwaneri,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Nwaneri
,23,Fábio Ferreira Vieira,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Fábio Vieira
,24,Reiss Nelson,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Nelson
,25,Viktor Gyökeres,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Gyökeres
,26,Kai Havertz,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Havertz
,27,Gabriel Fernando de Jesus,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,G.Jesus
,557,Christos Tzolis,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Arsenal,Tzolis
,28,Emiliano Martínez Romero,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Martinez
,29,Marco Bizot,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,M.Bizot
,30,Lucas Digne,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Digne
,31,Ezri Konsa Ngoyo,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Konsa
,32,Matty Cash,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Cash
,33,Tyrone Mings,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Mings
,34,Pau Torres,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Pau
,35,Lamare Bogarde,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Bogarde
,36,Ian Maatsen,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Maatsen
,37,Victor Lindelöf,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Lindelöf
,38,Andrés García,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,A.García
,39,Kosta Nedeljkovic,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Nedeljkovic
,41,Emiliano Buendía Stati,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Buendía
,42,Evann Guessand,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Guessand
,44,Leon Bailey,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Bailey
,45,John McGinn,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,McGinn
,46,Ross Barkley,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Barkley
100,47,Boubacar Kamara,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Kamara
0,48,Amadou Onana,fpl_api,2026-08-07T23:02:11+00:00,2026/27,i,Aston Villa,Onana
,49,Samuel Iling-Junior,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Iling Jr
,50,Bradley Burrowes,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Burrowes
,51,George Hemmings,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,George Hemmings
,52,Alysson Edward Franco da Rocha dos Santos,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Alysson
,53,Johan Manzambi,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Manzambi
,54,Joao Gomes,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Gomes
,55,Ollie Watkins,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Watkins
100,56,Tammy Abraham,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Abraham
,160,Alejandro Garnacho Ferreyra,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Aston Villa,Garnacho
,57,Đorđe Petrović,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Petrović
,58,Fraser Forster,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Forster
,59,Will Dennis,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Dennis
,60,James Hill,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Hill
,61,Adrien Truffert,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Truffert
,62,Bafodé Diakité,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Diakité
0,63,Veljko Milosavljevic,fpl_api,2026-08-07T23:02:11+00:00,2026/27,i,Bournemouth,Milosavljević
,64,Adam Smith,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Smith
,65,Julián Araujo Zúñiga,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,J.Araujo
,66,Julio Soler Barreto,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Soler
,67,Rayan Vitor Simplício Rocha,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Rayan
,68,Marcus Tavernier,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Tavernier
,69,Alex Scott,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Scott
,70,Justin Kluivert,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Kluivert
,71,Lewis Cook,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Cook
,72,Ben Gannon-Doak,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Gannon-Doak
,73,Tyler Adams,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Adams
,74,David Brooks,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Brooks
0,75,Ryan Christie,fpl_api,2026-08-07T23:02:11+00:00,2026/27,s,Bournemouth,Christie
,76,Alex Tóth,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Tóth.A
,77,Amine Adli,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Adli
0,78,Junior Kroupi,fpl_api,2026-08-07T23:02:11+00:00,2026/27,i,Bournemouth,Kroupi.Jr
,79,Francisco Evanilson de Lima Barbosa,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Evanilson
,80,Enes Ünal,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Enes Ünal
,81,Álvaro Rodríguez,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Rodríguez
,566,António João Pereira de Albuquerque Tavares da Silva,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Silva
,573,Juanlu Sánchez,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Bournemouth,Sanchez
,82,Caoimhín Kelleher,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Kelleher
,83,Hákon Rafn Valdimarsson,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Valdimarsson
,84,Nathan Collins,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Collins
,85,Sepp van den Berg,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Van den Berg
,86,Keane Lewis-Potter,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Lewis-Potter
,87,Kristoffer Ajer,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Ajer
,88,Michael Kayode,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Kayode
,89,Rico Henry,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Henry
,90,Aaron Hickey,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Hickey
,91,Ethan Pinnock,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Pinnock
,92,Kim Ji-soo,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Ji-soo
,93,Jannik Schuster,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Schuster
,94,Kevin Schade,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Schade
,95,Dango Ouattara,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,O.Dango
,96,Mikkel Damsgaard,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Damsgaard
,97,Mathias Jensen,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Jensen
,98,Vitaly Janelt,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Janelt
75,99,Antoni Milambo,fpl_api,2026-08-07T23:02:11+00:00,2026/27,d,Brentford,Milambo
25,100,Fábio Freitas Gouveia Carvalho,fpl_api,2026-08-07T23:02:11+00:00,2026/27,d,Brentford,Carvalho
,102,Yehor Yarmoliuk,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Yarmoliuk
,103,Josh Dasilva,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Dasilva
,105,Jaidon Anthony,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Anthony
,106,Igor Thiago Nascimento Rodrigues,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Thiago
,107,Kaye Furo,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Furo
,108,Callum Wilson,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Wilson
,565,Mamadou Sangaré,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brentford,Sangaré
,109,Bart Verbruggen,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Verbruggen
,111,Jason Steele,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Steele
,113,Ferdi Kadıoğlu,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,F.Kadıoğlu
,114,Olivier Boscagli,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Boscagli
,115,Maxim De Cuyper,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,De Cuyper
,116,Lewis Dunk,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Dunk
,117,Diego Coppola,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Coppola
,118,Igor Julio dos Santos de Paulo,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Igor
,119,João Pedro Loureiro da Costa,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Costinha
,120,Michael Svoboda,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Svoboda
0,121,Mitoma Kaoru,fpl_api,2026-08-07T23:02:11+00:00,2026/27,i,Brighton,Mitoma
,122,Yankuba Minteh,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Minteh
,123,Jack Hinshelwood,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Hinshelwood
,124,Pascal Groß,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Groß
,125,Georginio Rutter,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Georginio
,126,Matt O'Riley,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,O'Riley
,127,Diego Gómez Amarilla,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Gomez
,128,Facundo Buonanotte,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Buonanotte
,129,Yasin Ayari,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Ayari
,130,Mats Wieffer,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Wieffer
0,131,Carlos Baleba,fpl_api,2026-08-07T23:02:11+00:00,2026/27,i,Brighton,Baleba
,132,Harry Howell,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Howell
0,133,Tom Watson,fpl_api,2026-08-07T23:02:11+00:00,2026/27,u,Brighton,Watson
,134,Nehemiah Oriola,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Oriola
,135,Zadok Yohanna,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Yohanna
75,137,Stefanos Tzimas,fpl_api,2026-08-07T23:02:11+00:00,2026/27,d,Brighton,Tzimas
,138,Charalampos Kostoulas,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Kostoulas
0,139,Evan Ferguson,fpl_api,2026-08-07T23:02:11+00:00,2026/27,i,Brighton,Ferguson
,328,Pascal Struijk,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Struijk
,504,Luka Vušković,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Brighton,Vuskovic
,40,Morgan Rogers,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Chelsea,Rogers
0,101,Jordan Henderson,fpl_api,2026-08-07T23:02:11+00:00,2026/27,u,Chelsea,Henderson
,136,Danny Welbeck,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Chelsea,Welbeck
,140,Robert Lynch Sánchez,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Chelsea,Sánchez
,141,Filip Jörgensen,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Chelsea,Jörgensen
,142,Reece James,fpl_api,2026-08-07T23:02:11+00:00,2026/27,a,Chelsea,James
