chance_of_playing_next_round,corner_indirect_fk_order,direct_fk_order,element_id,league,now_cost,penalty_order,player_name,source,status,team
100,2,2,16,epl,100,1,Saka,fpl_api,a,Arsenal
100,4,,17,epl,78,3,Ødegaard,fpl_api,a,Arsenal
100,3,,18,epl,68,,Madueke,fpl_api,a,Arsenal
100,,,20,epl,66,4,Trossard,fpl_api,a,Arsenal
100,1,1,21,epl,72,,Rice,fpl_api,a,Arsenal
100,,,666,epl,91,2,Gyökeres,fpl_api,a,Arsenal
100,3,,36,epl,46,,Cash,fpl_api,a,Aston Villa
100,2,2,37,epl,45,,Digne,fpl_api,a,Aston Villa
100,,1,47,epl,73,,Rogers,fpl_api,a,Aston Villa
100,5,,48,epl,59,,Tielemans,fpl_api,a,Aston Villa
100,4,,49,epl,55,,Bailey,fpl_api,a,Aston Villa
100,,6,50,epl,53,2,Buendía,fpl_api,a,Aston Villa
100,,,64,epl,87,3,Watkins,fpl_api,a,Aston Villa
100,6,,456,epl,58,,Sancho,fpl_api,a,Aston Villa
100,1,,699,epl,49,,Douglas Luiz,fpl_api,a,Aston Villa
100,2,,200,epl,50,,Anthony,fpl_api,a,Burnley
100,,2,202,epl,52,3,Bruun Larsen,fpl_api,a,Burnley
100,,3,206,epl,47,,Edwards,fpl_api,a,Burnley
,,4,210,epl,48,,Tchaouna,fpl_api,a,Burnley
100,,5,215,epl,53,1,Flemming,fpl_api,a,Burnley
,,,218,epl,42,2,Barnes,fpl_api,a,Burnley
100,1,1,614,epl,56,,Ward-Prowse,fpl_api,a,Burnley
100,,3,81,epl,69,1,Kluivert,fpl_api,a,Bournemouth
100,2,2,84,epl,53,4,Tavernier,fpl_api,a,Bournemouth
100,5,4,86,epl,50,,Brooks,fpl_api,a,Bournemouth
0,6,,87,epl,49,,Christie,fpl_api,s,Bournemouth
100,4,,88,epl,49,,Cook,fpl_api,a,Bournemouth
100,3,6,90,epl,49,,Scott,fpl_api,a,Bournemouth
100,,1,98,epl,54,,Enes Ünal,fpl_api,a,Bournemouth
100,,,100,epl,47,2,Kroupi.Jr,fpl_api,a,Bournemouth
100,3,,83,epl,56,,O.Dango,fpl_api,a,Brentford
,,1,107,epl,48,,Lewis-Potter,fpl_api,a,Brentford
100,,,120,epl,68,3,Schade,fpl_api,a,Brentford
100,,3,121,epl,56,,Damsgaard,fpl_api,a,Brentford
0,,,123,epl,46,4,Carvalho,fpl_api,i,Brentford
100,2,,125,epl,49,,Janelt,fpl_api,a,Brentford
,1,2,126,epl,49,5,Jensen,fpl_api,a,Brentford
100,,,136,epl,72,2,Thiago,fpl_api,a,Brentford
,3,,143,epl,42,,Boscagli,fpl_api,a,Brighton
100,,1,145,epl,43,,De Cuyper,fpl_api,a,Brighton
100,,3,146,epl,45,,Dunk,fpl_api,a,Brighton
100,5,,160,epl,55,,Minteh,fpl_api,a,Brighton
100,,,164,epl,55,3,O'Riley,fpl_api,a,Brighton
100,,2,166,epl,48,,Ayari,fpl_api,a,Brighton
100,,5,169,epl,49,,Gomez,fpl_api,a,Brighton
100,,,170,epl,49,1,Milner,fpl_api,a,Brighton
100,,4,178,epl,63,2,Welbeck,fpl_api,a,Brighton
,1,,783,epl,56,,Groß,fpl_api,a,Brighton
100,1,1,225,epl,56,,James,fpl_api,a,Chelsea
100,,3,235,epl,103,1,Palmer,fpl_api,a,Chelsea
100,2,4,236,epl,70,,Neto,fpl_api,a,Chelsea
100,3,2,237,epl,65,2,Enzo,fpl_api,a,Chelsea
0,4,,238,epl,64,3,Estêvão,fpl_api,i,Chelsea
100,,,267,epl,64,3,Sarr,fpl_api,a,Crystal Palace
100,3,,270,epl,47,,Hughes,fpl_api,a,Crystal Palace
100,4,,271,epl,50,,Kamada,fpl_api,a,Crystal Palace
100,2,,273,epl,50,,Wharton,fpl_api,a,Crystal Palace
100,,2,276,epl,43,4,Devenny,fpl_api,a,Crystal Palace
100,,,283,epl,76,2,Mateta,fpl_api,a,Crystal Palace
,1,3,580,epl,65,,Johnson,fpl_api,a,Crystal Palace
100,,1,712,epl,58,,Yeremy,fpl_api,a,Crystal Palace
100,3,,242,epl,53,,Dewsbury-Hall,fpl_api,a,Everton
100,,,299,epl,63,1,Ndiaye,fpl_api,a,Everton
,2,,300,epl,55,,McNeil,fpl_api,a,Everton
,1,3,303,epl,52,2,Garner,fpl_api,a,Everton
100,,,311,epl,51,3,Beto,fpl_api,a,Everton
100,,,316,epl,49,4,Robinson,fpl_api,a,Fulham
100,2,,324,epl,61,,Iwobi,fpl_api,a,Fulham
100,1,1,329,epl,58,3,Wilson,fpl_api,a,Fulham
100,3,,332,epl,49,,Lukić,fpl_api,a,Fulham
100,,2,337,epl,59,1,Raúl,fpl_api,a,Fulham
0,4,,356,epl,47,,Gruev,fpl_api,i,Leeds
100,,,362,epl,49,3,Piroe,fpl_api,a,Leeds
100,,,365,epl,50,2,Nmecha,fpl_api,a,Leeds
100,2,2,493,epl,48,,Longstaff,fpl_api,a,Leeds
0,1,1,660,epl,48,,Stach,fpl_api,i,Leeds
100,,,691,epl,58,1,Calvert-Lewin,fpl_api,a,Leeds
100,3,,706,epl,40,,Justin,fpl_api,a,Leeds
100,2,4,381,epl,140,1,M.Salah,fpl_api,a,Liverpool
100,4,5,382,epl,83,,Wirtz,fpl_api,a,Liverpool
100,3,,384,epl,73,3,Gakpo,fpl_api,a,Liverpool
100,,,386,epl,61,4,Mac Allister,fpl_api,a,Liverpool
100,1,2,387,epl,71,2,Szoboszlai,fpl_api,a,Liverpool
100,,4,82,epl,80,,Semenyo,fpl_api,a,Man City
100,,,407,epl,53,4,Matheus N.,fpl_api,a,Man City
100,4,1,413,epl,83,2,Marmoush,fpl_api,a,Man City
100,5,,414,epl,80,,Foden,fpl_api,a,Man City
100,1,,416,epl,62,,Bernardo,fpl_api,a,Man City
100,3,2,417,epl,65,,Cherki,fpl_api,a,Man City
100,,,418,epl,65,3,Doku,fpl_api,a,Man City
,4,3,427,epl,50,,Reijnders,fpl_api,a,Man City
100,,,430,epl,147,1,Haaland,fpl_api,a,Man City
100,2,2,119,epl,83,,Mbeumo,fpl_api,a,Man Utd
100,1,1,449,epl,104,1,B.Fernandes,fpl_api,a,Man Utd
100,3,,452,epl,62,,Amad,fpl_api,a,Man Utd
100,2,1,473,epl,53,,Hall,fpl_api,a,Newcastle
0,,4,474,epl,52,,Schär,fpl_api,i,Newcastle
100,4,2,478,epl,49,,Trippier,fpl_api,a,Newcastle
100,,,485,epl,72,1,Gordon,fpl_api,a,Newcastle
100,5,,486,epl,65,,Elanga,fpl_api,a,Newcastle
100,3,5,488,epl,69,2,Bruno G.,fpl_api,a,Newcastle
75,1,3,491,epl,53,,Tonali,fpl_api,d,Newcastle
100,,,714,epl,67,3,Woltemade,fpl_api,a,Newcastle
,,,426,epl,50,5,McAtee,fpl_api,a,Nott'm Forest
0,,2,506,epl,52,,Murillo,fpl_api,i,Nott'm Forest
100,3,,508,epl,48,,N.Williams,fpl_api,a,Nott'm Forest
100,,1,515,epl,76,2,Gibbs-White,fpl_api,a,Nott'm Forest
100,1,3,517,epl,57,4,Anderson,fpl_api,a,Nott'm Forest
100,,,525,epl,71,1,Wood,fpl_api,a,Nott'm Forest
100,,,526,epl,59,3,Igor Jesus,fpl_api,a,Nott'm Forest
100,4,,669,epl,55,,Ndoye,fpl_api,a,Nott'm Forest
,2,,693,epl,54,,Hutchinson,fpl_api,a,Nott'm Forest
,2,,532,epl,45,,Hume,fpl_api,a,Sunderland
100,,,544,epl,53,1,Diarra,fpl_api,a,Sunderland
100,3,2,547,epl,48,2,E.Le Fée,fpl_api,a,Sunderland
100,1,1,668,epl,51,,Xhaka,fpl_api,a,Sunderland
100,3,2,568,epl,52,,Pedro Porro,fpl_api,a,Spurs
0,,4,582,epl,64,3,Kudus,fpl_api,i,Spurs
100,1,,584,epl,62,,Tel,fpl_api,a,Spurs
100,,,596,epl,71,2,Solanke,fpl_api,a,Spurs
100,,,597,epl,65,5,Richarlison,fpl_api,a,Spurs
0,2,3,717,epl,63,4,Xavi,fpl_api,i,Spurs
100,5,,608,epl,43,,Scarles,fpl_api,a,West Ham
100,2,,615,epl,54,,Summerville,fpl_api,a,West Ham
,1,1,624,epl,78,2,Bowen,fpl_api,a,West Ham
100,4,,708,epl,55,,M.Fernandes,fpl_api,a,West Ham
100,1,,633,epl,43,,H.Bueno,fpl_api,a,Wolves
100,,2,642,epl,56,3,Hee Chan,fpl_api,a,Wolves
100,,4,644,epl,51,,Bellegarde,fpl_api,a,Wolves
100,,3,646,epl,53,,J.Gomes,fpl_api,a,Wolves
,,,720,epl,51,5,Tolu,fpl_api,a,Wolves
,2,1,749,epl,42,,Mané,fpl_api,a,Wolves
