split,segment_type,segment,n,positives,prevalence,mean_probability,brier,log_loss,ece
train,league,bundesliga,5619,405,0.07207688200747464,0.06614306811763139,0.06411325772667759,0.23880155593520985,0.008843420387518796
train,league,epl,7049,543,0.07703220314938289,0.07360441540040068,0.06824035671192821,0.2508752040052386,0.006950186376424564
train,league,la-liga,7384,430,0.058234019501625135,0.06313695024339473,0.05334260914797649,0.20867168571544273,0.00651043423073837
train,league,ligue-1,5537,325,0.05869604478959725,0.06202912093590896,0.05398428191589967,0.2116776885201167,0.009551306607464751
train,league,serie-a,7191,426,0.0592407175636212,0.05963660366665405,0.05450790602471787,0.21388579119750534,0.004510607627760669
validation,league,bundesliga,7507,523,0.06966830957772746,0.06597351915178898,0.062307538330592535,0.23553356595675926,0.009645958501807288
validation,league,epl,9530,676,0.07093389296956978,0.07095295676608844,0.06338164399435607,0.23833924301494414,0.005371758571549884
validation,league,la-liga,9778,569,0.058191859275925545,0.06059040194868629,0.05310259301949619,0.20790187799185997,0.007598769118637255
validation,league,ligue-1,7050,474,0.06723404255319149,0.06784317472576334,0.06048615666643313,0.2298100338586374,0.008969283585781961
validation,league,serie-a,9040,524,0.05796460176991151,0.05881441244915758,0.053649900779407046,0.21156050748080557,0.007819393656796814
test,league,bundesliga,7966,571,0.07167963846346975,0.06468963419610849,0.06404424104399899,0.2414413828762113,0.010291436545551588
test,league,epl,9753,580,0.05946888136983492,0.06323465027385997,0.05477642977253045,0.2152592563684554,0.007736494746715375
test,league,la-liga,10027,591,0.05894085967886706,0.0626260606560878,0.0539315726144246,0.2105264067740042,0.005216270448662896
test,league,ligue-1,7257,473,0.06517844839465343,0.06583554622488859,0.059629229373282494,0.22952440981577657,0.007321433798015584
test,league,serie-a,9736,504,0.051766639276910435,0.057369801359204366,0.04804047488228209,0.19300037606032658,0.0063557323013592616
