category,csv_button_disabled,league,ok,reason,row_update_days,rows,source,unique_clubs,url,visible_updated
corners,true,premier-league,True,stale_march_20,2026-03-20,59,setpiecetakers,20,https://data.setpiecetakers.com/corners/premier-league,20 Mar 2026
corners,true,bundesliga,True,stale_march_20,2026-03-20,56,setpiecetakers,18,https://data.setpiecetakers.com/corners/bundesliga,20 Mar 2026
corners,true,la-liga,True,stale_march_20,2026-03-20,71,setpiecetakers,21,https://data.setpiecetakers.com/corners/la-liga,20 Mar 2026
corners,true,serie-a,True,stale_march_20,2026-03-20,63,setpiecetakers,20,https://data.setpiecetakers.com/corners/serie-a,20 Mar 2026
corners,true,ligue-1,True,stale_march_20,2026-03-20,53,setpiecetakers,19,https://data.setpiecetakers.com/corners/ligue-1,20 Mar 2026
freekicks,true,premier-league,True,stale_march_20,2026-03-20,216,setpiecetakers,26,https://data.setpiecetakers.com/freekicks/premier-league,20 Mar 2026
freekicks,true,bundesliga,True,stale_march_20,2026-03-20,52,setpiecetakers,18,https://data.setpiecetakers.com/freekicks/bundesliga,20 Mar 2026
freekicks,true,la-liga,True,stale_march_20,2026-03-20,264,setpiecetakers,22,https://data.setpiecetakers.com/freekicks/la-liga,20 Mar 2026
freekicks,true,serie-a,True,stale_march_20,2026-03-20,55,setpiecetakers,20,https://data.setpiecetakers.com/freekicks/serie-a,20 Mar 2026
freekicks,true,ligue-1,True,stale_march_20,2026-03-20,50,setpiecetakers,18,https://data.setpiecetakers.com/freekicks/ligue-1,20 Mar 2026
penalties,true,premier-league,True,stale_march_20,2026-03-20,34,setpiecetakers,18,https://data.setpiecetakers.com/penalties/premier-league,20 Mar 2026
penalties,true,bundesliga,True,stale_march_20,2026-03-20,44,setpiecetakers,18,https://data.setpiecetakers.com/penalties/bundesliga,20 Mar 2026
penalties,true,la-liga,True,stale_march_20,2026-03-20,48,setpiecetakers,20,https://data.setpiecetakers.com/penalties/la-liga,20 Mar 2026
penalties,true,serie-a,True,stale_march_20,2026-03-20,50,setpiecetakers,19,https://data.setpiecetakers.com/penalties/serie-a,20 Mar 2026
penalties,true,ligue-1,True,stale_march_20,2026-03-20,42,setpiecetakers,18,https://data.setpiecetakers.com/penalties/ligue-1,20 Mar 2026
