date,tournament,surface,round,series,player1,player2,player1_id,player2_id,our_prob,our_prob_raw,our_odds,pinnacle_odds,pinnacle_odds_loser,actual_winner,value_pct,bet_side,bet_result,policy_excluded,pinnacle_prob_novig,model_favorite,model_favorite_prob,p_serve_return,p_elo,p_rank,confidence
2023-12-31,Brisbane International,Hard,1st Round,ATP250,Alexei Popyrin,Christopher O'Connell,34233,24721,0.485909,0.498157,2.058,1.72,2.23,Alexei Popyrin,14.642,loser,loss,False,0.564557,Christopher O'Connell,0.514091,0.449768,0.457025,0.621356,high
2023-12-31,Brisbane International,Hard,1st Round,ATP250,Alexander Shevchenko,Luca Van Assche,64891,82371,0.585301,0.60157,1.7085,1.78,2.14,Alexander Shevchenko,4.184,winner,skip,False,0.545918,Alexander Shevchenko,0.585301,0.560311,0.571471,0.641166,medium
2024-01-01,Brisbane International,Hard,1st Round,ATP250,Grigor Dimitrov,Andy Murray,11953,1075,0.659219,0.704554,1.5169,1.35,3.47,Grigor Dimitrov,18.251,loser,loss,False,0.719917,Grigor Dimitrov,0.659219,0.531726,0.687483,0.769014,high
2024-01-01,Brisbane International,Hard,1st Round,ATP250,Holger Rune,Max Purcell,69471,28263,0.621716,0.65356,1.6085,1.32,3.68,Holger Rune,39.208,loser,loss,False,0.736,Holger Rune,0.621716,0.304907,0.528871,0.862342,high
2024-01-01,Brisbane International,Hard,1st Round,ATP250,Roman Safiullin,Ben Shelton,28900,87562,0.45981,0.460987,2.1748,2.31,1.68,Roman Safiullin,6.216,winner,win,False,0.421053,Ben Shelton,0.54019,0.514603,0.571968,0.296453,high
2024-01-01,Hong Kong Tennis Open,Hard,1st Round,ATP250,Pavel Kotov,Nuno Borges,45553,31446,0.423506,0.409545,2.3612,2.01,1.88,Pavel Kotov,8.381,loser,loss,False,0.48329,Nuno Borges,0.576494,0.423793,0.42574,0.496728,high
2024-01-01,Hong Kong Tennis Open,Hard,1st Round,ATP250,Emil Ruusuvuori,Benjamin Bonzi,37105,28899,0.583803,0.600744,1.7129,1.58,2.53,Emil Ruusuvuori,5.298,loser,loss,False,0.615572,Emil Ruusuvuori,0.583803,0.57507,0.669167,0.512678,high
2024-01-01,Hong Kong Tennis Open,Hard,1st Round,ATP250,Juncheng Shang,Laslo Djere,86082,24084,0.321181,0.269448,3.1135,2.07,1.83,Juncheng Shang,24.224,loser,loss,False,0.469231,Laslo Djere,0.678819,0.582573,0.413763,0.136062,high
2024-01-01,Hong Kong Tennis Open,Hard,1st Round,ATP250,Botic Van De Zandschulp,Shintaro Mochizuki,24249,73742,0.627903,0.662071,1.5926,1.28,4.06,Botic Van De Zandschulp,51.071,loser,loss,False,0.7603,Botic Van De Zandschulp,0.627903,0.483869,0.694654,0.740872,high
2024-01-02,Brisbane International,Hard,1st Round,ATP250,Daniel Altmaier,Li Tu,29732,22710,0.615201,0.644562,1.6255,1.64,2.39,Daniel Altmaier,0.893,winner,skip,False,0.593052,Daniel Altmaier,0.615201,0.448571,0.622609,0.823393,high
