date,tournament,surface,round,series,player1,player2,player1_id,player2_id,our_prob,our_prob_raw,our_odds,pinnacle_odds,pinnacle_odds_loser,actual_winner,value_pct,bet_side,bet_result,policy_excluded,pinnacle_prob_novig,model_favorite,model_favorite_prob,p_serve_return,p_elo,p_rank,confidence
2023-12-31,Brisbane International,Hard,1st Round,ATP250,Alexei Popyrin,Christopher O'Connell,34233,24721,0.5179,0.503383,1.9309,1.72,2.23,Alexei Popyrin,7.508,loser,loss,False,0.564557,Alexei Popyrin,0.5179,0.46473,0.457025,0.621356,high
2023-12-31,Brisbane International,Hard,1st Round,ATP250,Alexander Shevchenko,Luca Van Assche,64891,82371,0.601498,0.602923,1.6625,1.78,2.14,Alexander Shevchenko,7.067,winner,win,False,0.545918,Alexander Shevchenko,0.601498,0.566727,0.571471,0.641166,medium
2024-01-01,Brisbane International,Hard,1st Round,ATP250,Grigor Dimitrov,Andy Murray,11953,1075,0.682076,0.700652,1.4661,1.35,3.47,Grigor Dimitrov,10.32,loser,loss,False,0.719917,Grigor Dimitrov,0.682076,0.514351,0.687483,0.769014,high
2024-01-01,Brisbane International,Hard,1st Round,ATP250,Holger Rune,Max Purcell,69471,28263,0.649706,0.662162,1.5392,1.32,3.68,Holger Rune,28.908,loser,loss,False,0.736,Holger Rune,0.649706,0.343024,0.528871,0.862342,high
2024-01-01,Brisbane International,Hard,1st Round,ATP250,Roman Safiullin,Ben Shelton,28900,87562,0.458744,0.468392,2.1799,2.31,1.68,Roman Safiullin,5.97,winner,win,False,0.421053,Ben Shelton,0.541256,0.540591,0.571968,0.296453,high
2024-01-01,Hong Kong Tennis Open,Hard,1st Round,ATP250,Pavel Kotov,Nuno Borges,45553,31446,0.422491,0.424598,2.3669,2.01,1.88,Pavel Kotov,8.572,loser,loss,False,0.48329,Nuno Borges,0.577509,0.471017,0.42574,0.496728,high
2024-01-01,Hong Kong Tennis Open,Hard,1st Round,ATP250,Emil Ruusuvuori,Benjamin Bonzi,37105,28899,0.593702,0.594934,1.6843,1.58,2.53,Emil Ruusuvuori,2.793,loser,skip,False,0.615572,Emil Ruusuvuori,0.593702,0.551839,0.669167,0.512678,high
2024-01-01,Hong Kong Tennis Open,Hard,1st Round,ATP250,Juncheng Shang,Laslo Djere,86082,24084,0.289908,0.266358,3.4494,2.07,1.83,Juncheng Shang,29.947,loser,loss,False,0.469231,Laslo Djere,0.710092,0.565337,0.413763,0.136062,high
2024-01-01,Hong Kong Tennis Open,Hard,1st Round,ATP250,Botic Van De Zandschulp,Shintaro Mochizuki,24249,73742,0.643082,0.654246,1.555,1.28,4.06,Botic Van De Zandschulp,44.909,loser,loss,False,0.7603,Botic Van De Zandschulp,0.643082,0.448239,0.694654,0.740872,high
2024-01-02,Brisbane International,Hard,1st Round,ATP250,Daniel Altmaier,Li Tu,29732,22710,0.635859,0.645601,1.5727,1.64,2.39,Daniel Altmaier,4.281,winner,skip,False,0.593052,Daniel Altmaier,0.635859,0.45362,0.622609,0.823393,high
