date,tournament,surface,round,series,player1,player2,player1_id,player2_id,our_prob,our_prob_raw,our_odds,pinnacle_odds,pinnacle_odds_loser,actual_winner,value_pct,bet_side,bet_result,policy_excluded,pinnacle_prob_novig,model_favorite,model_favorite_prob,p_serve_return,p_elo,p_rank,p_a,p_b,confidence,score
2026-03-08,Brasilia Challenger,Clay,,Challenger,Henrique Rocha,Adolfo Daniel Vallejo,83794,80391,0.335576,0.269682,2.98,3.12,1.412,Henrique Rocha,4.7,winner,skip,False,0.311562,Adolfo Daniel Vallejo,0.664424,0.343719,0.267881,,0.5230347863901083,0.5531080295037942,high,6-4 6-4
2026-03-08,Cherbourg Challenger,I.hard,,Challenger,Ben Jones,Jarno Jans,36842,80497,0.556055,0.52545,1.7984,1.319,3.5,Ben Jones,55.381,loser,policy_skip,True,0.726292,Ben Jones,0.556055,0.976097,0.500153,,0.6868029068695999,0.530922115779607,low,5-2 ret.
2026-03-08,Cherbourg Challenger,I.hard,,Challenger,Filippo Romano,Pierre Antoine Faut,90774,102810,0.57059,0.554113,1.7526,1.246,4.15,Filippo Romano,78.205,loser,policy_skip,True,0.769088,Filippo Romano,0.57059,0.396385,0.588228,,0.52,0.5396026293505584,medium,6-3 6-0
2026-03-08,Cherbourg Challenger,I.hard,,Challenger,Kenny de Schepper,David Poljak,7805,23082,0.543847,0.501386,1.8388,1.402,3.03,Kenny de Schepper,38.214,loser,policy_skip,True,0.683664,Kenny de Schepper,0.543847,0.461121,0.551519,,0.6092142971396332,0.6166073624513595,medium,7-6(5) 6-7(2) 6-3
2026-03-08,Cherbourg Challenger,I.hard,,Challenger,Maxence Beauge,Cleeve Harper,38250,71196,0.543697,0.501092,1.8393,1.483,2.68,Maxence Beauge,22.289,loser,policy_skip,True,0.643767,Maxence Beauge,0.543697,0.697956,0.506748,,0.599780920329387,0.5599918205054606,medium,6-4 6-2
2026-03-08,Cherbourg Challenger,I.hard,,Challenger,Maxime Janvier,Nicolas Parizzia,28895,38587,0.630267,0.669037,1.5866,1.197,4.82,Maxime Janvier,78.211,loser,policy_skip,True,0.801064,Maxime Janvier,0.630267,0.681367,0.657658,,0.6430545642551009,0.6054273208440432,medium,6-4 3-6 7-6(6)
2026-03-08,Cherbourg Challenger,I.hard,,Challenger,Niels Visker,Nicolas Ifi,73241,71622,0.621858,0.653323,1.6081,1.274,3.8,Niels Visker,43.694,loser,policy_skip,True,0.748916,Niels Visker,0.621858,0.972132,0.608323,,0.6797338728468167,0.5295501411630104,low,6-3 6-3
2026-03-08,Cherbourg Challenger,I.hard,,Challenger,Patrick Brady,Cyril Vandermeersch,87770,59762,0.592115,0.5963,1.6889,2.11,1.746,Patrick Brady,24.936,winner,win,False,0.452801,Patrick Brady,0.592115,0.590293,0.571504,,0.5370948193973359,0.52,medium,6-1 6-4
2026-03-08,Cherbourg Challenger,I.hard,,Challenger,Yanis Ghazouani Durand,Lorenzo Rottoli,99969,55657,0.376633,0.343842,2.6551,1.286,3.7,Yanis Ghazouani Durand,130.646,loser,policy_skip,True,0.742078,Lorenzo Rottoli,0.623367,0.187745,0.477764,,0.52,0.5868388253390767,medium,5-7 6-4 6-4
2026-03-08,Hersonissos 2 Challenger,Hard,,Challenger,Benjamin Hassan,Luca Castagnola,32887,81959,0.640339,0.68756,1.5617,1.229,4.11,Benjamin Hassan,47.821,loser,policy_skip,True,0.769807,Benjamin Hassan,0.640339,0.628776,0.707445,,0.5526558321507009,0.5280097031787112,high,6-4 6-3
2026-03-08,Hersonissos 2 Challenger,Hard,,Challenger,Buvaysar Gadamauri,Oskari Paldanius,54146,107371,0.684536,0.764081,1.4608,1.379,3.01,Buvaysar Gadamauri,-5.045,loser,skip,False,0.685805,Buvaysar Gadamauri,0.684536,0.874686,0.698626,,0.6072987276103007,0.52,medium,2-6 7-5 6-3
2026-03-08,Hersonissos 2 Challenger,Hard,,Challenger,Javier Barranco Cosano,Luca Staeheli,38273,59487,0.673366,0.745564,1.4851,1.433,2.78,Javier Barranco Cosano,-3.507,winner,skip,False,0.659862,Javier Barranco Cosano,0.673366,0.806385,0.700564,,0.5852794857912057,0.52,low,6-0 6-1
2026-03-08,Hersonissos 2 Challenger,Hard,,Challenger,Lui Maxted,Michalis Sakellaridis,83521,41473,0.565866,0.544804,1.7672,1.008,30.59,Lui Maxted,1228.015,loser,policy_skip,True,0.968099,Lui Maxted,0.565866,0.499859,0.56217,,0.52,0.52,medium,6-2 6-0
2026-03-08,Hersonissos 2 Challenger,Hard,,Challenger,Max Wiskandt,Petros Tsitsipas,74151,41058,0.681544,0.759181,1.4673,1.45,2.73,Max Wiskandt,-1.176,winner,skip,False,0.65311,Max Wiskandt,0.681544,0.879884,0.666253,,0.6093115474526476,0.52,medium,7-6(3) 6-1
2026-03-08,Hersonissos 2 Challenger,Hard,,Challenger,Oleksandr Ovcharenko,Ioannis Kountourakis,58432,68530,0.562954,0.539061,1.7763,1.14,5.63,Oleksandr Ovcharenko,146.057,loser,policy_skip,True,0.83161,Oleksandr Ovcharenko,0.562954,0.499859,0.538841,,0.52,0.52,low,6-3 6-0
2026-03-08,Hersonissos 2 Challenger,Hard,,Challenger,Petr Nesterov,Constantin Bittoun Kouzmine,81784,37720,0.58125,0.575066,1.7204,1.24,3.99,Petr Nesterov,67.081,loser,policy_skip,True,0.762906,Petr Nesterov,0.58125,0.774073,0.507514,,0.5767454925900212,0.52,medium,6-4 7-5
2026-03-08,Kigali 2 Challenger,Clay,,Challenger,Alexander Donski,Samuele Pieri,37053,85763,0.624625,0.658517,1.601,2.26,1.662,Alexander Donski,41.165,winner,win,False,0.423763,Alexander Donski,0.624625,0.762141,0.635444,,0.606904671359196,0.5522083997077226,medium,7-6(3) 6-4
2026-03-08,Kigali 2 Challenger,Clay,,Challenger,Eero Vasa,Siddhant Banthia,30743,48460,0.674407,0.747316,1.4828,1.102,7.59,Eero Vasa,147.125,loser,policy_skip,True,0.873217,Eero Vasa,0.674407,0.940138,0.644123,,0.6648449305040338,0.5430237435332842,medium,3-6 6-0 6-2
2026-03-08,Kigali 2 Challenger,Clay,,Challenger,Enrico Dalla Valle,Patricio Alvarado,32764,7202,0.751983,0.861588,1.3298,1.024,20.33,Enrico Dalla Valle,404.219,loser,policy_skip,True,0.952046,Enrico Dalla Valle,0.751983,0.944458,0.78561,,0.6426245850862685,0.52,medium,7-6(5) 6-0
2026-03-08,Kigali 2 Challenger,Clay,,Challenger,Gabriele Pennaforti,Alec Beckley,86545,75660,0.667704,0.735953,1.4977,1.442,2.86,Gabriele Pennaforti,-3.717,winner,skip,False,0.664807,Gabriele Pennaforti,0.667704,0.950536,0.552753,,0.6471639189445656,0.52,medium,6-1 6-4
2026-03-08,Kigali 2 Challenger,Clay,,Challenger,Nicholas David Ionel,Allan Gatoto,61537,108932,0.672027,0.743304,1.488,1.025,19.61,Nicholas David Ionel,543.156,loser,policy_skip,True,0.950327,Nicholas David Ionel,0.672027,0.838413,0.73192,,0.5947558086073421,0.52,medium,6-3 7-5
2026-03-08,Santiago Challenger,Clay,,Challenger,Daniel Antonio Nunez,Nino Serdarusic,75578,28346,0.327805,0.256411,3.0506,2.73,1.467,Daniel Antonio Nunez,-1.389,loser,skip,False,0.349535,Nino Serdarusic,0.672195,0.231626,0.335974,,0.5394255960611687,0.59500668667279,medium,6-4 2-6 6-2
2026-03-08,Santiago Challenger,Clay,,Challenger,Franco Roncadelli,Valentin Basel,58723,85012,0.67068,0.741023,1.491,1.024,18.96,Franco Roncadelli,524.391,loser,policy_skip,True,0.948759,Franco Roncadelli,0.67068,0.64014,0.765959,,0.5469333719687071,0.52,medium,6-2 6-1
2026-03-08,Santiago Challenger,Clay,,Challenger,Gonzalo Villanueva,Bautista De La Pena,24841,108027,0.775182,0.888914,1.29,1.007,43.4,Gonzalo Villanueva,875.711,loser,policy_skip,True,0.977323,Gonzalo Villanueva,0.775182,0.979375,0.8119,,0.6795732632576136,0.52,medium,6-2 6-2
2026-03-08,Santiago Challenger,Clay,,Challenger,Nicolas Villalon,Ryan Dickerson,89843,81809,0.417124,0.421747,2.3974,3.06,1.397,Nicolas Villalon,27.64,winner,policy_skip,True,0.31344,Ryan Dickerson,0.582876,0.420248,0.424645,,0.52,0.534962697089566,medium,7-5 6-4
2026-03-08,Thionville Challenger,I.hard,,Challenger,Sebastian Ofner,Nicolai Budkov Kjaer,27547,104215,0.595912,0.603679,1.6781,1.84,2.06,Sebastian Ofner,9.648,winner,win,False,0.528205,Sebastian Ofner,0.595912,0.338519,0.659452,,0.5830844738718032,0.6151885825290215,medium,6-7(5) 6-3 7-6(7)
2026-03-10,Cap Cana Challenger,Hard,,Challenger,Luca Van Assche,Peter Bertran,82371,30230,0.784019,0.898454,1.2755,1.024,20.14,Luca Van Assche,334.986,loser,policy_skip,True,0.951616,Luca Van Assche,0.784019,0.929423,0.828202,,0.6328439825236316,0.52,medium,6-0 6-2
2026-03-10,Cap Cana Challenger,Hard,,Challenger,Nicolas Mejia,Arthur Fery,34968,79065,0.393549,0.375973,2.541,3.07,1.383,Nicolas Mejia,20.82,winner,win,False,0.310577,Arthur Fery,0.606451,0.250802,0.427314,,0.5281485532994927,0.578671516129214,high,6-3 6-2
2026-03-10,Cherbourg Challenger,I.hard,,Challenger,Antoine Ghibaudo,Gilles Arnaud Bailly,83330,92054,0.653596,0.711384,1.53,1.926,1.943,Antoine Ghibaudo,25.883,winner,policy_skip,True,0.502197,Antoine Ghibaudo,0.653596,0.868098,0.582572,,0.649433914718342,0.561903776837956,medium,6-3 3-6 6-3
2026-03-10,Cherbourg Challenger,I.hard,,Challenger,Filippo Romano,Raphael Perot,90774,76022,0.553518,0.520445,1.8066,2.55,1.546,Filippo Romano,41.147,winner,win,False,0.377441,Filippo Romano,0.553518,0.365991,0.564827,,0.5556154089070879,0.5815409147616746,medium,6-3 4-6 6-3
2026-03-10,Cherbourg Challenger,I.hard,,Challenger,Jurij Rodionov,Maxime Janvier,44555,28895,0.647691,0.700856,1.5439,1.217,4.71,Jurij Rodionov,65.938,loser,policy_skip,True,0.794668,Jurij Rodionov,0.647691,0.547307,0.713577,,0.5813968133378868,0.572198295721539,high,4-6 6-1 6-4
2026-03-10,Cherbourg Challenger,I.hard,,Challenger,Lucas Poullain,Tom Paris,30496,82262,0.65381,0.711763,1.5295,1.935,1.917,Lucas Poullain,26.512,winner,policy_skip,True,0.497664,Lucas Poullain,0.65381,0.819198,0.639292,,0.630715890353097,0.5598608047458181,medium,6-4 7-6(4)
2026-03-10,Cherbourg Challenger,I.hard,,Challenger,Patrick Brady,Pierre-Hugues Herbert,87770,14727,0.273648,0.172397,3.6543,4.79,1.206,Patrick Brady,31.078,winner,win,False,0.201134,Pierre-Hugues Herbert,0.726352,0.346423,0.181684,,0.539049217423711,0.5687081704912759,medium,7-6(5) 4-6 6-4
2026-03-10,Cherbourg Challenger,I.hard,,Challenger,Pavel Kotov,Clement Chidekh,45553,55828,0.436182,0.459236,2.2926,2.4,1.621,Pavel Kotov,4.684,winner,skip,False,0.403134,Clement Chidekh,0.563818,0.471059,0.45606,,0.5626407756844565,0.568020612673438,high,1-6 6-1 7-6(4)
2026-03-10,Hersonissos 2 Challenger,Hard,,Challenger,Daniel Rincon,Buvaysar Gadamauri,76010,54146,0.548419,0.510392,1.8234,1.704,2.19,Daniel Rincon,-1.104,loser,skip,False,0.562404,Daniel Rincon,0.548419,0.58041,0.537087,,0.5351995248861117,0.52,medium,6-7(4) 6-4 6-2
2026-03-10,Hersonissos 2 Challenger,Hard,,Challenger,Federico Iannaccone,Lorenzo Carboni,51966,100196,0.576418,0.565579,1.7349,2.08,1.781,Federico Iannaccone,19.895,winner,win,False,0.461279,Federico Iannaccone,0.576418,0.166807,0.571448,,0.52,0.5930482988461692,low,6-2 6-3
