date,time_utc,player1,player2,surface,league,series,tour_id,tour_name,challenger_event,data_coverage_tag,match_count_12m_p1,match_count_12m_p2,matches_total_p1,matches_total_p2,recent_challenger_plus_p1,recent_challenger_plus_p2,last_match_days_p1,last_match_days_p2,confidence,side,value_pct,skip_reason,settlement_status,stake_units,stake_gbp,stake_model,signal_profile
2026-05-14,13:31:35,Kriish Tyagi,Hamish Stewart,Hard,Challenger,Challenger,21666,Bengaluru 2 Challenger,True,PARTIAL,4,33,29,255,1,10,,77,low,P1,190.43,coverage_thin,pending,,,,
2026-05-14,13:31:35,Juan Manuel La Serna,Valerio Aboian,Clay,Challenger,Challenger,21667,Cordoba Challenger,True,PARTIAL,37,31,221,379,12,10,77,79,high,P1,2.49,coverage_thin,pending,,,,
2026-05-14,13:31:35,Alejandro Tabilo,Aleksandar Kovacevic,Clay,Challenger,Challenger,21662,Valencia Challenger,True,PARTIAL,30,11,356,274,12,12,77,78,high,P2,-2.74,coverage_thin,pending,,,,
2026-05-14,13:31:35,Leandro Riedi,Miomir Kecmanovic,Clay,Challenger,Challenger,21662,Valencia Challenger,True,PARTIAL,4,8,244,308,12,12,87,77,medium,P1,-1.85,coverage_thin,pending,,,,
2026-05-14,13:31:35,Sebastian Baez,Pablo Carreno-Busta,Clay,Challenger,Challenger,21662,Valencia Challenger,True,PARTIAL,22,22,336,249,12,12,77,78,high,P2,23.2,coverage_thin,pending,,,,
2026-05-14,13:31:35,Laslo Djere,Colton Smith,Clay,Challenger,Challenger,21663,Oeiras 4 Challenger,True,PARTIAL,9,5,280,129,12,12,93,89,medium,P2,84.46,coverage_thin,pending,,,,
2026-05-14,13:31:35,Arthur Fery,Dominic Stricker,Clay,Challenger,Challenger,21665,Zagreb Challenger,True,PARTIAL,5,11,226,266,12,7,113,77,medium,P1,3.26,coverage_thin,pending,,,,
2026-05-14,13:31:35,Juan Bautista Torres,Miguel Tobon,Clay,Challenger,Challenger,21667,Cordoba Challenger,True,PARTIAL,48,28,350,93,4,12,78,77,high,P2,14.68,coverage_thin,pending,,,,
2026-05-14,13:31:35,Dusan Lajovic,Daniel Altmaier,Clay,Challenger,Challenger,21662,Valencia Challenger,True,PARTIAL,37,23,302,360,12,12,80,80,high,P1,3.98,coverage_thin,pending,,,,
2026-05-14,13:31:35,Damir Dzumhur,Jaume Antoni Munar Clar,Clay,Challenger,Challenger,21662,Valencia Challenger,True,PARTIAL,27,8,375,336,12,12,79,90,medium,P1,11.32,coverage_thin,pending,,,,
2026-05-14,13:31:35,Petr Brunclik,Jaime Faria,Clay,Challenger,Challenger,21663,Oeiras 4 Challenger,True,PARTIAL,12,33,148,339,12,12,77,83,high,P1,23.08,coverage_thin,pending,,,,
2026-05-14,13:31:35,Jan Choinski,Daniel Elahi Galan,Clay,Challenger,Challenger,21665,Zagreb Challenger,True,PARTIAL,37,25,253,298,12,12,81,81,high,P1,14.63,coverage_thin,pending,,,,
2026-05-14,13:31:35,Zsombor Piros,Josip Simundza,Clay,Challenger,Challenger,21665,Zagreb Challenger,True,PARTIAL,19,15,342,181,12,3,78,85,high,P2,165.61,coverage_thin,pending,,,,
2026-05-14,13:31:35,Guido Ivan Justo,Eduardo Ribeiro,Clay,Challenger,Challenger,21667,Cordoba Challenger,True,PARTIAL,50,27,254,220,12,12,77,79,high,P1,10.19,coverage_thin,pending,,,,
2026-05-14,13:31:35,Diego Dedura,Lukas Neumayer,Clay,Challenger,Challenger,21665,Zagreb Challenger,True,PARTIAL,40,35,153,375,12,12,77,77,high,P1,45.2,coverage_thin,pending,,,,
2026-05-14,13:31:35,Maximus Jones,Philip Sekulic,Hard,Challenger,Challenger,21666,Bengaluru 2 Challenger,True,PARTIAL,31,38,277,205,12,8,106,81,high,P1,29.79,coverage_thin,pending,,,,
2026-05-14,13:31:35,Franco Roncadelli,Nicolas Kicker,Clay,Challenger,Challenger,21667,Cordoba Challenger,True,PARTIAL,48,41,273,254,12,12,79,84,high,P2,1.44,coverage_thin,pending,,,,
2026-05-14,13:31:35,Camilo Ugo Carabelli,Matteo Berrettini,Clay,Challenger,Challenger,21662,Valencia Challenger,True,PARTIAL,31,14,304,235,12,12,78,79,high,P1,6.16,coverage_thin,pending,,,,
2026-05-14,13:31:35,Roberto Bautista Agut,Zizou Bergs,Clay,Challenger,Challenger,21662,Valencia Challenger,True,PARTIAL,14,12,242,359,12,12,94,79,high,P1,2.82,coverage_thin,pending,,,,
2026-05-14,13:31:35,Benjamin Hassan,Hugo Dellien,Clay,Challenger,Challenger,21663,Oeiras 4 Challenger,True,PARTIAL,17,41,356,348,12,12,80,81,high,P1,1.86,coverage_thin,pending,,,,
2026-05-14,13:31:35,Tomas Barrios Vera,Emilio Nava,Clay,Challenger,Challenger,21663,Oeiras 4 Challenger,True,PARTIAL,40,38,365,290,12,12,79,77,high,P1,22.51,coverage_thin,pending,,,,
2026-05-14,13:31:35,Luka Mikrut,Chris Rodesch,Clay,Challenger,Challenger,21665,Zagreb Challenger,True,PARTIAL,29,11,239,197,12,12,90,96,high,P1,4.74,coverage_thin,pending,,,,
2026-05-14,13:31:35,Nicolas Alvarez Varona,Adolfo Daniel Vallejo,Clay,Challenger,Challenger,21662,Valencia Challenger,True,PARTIAL,19,56,272,296,5,12,,77,medium,P1,4.4,coverage_thin,pending,,,,
