section,bucket,bets,wins,losses,pushes,pnl,staked,roi_pct,win_rate_pct,avg_edge_pct,median_edge_pct,avg_odds,bootstrap_roi_low_pct,bootstrap_roi_high_pct,max_drawdown_units
ml_overall,overall,336,144,192,0,-45.0,336.0,-13.3929,42.8571,8.6943,8.5565,2.2228,-25.1429,-1.9107,49.16
ml_year,2022,82,32,50,0,-15.18,82.0,-18.5122,39.0244,8.8841,8.809,2.2561,-40.7439,3.2073,21.1
ml_year,2023,84,39,45,0,-4.86,84.0,-5.7857,46.4286,8.7233,8.594,2.2085,-29.7619,18.7262,7.59
ml_year,2024,98,41,57,0,-14.55,98.0,-14.8469,41.8367,8.5763,8.418,2.2063,-35.5,9.3878,17.49
ml_year,2025,72,32,40,0,-10.41,72.0,-14.4583,44.4444,8.6047,8.4155,2.2242,-39.7083,6.9722,13.64
ml_series,ATP250,212,89,123,0,-33.13,212.0,-15.6274,41.9811,8.7012,8.684,2.1601,-29.9623,-2.9717,36.27
ml_series,ATP500,35,16,19,0,-3.72,35.0,-10.6286,45.7143,8.9106,8.479,2.2729,-46.0286,28.7143,8.59
ml_series,Masters 1000,89,39,50,0,-8.15,89.0,-9.1573,43.8202,8.5928,8.311,2.3526,-30.5281,14.3258,9.3
ml_side,dog_ml,151,49,102,0,-20.82,151.0,-13.7881,32.4503,8.9141,8.759,2.8274,-32.894,7.1788,24.99
ml_side,favorite_ml,185,95,90,0,-24.18,185.0,-13.0703,51.3514,8.5149,8.482,1.7294,-24.6649,-0.5459,27.67
ml_edge_bucket,05-07,97,42,55,0,-11.25,97.0,-11.5979,43.299,5.9864,5.875,2.1677,-29.8969,8.6495,14.75
ml_edge_bucket,07-09,98,40,58,0,-26.69,98.0,-27.2347,40.8163,8.0592,8.1045,2.149,-45.0306,-10.7857,31.2
ml_edge_bucket,09-11,62,31,31,0,1.35,62.0,2.1774,50.0,9.8019,9.6915,2.1858,-24.8548,30.3387,6.33
ml_edge_bucket,11-13,79,31,48,0,-8.41,79.0,-10.6456,39.2405,11.9377,11.872,2.4111,-37.9494,14.7468,13.8
ml_threshold_sweep,9-13,141,,,,,,-5.0071,,,,,-15.1622,-4.9,
ml_threshold_sweep,9-12,107,,,,,,-0.8505,,,,,-15.9565,-15.9565,
ml_threshold_sweep,5-13,336,,,,,,-13.3929,,,,,-18.5122,-14.4583,
ml_threshold_sweep,8-13,196,,,,,,-11.9439,,,,,-20.5882,-18.7073,
ml_threshold_sweep,5-8,140,,,,,,-15.4214,,,,,-21.4762,-8.8387,
ml_threshold_sweep,6-13,278,,,,,,-13.7374,,,,,-21.6957,-18.6897,
ml_threshold_sweep,5-7,97,,,,,,-11.5979,,,,,-22.0667,-14.8696,
ml_threshold_sweep,7-13,239,,,,,,-14.1213,,,,,-22.8438,-14.2653,
ml_threshold_sweep,9-11,62,,,,,,2.1774,,,,,-23.75,-20.0769,
ml_threshold_sweep,6-8,82,,,,,,-18.0244,,,,,-24.8333,-18.6471,
ml_threshold_sweep,11-13,79,,,,,,-10.6456,,,,,-33.2857,6.7059,
ml_threshold_sweep,11-13,79,,,,,,-10.6456,,,,,-33.2857,6.7059,
ml_threshold_sweep,7-9,98,,,,,,-27.2347,,,,,-33.3704,-29.0526,
ml_threshold_sweep,6-9,137,,,,,,-22.7226,,,,,-33.4643,-33.4643,
ml_threshold_sweep,10-13,100,,,,,,-9.48,,,,,-34.0417,-1.0,
ml_threshold_sweep,10-13,100,,,,,,-9.48,,,,,-34.0417,-1.0,
ml_threshold_sweep,7-10,139,,,,,,-17.4604,,,,,-35.9474,-25.0741,
