lane,source,year,date_iso,tournament,surface,series,confidence,market,side,player1,player2,selection,edge_pct,odds,result,pnl,staked,segment
clay_bo3,historical_ml_backtest,2022,2022-01-31,Cordoba Open,Clay,ATP250,high,ml,favorite_ml,Juan Pablo Varillas,Facundo Bagnis,Facundo Bagnis,9.856,1.99,loss,-1.0,1.0,ATP250|favorite_ml
clay_bo3,historical_ml_backtest,2022,2022-02-01,Cordoba Open,Clay,ATP250,high,ml,favorite_ml,Juan Pablo Ficovich,Federico Coria,Federico Coria,7.379,1.55,loss,-1.0,1.0,ATP250|favorite_ml
clay_bo3,historical_ml_backtest,2022,2022-02-04,Cordoba Open,Clay,ATP250,high,ml,dog_ml,Albert Ramos-Vinolas,Lorenzo Sonego,Albert Ramos-Vinolas,8.063,2.46,win,1.46,1.0,ATP250|dog_ml
clay_bo3,historical_ml_backtest,2022,2022-02-04,Cordoba Open,Clay,ATP250,high,ml,dog_ml,Alejandro Tabilo,Carlos Taberner,Carlos Taberner,7.461,2.33,loss,-1.0,1.0,ATP250|dog_ml
clay_bo3,historical_ml_backtest,2022,2022-02-05,Cordoba Open,Clay,ATP250,high,ml,favorite_ml,Albert Ramos-Vinolas,Juan Ignacio Londero,Albert Ramos-Vinolas,8.813,1.65,win,0.6499999999999999,1.0,ATP250|favorite_ml
clay_bo3,historical_ml_backtest,2022,2022-02-07,Argentina Open,Clay,ATP250,high,ml,dog_ml,Federico Coria,Pablo Cuevas,Pablo Cuevas,12.787,2.78,loss,-1.0,1.0,ATP250|dog_ml
clay_bo3,historical_ml_backtest,2022,2022-02-08,Argentina Open,Clay,ATP250,high,ml,favorite_ml,Pablo Andujar,Juan Ignacio Londero,Pablo Andujar,5.481,1.99,win,0.99,1.0,ATP250|favorite_ml
clay_bo3,historical_ml_backtest,2022,2022-02-09,Argentina Open,Clay,ATP250,high,ml,favorite_ml,Federico Coria,Dusan Lajovic,Federico Coria,9.994,1.93,win,0.9299999999999999,1.0,ATP250|favorite_ml
clay_bo3,historical_ml_backtest,2022,2022-02-10,Argentina Open,Clay,ATP250,high,ml,favorite_ml,Lorenzo Sonego,Sebastian Baez,Lorenzo Sonego,8.74,1.9,win,0.8999999999999999,1.0,ATP250|favorite_ml
clay_bo3,historical_ml_backtest,2022,2022-02-13,Argentina Open,Clay,ATP250,high,ml,dog_ml,Casper Ruud,Diego Sebastian Schwartzman,Diego Sebastian Schwartzman,7.025,2.94,loss,-1.0,1.0,ATP250|dog_ml
clay_bo3,historical_ml_backtest,2022,2022-02-16,Rio Open,Clay,ATP500,high,ml,favorite_ml,Pablo Andujar,Albert Ramos-Vinolas,Albert Ramos-Vinolas,11.961,1.66,loss,-1.0,1.0,ATP500|favorite_ml
clay_bo3,historical_ml_backtest,2022,2022-02-16,Rio Open,Clay,ATP500,high,ml,favorite_ml,Federico Coria,Fernando Verdasco,Federico Coria,7.417,1.5,win,0.5,1.0,ATP500|favorite_ml
