generated_utc,dataset,surface,year,bin_lo,bin_hi,n,avg_raw_pred,avg_cal_pred,avg_pinnacle_novig,actual_win_rate,raw_ece_contribution,cal_ece_contribution,pinnacle_ece_contribution,raw_brier,cal_brier,pinnacle_brier,log_loss_raw,log_loss_cal,log_loss_pinnacle
2026-04-06T09:56:19+00:00,train,Clay,2022,0.5,0.6,211,0.552,0.5393,0.5481,0.4882,0.018446,0.014782,0.017325,0.254154,0.252625,0.246786,0.701529,0.698433,0.687404
2026-04-06T09:56:19+00:00,train,Clay,2022,0.6,0.7,188,0.6471,0.615,0.6272,0.6064,0.010481,0.00222,0.005364,0.241027,0.239984,0.226326,0.675487,0.673157,0.644002
2026-04-06T09:56:19+00:00,train,Clay,2022,0.7,0.8,143,0.742,0.6956,0.6879,0.7203,0.00425,0.004836,0.006348,0.199822,0.201077,0.180153,0.588506,0.591642,0.54045
2026-04-06T09:56:19+00:00,train,Clay,2022,0.8,0.9,122,0.847,0.7927,0.7452,0.7213,0.021013,0.011925,0.003995,0.217901,0.204754,0.160729,0.64999,0.601826,0.495467
2026-04-06T09:56:19+00:00,train,Clay,2022,0.9,1.0,66,0.9423,0.9053,0.8084,0.9091,0.002998,0.000342,0.009106,0.084568,0.083139,0.094383,0.320964,0.303199,0.318898
2026-04-06T09:56:19+00:00,train,Clay,2023,0.5,0.6,253,0.5503,0.5385,0.5414,0.502,0.01519,0.011474,0.012405,0.254292,0.252711,0.249064,0.701867,0.698633,0.691528
2026-04-06T09:56:19+00:00,train,Clay,2023,0.6,0.7,216,0.6439,0.6113,0.6161,0.6065,0.010046,0.001294,0.002586,0.240582,0.239491,0.230151,0.674524,0.672114,0.653466
2026-04-06T09:56:19+00:00,train,Clay,2023,0.7,0.8,158,0.7499,0.7011,0.7035,0.7785,0.005618,0.015194,0.014722,0.173409,0.176821,0.170718,0.53103,0.539808,0.522275
2026-04-06T09:56:19+00:00,train,Clay,2023,0.8,0.9,119,0.8522,0.7953,0.7653,0.7983,0.007968,0.000439,0.004879,0.162517,0.160407,0.15711,0.508205,0.501472,0.483992
2026-04-06T09:56:19+00:00,train,Clay,2023,0.9,1.0,59,0.9414,0.9057,0.8372,0.8644,0.005641,0.003027,0.001994,0.126131,0.121107,0.113121,0.476517,0.415682,0.379163
2026-04-06T09:56:19+00:00,validation,Clay,2024,0.5,0.6,253,0.5469,0.5358,0.5381,0.498,0.015385,0.011892,0.012596,0.251214,0.250503,0.23761,0.695614,0.694165,0.666975
2026-04-06T09:56:19+00:00,validation,Clay,2024,0.6,0.7,181,0.6445,0.6124,0.6206,0.6409,0.000817,0.006408,0.004559,0.229821,0.230092,0.210666,0.65218,0.652762,0.611159
2026-04-06T09:56:19+00:00,validation,Clay,2024,0.7,0.8,156,0.7494,0.6995,0.6907,0.7564,0.001364,0.011048,0.012759,0.184377,0.185907,0.181276,0.555555,0.558809,0.542533
2026-04-06T09:56:19+00:00,validation,Clay,2024,0.8,0.9,133,0.8487,0.7937,0.712,0.7218,0.020989,0.011886,0.001625,0.218467,0.203819,0.159827,0.65352,0.599057,0.49507
2026-04-06T09:56:19+00:00,validation,Clay,2024,0.9,1.0,81,0.9389,0.8985,0.7555,0.7037,0.023696,0.019628,0.00522,0.263769,0.240313,0.179603,1.004707,0.80575,0.520838
2026-04-06T09:56:19+00:00,holdout,Clay,2025,0.5,0.6,216,0.5488,0.5373,0.5349,0.5,0.0149,0.011406,0.010661,0.250544,0.249861,0.242765,0.694257,0.692873,0.678092
2026-04-06T09:56:19+00:00,holdout,Clay,2025,0.6,0.7,173,0.6498,0.617,0.6024,0.5665,0.020396,0.012372,0.008788,0.250308,0.245081,0.229196,0.694403,0.683128,0.650412
2026-04-06T09:56:19+00:00,holdout,Clay,2025,0.7,0.8,156,0.7543,0.7036,0.6814,0.7051,0.010854,0.000328,0.005245,0.211513,0.208807,0.188821,0.616491,0.608919,0.561401
2026-04-06T09:56:19+00:00,holdout,Clay,2025,0.8,0.9,110,0.8453,0.7912,0.7589,0.8,0.007043,0.001365,0.006399,0.161531,0.160885,0.160504,0.505912,0.501379,0.503405
2026-04-06T09:56:19+00:00,holdout,Clay,2025,0.9,1.0,52,0.9395,0.9024,0.8577,0.8846,0.00404,0.001306,0.001981,0.099979,0.097797,0.103116,0.336144,0.328383,0.341134
2026-04-06T09:56:19+00:00,train,Grass,2022,0.5,0.6,98,0.5501,0.5454,0.5472,0.5,0.016,0.01449,0.01507,0.252284,0.251463,0.242594,0.697755,0.696074,0.681477
2026-04-06T09:56:19+00:00,train,Grass,2022,0.6,0.7,92,0.6468,0.6337,0.6328,0.5652,0.024443,0.020524,0.020258,0.254299,0.249853,0.22849,0.703337,0.693512,0.646185
2026-04-06T09:56:19+00:00,train,Grass,2022,0.7,0.8,59,0.7448,0.7261,0.707,0.7627,0.003443,0.007042,0.01071,0.18192,0.18245,0.161817,0.550447,0.551254,0.500807
2026-04-06T09:56:19+00:00,train,Grass,2022,0.8,0.9,44,0.8492,0.8294,0.7856,0.8182,0.004442,0.001607,0.004663,0.146689,0.143945,0.117272,0.466057,0.456691,0.388806
