dataset,group_type,group,bin_lo,bin_hi,n,avg_raw_prob,avg_cal_prob,actual_win_rate,avg_pinnacle_novig,abs_error,included_in_ece
train,overall,all,0.50,0.55,163,0.5223,0.5306,0.4847,0.5212,0.0459,1
train,overall,all,0.55,0.60,324,0.5694,0.5744,0.5093,0.5564,0.0651,1
train,overall,all,0.60,0.65,273,0.6364,0.6237,0.6190,0.6126,0.0047,1
train,overall,all,0.65,0.70,216,0.7065,0.6748,0.6250,0.6730,0.0498,1
train,overall,all,0.70,0.75,175,0.7620,0.7235,0.7771,0.7205,0.0537,1
train,overall,all,0.75,0.80,132,0.8191,0.7740,0.8030,0.7341,0.0290,1
train,overall,all,0.80,0.85,128,0.8717,0.8225,0.7422,0.7230,0.0803,1
train,overall,all,0.85,0.90,70,0.9027,0.8705,0.8429,0.8141,0.0277,1
train,overall,all,0.90,0.95,31,0.9307,0.9224,0.9032,0.8540,0.0192,1
train,overall,all,0.95,1.00,23,0.9754,0.9740,1.0000,0.9158,0.0260,0
train,series,ATP250,0.50,0.55,113,0.5224,0.5303,0.4779,0.5266,0.0524,1
train,series,ATP250,0.55,0.60,182,0.5719,0.5738,0.5000,0.5647,0.0738,1
train,series,ATP250,0.60,0.65,129,0.6298,0.6249,0.6047,0.6098,0.0202,1
train,series,ATP250,0.65,0.70,101,0.6851,0.6742,0.6139,0.6564,0.0603,1
train,series,ATP250,0.70,0.75,74,0.7382,0.7228,0.7568,0.6950,0.0339,1
train,series,ATP250,0.75,0.80,56,0.7949,0.7755,0.7679,0.7108,0.0076,1
train,series,ATP250,0.80,0.85,77,0.8739,0.8205,0.6364,0.6786,0.1841,1
train,series,ATP250,0.85,0.90,27,0.9213,0.8644,0.9630,0.8433,0.0986,0
train,series,ATP500,0.50,0.55,16,0.5246,0.5318,0.3750,0.5417,0.1568,0
train,series,ATP500,0.55,0.60,14,0.5764,0.5779,0.5714,0.5683,0.0064,0
train,series,ATP500,0.60,0.65,26,0.6290,0.6243,0.6923,0.6077,0.0680,0
train,series,ATP500,0.65,0.70,18,0.6836,0.6731,0.6667,0.6922,0.0064,0
train,series,ATP500,0.70,0.75,19,0.7347,0.7183,0.7895,0.6734,0.0712,0
train,series,ATP500,0.75,0.80,10,0.8016,0.7783,0.7000,0.7516,0.0783,0
train,series,ATP500,0.80,0.85,15,0.8484,0.8298,0.9333,0.7527,0.1036,0
train,series,ATP500,0.85,0.90,12,0.8938,0.8743,0.8333,0.7693,0.0410,0
train,series,ATP500,0.90,0.95,6,0.9496,0.9319,1.0000,0.8380,0.0681,0
train,series,ATP500,0.95,1.00,5,0.9869,0.9805,1.0000,0.8596,0.0195,0
train,series,Grand Slam,0.50,0.55,25,0.5252,0.5252,0.5200,0.4978,0.0052,0
train,series,Grand Slam,0.55,0.60,24,0.5726,0.5726,0.5000,0.5436,0.0726,0
train,series,Grand Slam,0.60,0.65,34,0.6203,0.6203,0.5882,0.6217,0.0320,1
train,series,Grand Slam,0.65,0.70,21,0.6764,0.6764,0.5238,0.6456,0.1526,0
train,series,Grand Slam,0.70,0.75,29,0.7264,0.7264,0.7931,0.7180,0.0667,0
train,series,Grand Slam,0.75,0.80,25,0.7698,0.7698,0.8000,0.7087,0.0302,0
train,series,Grand Slam,0.80,0.85,19,0.8274,0.8274,0.8421,0.8215,0.0147,0
train,series,Grand Slam,0.85,0.90,26,0.8752,0.8752,0.8077,0.7949,0.0676,0
train,series,Grand Slam,0.90,0.95,23,0.9212,0.9212,0.9130,0.8555,0.0081,0
train,series,Grand Slam,0.95,1.00,18,0.9722,0.9722,1.0000,0.9314,0.0278,0
train,series,Masters 1000,0.50,0.55,9,0.5076,0.5470,0.6667,0.4821,0.1197,0
train,series,Masters 1000,0.55,0.60,104,0.5633,0.5753,0.5192,0.5430,0.0561,1
train,series,Masters 1000,0.60,0.65,84,0.6554,0.6232,0.6310,0.6147,0.0078,1
train,series,Masters 1000,0.65,0.70,76,0.7486,0.6755,0.6579,0.6981,0.0176,1
train,series,Masters 1000,0.70,0.75,53,0.8247,0.7247,0.7925,0.7743,0.0678,1
train,series,Masters 1000,0.75,0.80,41,0.8865,0.7735,0.8780,0.7773,0.1045,1
train,series,Masters 1000,0.80,0.85,17,0.9319,0.8200,0.9412,0.7873,0.1212,0
train,series,Masters 1000,0.85,0.90,5,0.9667,0.8703,0.4000,0.8641,0.4703,0
train,series,Masters 1000,0.90,0.95,2,0.9844,0.9084,0.5000,0.8859,0.4084,0
validation,overall,all,0.50,0.55,104,0.5202,0.5310,0.4615,0.5181,0.0694,1
validation,overall,all,0.55,0.60,154,0.5668,0.5729,0.5260,0.5505,0.0469,1
validation,overall,all,0.60,0.65,135,0.6372,0.6236,0.6370,0.6214,0.0135,1
validation,overall,all,0.65,0.70,94,0.7080,0.6730,0.7128,0.6545,0.0398,1
validation,overall,all,0.70,0.75,94,0.7716,0.7242,0.7340,0.6799,0.0099,1
validation,overall,all,0.75,0.80,71,0.8116,0.7733,0.7887,0.7216,0.0154,1
