feature,gain,split
pinnacle_prob_novig,2519.9228780269623,97
our_prob_raw,589.2523593902588,42
clay_l52w_first_serve_pct_a,197.1752803325653,36
clay_l52w_return_pts_won_pct_b,176.6144299507141,32
clay_l52w_first_serve_won_pct_b,141.66003847122192,23
clay_l52w_return_pts_won_pct_a,121.03413987159729,24
clay_l52w_first_serve_pct_b,117.91104984283447,22
days_since_last_match_b,113.13362836837769,19
clay_career_winrate_a,111.27496027946472,20
age_diff,102.67342948913574,18
log_clay_points_diff,101.74958002567291,19
clay_l52w_second_serve_won_pct_a,88.31204009056091,18
clay_points_a,87.37937951087952,15
clay_l52w_first_serve_won_pct_a,85.2258894443512,18
clay_l52w_matches_b,82.31919002532959,14
age_a,78.04344987869263,13
workload_l30_b,74.33766984939575,13
clay_points_b,73.91656923294067,13
clay_l12w_winrate_b,73.47213077545166,15
clay_career_matches_a,72.50008964538574,12
clay_career_matches_b,62.09214973449707,12
log_rank_diff,58.62333059310913,11
days_since_last_match_a,58.218690395355225,11
age_b,55.813899517059326,10
atp_rank_b,54.56053876876831,9
days_into_year,53.77508044242859,11
clay_career_winrate_b,50.46889019012451,9
clay_l12w_winrate_a,49.46463918685913,10
clay_l52w_matches_a,48.174489974975586,8
workload_l14_b,45.34759044647217,7
atp_rank_a,44.42647933959961,7
workload_l30_a,39.963119983673096,6
clay_l52w_winrate_b,38.238810300827026,8
h2h_clay_a_minus_b,36.832210063934326,7
clay_l52w_winrate_a,33.9216194152832,5
clay_l52w_second_serve_won_pct_b,32.55261969566345,7
round_ord,20.331830501556396,3
series_ord,15.911489725112915,4
h2h_clay_total,14.905900001525879,3
workload_l14_a,11.585880279541016,2
tournament_cohort_Madrid,10.344810009002686,2
tournament_cohort_Other,9.814370155334473,2
log_rank_a,8.3052396774292,1
tournament_cohort_Barcelona,4.465179920196533,1
month_of_year,4.420209884643555,1
tournament_cohort_MonteCarlo,4.193140029907227,1
lefty_a,0.0,0
lefty_b,0.0,0
lefty_vs_righty,0.0,0
log_rank_b,0.0,0
tournament_cohort_Bastad,0.0,0
tournament_cohort_Estoril,0.0,0
tournament_cohort_Geneva,0.0,0
tournament_cohort_Munich,0.0,0
tournament_cohort_RolandGarros,0.0,0
tournament_cohort_Rome,0.0,0
