date,tournament,winner_id,loser_id,winner_name,loser_name,winner_rank,loser_rank,winner_points,loser_points,join_method
2022-01-31,Cordoba Open,26153,11881,Juan Pablo Varillas,Facundo Bagnis,129,74,567,863,surname
2022-01-31,Cordoba Open,5829,14609,Pablo Martinez,Thiago Moura Monteiro,61,92,1026,754,surname
2022-02-01,Cordoba Open,20694,14856,Juan Ignacio Londero,Yannick Hanfmann,139,120,512,605,surname
2022-02-01,Cordoba Open,21506,69471,Roberto Carballes Baena,Holger Rune,76,97,831,742,surname
2022-02-01,Cordoba Open,26845,18477,Daniel Elahi Galan,Hugo Dellien,127,109,582,684,surname
2022-02-01,Cordoba Open,29665,11940,Carlos Taberner,Federico Delbonis,105,41,707,1312,surname
2022-02-01,Cordoba Open,29906,18720,Juan Pablo Ficovich,Federico Coria,230,64,277,971,surname
2022-02-01,Cordoba Open,30087,52279,Alejandro Tabilo,Francisco Cerundolo,144,111,483,651,surname
2022-02-01,Cordoba Open,37532,27482,Tomas Martin Etcheverry,Nicolas Jarry,128,149,574,460,surname
2022-02-01,Cordoba Open,52721,672,Sebastian Baez,Fernando Verdasco,77,200,831,325,surname
2022-02-02,Cordoba Open,17829,29906,Diego Sebastian Schwartzman,Juan Pablo Ficovich,14,230,2640,277,surname
2022-02-02,Cordoba Open,20694,5829,Juan Ignacio Londero,Pablo Martinez,139,61,512,1026,surname
2022-02-02,Cordoba Open,22437,37532,Nikola Milojevic,Tomas Martin Etcheverry,136,128,525,574,surname
2022-02-03,Cordoba Open,31392,21506,Lorenzo Sonego,Roberto Carballes Baena,23,76,1937,831,surname
2022-02-03,Cordoba Open,52721,24840,Sebastian Baez,Cristian Garin,77,18,831,2420,surname
2022-02-04,Cordoba Open,17829,26845,Diego Sebastian Schwartzman,Daniel Elahi Galan,14,127,2640,582,surname
2022-02-04,Cordoba Open,20694,22437,Juan Ignacio Londero,Nikola Milojevic,139,136,512,525,surname
2022-02-04,Cordoba Open,30087,29665,Alejandro Tabilo,Carlos Taberner,144,105,483,707,surname
2022-02-04,Cordoba Open,6691,31392,Albert Ramos-Vinolas,Lorenzo Sonego,44,23,1259,1937,surname
2022-02-05,Cordoba Open,30087,17829,Alejandro Tabilo,Diego Sebastian Schwartzman,144,14,483,2640,surname
2022-02-05,Cordoba Open,30087,52721,Alejandro Tabilo,Sebastian Baez,144,77,483,831,surname
2022-02-05,Cordoba Open,6691,20694,Albert Ramos-Vinolas,Juan Ignacio Londero,44,139,1259,512,surname
2022-02-06,Cordoba Open,6691,30087,Albert Ramos-Vinolas,Alejandro Tabilo,44,144,1259,483,surname
2022-02-07,Argentina Open,12190,12043,Dusan Lajovic,Benoit Paire,37,50,1371,1120,surname
2022-02-07,Argentina Open,18720,3577,Federico Coria,Pablo Cuevas,65,96,971,715,surname
2022-02-07,Argentina Open,34337,24084,Miomir Kecmanovic,Laslo Djere,64,56,971,1076,surname
2022-02-07,Argentina Open,52279,11881,Francisco Cerundolo,Facundo Bagnis,107,76,651,860,surname
2022-02-07,Argentina Open,672,18477,Fernando Verdasco,Hugo Dellien,201,103,325,684,surname
2022-02-08,Argentina Open,11940,6465,Federico Delbonis,Juan Martin Del Potro,42,753,1312,28,surname
2022-02-08,Argentina Open,14609,6691,Thiago Moura Monteiro,Albert Ramos-Vinolas,104,32,680,1499,surname
2022-02-08,Argentina Open,1841,20694,Pablo Andujar,Juan Ignacio Londero,73,130,870,557,surname
2022-02-08,Argentina Open,21506,27482,Roberto Carballes Baena,Nicolas Jarry,78,145,835,472,surname
2022-02-08,Argentina Open,52721,69471,Sebastian Baez,Holger Rune,74,88,866,742,surname
