status,segment,value,train_base_bets,train_base_roi_pct,train_overlay_bets,train_overlay_roi_pct,train_overlay_pnl,train_overlay_avg_value_pct,holdout_base_bets,holdout_base_roi_pct,holdout_overlay_bets,holdout_overlay_roi_pct,holdout_overlay_pnl,holdout_overlay_avg_value_pct,combined_overlay_bets,combined_overlay_pnl,combined_overlay_roi_pct
PASS_SHADOW,surface_cpi_bucket_confidence,Hard:neutral:medium,66,4.333,71,10.042,7.13,27.869,110,-3.064,108,12.028,12.99,26.061,179,20.12,11.24
PASS_SHADOW,surface_cpi_bucket_alignment,Hard:neutral:side_flip,35,-5.457,45,9.022,4.06,37.729,45,-6.378,66,11.742,7.75,35.622,111,11.81,10.64
PASS_SHADOW,model_surface_value_band,SpeedSlow:15-25,24,-5.125,43,3.535,1.52,18.924,22,4.909,35,18.829,6.59,19.397,78,8.11,10.397
PASS_SHADOW,surface_cpi_bucket,Hard:fast,52,14.019,61,4.557,2.78,32.086,31,-4.645,37,17.27,6.39,21.035,98,9.17,9.357
PASS_SHADOW,model_surface_value_band,SpeedNeutral:15-25,38,20.316,66,4.121,2.72,18.941,32,14.625,56,9.661,5.41,20.249,122,8.13,6.664
PASS_SHADOW,surface_cpi_bucket_confidence,Clay:slow:medium,29,31.793,40,18.575,7.43,24.12,46,-18.761,39,12.667,4.94,28.904,79,12.37,15.658
PASS_SHADOW,model_surface_alignment,SpeedSlow:same_fav,70,15.8,75,8.373,6.28,17.318,54,-31.926,51,9.353,4.77,16.399,126,11.05,8.77
PASS_SHADOW,model_surface_alignment,SpeedNeutral:same_fav,91,8.769,82,4.183,3.43,16.351,140,-7.143,108,3.704,4.0,17.714,190,7.43,3.911
PASS_SHADOW,model_surface_confidence,SpeedNeutral:medium,119,-5.664,129,5.217,6.73,25.769,157,-13.217,150,2.42,3.63,26.075,279,10.36,3.713
PASS_SHADOW,surface_cpi_bucket,Clay:slow,35,9.2,48,12.042,5.78,25.298,53,-21.717,47,7.277,3.42,27.481,95,9.2,9.684
PASS_SHADOW,model_surface_confidence,SpeedSlow:medium,86,9.953,109,3.862,4.21,26.137,72,-18.014,71,4.592,3.26,24.601,180,7.47,4.15
PASS_SHADOW,model_surface_alignment,SpeedFast:side_flip,54,15.796,82,7.5,6.15,38.953,39,9.769,52,5.077,2.64,32.634,134,8.79,6.56
PASS_SHADOW,model_surface_value_band,SpeedSlow:10-15,10,29.3,40,13.375,5.35,11.766,6,-71.833,25,9.52,2.38,11.999,65,7.73,11.892
PASS_SHADOW,model_surface_value_band,SpeedFast:15-25,25,34.0,45,21.378,9.62,19.655,23,1.739,37,6.27,2.32,19.283,82,11.94,14.561
PASS_SHADOW,surface_cpi_bucket_confidence,Clay:fast:medium,45,8.133,47,4.66,2.19,27.544,23,-12.391,23,5.609,1.29,24.259,70,3.48,4.971
WATCH,model_surface,SpeedSlow,99,1.909,130,2.415,3.14,26.646,84,-12.286,90,18.0,16.2,24.945,220,19.34,8.791
WATCH,surface_cpi_bucket,Hard:neutral,89,8.775,95,2.168,2.06,26.805,147,-1.469,142,10.303,14.63,25.945,237,16.69,7.042
WATCH,model_surface_value_band,SpeedNeutral:10-15,11,-8.727,46,2.761,1.27,12.175,26,23.5,62,23.339,14.47,12.498,108,15.74,14.574
WATCH,surface_cpi_bucket_value_band,Hard:neutral:10-15,8,-4.25,25,7.84,1.96,11.826,20,16.55,44,30.023,13.21,12.434,69,15.17,21.986
WATCH,surface_cpi_bucket_value_band,Hard:slow:15-25,13,-1.615,20,7.1,1.42,19.01,9,45.0,19,67.526,12.83,18.705,39,14.25,36.538
WATCH,model_surface_confidence,SpeedFast:medium,95,19.6,107,1.458,1.56,29.599,82,-8.476,75,9.507,7.13,26.198,182,8.69,4.775
WATCH,surface_cpi_bucket_value_band,Hard:neutral:15-25,22,4.818,36,2.694,0.97,19.054,26,25.538,44,15.773,6.94,20.289,80,7.91,9.887
WATCH,surface_cpi_bucket_alignment,Hard:fast:same_fav,27,4.704,21,0.571,0.12,19.251,18,-44.5,21,20.429,4.29,17.631,42,4.41,10.5
WATCH,surface_cpi_bucket_alignment,Hard:fast:side_flip,25,24.08,40,6.65,2.66,38.824,13,50.538,16,13.125,2.1,25.504,56,4.76,8.5
WATCH,surface_cpi_bucket_alignment,Clay:fast:side_flip,26,-2.385,34,6.765,2.3,40.508,10,19.4,18,11.5,2.07,28.166,52,4.37,8.404
BASELINE_CONTEXT,model_surface_series,Hard:Masters 1000,76,21.711,76,21.711,16.5,24.567,102,32.186,102,32.186,32.83,22.953,178,49.33,27.713
BASELINE_CONTEXT,model_surface,Hard,120,6.475,120,6.475,7.77,27.156,124,24.556,124,24.556,30.45,22.688,244,38.22,15.664
BASELINE_CONTEXT,surface_cpi_bucket,Hard:missing,120,6.475,120,6.475,7.77,27.156,124,24.556,124,24.556,30.45,22.688,244,38.22,15.664
BASELINE_CONTEXT,model_surface_confidence,Hard:high,96,6.198,96,6.198,5.95,24.499,110,25.964,110,25.964,28.56,21.963,206,34.51,16.752
BASELINE_CONTEXT,surface_cpi_bucket_confidence,Hard:missing:high,96,6.198,96,6.198,5.95,24.499,110,25.964,110,25.964,28.56,21.963,206,34.51,16.752
BASELINE_CONTEXT,model_surface_alignment,Hard:side_flip,52,3.558,52,3.558,1.85,38.212,51,37.98,51,37.98,19.37,30.809,103,21.22,20.602
BASELINE_CONTEXT,surface_cpi_bucket_alignment,Hard:missing:side_flip,52,3.558,52,3.558,1.85,38.212,51,37.98,51,37.98,19.37,30.809,103,21.22,20.602
BASELINE_CONTEXT,model_surface_value_band,Hard:25+,49,24.265,49,24.265,11.89,43.835,42,41.619,42,41.619,17.48,35.537,91,29.37,32.275
BASELINE_CONTEXT,surface_cpi_bucket_value_band,Hard:missing:25+,49,24.265,49,24.265,11.89,43.835,42,41.619,42,41.619,17.48,35.537,91,29.37,32.275
BASELINE_CONTEXT,model_surface_alignment,Hard:same_fav,68,8.706,68,8.706,5.92,18.702,73,15.178,73,15.178,11.08,17.015,141,17.0,12.057
BASELINE_CONTEXT,surface_cpi_bucket_alignment,Hard:missing:same_fav,68,8.706,68,8.706,5.92,18.702,73,15.178,73,15.178,11.08,17.015,141,17.0,12.057
FAIL,all,all,586,-0.367,651,-1.943,-12.65,27.567,609,-0.204,608,10.512,63.91,26.022,1259,51.26,4.071
FAIL,model_surface_value_band,Hard:15-25,36,-14.611,36,-14.611,-5.26,18.852,41,52.951,41,52.951,21.71,20.192,77,16.45,21.364
FAIL,surface_cpi_bucket_value_band,Hard:missing:15-25,36,-14.611,36,-14.611,-5.26,18.852,41,52.951,41,52.951,21.71,20.192,77,16.45,21.364
FAIL,model_surface_series,SpeedSlow:ATP250,41,-20.537,43,-10.907,-4.69,25.081,47,6.064,42,45.667,19.18,23.726,85,14.49,17.047
FAIL,model_surface_series,SpeedNeutral:ATP500,10,-33.4,8,31.875,2.55,19.788,27,45.222,30,62.133,18.64,26.639,38,21.19,55.763
FAIL,model_surface_series,SpeedFast:ATP500,24,14.917,26,-4.885,-1.27,20.09,34,13.176,35,43.743,15.31,25.169,61,14.04,23.016
FAIL,surface_cpi_bucket,Hard:slow,57,-1.175,72,-3.944,-2.84,28.435,31,3.839,43,29.721,12.78,22.173,115,9.94,8.643
