threshold,segment,value,pairs,cpi_rows,base_bets,base_wins,base_pnl,base_roi_pct,overlay_bets,overlay_wins,overlay_pnl,overlay_roi_pct,delta_bets,delta_pnl,delta_roi_pct,same_side,added,dropped,flipped,avg_abs_prob_move_pp,avg_abs_cpi_delta_pp
5.0,all,all,4857,3187,1779,771,-4.85,-0.273,1774,800,62.32,3.513,-5,67.17,3.786,1163,512,517,99,4.3689,0.0
5.0,cpi_bucket,fast,781,781,319,137,-9.76,-3.06,322,142,-3.34,-1.037,3,6.42,2.022,147,149,146,26,6.8038,0.0
5.0,cpi_bucket,missing,1670,0,627,275,27.16,4.332,627,275,27.16,4.332,0,0.0,0.0,627,0,0,0,0.0,0.0
5.0,cpi_bucket,neutral,1548,1548,539,237,-3.36,-0.623,517,239,19.16,3.706,-22,22.52,4.329,255,215,237,47,6.6508,0.0
5.0,cpi_bucket,slow,858,858,294,122,-18.89,-6.425,308,144,19.34,6.279,14,38.23,12.704,134,148,134,26,6.5389,0.0
5.0,model_surface,Clay,612,0,218,81,-30.88,-14.165,218,81,-30.88,-14.165,0,0.0,0.0,218,0,0,0,0.0,0.0
5.0,model_surface,Grass,109,0,46,15,-8.41,-18.283,46,15,-8.41,-18.283,0,0.0,0.0,46,0,0,0,0.0,0.0
5.0,model_surface,Hard,949,0,363,179,66.45,18.306,363,179,66.45,18.306,0,0.0,0.0,363,0,0,0,0.0,0.0
5.0,model_surface,SpeedFast,781,781,319,137,-9.76,-3.06,322,142,-3.34,-1.037,3,6.42,2.022,147,149,146,26,6.8038,0.0
5.0,model_surface,SpeedNeutral,1548,1548,539,237,-3.36,-0.623,517,239,19.16,3.706,-22,22.52,4.329,255,215,237,47,6.6508,0.0
5.0,model_surface,SpeedSlow,858,858,294,122,-18.89,-6.425,308,144,19.34,6.279,14,38.23,12.704,134,148,134,26,6.5389,0.0
5.0,surface,Clay,1511,899,570,214,-82.42,-14.46,575,238,-30.38,-5.283,5,52.04,9.176,398,158,153,19,3.6783,0.0
5.0,surface,Grass,583,474,222,92,-17.79,-8.014,209,83,-20.12,-9.627,-13,-2.33,-1.613,137,54,67,18,5.0689,0.0
