threshold,segment,value,pairs,cpi_rows,base_bets,base_wins,base_pnl,base_roi_pct,overlay_bets,overlay_wins,overlay_pnl,overlay_roi_pct,delta_bets,delta_pnl,delta_roi_pct,same_side,added,dropped,flipped,avg_abs_prob_move_pp,avg_abs_cpi_delta_pp
5.0,all,all,4857,3187,1779,771,-4.85,-0.273,1778,770,-5.74,-0.323,-1,-0.89,-0.05,1775,3,4,0,0.0086,0.0217
5.0,cpi_bucket,fast,781,781,319,137,-9.76,-3.06,320,138,-9.35,-2.922,1,0.41,0.138,317,3,2,0,0.0227,0.0343
5.0,cpi_bucket,missing,1670,0,627,275,27.16,4.332,627,275,27.16,4.332,0,0.0,0.0,627,0,0,0,0.0,0.0
5.0,cpi_bucket,neutral,1548,1548,539,237,-3.36,-0.623,538,236,-3.73,-0.693,-1,-0.37,-0.07,538,0,1,0,0.0054,0.0084
5.0,cpi_bucket,slow,858,858,294,122,-18.89,-6.425,293,121,-19.82,-6.765,-1,-0.93,-0.339,293,0,1,0,0.0184,0.0343
5.0,surface,Clay,1511,899,570,214,-82.42,-14.46,569,214,-81.42,-14.309,-1,1.0,0.15,568,1,2,0,0.0124,0.0313
5.0,surface,Grass,583,474,222,92,-17.79,-8.014,223,92,-18.79,-8.426,1,-1.0,-0.412,222,1,0,0,0.0048,0.0108
5.0,surface,Hard,2763,1814,987,465,95.36,9.662,986,464,94.47,9.581,-1,-0.89,-0.08,985,1,2,0,0.0073,0.0198
5.0,surface_cpi_bucket,Clay:fast,286,286,123,53,-3.21,-2.61,122,53,-2.21,-1.811,-1,1.0,0.798,121,1,2,0,0.035,0.0465
5.0,surface_cpi_bucket,Clay:missing,612,0,218,81,-30.88,-14.165,218,81,-30.88,-14.165,0,0.0,0.0,218,0,0,0,0.0,0.0
5.0,surface_cpi_bucket,Clay:neutral,256,256,91,28,-31.88,-35.033,91,28,-31.88,-35.033,0,0.0,0.0,91,0,0,0,0.007,0.0128
5.0,surface_cpi_bucket,Clay:slow,357,357,138,52,-16.45,-11.92,138,52,-16.45,-11.92,0,0.0,0.0,138,0,0,0,0.0197,0.0325
5.0,surface_cpi_bucket,Grass:fast,163,163,73,32,-1.42,-1.945,74,32,-2.42,-3.27,1,-1.0,-1.325,73,1,0,0,0.0111,0.0203
5.0,surface_cpi_bucket,Grass:missing,109,0,46,15,-8.41,-18.283,46,15,-8.41,-18.283,0,0.0,0.0,46,0,0,0,0.0,0.0
5.0,surface_cpi_bucket,Grass:neutral,284,284,93,41,-6.81,-7.323,93,41,-6.81,-7.323,0,0.0,0.0,93,0,0,0,0.0015,0.0025
5.0,surface_cpi_bucket,Grass:slow,27,27,10,4,-1.15,-11.5,10,4,-1.15,-11.5,0,0.0,0.0,10,0,0,0,0.0201,0.041
5.0,surface_cpi_bucket,Hard:fast,332,332,123,52,-5.13,-4.171,124,53,-4.72,-3.806,1,0.41,0.364,123,1,0,0,0.0177,0.0306
5.0,surface_cpi_bucket,Hard:missing,949,0,363,179,66.45,18.306,363,179,66.45,18.306,0,0.0,0.0,363,0,0,0,0.0,0.0
5.0,surface_cpi_bucket,Hard:neutral,1008,1008,355,168,35.33,9.952,354,167,34.96,9.876,-1,-0.37,-0.076,354,0,1,0,0.0061,0.009
5.0,surface_cpi_bucket,Hard:slow,474,474,146,66,-1.29,-0.884,145,65,-2.22,-1.531,-1,-0.93,-0.647,145,0,1,0,0.0173,0.0353
10.0,all,all,4857,3187,1195,475,-3.39,-0.284,1193,474,-3.32,-0.278,-2,0.07,0.005,1193,0,2,0,0.0086,0.0217
10.0,cpi_bucket,fast,781,781,224,97,8.85,3.951,223,97,9.85,4.417,-1,1.0,0.466,223,0,1,0,0.0227,0.0343
10.0,cpi_bucket,missing,1670,0,428,172,16.43,3.839,428,172,16.43,3.839,0,0.0,0.0,428,0,0,0,0.0,0.0
10.0,cpi_bucket,neutral,1548,1548,360,137,-20.24,-5.622,360,137,-20.24,-5.622,0,0.0,0.0,360,0,0,0,0.0054,0.0084
10.0,cpi_bucket,slow,858,858,183,69,-8.43,-4.607,182,68,-9.36,-5.143,-1,-0.93,-0.536,182,0,1,0,0.0184,0.0343
10.0,surface,Clay,1511,899,384,138,-39.18,-10.203,384,138,-39.18,-10.203,0,0.0,0.0,384,0,0,0,0.0124,0.0313
10.0,surface,Grass,583,474,160,61,-14.45,-9.031,160,61,-14.45,-9.031,0,0.0,0.0,160,0,0,0,0.0048,0.0108
10.0,surface,Hard,2763,1814,651,276,50.24,7.717,649,275,50.31,7.752,-2,0.07,0.035,649,0,2,0,0.0073,0.0198
10.0,surface_cpi_bucket,Clay:fast,286,286,87,37,1.2,1.379,87,37,1.2,1.379,0,0.0,0.0,87,0,0,0,0.035,0.0465
10.0,surface_cpi_bucket,Clay:missing,612,0,150,54,-11.91,-7.94,150,54,-11.91,-7.94,0,0.0,0.0,150,0,0,0,0.0,0.0
10.0,surface_cpi_bucket,Clay:neutral,256,256,59,17,-20.18,-34.203,59,17,-20.18,-34.203,0,0.0,0.0,59,0,0,0,0.007,0.0128
10.0,surface_cpi_bucket,Clay:slow,357,357,88,30,-8.29,-9.42,88,30,-8.29,-9.42,0,0.0,0.0,88,0,0,0,0.0197,0.0325
10.0,surface_cpi_bucket,Grass:fast,163,163,54,23,1.8,3.333,54,23,1.8,3.333,0,0.0,0.0,54,0,0,0,0.0111,0.0203
