date,time_utc,player1,player2,surface,league,series,confidence,side,value_pct,model_favorite_side,pin_favorite_side,cpi_speed_cpi,cpi_speed_z,cpi_speed_bucket,cpi_speed_key,cpi_speed_mode,cpi_speed_gate_labels,skip_reason,settlement_status,stake_units,stake_gbp,stake_model,signal_profile
2026-06-24,17:45:05,Paul Jubb,Tomas Barrios Vera,Grass,ATP,Grand Slam,medium,P2,32.87,P2,P2,1.09,-0.155,neutral,wimbledon,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:same_fav;surface_cpi_bucket_alignment=Grass:neutral:same_fav;model_surface_value_band=SpeedNeutral:25+;surface_cpi_bucket_value_band=Grass:neutral:25+,edge_above_cap,pending,,,,
2026-06-24,17:45:05,Gauthier Onclin,Shintaro Mochizuki,Grass,ATP,Grand Slam,medium,P2,39.63,P2,P2,1.09,-0.155,neutral,wimbledon,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:same_fav;surface_cpi_bucket_alignment=Grass:neutral:same_fav;model_surface_value_band=SpeedNeutral:25+;surface_cpi_bucket_value_band=Grass:neutral:25+,edge_above_cap,pending,,,,
2026-06-24,17:45:05,Soon-Woo Kwon,Arthur Gea,Grass,ATP,Grand Slam,medium,P2,4.33,P2,P1,1.09,-0.155,neutral,wimbledon,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:side_flip;surface_cpi_bucket_alignment=Grass:neutral:side_flip;model_surface_value_band=SpeedNeutral:<5;surface_cpi_bucket_value_band=Grass:neutral:<5,edge_below_floor,pending,,,,
2026-06-24,17:45:05,Vit Kopriva,Ignacio Buse,Grass,ATP,ATP500,medium,P1,8.51,P2,P2,1.07,-0.246,neutral,mallorca,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:same_fav;surface_cpi_bucket_alignment=Grass:neutral:same_fav;model_surface_value_band=SpeedNeutral:5-10;surface_cpi_bucket_value_band=Grass:neutral:5-10,edge_below_floor,pending,,,,
2026-06-24,17:45:05,Taylor Harry Fritz,Jan Choinski,Grass,ATP,ATP500,medium,P2,-0.55,P1,P1,0.75,-1.697,slow,eastbourne,prior_lag_1y,model_surface=SpeedSlow;surface_cpi_bucket=Grass:slow;model_surface_confidence=SpeedSlow:medium;surface_cpi_bucket_confidence=Grass:slow:medium;model_surface_alignment=SpeedSlow:same_fav;surface_cpi_bucket_alignment=Grass:slow:same_fav;model_surface_value_band=SpeedSlow:<5;surface_cpi_bucket_value_band=Grass:slow:<5,edge_below_floor,pending,,,,
2026-06-24,17:45:05,Daniel Evans,Tristan Schoolkate,Grass,ATP,Grand Slam,low,P2,0.01,P2,P2,1.09,-0.155,neutral,wimbledon,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:low;surface_cpi_bucket_confidence=Grass:neutral:low;model_surface_alignment=SpeedNeutral:same_fav;surface_cpi_bucket_alignment=Grass:neutral:same_fav;model_surface_value_band=SpeedNeutral:<5;surface_cpi_bucket_value_band=Grass:neutral:<5,edge_below_floor,pending,,,,
2026-06-24,17:45:05,Keegan Smith,Moez Echargui,Grass,ATP,Grand Slam,medium,P2,94.02,P2,P1,1.09,-0.155,neutral,wimbledon,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:side_flip;surface_cpi_bucket_alignment=Grass:neutral:side_flip;model_surface_value_band=SpeedNeutral:25+;surface_cpi_bucket_value_band=Grass:neutral:25+,edge_above_cap,pending,,,,
2026-06-24,17:45:05,Arthur Fery,Juan Manuel Cerundolo,Grass,ATP,ATP500,medium,P2,75.26,P2,P1,0.75,-1.697,slow,eastbourne,prior_lag_1y,model_surface=SpeedSlow;surface_cpi_bucket=Grass:slow;model_surface_confidence=SpeedSlow:medium;surface_cpi_bucket_confidence=Grass:slow:medium;model_surface_alignment=SpeedSlow:side_flip;surface_cpi_bucket_alignment=Grass:slow:side_flip;model_surface_value_band=SpeedSlow:25+;surface_cpi_bucket_value_band=Grass:slow:25+,edge_above_cap,pending,,,,
2026-06-24,17:45:05,Tristan Boyer,Andrea Pellegrino,Grass,ATP,Grand Slam,medium,P2,45.03,P2,P1,1.09,-0.155,neutral,wimbledon,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:side_flip;surface_cpi_bucket_alignment=Grass:neutral:side_flip;model_surface_value_band=SpeedNeutral:25+;surface_cpi_bucket_value_band=Grass:neutral:25+,edge_above_cap,pending,,,,
2026-06-24,17:45:05,Giles Hussey,Quentin Halys,Grass,ATP,ATP500,medium,P2,26.41,P2,P2,0.75,-1.697,slow,eastbourne,prior_lag_1y,model_surface=SpeedSlow;surface_cpi_bucket=Grass:slow;model_surface_confidence=SpeedSlow:medium;surface_cpi_bucket_confidence=Grass:slow:medium;model_surface_alignment=SpeedSlow:same_fav;surface_cpi_bucket_alignment=Grass:slow:same_fav;model_surface_value_band=SpeedSlow:25+;surface_cpi_bucket_value_band=Grass:slow:25+,model_market_gap,pending,,,,
2026-06-24,17:45:05,Borna Gojo,Colton Smith,Grass,ATP,Grand Slam,medium,P2,6.35,P2,P1,1.09,-0.155,neutral,wimbledon,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:side_flip;surface_cpi_bucket_alignment=Grass:neutral:side_flip;model_surface_value_band=SpeedNeutral:5-10;surface_cpi_bucket_value_band=Grass:neutral:5-10,edge_below_floor,pending,,,,
2026-06-24,17:45:05,Murphy Cassone,Ethan Quinn,Grass,ATP,ATP500,medium,P2,-1.43,P2,P2,1.07,-0.246,neutral,mallorca,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:same_fav;surface_cpi_bucket_alignment=Grass:neutral:same_fav;model_surface_value_band=SpeedNeutral:<5;surface_cpi_bucket_value_band=Grass:neutral:<5,edge_below_floor,pending,,,,
2026-06-24,17:45:05,Abedallah Shelbayh,Grigor Dimitrov,Grass,ATP,ATP500,medium,P2,-0.57,P2,P2,1.07,-0.246,neutral,mallorca,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:same_fav;surface_cpi_bucket_alignment=Grass:neutral:same_fav;model_surface_value_band=SpeedNeutral:<5;surface_cpi_bucket_value_band=Grass:neutral:<5,edge_below_floor,pending,,,,
2026-06-24,17:45:05,Elias Ymer,Timofey Skatov,Grass,ATP,Grand Slam,medium,P2,9.65,P1,P1,1.09,-0.155,neutral,wimbledon,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:same_fav;surface_cpi_bucket_alignment=Grass:neutral:same_fav;model_surface_value_band=SpeedNeutral:5-10;surface_cpi_bucket_value_band=Grass:neutral:5-10,edge_below_floor,pending,,,,
2026-06-24,17:45:05,Stefano Travaglia,Yi Zhou,Grass,ATP,Grand Slam,medium,P1,1.57,P1,P1,1.09,-0.155,neutral,wimbledon,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:same_fav;surface_cpi_bucket_alignment=Grass:neutral:same_fav;model_surface_value_band=SpeedNeutral:<5;surface_cpi_bucket_value_band=Grass:neutral:<5,edge_below_floor,pending,,,,
2026-06-24,17:45:05,Jaime Faria,Luka Pavlovic,Grass,ATP,Grand Slam,medium,P1,-2.52,P1,P1,1.09,-0.155,neutral,wimbledon,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:same_fav;surface_cpi_bucket_alignment=Grass:neutral:same_fav;model_surface_value_band=SpeedNeutral:<5;surface_cpi_bucket_value_band=Grass:neutral:<5,edge_below_floor,pending,,,,
2026-06-24,17:45:05,Nicolai Budkov Kjaer,Matej Dodig,Grass,ATP,Grand Slam,medium,P1,0.23,P1,P1,1.09,-0.155,neutral,wimbledon,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:same_fav;surface_cpi_bucket_alignment=Grass:neutral:same_fav;model_surface_value_band=SpeedNeutral:<5;surface_cpi_bucket_value_band=Grass:neutral:<5,edge_below_floor,pending,,,,
2026-06-24,17:45:05,Alexis Galarneau,Oliver Tarvet,Grass,ATP,Grand Slam,low,P1,29.42,P1,P2,1.09,-0.155,neutral,wimbledon,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:low;surface_cpi_bucket_confidence=Grass:neutral:low;model_surface_alignment=SpeedNeutral:side_flip;surface_cpi_bucket_alignment=Grass:neutral:side_flip;model_surface_value_band=SpeedNeutral:25+;surface_cpi_bucket_value_band=Grass:neutral:25+,model_market_gap,pending,,,,
2026-06-24,17:45:05,Vilius Gaubas,Henry Searle,Grass,ATP,Grand Slam,medium,P1,185.24,P1,P2,1.09,-0.155,neutral,wimbledon,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:side_flip;surface_cpi_bucket_alignment=Grass:neutral:side_flip;model_surface_value_band=SpeedNeutral:25+;surface_cpi_bucket_value_band=Grass:neutral:25+,edge_above_cap,pending,,,,
2026-06-24,17:45:05,Jack Draper,Jack Pinnington Jones,Grass,ATP,ATP500,medium,P2,81.73,P1,P1,0.75,-1.697,slow,eastbourne,prior_lag_1y,model_surface=SpeedSlow;surface_cpi_bucket=Grass:slow;model_surface_confidence=SpeedSlow:medium;surface_cpi_bucket_confidence=Grass:slow:medium;model_surface_alignment=SpeedSlow:same_fav;surface_cpi_bucket_alignment=Grass:slow:same_fav;model_surface_value_band=SpeedSlow:25+;surface_cpi_bucket_value_band=Grass:slow:25+,edge_above_cap,pending,,,,
2026-06-24,17:45:05,Max Basing,Tom Gentzsch,Grass,ATP,Grand Slam,medium,P1,69.76,P1,P2,1.09,-0.155,neutral,wimbledon,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:side_flip;surface_cpi_bucket_alignment=Grass:neutral:side_flip;model_surface_value_band=SpeedNeutral:25+;surface_cpi_bucket_value_band=Grass:neutral:25+,edge_above_cap,pending,,,,
2026-06-24,17:45:05,Laslo Djere,Michael Zheng,Grass,ATP,Grand Slam,medium,P1,-3.18,P2,P2,1.09,-0.155,neutral,wimbledon,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:same_fav;surface_cpi_bucket_alignment=Grass:neutral:same_fav;model_surface_value_band=SpeedNeutral:<5;surface_cpi_bucket_value_band=Grass:neutral:<5,edge_below_floor,pending,,,,
2026-06-24,17:45:05,Luca Nardi,Otto Virtanen,Grass,ATP,Grand Slam,medium,P2,3.48,P2,P2,1.09,-0.155,neutral,wimbledon,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:same_fav;surface_cpi_bucket_alignment=Grass:neutral:same_fav;model_surface_value_band=SpeedNeutral:<5;surface_cpi_bucket_value_band=Grass:neutral:<5,edge_below_floor,pending,,,,
2026-06-24,17:45:05,Federico Coria,Stefanos Sakellaridis,Grass,ATP,Grand Slam,medium,P1,1.83,P2,P2,1.09,-0.155,neutral,wimbledon,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:same_fav;surface_cpi_bucket_alignment=Grass:neutral:same_fav;model_surface_value_band=SpeedNeutral:<5;surface_cpi_bucket_value_band=Grass:neutral:<5,edge_below_floor,pending,,,,
2026-06-24,17:45:05,Gabriel Diallo,Tomas Martin Etcheverry,Grass,ATP,ATP500,medium,P2,49.48,P2,P1,0.75,-1.697,slow,eastbourne,prior_lag_1y,model_surface=SpeedSlow;surface_cpi_bucket=Grass:slow;model_surface_confidence=SpeedSlow:medium;surface_cpi_bucket_confidence=Grass:slow:medium;model_surface_alignment=SpeedSlow:side_flip;surface_cpi_bucket_alignment=Grass:slow:side_flip;model_surface_value_band=SpeedSlow:25+;surface_cpi_bucket_value_band=Grass:slow:25+,edge_above_cap,pending,,,,
2026-06-24,17:45:05,Remy Bertola,Jurij Rodionov,Grass,ATP,Grand Slam,medium,P1,4.31,P2,P2,1.09,-0.155,neutral,wimbledon,prior_lag_1y,model_surface=SpeedNeutral;surface_cpi_bucket=Grass:neutral;model_surface_confidence=SpeedNeutral:medium;surface_cpi_bucket_confidence=Grass:neutral:medium;model_surface_alignment=SpeedNeutral:same_fav;surface_cpi_bucket_alignment=Grass:neutral:same_fav;model_surface_value_band=SpeedNeutral:<5;surface_cpi_bucket_value_band=Grass:neutral:<5,edge_below_floor,pending,,,,
2026-06-24,17:45:05,Ugo Humbert,Jenson Brooksby,Grass,ATP,ATP500,high,P2,1.55,P1,P1,0.75,-1.697,slow,eastbourne,prior_lag_1y,model_surface=SpeedSlow;surface_cpi_bucket=Grass:slow;model_surface_confidence=SpeedSlow:high;surface_cpi_bucket_confidence=Grass:slow:high;model_surface_alignment=SpeedSlow:same_fav;surface_cpi_bucket_alignment=Grass:slow:same_fav;model_surface_value_band=SpeedSlow:<5;surface_cpi_bucket_value_band=Grass:slow:<5,edge_below_floor,pending,,,,
