generated_utc,as_of_date,scope,eval_period,league_scope,window_days,source_file,policy_mode,bet_type,signals,settled,unsettled,wins,losses,invalid_odds,staked_units,pnl_units,roi_pct,win_rate_pct,avg_value_pct,avg_pin_odds
2026-03-13T14:50:42+00:00,2026-03-13,window,,,7,strict-signals-volume200.csv,base,,4,0,4,0,0,0,0.0000,0.0000,,,27.3300,
2026-03-13T14:50:42+00:00,2026-03-13,all_time,,,7,strict-signals-volume200.csv,base,,4,0,4,0,0,0,0.0000,0.0000,,,27.3300,
2026-03-13T14:50:42+00:00,2026-03-13,window,,,7,strict-signals-volume200.csv,base,ml,2,0,2,0,0,0,0.0000,0.0000,,,27.3300,
2026-03-13T14:50:42+00:00,2026-03-13,all_time,,,7,strict-signals-volume200.csv,base,ml,2,0,2,0,0,0,0.0000,0.0000,,,27.3300,
2026-03-13T14:50:42+00:00,2026-03-13,window,,,7,strict-signals-volume200.csv,base,handicap,2,0,2,0,0,0,0.0000,0.0000,,,22.1500,
2026-03-13T14:50:42+00:00,2026-03-13,all_time,,,7,strict-signals-volume200.csv,base,handicap,2,0,2,0,0,0,0.0000,0.0000,,,22.1500,
2026-04-12T23:12:14+00:00,2026-04-12,window,overall,combined,7,strict-signals-volume200-archive.csv,base,,68,38,30,8,29,0,61.0000,-30.5340,-50.0557,21.6216,47.7400,3.0124
2026-04-12T23:12:14+00:00,2026-04-12,all_time,overall,combined,7,strict-signals-volume200-archive.csv,base,,153,123,30,57,63,0,190.0000,-0.0780,-0.0411,47.5000,42.2775,2.7199
2026-04-12T23:12:14+00:00,2026-04-12,window,overall,combined,7,strict-signals-volume200-archive.csv,base,ml,25,13,12,0,13,0,13.0000,-13.0000,-100.0000,0.0000,47.7400,3.0124
2026-04-12T23:12:14+00:00,2026-04-12,all_time,overall,combined,7,strict-signals-volume200-archive.csv,base,ml,61,49,12,20,29,0,52.0000,0.2450,0.4712,40.8163,42.2775,2.7199
