date,time_utc,player1,player2,surface,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,stake_units,stake_gbp,stake_model,bet_type,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,threshold_tier,signal_profile,spread_line,spread_odds,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,game_margin,shadow_reason,league,clay_tournament_tier,clay_shadow_policy
2026-03-13,14:49:23,Mattia Bellucci,Raphael Collignon,Hard,ATP250,high,3.75,1.36,2.08,1.813,-44.53,33.31,P2,33.31,2.0,200.0,value_tiered,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P1,LOSS,0,2026-03-13,72578,84235,72578,84235,2026-03-16T01:13:09+00:00,,,,,,,,,
2026-03-13,14:49:23,Mattia Bellucci,Raphael Collignon,Hard,ATP250,high,,,1.935,1.917,-30.68,23.02,P2-,23.02,1.0,100.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,1.0,1.917,settled,P1+,LOSS,0,2026-03-13,72578,84235,72578,84235,2026-03-16T01:13:09+00:00,,,,,6,,,,
2026-03-13,14:49:23,Murphy Cassone,Pavel Kotov,Hard,ATP250,high,2.78,1.56,2.0,1.893,-28.06,21.35,P2,21.35,2.0,200.0,value_tiered,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P2,WIN,1,2026-03-13,81980,45553,45553,81980,2026-03-16T01:13:09+00:00,,,,,,,,,
2026-03-13,14:49:23,Miomir Kecmanovic,Adam Walton,Hard,ATP250,high,,,2.01,1.847,-30.99,21.28,P2-,21.28,1.0,100.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-3.5,1.847,settled,P2-,WIN,1,2026-03-13,34337,47752,47752,34337,2026-03-16T01:13:09+00:00,,,,,-2,,,,
2026-03-14,11:04:08,Alexander Blockx,Mariano Navone,Hard,ATP250,high,,,1.862,2.0,28.31,-37.82,P1+,28.31,1.0,100.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-2.5,1.862,settled,P2-,LOSS,0,2026-03-14,88766,66828,66828,88766,2026-03-16T01:13:09+00:00,,,,,-1,,,,
2026-03-14,11:04:08,Borna Gojo,Pavel Kotov,Hard,ATP250,high,1.44,3.25,1.752,2.19,21.67,-32.62,P1,21.67,2.0,200.0,value_tiered,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P2,LOSS,0,2026-03-14,30550,45553,45553,30550,2026-03-16T01:13:09+00:00,,,,,,,,,
2026-03-14,11:04:08,Jurij Rodionov,Filippo Romano,Hard,ATP250,high,,,1.787,2.09,-39.45,38.18,P2-,38.18,1.0,100.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-4.0,2.09,settled,P2-,WIN,1,2026-03-14,44555,90774,90774,44555,2026-03-16T01:13:09+00:00,,,,,1,,,,
2026-03-16,14:45:43,Thiago Agustin Tirante,Diego Dedura,Hard,Masters 1000,medium,,,1.962,1.855,-40.08,28.85,P2-,28.85,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-4.0,1.855,settled,P1+,LOSS,0,2026-03-16,52394,104494,52394,104494,2026-03-17T11:07:50+00:00,,,,,7,non_policy,,,
2026-03-16,14:45:43,Cristian Garin,Liam Draxl,Hard,Masters 1000,medium,,,1.901,1.917,-34.82,25.97,P2-,25.97,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-1.5,1.917,settled,P2-,WIN,1,2026-03-16,24840,53532,53532,24840,2026-03-17T11:07:50+00:00,,,,,-4,non_policy,,,
2026-03-16,14:45:43,Tibo Colson,Jesse Flores,Hard,ATP250,high,,,1.758,2.07,-56.22,55.45,P2-,55.45,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-4.0,2.07,settled,PUSH,VOID,,2026-03-16,61856,31320,61856,31320,2026-03-17T11:07:50+00:00,,,,,4,non_policy,,,
2026-03-16,14:45:43,Benjamin Willwerth,Luca Van Assche,Hard,Masters 1000,medium,,,1.943,1.877,23.81,-31.9,P1+,23.81,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,6.5,1.943,settled,P2-,LOSS,0,2026-03-16,114184,82371,82371,114184,2026-03-17T11:07:50+00:00,,,,,-8,non_policy,,,
2026-03-16,14:45:43,Quinn Vandecasteele,Miguel Tobon,Hard,ATP250,medium,,,1.943,1.862,-32.32,21.34,P2-,21.34,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-3.0,1.862,settled,P2-,WIN,1,2026-03-16,71628,98292,98292,71628,2026-03-17T11:07:50+00:00,,,,,-3,non_policy,,,
2026-03-16,14:45:43,Robin Catry,Juan Sebastian Osorio,Hard,ATP250,medium,,,2.0,1.813,-61.96,46.82,P2-,46.82,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-5.5,1.813,settled,P2-,WIN,1,2026-03-16,84849,29810,84849,29810,2026-03-17T11:07:50+00:00,,,,,5,non_policy,,,
2026-03-18,11:07:45,Stefanos Tsitsipas,Arthur Fery,Hard,Masters 1000,high,1.56,2.79,1.37,3.29,-12.18,17.92,P2,17.92,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P1,LOSS,0,2026-03-19,30470,79065,30470,79065,2026-03-20T00:02:54+00:00,,,,,,,,,
2026-03-18,11:07:45,Ethan Quinn,Hubert Hurkacz,Hard,Masters 1000,high,1.67,2.48,2.16,1.752,29.34,-29.35,P1,29.34,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P1,WIN,1,2026-03-19,82269,26473,82269,26473,2026-03-20T00:02:54+00:00,,,,,,,,,
2026-03-18,11:07:45,Zhizhen Zhang,Adrian Mannarino,Hard,Masters 1000,high,2.94,1.52,1.893,1.98,-35.61,30.26,P2,30.26,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P2,WIN,1,2026-03-19,26140,7806,7806,26140,2026-03-20T00:02:54+00:00,,,,,,,,,
2026-03-18,11:07:45,Raphael Collignon,Grigor Dimitrov,Hard,Masters 1000,high,1.67,2.48,2.24,1.704,34.13,-31.29,P1,34.13,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P1,WIN,1,2026-03-19,84235,11953,84235,11953,2026-03-20T00:02:54+00:00,,,,,,,,,
2026-03-18,11:07:45,Martin Damm,Jacob Fearnley,Hard,Masters 1000,high,1.75,2.34,2.06,1.84,17.71,-21.37,P1,17.71,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P1,WIN,1,2026-03-19,72574,68090,72574,68090,2026-03-20T00:02:54+00:00,,,,,,,,,
2026-03-18,11:07:45,Fabian Marozsan,Joao Fonseca,Hard,Masters 1000,high,2.25,1.8,3.06,1.415,36.0,-21.39,P1,36.0,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P2,LOSS,0,2026-03-19,52140,91521,91521,52140,2026-03-20T00:02:54+00:00,,,,,,,,,
2026-03-18,11:07:45,Alexandre Muller,Matteo Berrettini,Hard,Masters 1000,high,2.78,1.56,4.3,1.255,54.68,-19.55,P1,54.68,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P2,LOSS,0,2026-03-19,28108,29812,29812,28108,2026-03-20T00:02:54+00:00,,,,,,,,,
2026-03-18,11:07:45,Aleksandar Kovacevic,Rei Sakamoto,Hard,Masters 1000,high,2.26,1.79,1.645,2.37,-27.21,32.4,P2,32.4,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P2,WIN,1,2026-03-20,39152,93550,93550,39152,2026-03-21T11:04:37+00:00,,,,,,,,,
2026-03-18,11:07:45,James Duckworth,Roberto Bautista Agut,Hard,Masters 1000,high,1.78,2.28,2.3,1.667,29.21,-26.89,P1,29.21,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P2,LOSS,0,2026-03-19,11517,1837,1837,11517,2026-03-20T00:02:54+00:00,,,,,,,,,
2026-03-18,11:07:45,Kamil Majchrzak,Miomir Kecmanovic,Hard,Masters 1000,high,1.77,2.3,2.6,1.541,46.89,-33.0,P1,46.89,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P1,WIN,1,2026-03-19,28898,34337,28898,34337,2026-03-20T11:07:52+00:00,,,,,,,,,
2026-03-20,11:07:23,Jack Draper,Reilly Opelka,Hard,Masters 1000,medium,1.52,2.93,1.27,4.06,-16.45,38.57,P2,38.57,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P2,WIN,1,2026-03-20,63017,28087,28087,63017,2026-03-21T11:04:37+00:00,,,,,,,,,
2026-03-25,11:05:41,Fajing Sun,Masamichi Imamura,Hard,ATP250,high,,,1.962,1.885,-33.5,24.61,P2-,24.61,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-3.0,1.885,settled,P2-,WIN,1,2026-03-26,34537,42990,34537,42990,2026-03-26T11:11:20+00:00,,,,,2,non_policy,,,
2026-03-25,11:05:41,James McCabe,Hayato Matsuoka,Hard,ATP250,high,2.39,1.72,1.524,2.65,-36.23,54.07,P2,54.07,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P2,WIN,1,2026-03-26,83315,95461,95461,83315,2026-03-26T11:11:20+00:00,,,,,,,,,
2026-03-25,11:05:41,James McCabe,Hayato Matsuoka,Hard,ATP250,high,,,1.926,1.935,-57.85,51.16,P2-,51.16,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-3.0,1.935,settled,P2-,WIN,1,2026-03-26,83315,95461,95461,83315,2026-03-26T11:11:20+00:00,,,,,-4,non_policy,,,
2026-03-26,00:09:21,Fajing Sun,Masamichi Imamura,Hard,ATP250,high,,,1.971,1.877,-56.04,45.83,P2-,45.83,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-3.0,1.877,settled,P2-,WIN,1,2026-03-26,34537,42990,34537,42990,2026-03-26T11:11:20+00:00,,,,,2,non_policy,,,
2026-03-26,00:09:21,James McCabe,Hayato Matsuoka,Hard,ATP250,high,2.37,1.73,1.529,2.63,-35.49,52.02,P2,52.02,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P2,WIN,1,2026-03-26,83315,95461,95461,83315,2026-03-26T11:11:20+00:00,,,,,,,,,
2026-03-26,00:09:21,James McCabe,Hayato Matsuoka,Hard,ATP250,high,,,1.926,1.926,-83.47,76.07,P2-,76.07,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-3.0,1.926,settled,P2-,WIN,1,2026-03-26,83315,95461,95461,83315,2026-03-26T11:11:20+00:00,,,,,-4,non_policy,,,
2026-03-26,00:09:21,Andres Andrade,Tristan Schoolkate,Hard,ATP250,high,,,1.99,1.87,77.34,-79.65,P1+,77.34,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,2.5,1.99,settled,P2-,LOSS,0,2026-03-25,37492,67986,67986,37492,2026-03-26T11:11:20+00:00,,,,,-8,non_policy,,,
2026-03-26,00:09:21,Yu Hsiou Hsu,Yuta Shimizu,Hard,ATP250,high,1.34,3.95,1.637,2.34,22.16,-40.76,P1,22.16,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P2,LOSS,0,2026-03-26,45979,48871,48871,45979,2026-03-26T11:11:20+00:00,,,,,,,,,
2026-03-26,00:09:21,Li Tu,Rio Noguchi,Hard,ATP250,high,2.39,1.72,1.645,2.32,-31.17,34.88,P2,34.88,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P2,WIN,1,2026-03-26,22710,50143,50143,22710,2026-03-26T11:11:20+00:00,,,,,,,,,
2026-03-26,00:09:21,Li Tu,Rio Noguchi,Hard,ATP250,high,,,1.885,1.943,-64.49,57.7,P2-,57.7,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-2.5,1.943,settled,P2-,WIN,1,2026-03-26,22710,50143,50143,22710,2026-03-26T11:11:20+00:00,,,,,-6,non_policy,,,
2026-03-26,00:09:21,Paul Jubb,Harry Wendelken,Hard,ATP250,high,,,1.926,1.926,-29.78,22.38,P2-,22.38,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-1.5,1.926,settled,P2-,WIN,1,2026-03-26,50382,65558,65558,50382,2026-03-26T11:11:20+00:00,,,,,-3,non_policy,,,
2026-03-26,11:10:41,Juan Pablo Ficovich,Tristan Schoolkate,Hard,ATP250,high,,,1.893,1.962,49.81,-59.07,P1+,49.81,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,3.5,1.893,settled,P1+,WIN,1,2026-03-26,29906,67986,29906,67986,2026-03-27T11:05:23+00:00,,,,,5,non_policy,,,
2026-03-26,11:10:41,Rodrigo Pacheco Mendez,Borna Gojo,Hard,ATP250,high,,,1.99,1.862,-49.41,38.86,P2-,38.86,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,2.5,1.862,settled,P2-,WIN,1,2026-03-26,89396,30550,30550,89396,2026-03-27T11:05:23+00:00,,,,,-3,non_policy,,,
2026-03-26,11:10:41,Alexis Galarneau,Luka Pavlovic,Hard,ATP250,medium,1.35,3.84,1.621,2.4,20.07,-37.5,P1,20.07,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P2,LOSS,0,2026-03-26,39043,53909,53909,39043,2026-03-27T11:05:23+00:00,,,,,,,,,
2026-03-26,11:10:41,Alexis Galarneau,Luka Pavlovic,Hard,ATP250,medium,,,1.893,1.962,67.9,-77.82,P1+,67.9,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-2.0,1.893,settled,P2-,LOSS,0,2026-03-26,39043,53909,53909,39043,2026-03-27T11:05:23+00:00,,,,,0,non_policy,,,
2026-03-28,00:10:42,Yasutaka Uchiyama,Hayato Matsuoka,Hard,ATP250,high,3.0,1.5,1.461,2.86,-51.3,90.67,P2,90.67,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,profile,volume_200,,,settled,P1,LOSS,0,2026-03-28,16996,95461,16996,95461,2026-03-28T11:06:42+00:00,,,,,,,,,
2026-03-28,00:10:42,Yasutaka Uchiyama,Hayato Matsuoka,Hard,ATP250,high,,,1.99,1.87,-73.77,62.35,P2-,62.35,2.0,200.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-3.5,1.87,settled,P2-,WIN,1,2026-03-28,16996,95461,16996,95461,2026-03-28T11:06:42+00:00,,,,,2,non_policy,,,
