date,time_utc,player1,player2,surface,league,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,stake_units,stake_gbp,stake_model,bet_type,spread_line,spread_odds,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,shadow_reason,threshold_tier,signal_profile,clay_tournament_tier,clay_shadow_policy
2026-04-03,19:12:00,Ben Shelton,Thiago Agustin Tirante,Clay,ATP,ATP500,high,,,1.826,2.08,23.22,-32.35,P1+,23.22,2.0,200.0,flat_spread,spread,-2.5,1.826,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-03,19:12:00,Liam Broady,Blake Ellis,Hard,Challenger,ATP250,high,,,1.862,1.971,-29.98,22.98,P2-,22.98,2.0,200.0,flat_spread,spread,-4.5,1.971,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-03,20:30:19,Liam Broady,Blake Ellis,Hard,Challenger,ATP250,high,,,1.813,2.03,27.83,-40.12,P1+,27.83,2.0,200.0,flat_spread,spread,-4.5,1.813,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-04,09:01:36,Thiago Agustin Tirante,Roman Andres Burruchaga,Clay,ATP,ATP500,high,,,1.935,1.935,-30.94,24.44,P2-,24.44,2.0,200.0,flat_spread,spread,0.0,1.935,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-04,09:01:36,Tommy Paul,Frances Tiafoe,Clay,ATP,ATP500,high,1.88,2.14,1.444,2.97,-23.19,38.79,P2,38.79,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-04,09:01:36,Tommy Paul,Frances Tiafoe,Clay,ATP,ATP500,high,,,1.893,1.98,-52.01,47.8,P2-,47.8,2.0,200.0,flat_spread,spread,-3.0,1.98,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-04,10:08:18,Tommy Paul,Frances Tiafoe,Clay,ATP,ATP500,high,1.85,2.18,1.437,3.0,-22.32,37.61,P2,37.61,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-04,10:08:18,Tommy Paul,Frances Tiafoe,Clay,ATP,ATP500,high,,,1.87,2.0,-52.59,49.3,P2-,49.3,2.0,200.0,flat_spread,spread,-3.0,2.0,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-04,23:05:35,Tai Sach,Hanyi Liu,Hard,Challenger,ATP250,medium,,,1.862,1.909,-71.66,61.84,P2-,61.84,2.0,200.0,flat_spread,spread,-5.5,1.909,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-04,23:05:35,Filip Peliwo,Daniil Ostapenkov,Hard,Challenger,ATP250,high,2.13,1.88,2.63,1.478,23.47,-21.38,P1,23.47,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-04,23:05:35,Filip Peliwo,Daniil Ostapenkov,Hard,Challenger,ATP250,high,,,1.909,1.862,24.87,-35.6,P1+,24.87,2.0,200.0,flat_spread,spread,3.5,1.909,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-04,23:05:35,Ethan Cook,Ryuki Matsuda,Hard,Challenger,ATP250,high,2.29,1.77,3.24,1.336,41.48,-24.52,P1,41.48,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-05,19:49:56,Joshua Charlton,Pavle Marinkov,Hard,Challenger,ATP250,high,2.75,1.57,3.46,1.301,25.82,-17.13,P1,25.82,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-05,19:49:56,Joshua Charlton,Pavle Marinkov,Hard,Challenger,ATP250,high,,,2.01,1.775,25.37,-33.21,P1+,25.37,2.0,200.0,flat_spread,spread,3.5,2.01,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-05,19:49:56,Pavel Kotov,Keegan Smith,Hard,Challenger,ATP250,high,1.72,2.39,1.397,3.01,-18.78,25.94,P2,25.94,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-05,19:49:56,Pavel Kotov,Keegan Smith,Hard,Challenger,ATP250,high,,,1.935,1.87,-32.77,22.03,P2-,22.03,2.0,200.0,flat_spread,spread,-3.5,1.87,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-05,19:49:56,Yusuke Takahashi,Ethan Cook,Hard,Challenger,ATP250,high,,,1.813,1.971,-40.21,32.1,P2-,32.1,2.0,200.0,flat_spread,spread,-5.0,1.971,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-05,19:49:56,August Holmgren,Mitsuki Wei Kang Leong,Hard,Challenger,ATP250,high,,,1.763,2.02,-59.19,55.24,P2-,55.24,2.0,200.0,flat_spread,spread,-4.0,2.02,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-05,19:49:56,Philip Sekulic,Yuki Mochizuki,Hard,Challenger,ATP250,high,,,1.952,1.82,-86.06,69.01,P2-,69.01,2.0,200.0,flat_spread,spread,-5.5,1.82,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-05,23:09:38,Joshua Charlton,Pavle Marinkov,Hard,Challenger,ATP250,high,2.76,1.57,3.51,1.295,27.17,-17.52,P1,27.17,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-05,23:09:38,Joshua Charlton,Pavle Marinkov,Hard,Challenger,ATP250,high,,,2.03,1.763,26.62,-33.66,P1+,26.62,2.0,200.0,flat_spread,spread,3.5,2.03,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-05,23:09:38,Yusuke Takahashi,Ethan Cook,Hard,Challenger,ATP250,high,,,1.813,1.971,-40.95,32.9,P2-,32.9,2.0,200.0,flat_spread,spread,-5.0,1.971,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-05,23:09:38,August Holmgren,Mitsuki Wei Kang Leong,Hard,Challenger,ATP250,high,1.73,2.36,1.267,3.73,-26.76,58.05,P2,58.05,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-05,23:09:38,August Holmgren,Mitsuki Wei Kang Leong,Hard,Challenger,ATP250,high,,,1.901,1.87,-55.11,42.84,P2-,42.84,2.0,200.0,flat_spread,spread,-4.0,1.87,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-05,23:09:38,Philip Sekulic,Yuki Mochizuki,Hard,Challenger,ATP250,high,,,1.952,1.82,-86.06,69.01,P2-,69.01,2.0,200.0,flat_spread,spread,-5.5,1.82,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-06,20:55:58,Pavle Marinkov,Li Tu,Hard,Challenger,ATP250,high,1.72,2.39,2.82,1.442,63.95,-39.67,P1,63.95,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-06,20:55:58,Pavle Marinkov,Li Tu,Hard,Challenger,ATP250,high,,,1.847,1.962,47.13,-60.09,P1+,47.13,2.0,200.0,flat_spread,spread,3.5,1.847,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-06,20:55:58,Fajing Sun,Ethan Cook,Hard,Challenger,ATP250,high,,,2.08,1.752,-67.17,47.54,P2-,47.54,2.0,200.0,flat_spread,spread,-6.0,1.752,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-06,20:55:58,Maximus Jones,Philip Sekulic,Hard,Challenger,ATP250,high,1.9,2.11,2.46,1.562,29.47,-25.97,P1,29.47,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-06,20:55:58,Maximus Jones,Philip Sekulic,Hard,Challenger,ATP250,high,,,1.935,1.87,41.6,-49.84,P1+,41.6,2.0,200.0,flat_spread,spread,2.5,1.935,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-06,20:55:58,Daniil Ostapenkov,Qian Sun,Hard,Challenger,ATP250,medium,,,1.885,1.917,-30.18,20.7,P2-,20.7,2.0,200.0,flat_spread,spread,-4.5,1.917,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-06,20:55:58,Yi Zhou,Giles Hussey,Hard,Challenger,ATP250,high,1.77,2.3,1.397,3.01,-21.07,30.87,P2,30.87,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-06,20:55:58,Yi Zhou,Giles Hussey,Hard,Challenger,ATP250,high,,,1.87,1.935,-37.73,29.06,P2-,29.06,2.0,200.0,flat_spread,spread,-3.5,1.935,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-06,23:03:47,Pavle Marinkov,Li Tu,Hard,Challenger,ATP250,high,1.71,2.42,2.82,1.442,64.91,-40.41,P1,64.91,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-06,23:03:47,Pavle Marinkov,Li Tu,Hard,Challenger,ATP250,high,,,1.847,1.962,47.61,-60.6,P1+,47.61,2.0,200.0,flat_spread,spread,3.5,1.847,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-06,23:03:47,Fajing Sun,Ethan Cook,Hard,Challenger,ATP250,high,,,2.08,1.752,-67.17,47.54,P2-,47.54,2.0,200.0,flat_spread,spread,-6.0,1.752,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-06,23:03:47,Maximus Jones,Philip Sekulic,Hard,Challenger,ATP250,high,1.9,2.11,2.46,1.562,29.47,-25.97,P1,29.47,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-06,23:03:47,Maximus Jones,Philip Sekulic,Hard,Challenger,ATP250,high,,,1.935,1.87,41.6,-49.84,P1+,41.6,2.0,200.0,flat_spread,spread,2.5,1.935,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-06,23:03:47,Daniil Ostapenkov,Qian Sun,Hard,Challenger,ATP250,medium,,,1.885,1.917,-30.18,20.7,P2-,20.7,2.0,200.0,flat_spread,spread,-4.5,1.917,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-06,23:03:47,Yi Zhou,Giles Hussey,Hard,Challenger,ATP250,high,1.76,2.31,1.403,2.98,-20.28,29.0,P2,29.0,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-06,23:03:47,Yi Zhou,Giles Hussey,Hard,Challenger,ATP250,high,,,1.87,1.935,-37.41,28.74,P2-,28.74,2.0,200.0,flat_spread,spread,-3.5,1.935,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-06,23:03:47,Filip Peliwo,Harry Wendelken,Hard,Challenger,ATP250,high,,,1.917,1.885,54.33,-63.25,P1+,54.33,2.0,200.0,flat_spread,spread,6.0,1.917,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
