date,time_utc,player1,player2,surface,league,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,stake_units,stake_gbp,stake_model,bet_type,spread_line,spread_odds,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,shadow_reason,threshold_tier,signal_profile,clay_tournament_tier,clay_shadow_policy
2026-04-13,23:00:59,Liam Broady,Murphy Cassone,Hard,Challenger,ATP250,high,1.28,4.61,1.641,2.36,28.2,-48.81,P1,28.2,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-13,23:00:59,Liam Broady,Murphy Cassone,Hard,Challenger,ATP250,high,,,1.917,1.935,29.72,-37.44,P1+,29.72,2.0,200.0,flat_spread,spread,-2.5,1.917,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-13,23:00:59,Alex Bolt,James McCabe,Hard,Challenger,ATP250,high,,,1.952,1.901,39.23,-45.49,P1+,39.23,2.0,200.0,flat_spread,spread,-1.5,1.952,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-13,23:00:59,Hayato Matsuoka,Li Tu,Hard,Challenger,ATP250,high,1.62,2.61,2.76,1.459,70.37,-44.1,P1,70.37,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-13,23:00:59,Hayato Matsuoka,Li Tu,Hard,Challenger,ATP250,high,,,1.971,1.833,48.34,-54.65,P1+,48.34,2.0,200.0,flat_spread,spread,3.0,1.971,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-13,23:00:59,Uisung Park,Beibit Zhukayev,Hard,Challenger,ATP250,high,1.61,2.65,3.25,1.377,101.86,-48.04,P1,101.86,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-13,23:00:59,Uisung Park,Beibit Zhukayev,Hard,Challenger,ATP250,high,,,1.862,1.99,50.84,-62.21,P1+,50.84,2.0,200.0,flat_spread,spread,3.5,1.862,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-13,23:00:59,James Kent Trotter,Jake Delaney,Hard,Challenger,ATP250,high,2.12,1.9,1.313,3.67,-38.07,93.16,P2,93.16,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-13,23:00:59,James Kent Trotter,Jake Delaney,Hard,Challenger,ATP250,high,,,1.943,1.909,-47.23,39.05,P2-,39.05,2.0,200.0,flat_spread,spread,-3.5,1.909,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-13,23:00:59,Alastair Gray,Alexandr Binda,Hard,Challenger,ATP250,high,,,2.12,1.735,-50.49,32.98,P2-,32.98,2.0,200.0,flat_spread,spread,-5.0,1.735,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-13,23:00:59,Kasidit Samrej,August Holmgren,Hard,Challenger,ATP250,high,1.93,2.08,2.83,1.459,46.63,-29.86,P1,46.63,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-13,23:00:59,Kasidit Samrej,August Holmgren,Hard,Challenger,ATP250,high,,,1.99,1.855,31.41,-37.0,P1+,31.41,2.0,200.0,flat_spread,spread,3.0,1.99,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-13,23:00:59,Alexis Galarneau,Kaichi Uchida,Hard,Challenger,ATP250,high,1.72,2.4,1.339,3.49,-22.15,45.42,P2,45.42,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-13,23:00:59,Alexis Galarneau,Kaichi Uchida,Hard,Challenger,ATP250,high,,,1.901,1.952,-50.83,44.71,P2-,44.71,2.0,200.0,flat_spread,spread,-4.0,1.952,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-13,23:00:59,Arthur Weber,Giles Hussey,Hard,Challenger,ATP250,high,1.78,2.28,2.72,1.469,52.81,-35.57,P1,52.81,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-13,23:00:59,Arthur Weber,Giles Hussey,Hard,Challenger,ATP250,high,,,1.901,1.901,40.78,-50.68,P1+,40.78,2.0,200.0,flat_spread,spread,3.5,1.901,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-13,23:00:59,Linang Xiao,Blake Ellis,Hard,Challenger,ATP250,high,2.39,1.72,3.21,1.366,34.31,-20.58,P1,34.31,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-13,23:00:59,Linang Xiao,Blake Ellis,Hard,Challenger,ATP250,high,,,1.901,1.917,33.22,-42.64,P1+,33.22,2.0,200.0,flat_spread,spread,3.5,1.901,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-13,23:00:59,Buvaysar Gadamauri,Braden Shick,Hard,Challenger,ATP250,high,3.04,1.49,1.571,2.46,-48.32,65.1,P2,65.1,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-13,23:00:59,Buvaysar Gadamauri,Braden Shick,Hard,Challenger,ATP250,high,,,1.909,1.909,-40.76,31.66,P2-,31.66,2.0,200.0,flat_spread,spread,-2.5,1.909,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
