generated_utc,variant,profile,status,description,source_suffix,transform,rows,logloss,brier,ece,bets,wins,losses,flat_pnl,flat_roi_pct,stake,tier_pnl,tier_roi_pct,avg_value_pct,by_year,stale_since
2026-07-12T18:08:02+00:00,baseline_current,strict,ok,Current row-level backtest probabilities and policy guards.,,current,10065,0.60229,0.20834,0.01059,465,202,263,52.770,11.348,742.00,90.005,12.130,22.455,2022:92/+21.3% 2023:128/-6.6% 2024:113/+2.4% 2025:132/+32.4%,
2026-07-12T18:08:02+00:00,baseline_current,volume_200_hard,ok,Current row-level backtest probabilities and policy guards.,,current,10065,0.60229,0.20834,0.01059,793,344,449,64.390,8.120,1225.50,129.065,10.532,22.907,2022:165/+19.2% 2023:212/+3.3% 2024:204/+11.6% 2025:212/+9.7%,
2026-07-12T18:08:02+00:00,baseline_current,hard_edge10_all,ok,Current row-level backtest probabilities and policy guards.,,current,10065,0.60229,0.20834,0.01059,1484,619,865,47.040,3.170,2319.00,97.285,4.195,22.764,2022:356/+4.9% 2023:389/+6.2% 2024:371/-0.6% 2025:368/+6.3%,
2026-07-12T18:08:02+00:00,baseline_current,clay_edge10_all,ok,Current row-level backtest probabilities and policy guards.,,current,10065,0.60229,0.20834,0.01059,885,344,541,-28.910,-3.267,1355.00,-25.475,-1.880,21.703,2022:220/-1.3% 2023:232/+14.5% 2024:213/-13.4% 2025:220/-8.9%,
2026-07-12T18:08:02+00:00,baseline_current,all_edge10,ok,Current row-level backtest probabilities and policy guards.,,current,10065,0.60229,0.20834,0.01059,2651,1065,1586,-10.520,-0.397,4124.50,43.155,1.046,22.725,2022:631/+0.9% 2023:701/+11.1% 2024:657/-7.0% 2025:662/-1.5%,
2026-07-12T18:08:02+00:00,hardcal_strict_live,strict,ok,Apply validated Hard Platt overlay to raw probabilities; score strict/volume only.,,surface_cal:Hard,10065,0.60243,0.20851,0.02100,453,200,253,56.340,12.437,714.50,84.880,11.880,20.986,2022:96/+20.3% 2023:115/-9.6% 2024:112/+4.9% 2025:130/+31.8%,
2026-07-12T18:08:02+00:00,hardcal_strict_live,volume_200_hard,ok,Apply validated Hard Platt overlay to raw probabilities; score strict/volume only.,,surface_cal:Hard,10065,0.60243,0.20851,0.02100,815,329,486,36.680,4.501,1261.50,64.980,5.151,22.002,2022:174/+15.6% 2023:223/-4.0% 2024:206/+8.3% 2025:212/+3.2%,
2026-07-12T18:08:02+00:00,hardcal_strict_live,hard_edge10_all,ok,Apply validated Hard Platt overlay to raw probabilities; score strict/volume only.,,surface_cal:Hard,10065,0.60243,0.20851,0.02100,1521,589,932,4.540,0.298,2407.50,26.255,1.091,22.216,2022:372/+0.7% 2023:392/+0.6% 2024:381/-2.0% 2025:376/+5.2%,
2026-07-12T18:08:02+00:00,claycal_lanes,clay_edge10_all,ok,Apply Clay surface calibration to raw probabilities; shadow only.,,surface_cal:Clay,10065,0.60245,0.20841,0.01251,878,311,567,-77.430,-8.819,1351.00,-115.410,-8.543,21.371,2022:219/-9.8% 2023:235/+8.2% 2024:207/-20.3% 2025:217/-14.2%,
2026-07-12T18:08:02+00:00,claycal_lanes,clay_masters_high,ok,Apply Clay surface calibration to raw probabilities; shadow only.,,surface_cal:Clay,10065,0.60245,0.20841,0.01251,200,69,131,-21.570,-10.785,304.50,-30.390,-9.980,20.631,2022:36/-29.8% 2023:52/+4.7% 2024:53/-26.0% 2025:59/+3.2%,
