date,tournament,surface,round,series,player1,player2,player1_id,player2_id,our_prob,our_prob_raw,our_odds,pinnacle_odds,pinnacle_odds_loser,actual_winner,value_pct,bet_side,bet_result,policy_excluded,pinnacle_prob_novig,model_favorite,model_favorite_prob,p_serve_return,p_elo,p_rank,confidence,score
2024-03-06,BNP Paribas Open,Hard,1st Round,Masters 1000,Fabian Marozsan,Jurij Rodionov,52140,44555,0.604105,0.619516,1.6553,1.47,2.81,Fabian Marozsan,11.247,loser,loss,False,0.656542,Fabian Marozsan,0.604105,0.766338,0.525219,0.618517,medium,6-3 6-2
2024-03-07,BNP Paribas Open,Hard,1st Round,Masters 1000,Aleksandar Vukic,Shintaro Mochizuki,28267,73742,0.611289,0.63329,1.6359,2.0,1.89,Aleksandar Vukic,22.258,winner,win,False,0.485861,Aleksandar Vukic,0.611289,0.591559,0.637766,0.68709,high,7-6 7-6
2024-03-07,BNP Paribas Open,Hard,1st Round,Masters 1000,Lucas Pouille,Daniel Altmaier,20193,29732,0.369348,0.330249,2.7075,2.17,1.76,Lucas Pouille,10.995,loser,loss,False,0.447837,Daniel Altmaier,0.630652,0.959982,0.548419,0.13178,medium,6-4 6-3
2024-03-07,BNP Paribas Open,Hard,1st Round,Masters 1000,Tomas Machac,Stan Wawrinka,58327,1092,0.561438,0.536069,1.7811,1.55,2.6,Tomas Machac,14.026,loser,loss,False,0.626506,Tomas Machac,0.561438,0.706781,0.42256,0.523939,medium,7-6 4-6 6-2
2024-03-08,BNP Paribas Open,Hard,2nd Round,Masters 1000,Alexander Zverev,Christopher O'Connell,24008,24721,0.728356,0.8304,1.373,1.19,5.44,Alexander Zverev,47.775,loser,loss,False,0.820513,Alexander Zverev,0.728356,0.652166,0.7526,0.919698,high,6-4 6-4
2024-03-08,BNP Paribas Open,Hard,2nd Round,Masters 1000,Andrey Rublev,Andy Murray,29372,1075,0.739164,0.845082,1.3529,1.18,5.66,Andrey Rublev,47.633,loser,loss,False,0.827485,Andrey Rublev,0.739164,0.754309,0.703363,0.916825,high,7-6 6-1
2024-03-08,BNP Paribas Open,Hard,1st Round,Masters 1000,Denis Shapovalov,Botic Van De Zandschulp,33502,24249,0.443451,0.473575,2.255,1.68,2.3,Denis Shapovalov,28.006,loser,loss,False,0.577889,Botic Van De Zandschulp,0.556549,0.432004,0.531002,0.384623,medium,6-1 6-4
2024-03-08,BNP Paribas Open,Hard,2nd Round,Masters 1000,Fabian Marozsan,Nicolas Jarry,52140,27482,0.342653,0.282,2.9184,2.23,1.72,Fabian Marozsan,13.064,loser,loss,False,0.435443,Nicolas Jarry,0.657347,0.299259,0.291159,0.293318,high,3-6 7-5 6-4
2024-03-08,BNP Paribas Open,Hard,1st Round,Masters 1000,Zhuo Zhang,Aleksandar Kovacevic,26496,39152,0.302791,0.215667,3.3026,1.61,2.46,Zhuo Zhang,71.513,loser,loss,False,0.604423,Aleksandar Kovacevic,0.697209,0.033006,0.050628,0.644743,low,6-7 6-3 7-5
2024-03-09,BNP Paribas Open,Hard,2nd Round,Masters 1000,Adrian Mannarino,Tomas Machac,7806,58327,0.445266,0.477156,2.2458,2.66,1.53,Adrian Mannarino,18.441,winner,win,False,0.365155,Tomas Machac,0.554734,0.160238,0.518955,0.763632,high,6-1 6-2
2024-03-09,BNP Paribas Open,Hard,2nd Round,Masters 1000,Alejandro Pascacio F.,Dusan Lajovic,24232,12190,0.338208,0.274239,2.9568,1.54,2.64,Alejandro Pascacio F.,74.713,loser,loss,False,0.631579,Dusan Lajovic,0.661792,0.078984,0.063054,0.770994,low,6-3 6-3
2024-03-09,BNP Paribas Open,Hard,2nd Round,Masters 1000,Carlos Alcaraz,Matteo Arnaldi,68074,73956,0.792956,0.907614,1.2611,1.14,6.75,Carlos Alcaraz,39.755,loser,loss,False,0.855513,Carlos Alcaraz,0.792956,0.86511,0.784905,0.931429,high,6-7 6-0 6-1
2024-03-09,BNP Paribas Open,Hard,2nd Round,Masters 1000,Jan-Lennard Struff,Borna Coric,14177,25165,0.545939,0.505506,1.8317,2.28,1.69,Jan-Lennard Struff,24.474,winner,win,False,0.425693,Jan-Lennard Struff,0.545939,0.509994,0.43709,0.574242,high,6-7 6-2 7-6
2024-03-09,BNP Paribas Open,Hard,2nd Round,Masters 1000,Jiri Lehecka,Brandon Nakashima,61838,56846,0.595007,0.601923,1.6807,1.87,2.03,Jiri Lehecka,11.266,winner,win,False,0.520513,Jiri Lehecka,0.595007,0.40476,0.478896,0.748974,high,3-6 6-3 6-4
2024-03-09,BNP Paribas Open,Hard,2nd Round,Masters 1000,Lorenzo Musetti,Denis Shapovalov,63572,33502,0.644144,0.694466,1.5524,2.64,1.53,Lorenzo Musetti,70.054,winner,win,False,0.366906,Lorenzo Musetti,0.644144,0.474298,0.387659,0.843181,medium,6-4 2-6 7-5
