lane,match_key,match_date,tour_id,tour_name,tour_rank,surface,round_id,result,result_join_method,player1_id,player1,player2_id,player2,publication_at,publication_capture_mode,publication_source_file,publication_timing_quality,kickoff_iso,spread_line_p1,spread_odds1,spread_odds2,spread_market_p1_devig,ml_odds1,ml_odds2,close_at,close_capture_mode,close_odds1,close_odds2,close_market_p1_devig,published_to_close_clv_p1,published_to_close_clv_p2,close_gap_hours,close_is_stale,clv_eligible,latest_line_at,latest_spread_line_p1,line_move_p1,actual_game_margin_p1,p1_cover_result,p2_cover_result,p1_cover_binary,market_brier,market_log_loss,p1_flat_pnl,p2_flat_pnl,snapshot_count,same_line_snapshot_count
ATP,2026-03-14|21317|24008|47275,2026-03-14,21317,BNP Paribas Open - Indian Wells,3,Hard,10,6-2 6-4,pair_capture_window_unique,24008,Alexander Zverev,47275,Jannik Sinner,2026-03-13T17:35:58.656786+00:00,close,pinnacle-history-20260313-173558.csv,inferred_prior_day,,4.0,2.11,1.781,0.45772295,5.53,1.18,2026-03-13T17:42:40.791932+00:00,close,2.11,1.781,0.45772295,0.0,0.0,,,0,2026-03-14T11:05:03.486541+00:00,4.5,0.5,-6,LOSS,WIN,0.0,0.2095103,0.61197825,-1.0,0.781,4,3
ATP,2026-03-14|21317|22807|68074,2026-03-14,21317,BNP Paribas Open - Indian Wells,3,Hard,10,6-3 7-6(3),pair_capture_window_unique,68074,Carlos Alcaraz,22807,Daniil Medvedev,2026-03-13T17:35:58.656786+00:00,close,pinnacle-history-20260313-173558.csv,inferred_prior_day,,-4.5,2.03,1.847,0.47639928,1.225,4.7,2026-03-13T17:42:40.791932+00:00,close,2.03,1.847,0.47639928,0.0,0.0,,,0,2026-03-14T11:05:03.486541+00:00,-4.5,0.0,-4,LOSS,WIN,0.0,0.22695627,0.64702587,-1.0,0.847,4,4
ATP,2026-03-15|21317|22807|47275,2026-03-15,21317,BNP Paribas Open - Indian Wells,3,Hard,12,7-6(6) 7-6(4),pair_capture_window_unique,22807,Daniil Medvedev,47275,Jannik Sinner,2026-03-15T11:05:22.349520+00:00,daily,pinnacle-history-20260315-110522.csv,same_day_unverified,,4.0,1.952,1.917,0.49547687,4.2,1.265,2026-03-15T11:05:22.349520+00:00,daily,1.952,1.917,0.49547687,0.0,0.0,,,0,2026-03-15T11:05:22.349520+00:00,4.0,0.0,-2,WIN,LOSS,1.0,0.25454359,0.70223461,0.952,-1.0,1,1
ATP,2026-03-17|21318|14716|39863,2026-03-17,21318,Miami Open - Miami,3,Hard,3,6-2 6-1,pair_capture_window_unique,14716,Nikoloz Basilashvili,39863,Sho Shimabukuro,2026-03-17T11:07:19.702774+00:00,daily,pinnacle-history-20260317-110719.csv,same_day_unverified,,0.5,1.917,1.901,0.49790466,2.0,1.84,2026-03-17T11:07:19.702774+00:00,daily,1.917,1.901,0.49790466,0.0,0.0,,,0,2026-03-17T11:07:19.702774+00:00,0.5,0.0,9,WIN,LOSS,1.0,0.25209973,0.69734666,0.917,-1.0,1,1
ATP,2026-03-17|21318|14856|82371,2026-03-17,21318,Miami Open - Miami,3,Hard,3,6-1 5-7 6-3,pair_capture_window_unique,14856,Yannick Hanfmann,82371,Luca Van Assche,2026-03-17T11:07:19.702774+00:00,daily,pinnacle-history-20260317-110719.csv,same_day_unverified,,-1.0,1.943,1.877,0.49136126,1.813,2.04,2026-03-17T11:07:19.702774+00:00,daily,1.943,1.877,0.49136126,0.0,0.0,,,0,2026-03-17T11:07:19.702774+00:00,-1.0,0.0,6,WIN,LOSS,1.0,0.25871337,0.71057567,0.943,-1.0,1,1
ATP,2026-03-17|21318|47752|58149,2026-03-17,21318,Miami Open - Miami,3,Hard,3,6-3 6-7(2) 6-1,pair_capture_window_unique,47752,Adam Walton,58149,Rinky Hijikata,2026-03-17T11:07:19.702774+00:00,daily,pinnacle-history-20260317-110719.csv,same_day_unverified,,1.5,1.917,1.901,0.49790466,2.15,1.735,2026-03-17T11:07:19.702774+00:00,daily,1.917,1.901,0.49790466,0.0,0.0,,,0,2026-03-17T11:07:19.702774+00:00,1.5,0.0,7,WIN,LOSS,1.0,0.25209973,0.69734666,0.917,-1.0,1,1
ATP,2026-03-17|21318|52394|94493,2026-03-17,21318,Miami Open - Miami,3,Hard,3,3-6 7-5 6-4,pair_capture_window_unique,52394,Thiago Agustin Tirante,94493,Martin Landaluce,2026-03-17T11:07:19.702774+00:00,daily,pinnacle-history-20260317-110719.csv,same_day_unverified,,1.5,1.952,1.87,0.48927263,2.21,1.694,2026-03-17T11:07:19.702774+00:00,daily,1.952,1.87,0.48927263,0.0,0.0,,,0,2026-03-17T11:07:19.702774+00:00,1.5,0.0,-1,WIN,LOSS,1.0,0.26084244,0.71483541,0.952,-1.0,1,1
ATP,2026-03-17|21318|28992|53532,2026-03-17,21318,Miami Open - Miami,3,Hard,3,6-3 3-6 6-4,pair_capture_window_unique,53532,Liam Draxl,28992,Jay Clarke,2026-03-17T11:07:19.702774+00:00,daily,pinnacle-history-20260317-110719.csv,same_day_unverified,,-3.5,1.98,1.84,0.48167539,1.455,2.81,2026-03-17T11:07:19.702774+00:00,daily,1.98,1.84,0.48167539,0.0,0.0,,,0,2026-03-17T11:07:19.702774+00:00,-3.5,0.0,2,LOSS,WIN,0.0,0.23201118,0.65715358,-1.0,0.84,1,1
ATP,2026-03-17|21318|72578|81980,2026-03-17,21318,Miami Open - Miami,3,Hard,3,3-6 7-6(5) 6-3,pair_capture_window_unique,72578,Mattia Bellucci,81980,Murphy Cassone,2026-03-17T11:07:19.702774+00:00,daily,pinnacle-history-20260317-110719.csv,same_day_unverified,,-3.5,1.775,2.07,0.53836151,1.339,3.37,2026-03-17T11:07:19.702774+00:00,daily,1.775,2.07,0.53836151,0.0,0.0,,,0,2026-03-17T11:07:19.702774+00:00,-3.5,0.0,1,LOSS,WIN,0.0,0.28983311,0.77297318,-1.0,1.07,1,1
ATP,2026-03-17|21318|61667|79065,2026-03-17,21318,Miami Open - Miami,3,Hard,3,6-3 3-6 7-5,pair_capture_window_unique,79065,Arthur Fery,61667,Bu Yunchaokete,2026-03-17T11:07:19.702774+00:00,daily,pinnacle-history-20260317-110719.csv,same_day_unverified,,2.0,1.893,1.926,0.5043205,2.26,1.667,2026-03-17T11:07:19.702774+00:00,daily,1.893,1.926,0.5043205,0.0,0.0,,,0,2026-03-17T11:07:19.702774+00:00,2.0,0.0,2,WIN,LOSS,1.0,0.24569816,0.68454329,0.893,-1.0,1,1
ATP,2026-03-17|21318|71166|79113,2026-03-17,21318,Miami Open - Miami,3,Hard,3,6-2 3-6 6-3,pair_capture_window_unique,79113,Ignacio Buse,71166,Chak Lam Coleman Wong,2026-03-17T11:07:19.702774+00:00,daily,pinnacle-history-20260317-110719.csv,same_day_unverified,,2.0,1.877,1.943,0.50863874,2.29,1.649,2026-03-17T11:07:19.702774+00:00,daily,1.877,1.943,0.50863874,0.0,0.0,,,0,2026-03-17T11:07:19.702774+00:00,2.0,0.0,4,WIN,LOSS,1.0,0.24143588,0.67601725,0.877,-1.0,1,1
ATP,2026-03-17|21318|24721|88766,2026-03-17,21318,Miami Open - Miami,3,Hard,3,4-6 6-4 6-4,pair_capture_window_unique,88766,Alexander Blockx,24721,Christopher O'Connell,2026-03-17T11:07:19.702774+00:00,daily,pinnacle-history-20260317-110719.csv,same_day_unverified,,-2.5,1.885,1.935,0.5065445,1.541,2.54,2026-03-17T11:07:19.702774+00:00,daily,1.885,1.935,0.5065445,0.0,0.0,,,0,2026-03-17T11:07:19.702774+00:00,-2.5,0.0,-2,LOSS,WIN,0.0,0.25658733,0.7063226,-1.0,0.935,1,1
ATP,2026-03-17|21318|28899|99691,2026-03-17,21318,Miami Open - Miami,3,Hard,3,6-4 6-4,pair_capture_window_unique,99691,Rafael Jodar,28899,Benjamin Bonzi,2026-03-17T11:07:19.702774+00:00,daily,pinnacle-history-20260317-110719.csv,same_day_unverified,,-2.0,1.952,1.87,0.48927263,1.699,2.2,2026-03-17T11:07:19.702774+00:00,daily,1.952,1.87,0.48927263,0.0,0.0,,,0,2026-03-17T11:07:19.702774+00:00,-2.0,0.0,4,WIN,LOSS,1.0,0.26084244,0.71483541,0.952,-1.0,1,1
