lane,match_key,match_date,tour_id,tour_name,tour_rank,round_id,result,result_join_method,player1_id,player1,player2_id,player2,publication_at,publication_capture_mode,publication_source_file,publication_timing_quality,kickoff_iso,spread_line_p1,spread_odds1,spread_odds2,spread_market_p1_devig,ml_odds1,ml_odds2,close_at,close_capture_mode,close_odds1,close_odds2,close_market_p1_devig,published_to_close_clv_p1,published_to_close_clv_p2,close_gap_hours,close_is_stale,clv_eligible,latest_line_at,latest_spread_line_p1,line_move_p1,actual_game_margin_p1,p1_cover_result,p2_cover_result,p1_cover_binary,market_brier,market_log_loss,p1_flat_pnl,p2_flat_pnl,snapshot_count,same_line_snapshot_count
Challenger,2026-03-13|21503|34337|47752,2026-03-13,21503,Cap Cana Challenger,1,9,2-6 7-5 6-2,pair_capture_window_unique,34337,Miomir Kecmanovic,47752,Adam Walton,2026-03-13T17:35:58.656786+00:00,close,pinnacle-history-20260313-173558.csv,same_day_unverified,,-3.5,1.909,1.943,0.50441329,1.376,3.26,2026-03-13T17:42:40.791932+00:00,close,1.909,1.943,0.50441329,0.0,0.0,,,0,2026-03-13T17:42:40.791932+00:00,-3.5,0.0,-2,LOSS,WIN,0.0,0.25443277,0.70201295,-1.0,0.943,2,2
Challenger,2026-03-13|21503|61857|66828,2026-03-13,21503,Cap Cana Challenger,1,9,6-2 7-6(5),pair_capture_window_unique,66828,Mariano Navone,61857,Valentin Royer,2026-03-13T17:35:58.656786+00:00,close,pinnacle-history-20260313-173558.csv,same_day_unverified,,2.5,1.893,1.962,0.50894942,2.32,1.662,2026-03-13T17:42:40.791932+00:00,close,1.893,1.962,0.50894942,0.0,0.0,,,0,2026-03-13T17:42:40.791932+00:00,2.5,0.0,5,WIN,LOSS,1.0,0.24113068,0.67540665,0.893,-1.0,2,2
Challenger,2026-03-13|21503|72578|84235,2026-03-13,21503,Cap Cana Challenger,1,9,6-4 6-2,pair_capture_window_unique,72578,Mattia Bellucci,84235,Raphael Collignon,2026-03-13T17:35:58.656786+00:00,close,pinnacle-history-20260313-173558.csv,same_day_unverified,,1.5,1.971,1.901,0.49096074,2.23,1.719,2026-03-13T17:42:40.791932+00:00,close,1.971,1.901,0.49096074,0.0,0.0,,,0,2026-03-13T17:42:40.791932+00:00,1.5,0.0,6,WIN,LOSS,1.0,0.25912096,0.71139111,0.971,-1.0,2,2
Challenger,2026-03-13|21503|71166|88766,2026-03-13,21503,Cap Cana Challenger,1,9,4-6 7-5 6-3,pair_capture_window_unique,88766,Alexander Blockx,71166,Chak Lam Coleman Wong,2026-03-13T17:35:58.656786+00:00,close,pinnacle-history-20260313-173558.csv,same_day_unverified,,-2.0,1.962,1.901,0.49210458,1.68,2.31,2026-03-13T17:42:40.791932+00:00,close,1.962,1.901,0.49210458,0.0,0.0,,,0,2026-03-13T17:42:40.791932+00:00,-2.0,0.0,3,WIN,LOSS,1.0,0.25795776,0.70906402,0.962,-1.0,2,2
Challenger,2026-03-13|21504|7806|29180,2026-03-13,21504,Phoenix Challenger,1,9,6-4 6-7(4) 6-4,pair_capture_window_unique,29180,Billy Harris,7806,Adrian Mannarino,2026-03-13T17:35:58.656786+00:00,close,pinnacle-history-20260313-173558.csv,same_day_unverified,,3.5,1.962,1.909,0.49315422,3.22,1.391,2026-03-13T17:42:40.791932+00:00,close,1.962,1.909,0.49315422,0.0,0.0,,,0,2026-03-13T17:42:40.791932+00:00,3.5,0.0,3,WIN,LOSS,1.0,0.25689264,0.70693333,0.962,-1.0,2,2
Challenger,2026-03-13|21504|18736|31446,2026-03-13,21504,Phoenix Challenger,1,9,7-6(8) 6-2,pair_capture_window_unique,31446,Nuno Borges,18736,Marcos Giron,2026-03-13T17:35:58.656786+00:00,close,pinnacle-history-20260313-173558.csv,same_day_unverified,,0.0,1.901,1.952,0.50661822,1.885,1.99,2026-03-13T17:42:40.791932+00:00,close,1.901,1.952,0.50661822,0.0,0.0,,,0,2026-03-13T17:42:40.791932+00:00,0.0,0.0,-5,LOSS,WIN,0.0,0.25666202,0.706472,-1.0,0.952,2,2
Challenger,2026-03-13|21504|14716|36263,2026-03-13,21504,Phoenix Challenger,1,9,7-6(5) 6-4,pair_capture_window_unique,36263,Corentin Moutet,14716,Nikoloz Basilashvili,2026-03-13T17:35:58.656786+00:00,close,pinnacle-history-20260313-173558.csv,same_day_unverified,,-4.0,1.909,1.943,0.50441329,1.297,3.8,2026-03-13T17:42:40.791932+00:00,close,1.909,1.943,0.50441329,0.0,0.0,,,0,2026-03-13T17:42:40.791932+00:00,-4.0,0.0,3,LOSS,WIN,0.0,0.25443277,0.70201295,-1.0,0.943,2,2
Challenger,2026-03-13|21504|28899|82269,2026-03-13,21504,Phoenix Challenger,1,9,7-6(4) 7-6(7),pair_capture_window_unique,82269,Ethan Quinn,28899,Benjamin Bonzi,2026-03-13T17:35:58.656786+00:00,close,pinnacle-history-20260313-173558.csv,same_day_unverified,,-1.5,1.909,1.943,0.50441329,1.699,2.24,2026-03-13T17:42:40.791932+00:00,close,1.917,1.952,0.50452313,-0.00417319,-0.00461066,,,0,2026-03-13T17:42:40.791932+00:00,-1.5,0.0,2,WIN,LOSS,1.0,0.24560619,0.68435932,0.909,-1.0,2,2
Challenger,2026-03-13|21506|44555|56641,2026-03-13,21506,Cherbourg Challenger,1,9,6-4 6-2,pair_capture_window_unique,44555,Jurij Rodionov,56641,Gauthier Onclin,2026-03-13T17:35:58.656786+00:00,close,pinnacle-history-20260313-173558.csv,same_day_unverified,,-3.0,1.943,1.926,0.49780305,1.546,2.62,2026-03-13T17:42:40.791932+00:00,close,1.943,1.926,0.49780305,0.0,0.0,,,0,2026-03-13T17:42:40.791932+00:00,-3.0,0.0,6,WIN,LOSS,1.0,0.25220178,0.69755076,0.943,-1.0,2,2
Challenger,2026-03-13|21506|47259|90774,2026-03-13,21506,Cherbourg Challenger,1,9,6-3 3-6 6-3,pair_capture_window_unique,47259,Clement Tabur,90774,Filippo Romano,2026-03-13T17:35:58.656786+00:00,close,pinnacle-history-20260313-173558.csv,same_day_unverified,,-4.5,1.826,2.05,0.52889577,1.168,5.81,2026-03-13T17:42:40.791932+00:00,close,1.826,2.05,0.52889577,0.0,0.0,,,0,2026-03-13T17:42:40.791932+00:00,-4.5,0.0,-3,LOSS,WIN,0.0,0.27973073,0.75267591,-1.0,1.05,2,2
