lane,reason,player1_name,player2_name,player1_normalized,player2_normalized,capture_date_first,capture_date_last,snapshot_count,source_files,details
ATP,ambiguous_capture_window,Aleksandar Kovacevic,Arthur Gea,aleksandar kovacevic,arthur gea,2026-05-16,2026-05-17,29,pinnacle-history-20260516-195321.csv|pinnacle-history-20260516-202327.csv|pinnacle-history-20260516-205319.csv|pinnacle-history-20260516-212316.csv|pinnacle-history-20260516-215318.csv|pinnacle-history-20260516-222319.csv|pinnacle-history-20260516-225318.csv|pinnacle-history-20260516-230051.csv|pinnacle-history-20260516-232320.csv|pinnacle-history-20260516-235329.csv|pinnacle-history-20260517-002323.csv|pinnacle-history-20260517-005318.csv|pinnacle-history-20260517-012321.csv|pinnacle-history-20260517-022316.csv|pinnacle-history-20260517-025317.csv|pinnacle-history-20260517-032316.csv|pinnacle-history-20260517-035316.csv|pinnacle-history-20260517-070008.csv|pinnacle-history-20260517-073008.csv|pinnacle-history-20260517-080008.csv|pinnacle-history-20260517-083008.csv|pinnacle-history-20260517-100011.csv|pinnacle-history-20260517-103028.csv|pinnacle-history-20260517-110014.csv|pinnacle-history-20260517-113215.csv|pinnacle-history-20260517-120332.csv|pinnacle-history-20260517-123033.csv|pinnacle-history-20260517-130030.csv|pinnacle-history-20260517-133428.csv,
ATP,ambiguous_capture_window,Marco Trungelliti,Daniel Merida Aguilar,marco trungelliti,daniel merida aguilar,2026-04-20,2026-04-21,22,pinnacle-history-20260420-172627.csv|pinnacle-history-20260420-180216.csv|pinnacle-history-20260420-182557.csv|pinnacle-history-20260420-185554.csv|pinnacle-history-20260420-192607.csv|pinnacle-history-20260420-195638.csv|pinnacle-history-20260420-202558.csv|pinnacle-history-20260420-205551.csv|pinnacle-history-20260420-212551.csv|pinnacle-history-20260420-215547.csv|pinnacle-history-20260420-222548.csv|pinnacle-history-20260420-232540.csv|pinnacle-history-20260420-235550.csv|pinnacle-history-20260421-002530.csv|pinnacle-history-20260421-090840.csv|pinnacle-history-20260421-092540.csv|pinnacle-history-20260421-093720.csv|pinnacle-history-20260421-094543.csv|pinnacle-history-20260421-100711.csv|pinnacle-history-20260421-103714.csv|pinnacle-history-20260421-110728.csv|pinnacle-history-20260421-113713.csv,
ATP,incomplete_spread_or_ml_price,Alexander Bublik,Ugo Humbert,alexander bublik,ugo humbert,2026-04-03,2026-04-03,14,pinnacle-history-20260403-103034.csv|pinnacle-history-20260403-110043.csv|pinnacle-history-20260403-113047.csv|pinnacle-history-20260403-113751.csv|pinnacle-history-20260403-115005.csv|pinnacle-history-20260403-120030.csv|pinnacle-history-20260403-123019.csv|pinnacle-history-20260403-130028.csv|pinnacle-history-20260403-133024.csv|pinnacle-history-20260403-140024.csv|pinnacle-history-20260403-143020.csv|pinnacle-history-20260403-150019.csv|pinnacle-history-20260403-153017.csv|pinnacle-history-20260403-160023.csv,
ATP,incomplete_spread_or_ml_price,Andrey Rublev,Stefanos Tsitsipas,andrey rublev,stefanos tsitsipas,2026-04-03,2026-04-03,18,pinnacle-history-20260403-103034.csv|pinnacle-history-20260403-110043.csv|pinnacle-history-20260403-113047.csv|pinnacle-history-20260403-113751.csv|pinnacle-history-20260403-115005.csv|pinnacle-history-20260403-120030.csv|pinnacle-history-20260403-123019.csv|pinnacle-history-20260403-130028.csv|pinnacle-history-20260403-133024.csv|pinnacle-history-20260403-140024.csv|pinnacle-history-20260403-143020.csv|pinnacle-history-20260403-150019.csv|pinnacle-history-20260403-153017.csv|pinnacle-history-20260403-160023.csv|pinnacle-history-20260403-163016.csv|pinnacle-history-20260403-170018.csv|pinnacle-history-20260403-173017.csv|pinnacle-history-20260403-180051.csv,
ATP,incomplete_spread_or_ml_price,Australia,Great Britain,australia,great britain,2026-04-09,2026-04-09,1,pinnacle-history-20260409-230929.csv,
ATP,incomplete_spread_or_ml_price,Belgium,USA,belgium,usa,2026-04-09,2026-04-11,2,pinnacle-history-20260409-230929.csv|pinnacle-history-20260411-090938.csv,
ATP,incomplete_spread_or_ml_price,Casper Ruud,Alexander Bublik,casper ruud,alexander bublik,2026-04-03,2026-04-04,11,pinnacle-history-20260403-232841.csv|pinnacle-history-20260403-233031.csv|pinnacle-history-20260404-080016.csv|pinnacle-history-20260404-090132.csv|pinnacle-history-20260404-093018.csv|pinnacle-history-20260404-100813.csv|pinnacle-history-20260404-103041.csv|pinnacle-history-20260404-110021.csv|pinnacle-history-20260404-113033.csv|pinnacle-history-20260404-120025.csv|pinnacle-history-20260404-123040.csv,
ATP,incomplete_spread_or_ml_price,Casper Ruud,Karen Khachanov,casper ruud,karen khachanov,2026-04-03,2026-04-03,14,pinnacle-history-20260403-103034.csv|pinnacle-history-20260403-110043.csv|pinnacle-history-20260403-113047.csv|pinnacle-history-20260403-113751.csv|pinnacle-history-20260403-115005.csv|pinnacle-history-20260403-120030.csv|pinnacle-history-20260403-123019.csv|pinnacle-history-20260403-130028.csv|pinnacle-history-20260403-133024.csv|pinnacle-history-20260403-140024.csv|pinnacle-history-20260403-143020.csv|pinnacle-history-20260403-150019.csv|pinnacle-history-20260403-153017.csv|pinnacle-history-20260403-160023.csv,
ATP,incomplete_spread_or_ml_price,Daniel Michalski,Calvin Hemery,daniel michalski,calvin hemery,2026-07-11,2026-07-11,8,pinnacle-history-20260711-070013.csv|pinnacle-history-20260711-073011.csv|pinnacle-history-20260711-080010.csv|pinnacle-history-20260711-083011.csv|pinnacle-history-20260711-090015.csv|pinnacle-history-20260711-091049.csv|pinnacle-history-20260711-093721.csv|pinnacle-history-20260711-100304.csv,
ATP,incomplete_spread_or_ml_price,Felix Auger-Aliassime,Andrey Rublev,felix auger aliassime,andrey rublev,2026-04-03,2026-04-04,13,pinnacle-history-20260403-232841.csv|pinnacle-history-20260403-233031.csv|pinnacle-history-20260404-080016.csv|pinnacle-history-20260404-090132.csv|pinnacle-history-20260404-093018.csv|pinnacle-history-20260404-100813.csv|pinnacle-history-20260404-103041.csv|pinnacle-history-20260404-110021.csv|pinnacle-history-20260404-113033.csv|pinnacle-history-20260404-120025.csv|pinnacle-history-20260404-123040.csv|pinnacle-history-20260404-143022.csv|pinnacle-history-20260404-150017.csv,
ATP,incomplete_spread_or_ml_price,Felix Auger-Aliassime,Grigor Dimitrov,felix auger aliassime,grigor dimitrov,2026-04-03,2026-04-03,14,pinnacle-history-20260403-103034.csv|pinnacle-history-20260403-110043.csv|pinnacle-history-20260403-113047.csv|pinnacle-history-20260403-113751.csv|pinnacle-history-20260403-115005.csv|pinnacle-history-20260403-120030.csv|pinnacle-history-20260403-123019.csv|pinnacle-history-20260403-130028.csv|pinnacle-history-20260403-133024.csv|pinnacle-history-20260403-140024.csv|pinnacle-history-20260403-143020.csv|pinnacle-history-20260403-150019.csv|pinnacle-history-20260403-153017.csv|pinnacle-history-20260403-160023.csv,
ATP,incomplete_spread_or_ml_price,Grigor Dimitrov,Karen Khachanov,grigor dimitrov,karen khachanov,2026-04-03,2026-04-04,11,pinnacle-history-20260403-232841.csv|pinnacle-history-20260403-233031.csv|pinnacle-history-20260404-080016.csv|pinnacle-history-20260404-090132.csv|pinnacle-history-20260404-093018.csv|pinnacle-history-20260404-100813.csv|pinnacle-history-20260404-103041.csv|pinnacle-history-20260404-110021.csv|pinnacle-history-20260404-113033.csv|pinnacle-history-20260404-120025.csv|pinnacle-history-20260404-123040.csv,
ATP,incomplete_spread_or_ml_price,Joao Reis Da Silva,Calvin Hemery,joao reis da silva,calvin hemery,2026-05-17,2026-05-18,23,pinnacle-history-20260517-203015.csv|pinnacle-history-20260517-210230.csv|pinnacle-history-20260517-213015.csv|pinnacle-history-20260517-220145.csv|pinnacle-history-20260517-223012.csv|pinnacle-history-20260517-230306.csv|pinnacle-history-20260518-085007.csv|pinnacle-history-20260518-090822.csv|pinnacle-history-20260518-092008.csv|pinnacle-history-20260518-095016.csv|pinnacle-history-20260518-102025.csv|pinnacle-history-20260518-105008.csv|pinnacle-history-20260518-112006.csv|pinnacle-history-20260518-122010.csv|pinnacle-history-20260518-125009.csv|pinnacle-history-20260518-132011.csv|pinnacle-history-20260518-135008.csv|pinnacle-history-20260518-145016.csv|pinnacle-history-20260518-152126.csv|pinnacle-history-20260518-155006.csv|pinnacle-history-20260518-162003.csv|pinnacle-history-20260518-165007.csv|pinnacle-history-20260518-172004.csv,
ATP,incomplete_spread_or_ml_price,Kazakhstan,Canada,kazakhstan,canada,2026-04-09,2026-04-11,2,pinnacle-history-20260409-230929.csv|pinnacle-history-20260411-090938.csv,
ATP,incomplete_spread_or_ml_price,Poland,Ukraine,poland,ukraine,2026-04-11,2026-04-11,1,pinnacle-history-20260411-090938.csv,
ATP,incomplete_spread_or_ml_price,Slovenia,Spain,slovenia,spain,2026-04-09,2026-04-11,2,pinnacle-history-20260409-230929.csv|pinnacle-history-20260411-090938.csv,
ATP,incomplete_spread_or_ml_price,Switzerland,Czech Republic,switzerland,czech republic,2026-04-09,2026-04-11,2,pinnacle-history-20260409-230929.csv|pinnacle-history-20260411-090938.csv,
ATP,incomplete_spread_or_ml_price,Ugo Humbert,Stefanos Tsitsipas,ugo humbert,stefanos tsitsipas,2026-04-03,2026-04-04,13,pinnacle-history-20260403-232841.csv|pinnacle-history-20260403-233031.csv|pinnacle-history-20260404-080016.csv|pinnacle-history-20260404-090132.csv|pinnacle-history-20260404-093018.csv|pinnacle-history-20260404-100813.csv|pinnacle-history-20260404-103041.csv|pinnacle-history-20260404-110021.csv|pinnacle-history-20260404-113033.csv|pinnacle-history-20260404-120025.csv|pinnacle-history-20260404-123040.csv|pinnacle-history-20260404-143022.csv|pinnacle-history-20260404-150017.csv,
ATP,incomplete_spread_or_ml_price,Vit Kopriva,Corentin Moutet,vit kopriva,corentin moutet,2026-05-21,2026-05-21,1,pinnacle-history-20260521-144347.csv,
ATP,result_not_found_in_window,Adrian Mannarino,Learner Tien,adrian mannarino,learner tien,2026-07-26,2026-07-28,49,pinnacle-history-20260726-160542.csv|pinnacle-history-20260726-163543.csv|pinnacle-history-20260726-170543.csv|pinnacle-history-20260726-173545.csv|pinnacle-history-20260726-180542.csv|pinnacle-history-20260726-183541.csv|pinnacle-history-20260726-190544.csv|pinnacle-history-20260726-193541.csv|pinnacle-history-20260726-200541.csv|pinnacle-history-20260726-203541.csv|pinnacle-history-20260726-210545.csv|pinnacle-history-20260726-213753.csv|pinnacle-history-20260726-220542.csv|pinnacle-history-20260726-223545.csv|pinnacle-history-20260727-091427.csv|pinnacle-history-20260727-093542.csv|pinnacle-history-20260727-094031.csv|pinnacle-history-20260727-100543.csv|pinnacle-history-20260727-101035.csv|pinnacle-history-20260727-104032.csv|pinnacle-history-20260727-111226.csv|pinnacle-history-20260727-114434.csv|pinnacle-history-20260727-125910.csv|pinnacle-history-20260727-131658.csv|pinnacle-history-20260727-134635.csv|pinnacle-history-20260727-141132.csv|pinnacle-history-20260727-144307.csv|pinnacle-history-20260727-151650.csv|pinnacle-history-20260727-154041.csv|pinnacle-history-20260727-161516.csv|pinnacle-history-20260727-164300.csv|pinnacle-history-20260727-171941.csv|pinnacle-history-20260727-174508.csv|pinnacle-history-20260727-181711.csv|pinnacle-history-20260727-184255.csv|pinnacle-history-20260727-191539.csv|pinnacle-history-20260727-205730.csv|pinnacle-history-20260727-211323.csv|pinnacle-history-20260727-221149.csv|pinnacle-history-20260727-224047.csv|pinnacle-history-20260727-231406.csv|pinnacle-history-20260727-234113.csv|pinnacle-history-20260728-100454.csv|pinnacle-history-20260728-103646.csv|pinnacle-history-20260728-133454.csv|pinnacle-history-20260728-141816.csv|pinnacle-history-20260728-143423.csv|pinnacle-history-20260728-150510.csv|pinnacle-history-20260728-153432.csv,2026-07-27|2026-07-28
ATP,result_not_found_in_window,Aidan Mayo,James Duckworth,aidan mayo,james duckworth,2026-07-27,2026-07-28,23,pinnacle-history-20260727-144307.csv|pinnacle-history-20260727-151650.csv|pinnacle-history-20260727-154041.csv|pinnacle-history-20260727-161516.csv|pinnacle-history-20260727-164300.csv|pinnacle-history-20260727-171941.csv|pinnacle-history-20260727-174508.csv|pinnacle-history-20260727-181711.csv|pinnacle-history-20260727-184255.csv|pinnacle-history-20260727-191539.csv|pinnacle-history-20260727-205730.csv|pinnacle-history-20260727-211323.csv|pinnacle-history-20260727-221149.csv|pinnacle-history-20260727-224047.csv|pinnacle-history-20260727-231406.csv|pinnacle-history-20260727-234113.csv|pinnacle-history-20260728-100454.csv|pinnacle-history-20260728-103646.csv|pinnacle-history-20260728-133454.csv|pinnacle-history-20260728-141816.csv|pinnacle-history-20260728-143423.csv|pinnacle-history-20260728-150510.csv|pinnacle-history-20260728-153432.csv,2026-07-28|2026-07-29
ATP,result_not_found_in_window,Alejandro Tabilo,Kamil Majchrzak,alejandro tabilo,kamil majchrzak,2026-05-21,2026-05-21,14,pinnacle-history-20260521-174315.csv|pinnacle-history-20260521-181302.csv|pinnacle-history-20260521-184452.csv|pinnacle-history-20260521-191425.csv|pinnacle-history-20260521-195012.csv|pinnacle-history-20260521-201356.csv|pinnacle-history-20260521-204326.csv|pinnacle-history-20260521-211313.csv|pinnacle-history-20260521-214305.csv|pinnacle-history-20260521-221304.csv|pinnacle-history-20260521-224309.csv|pinnacle-history-20260521-230219.csv|pinnacle-history-20260521-231308.csv|pinnacle-history-20260521-234257.csv,
ATP,result_not_found_in_window,Alejandro Tabilo,Stan Wawrinka,alejandro tabilo,stan wawrinka,2026-05-17,2026-05-17,14,pinnacle-history-20260517-083008.csv|pinnacle-history-20260517-100011.csv|pinnacle-history-20260517-103028.csv|pinnacle-history-20260517-110014.csv|pinnacle-history-20260517-113215.csv|pinnacle-history-20260517-120332.csv|pinnacle-history-20260517-123033.csv|pinnacle-history-20260517-130030.csv|pinnacle-history-20260517-133428.csv|pinnacle-history-20260517-140011.csv|pinnacle-history-20260517-143010.csv|pinnacle-history-20260517-150013.csv|pinnacle-history-20260517-153022.csv|pinnacle-history-20260517-160150.csv,
