dimension,value,n,wins,losses,pushes,pnl,staked,roi_pct,avg_edge,avg_odds
calibration_reason,ok-correction-only,46,23,23,0,-3.322,92.0,-3.6109,12.0285,1.9312
confidence,medium,26,12,14,0,-6.212,52.0,-11.9462,11.6535,1.919
confidence,high,20,11,9,0,2.89,40.0,7.225,12.516,1.9469
edge_bucket,00-10,28,14,14,0,-1.762,56.0,-3.1464,6.7446,1.9408
edge_bucket,10-15,8,6,2,0,7.09,16.0,44.3125,12.5237,1.906
edge_bucket,20+,6,2,4,0,-4.154,12.0,-34.6167,32.7733,1.959
edge_bucket,15-20,4,1,3,0,-4.496,8.0,-56.2,16.9075,1.8722
guard_combo,model=unknown|market=unknown|dog=unknown,36,20,16,0,5.53,72.0,7.6806,11.3556,1.9404
guard_combo,model=false|market=false|dog=false,8,1,7,0,-12.26,16.0,-76.625,9.9013,1.9094
guard_combo,model=true|market=false|dog=false,1,1,0,0,1.904,2.0,95.2,49.85,1.952
guard_combo,model=true|market=true|dog=false,1,1,0,0,1.504,2.0,75.2,15.45,1.752
line_abs_bucket,02-3.5,26,14,12,0,2.162,52.0,4.1577,13.9142,1.9419
line_abs_bucket,00-1.5,15,8,7,0,0.536,30.0,1.7867,9.046,1.9193
line_abs_bucket,04+,5,1,4,0,-6.02,10.0,-60.2,11.17,1.9108
odds_bucket,1.85-1.95,26,13,13,0,-2.4,52.0,-4.6154,11.1762,1.9075
odds_bucket,1.95+,18,9,9,0,-0.426,36.0,-1.1833,13.16,1.9807
odds_bucket,<1.85,2,1,1,0,-0.496,4.0,-12.4,12.925,1.7925
orientation,dog_handicap,27,11,16,0,-11.494,54.0,-21.2852,12.1093,1.9364
orientation,favorite_handicap,13,9,4,0,8.798,26.0,33.8385,12.5231,1.9302
orientation,scratch,6,3,3,0,-0.626,12.0,-5.2167,10.5933,1.9095
orientation_x_edge,dog_handicap | 00-10,16,7,9,0,-4.96,32.0,-15.5,6.675,1.9431
orientation_x_edge,favorite_handicap | 00-10,8,5,3,0,3.578,16.0,22.3625,6.835,1.9466
orientation_x_edge,dog_handicap | 10-15,5,3,2,0,1.524,10.0,15.24,12.704,1.893
orientation_x_edge,dog_handicap | 20+,4,1,3,0,-4.058,8.0,-50.725,30.1975,1.9752
orientation_x_edge,scratch | 00-10,4,2,2,0,-0.38,8.0,-4.75,6.8425,1.9198
orientation_x_edge,dog_handicap | 15-20,2,0,2,0,-4.0,4.0,-100.0,17.92,1.914
orientation_x_edge,favorite_handicap | 10-15,2,2,0,0,3.812,4.0,95.3,13.24,1.953
orientation_x_edge,favorite_handicap | 15-20,2,1,1,0,-0.496,4.0,-12.4,15.895,1.8305
orientation_x_edge,favorite_handicap | 20+,1,1,0,0,1.904,2.0,95.2,49.85,1.952
orientation_x_edge,scratch | 10-15,1,1,0,0,1.754,2.0,87.7,10.19,1.877
orientation_x_edge,scratch | 20+,1,0,1,0,-2.0,2.0,-100.0,26.0,1.901
orientation_x_line,dog_handicap | 02-3.5,17,7,10,0,-7.0,34.0,-20.5882,13.7641,1.9426
orientation_x_line,favorite_handicap | 02-3.5,9,7,2,0,9.162,18.0,50.9,14.1978,1.9404
orientation_x_line,scratch | 00-1.5,6,3,3,0,-0.626,12.0,-5.2167,10.5933,1.9095
orientation_x_line,dog_handicap | 00-1.5,5,3,2,0,1.526,10.0,15.26,7.422,1.941
orientation_x_line,dog_handicap | 04+,5,1,4,0,-6.02,10.0,-60.2,11.17,1.9108
orientation_x_line,favorite_handicap | 00-1.5,4,2,2,0,-0.364,8.0,-4.55,8.755,1.907
series,Masters 1000,37,18,19,0,-4.842,74.0,-6.5432,10.3238,1.9255
series,ATP500,9,5,4,0,1.52,18.0,8.4444,19.0367,1.9546
series_x_orientation,Masters 1000 | dog_handicap,23,10,13,0,-7.296,46.0,-15.8609,9.5904,1.9327
series_x_orientation,Masters 1000 | favorite_handicap,9,5,4,0,1.08,18.0,6.0,13.76,1.9148
series_x_orientation,Masters 1000 | scratch,5,3,2,0,1.374,10.0,13.74,7.512,1.9112
series_x_orientation,ATP500 | dog_handicap,4,1,3,0,-4.198,8.0,-52.475,26.5925,1.9577
series_x_orientation,ATP500 | favorite_handicap,4,4,0,0,7.718,8.0,96.475,9.74,1.9647
series_x_orientation,ATP500 | scratch,1,0,1,0,-2.0,2.0,-100.0,26.0,1.901
surface,Clay,46,23,23,0,-3.322,92.0,-3.6109,12.0285,1.9312
surface_x_orientation,Clay | dog_handicap,27,11,16,0,-11.494,54.0,-21.2852,12.1093,1.9364
surface_x_orientation,Clay | favorite_handicap,13,9,4,0,8.798,26.0,33.8385,12.5231,1.9302
surface_x_orientation,Clay | scratch,6,3,3,0,-0.626,12.0,-5.2167,10.5933,1.9095
