surface,threshold_pct,settled,staked_units,pnl_units,roi_pct,clv_matched,avg_clv_pct,median_clv_pct,positive_clv_share_pct,line_bucket_dominance_share,live_ready
Hard,5.0,0,0.0,0.0,,0,,,,,False
Hard,8.0,0,0.0,0.0,,0,,,,,False
Hard,10.0,0,0.0,0.0,,0,,,,,False
Hard,12.0,0,0.0,0.0,,0,,,,,False
Hard,15.0,0,0.0,0.0,,0,,,,,False
Hard,20.0,0,0.0,0.0,,0,,,,,False
Clay,5.0,46,92.0,-3.322,-3.6109,34,-0.0097,0.0,35.2941,0.2107,False
Clay,8.0,23,46.0,0.216,0.4696,18,0.0129,0.0,38.8889,0.3809,False
Clay,10.0,18,36.0,-1.56,-4.3333,13,-0.0298,0.0,38.4615,0.472,False
Clay,12.0,16,32.0,-1.314,-4.1062,12,-0.1312,0.0,33.3333,0.3209,False
Clay,15.0,10,20.0,-8.65,-43.25,6,-0.2157,-0.0997,33.3333,0.3655,False
Clay,20.0,6,12.0,-4.154,-34.6167,3,-0.3938,-0.1994,33.3333,0.5097,False
