date_iso,year,surface,series,league,player1,player2,spread_line,spread_odds1,spread_odds2,p1_match_prob,p_a,p_b,margin_p1,cover_result,base_prob_raw,base_prob,market_prob_devig_p1,market_logit_delta,overround,line_bucket,match_method,captured_at,snapshot_source_file,surface_clay,line_abs_centered,line_bucket_3_5,line_bucket_4_5,line_bucket_5_5_plus,p1_match_prob_centered
2026-03-29,2026,Clay,,ATP,Federico Agustin Gomez,Clement Tabur,1.5,1.917,1.901,0.3775,0.5342,0.5671,-1.0,1,0.394279,0.39864,0.497905,0.402752,0.047687,1.5,audit_local,2026-03-29T13:13:44+00:00,handicap-input-audit.csv,1.0,-3.0,0.0,0.0,0.0,-0.1225
2026-03-29,2026,Clay,,ATP,Amine Jamji,Rei Sakamoto,7.0,1.909,1.926,0.2761,0.609,0.6561,-6.0,1,0.890771,0.792886,0.502216,-1.333542,0.043045,7.0,audit_local,2026-03-29T13:13:44+00:00,handicap-input-audit.csv,1.0,2.5,0.0,0.0,1.0,-0.2239
2026-03-29,2026,Hard,,ATP,Jiri Lehecka,Jannik Sinner,5.0,1.84,2.06,0.1318,0.5745,0.6978,-4.0,1,0.368782,0.480032,0.528205,0.192855,0.028915,5.0,audit_local,2026-03-29T13:13:44+00:00,handicap-input-audit.csv,0.0,0.5,0.0,0.0,0.0,-0.3682
2026-03-29,2026,Clay,,ATP,Younes Lalami Laaroussi,Moez Echargui,5.0,1.877,1.962,0.4621,0.5238,0.5234,-3.0,1,0.772068,0.656821,0.511071,-0.604871,0.042449,5.0,audit_local,2026-03-29T13:13:44+00:00,handicap-input-audit.csv,1.0,0.5,0.0,0.0,0.0,-0.0379
2026-03-29,2026,Clay,,ATP,Ilya Ivashka,Nicolai Budkov Kjaer,4.5,1.847,2.0,0.0906,0.5792,0.6858,-4.0,1,0.426887,0.414629,0.519886,0.424448,0.041419,4.5,audit_local,2026-03-29T13:13:44+00:00,handicap-input-audit.csv,1.0,0.0,0.0,1.0,0.0,-0.4094
2026-03-29,2026,Clay,,ATP,Liam Draxl,Alexis Galarneau,-2.5,1.943,1.877,0.5802,0.5258,0.52,3.0,1,0.415144,0.408892,0.491361,0.33399,0.047433,2.5,audit_local,2026-03-29T13:13:44+00:00,handicap-input-audit.csv,1.0,-2.0,0.0,0.0,0.0,0.0802
2026-03-29,2026,Clay,,ATP,Alex Bolt,Andres Andrade,3.5,2.08,1.769,0.4704,0.5201,0.5225,6.0,1,0.674626,0.539528,0.4596,-0.320394,0.04606,3.5,audit_local,2026-03-29T13:13:44+00:00,handicap-input-audit.csv,1.0,-1.0,1.0,0.0,0.0,-0.0296
2026-03-29,2026,Clay,,ATP,Marco Trungelliti,Hynek Barton,-1.5,1.943,1.893,0.6585,0.649,0.616,5.0,1,0.595964,0.497759,0.493483,-0.017107,0.04293,1.5,audit_local,2026-03-29T13:13:44+00:00,handicap-input-audit.csv,1.0,-3.0,0.0,0.0,0.0,0.1585
2026-03-29,2026,Clay,,ATP,Henrique Rocha,David Jorda Sanchis,-5.0,2.0,1.84,0.7028,0.654,0.611,7.0,1,0.189222,0.366841,0.479167,0.462413,0.043478,5.0,audit_local,2026-03-29T13:13:44+00:00,handicap-input-audit.csv,1.0,0.5,0.0,0.0,0.0,0.2028
2026-03-29,2026,Clay,,ATP,Jack Pinnington Jones,Darwin Blanch,-2.0,1.943,1.877,0.6853,0.6627,0.6232,3.0,1,0.550992,0.511877,0.491361,-0.082075,0.047433,2.0,audit_local,2026-03-29T13:13:44+00:00,handicap-input-audit.csv,1.0,-2.5,0.0,0.0,0.0,0.1853
2026-03-30,2026,Clay,,ATP,Alex Bolt,Yibing Wu,4.0,1.971,1.877,0.2244,0.6126,0.6733,5.0,1,0.493925,0.518642,0.487786,-0.123467,0.040122,4.0,audit_local,2026-03-30T14:30:11+00:00,handicap-input-audit.csv,1.0,-0.5,0.0,0.0,0.0,-0.2756
2026-03-30,2026,Clay,,ATP,Marco Trungelliti,Rei Sakamoto,-3.0,1.935,1.901,0.5795,0.5247,0.52,3.0,0,0.339018,0.406108,0.495568,0.362352,0.042835,3.0,audit_local,2026-03-30T14:30:11+00:00,handicap-input-audit.csv,1.0,-1.5,0.0,0.0,0.0,0.0795
2026-03-30,2026,Clay,,ATP,Timofey Skatov,Moez Echargui,-2.5,1.893,1.943,0.5534,0.5237,0.52,6.0,1,0.404309,0.403579,0.506517,0.416644,0.04293,2.5,audit_local,2026-03-30T14:30:11+00:00,handicap-input-audit.csv,1.0,-2.0,0.0,0.0,0.0,0.0534
2026-03-30,2026,Clay,,ATP,Jack Pinnington Jones,Zhizhen Zhang,1.0,1.935,1.917,0.4368,0.5246,0.5238,-8.0,0,0.526008,0.484736,0.497664,0.051728,0.038444,1.0,audit_local,2026-03-30T14:30:11+00:00,handicap-input-audit.csv,1.0,-3.5,0.0,0.0,0.0,-0.0632
2026-03-30,2026,Clay,,ATP,Dusan Lajovic,Lloyd Harris,-2.0,1.87,1.971,0.5395,0.5319,0.5253,4.0,1,0.419297,0.436765,0.513148,0.306903,0.042116,2.0,audit_local,2026-03-30T14:30:11+00:00,handicap-input-audit.csv,1.0,-2.5,0.0,0.0,0.0,0.0395
2026-03-30,2026,Clay,,ATP,Henrique Rocha,Nicolai Budkov Kjaer,-0.5,1.901,1.935,0.4247,0.5443,0.5518,9.0,1,0.441093,0.421546,0.504432,0.334157,0.042835,0.5,audit_local,2026-03-30T14:30:11+00:00,handicap-input-audit.csv,1.0,-4.0,0.0,0.0,0.0,-0.0753
2026-03-30,2026,Clay,,ATP,Karim Bennani,Quentin Halys,5.5,2.02,1.84,0.1081,0.5831,0.6819,5.0,1,0.641267,0.521368,0.476684,-0.178857,0.038528,5.5,audit_local,2026-03-30T14:30:11+00:00,handicap-input-audit.csv,1.0,1.0,0.0,0.0,1.0,-0.3919
2026-03-30,2026,Clay,,ATP,Aleksandar Vukic,Taha Baadi,-5.5,1.84,2.04,0.8964,0.6832,0.5818,-6.0,0,0.378992,0.391067,0.525773,0.546013,0.033674,5.5,audit_local,2026-03-30T14:30:11+00:00,handicap-input-audit.csv,1.0,1.0,0.0,0.0,1.0,0.3964
2026-03-30,2026,Clay,,ATP,Stefan Horia Haita,Joel Schwaerzler,7.0,2.04,1.813,0.0396,0.5439,0.6825,-1.0,1,0.598115,0.600979,0.470542,-0.527512,0.041768,7.0,audit_local,2026-03-30T14:30:11+00:00,handicap-input-audit.csv,1.0,2.5,0.0,0.0,1.0,-0.4604
2026-03-30,2026,Clay,,ATP,Dimitar Kuzmanov,Stefano Travaglia,4.0,1.877,1.952,0.3008,0.5518,0.5685,6.0,1,0.619515,0.565249,0.509794,-0.223314,0.04506,4.0,audit_local,2026-03-30T14:30:11+00:00,handicap-input-audit.csv,1.0,-0.5,0.0,0.0,0.0,-0.1992
2026-03-30,2026,Clay,,ATP,Adolfo Daniel Vallejo,Zachary Svajda,-2.0,1.901,1.971,0.5517,0.5252,0.52,7.0,1,0.412042,0.433041,0.509039,0.305618,0.033396,2.0,audit_local,2026-03-30T14:30:11+00:00,handicap-input-audit.csv,1.0,-2.5,0.0,0.0,0.0,0.0517
2026-03-30,2026,Clay,,ATP,Jesper De Jong,Yannick Hanfmann,2.5,1.909,1.943,0.4028,0.6074,0.6114,-3.0,0,0.623611,0.512042,0.504413,-0.030525,0.038503,2.5,audit_local,2026-03-30T14:30:11+00:00,handicap-input-audit.csv,1.0,-2.0,0.0,0.0,0.0,-0.0972
2026-03-30,2026,Clay,,ATP,Colton Smith,Thiago Agustin Tirante,2.5,1.962,1.909,0.3851,0.5313,0.5325,-9.0,0,0.613446,0.506749,0.493154,-0.054382,0.033518,2.5,audit_local,2026-03-31T00:01:24+00:00,handicap-input-audit.csv,1.0,-2.0,0.0,0.0,0.0,-0.1149
2026-03-30,2026,Clay,,ATP,Mackenzie Mcdonald,Jenson Brooksby,3.5,1.971,1.901,0.2773,0.6193,0.6666,6.0,1,0.553683,0.4765,0.490961,0.05791,0.033396,3.5,audit_local,2026-03-31T00:01:24+00:00,handicap-input-audit.csv,1.0,-1.0,1.0,0.0,0.0,-0.2227
2026-03-31,2026,Clay,,ATP,Daniel Merida Aguilar,Joel Schwaerzler,-3.5,1.877,1.943,0.6079,0.5624,0.5441,8.0,1,0.399237,0.401084,0.508639,0.435507,0.047433,3.5,audit_local,2026-03-31T00:12:55+00:00,handicap-input-audit.csv,1.0,-1.0,1.0,0.0,0.0,0.1079
