signal_date,time_utc,match_date,bet_type,player1,player2,player1_id,player2_id,surface,series,confidence,side,spread_line,value_pct,history_sub_reason,fallback_reason,surname_keys_generated,nearest_in_window_capture_1,nearest_in_window_capture_2,nearest_in_window_capture_3,signal_profile,policy_mode
2026-03-04,19:21:30,2026-03-08,match,Juan Manuel Cerundolo,Botic Van De Zandschulp,52934,24249,Hard,Masters 1000,high,P1,,17.93,history_not_found,pair_not_found,cerundolo|de;cerundolo|de zandschulp;cerundolo|dezandschulp;cerundolo|zandschulp;manuel cerundolo|de;manuel cerundolo|de zandschulp;manuel cerundolo|dezandschulp;manuel cerundolo|zandschulp;manuelcerundolo|de;manuelcerundolo|de zandschulp;manuelcerundolo|dezandschulp;manuelcerundolo|zandschulp;manuel|de;manuel|de zandschulp;manuel|dezandschulp;manuel|zandschulp,,,,,base
2026-03-04,19:21:30,2026-03-08,match,Nuno Borges,Emilio Nava,31446,56197,Hard,Masters 1000,high,P2,,35.71,history_not_found,pair_not_found,borges|emilio;borges|emilio nava;borges|emilionava;borges|nava;nuno borges|emilio;nuno borges|emilio nava;nuno borges|emilionava;nuno borges|nava;nunoborges|emilio;nunoborges|emilio nava;nunoborges|emilionava;nunoborges|nava;nuno|emilio;nuno|emilio nava;nuno|emilionava;nuno|nava,,,,,base
2026-03-04,19:21:30,2026-03-08,match,Hubert Hurkacz,Aleksandar Kovacevic,26473,39152,Hard,Masters 1000,high,P2,,26.97,history_not_found,pair_not_found,hubert hurkacz|aleksandar;hubert hurkacz|aleksandar kovacevic;hubert hurkacz|aleksandarkovacevic;hubert hurkacz|kovacevic;huberthurkacz|aleksandar;huberthurkacz|aleksandar kovacevic;huberthurkacz|aleksandarkovacevic;huberthurkacz|kovacevic;hubert|aleksandar;hubert|aleksandar kovacevic;hubert|aleksandarkovacevic;hubert|kovacevic;hurkacz|aleksandar;hurkacz|aleksandar kovacevic;hurkacz|aleksandarkovacevic;hurkacz|kovacevic,,,,,base
2026-03-04,19:21:30,2026-03-08,match,Fabian Marozsan,Roberto Bautista Agut,52140,1837,Hard,Masters 1000,high,P2,,40.46,history_not_found,pair_not_found,fabian marozsan|agut;fabian marozsan|bautista;fabian marozsan|bautista agut;fabian marozsan|bautistaagut;fabianmarozsan|agut;fabianmarozsan|bautista;fabianmarozsan|bautista agut;fabianmarozsan|bautistaagut;fabian|agut;fabian|bautista;fabian|bautista agut;fabian|bautistaagut;marozsan|agut;marozsan|bautista;marozsan|bautista agut;marozsan|bautistaagut,,,,,base
2026-03-04,19:21:30,2026-03-08,match,Sebastian Korda,Francisco Comesana,42451,61971,Hard,Masters 1000,high,P2,,59.82,history_not_found,pair_not_found,korda|comesana;korda|francisco;korda|francisco comesana;korda|franciscocomesana;sebastian korda|comesana;sebastian korda|francisco;sebastian korda|francisco comesana;sebastian korda|franciscocomesana;sebastiankorda|comesana;sebastiankorda|francisco;sebastiankorda|francisco comesana;sebastiankorda|franciscocomesana;sebastian|comesana;sebastian|francisco;sebastian|francisco comesana;sebastian|franciscocomesana,,,,,base
2026-03-04,19:21:30,2026-03-08,match,Alejandro Tabilo,Rafael Jodar,30087,99691,Hard,Masters 1000,high,P1,,27.38,history_not_found,pair_not_found,alejandro tabilo|jodar;alejandro tabilo|rafael;alejandro tabilo|rafael jodar;alejandro tabilo|rafaeljodar;alejandrotabilo|jodar;alejandrotabilo|rafael;alejandrotabilo|rafael jodar;alejandrotabilo|rafaeljodar;alejandro|jodar;alejandro|rafael;alejandro|rafael jodar;alejandro|rafaeljodar;tabilo|jodar;tabilo|rafael;tabilo|rafael jodar;tabilo|rafaeljodar,,,,,base
2026-03-04,00:10:30,2026-03-08,match,Jacob Fearnley,Damir Dzumhur,68090,13447,Hard,Masters 1000,high,P2,,23.5,history_not_found,pair_not_found,fearnley|damir;fearnley|damir dzumhur;fearnley|damirdzumhur;fearnley|dzumhur;jacob fearnley|damir;jacob fearnley|damir dzumhur;jacob fearnley|damirdzumhur;jacob fearnley|dzumhur;jacobfearnley|damir;jacobfearnley|damir dzumhur;jacobfearnley|damirdzumhur;jacobfearnley|dzumhur;jacob|damir;jacob|damir dzumhur;jacob|damirdzumhur;jacob|dzumhur,,,,,base
2026-03-04,00:10:30,2026-03-08,match,Mattia Bellucci,Gabriel Diallo,72578,68627,Hard,Masters 1000,high,P2,,7.14,history_not_found,pair_not_found,bellucci|diallo;bellucci|gabriel;bellucci|gabriel diallo;bellucci|gabrieldiallo;mattia bellucci|diallo;mattia bellucci|gabriel;mattia bellucci|gabriel diallo;mattia bellucci|gabrieldiallo;mattiabellucci|diallo;mattiabellucci|gabriel;mattiabellucci|gabriel diallo;mattiabellucci|gabrieldiallo;mattia|diallo;mattia|gabriel;mattia|gabriel diallo;mattia|gabrieldiallo,,,,,base
2026-03-04,19:21:30,2026-03-08,match,Daniel Altmaier,Miomir Kecmanovic,29732,34337,Hard,Masters 1000,high,P1,,78.75,history_not_found,pair_not_found,altmaier|kecmanovic;altmaier|miomir;altmaier|miomir kecmanovic;altmaier|miomirkecmanovic;daniel altmaier|kecmanovic;daniel altmaier|miomir;daniel altmaier|miomir kecmanovic;daniel altmaier|miomirkecmanovic;danielaltmaier|kecmanovic;danielaltmaier|miomir;danielaltmaier|miomir kecmanovic;danielaltmaier|miomirkecmanovic;daniel|kecmanovic;daniel|miomir;daniel|miomir kecmanovic;daniel|miomirkecmanovic,,,,,base
2026-03-04,00:10:30,2026-03-08,match,Camilo Ugo Carabelli,Martin Damm,42229,72574,Hard,Masters 1000,high,P1,,12.95,history_not_found,pair_not_found,carabelli|damm;carabelli|martin;carabelli|martin damm;carabelli|martindamm;ugo carabelli|damm;ugo carabelli|martin;ugo carabelli|martin damm;ugo carabelli|martindamm;ugocarabelli|damm;ugocarabelli|martin;ugocarabelli|martin damm;ugocarabelli|martindamm;ugo|damm;ugo|martin;ugo|martin damm;ugo|martindamm,,,,,base
2026-03-04,19:21:30,2026-03-08,match,Matteo Berrettini,Adrian Mannarino,29812,7806,Hard,Masters 1000,high,P2,,17.97,history_not_found,pair_not_found,berrettini|adrian;berrettini|adrian mannarino;berrettini|adrianmannarino;berrettini|mannarino;matteo berrettini|adrian;matteo berrettini|adrian mannarino;matteo berrettini|adrianmannarino;matteo berrettini|mannarino;matteoberrettini|adrian;matteoberrettini|adrian mannarino;matteoberrettini|adrianmannarino;matteoberrettini|mannarino;matteo|adrian;matteo|adrian mannarino;matteo|adrianmannarino;matteo|mannarino,,,,,base
2026-03-04,00:10:30,2026-03-08,match,Reilly Opelka,Ethan Quinn,28087,82269,Hard,Masters 1000,high,P2,,6.25,history_not_found,pair_not_found,opelka|ethan;opelka|ethan quinn;opelka|ethanquinn;opelka|quinn;reilly opelka|ethan;reilly opelka|ethan quinn;reilly opelka|ethanquinn;reilly opelka|quinn;reillyopelka|ethan;reillyopelka|ethan quinn;reillyopelka|ethanquinn;reillyopelka|quinn;reilly|ethan;reilly|ethan quinn;reilly|ethanquinn;reilly|quinn,,,,,base
