signal_date,time_utc,match_date,lag_days,lag_bucket,bet_type,player1,player2,player1_id,player2_id,surface,series,confidence,side,spread_line,line_bucket,value_pct,scrape_odds,closing_odds,scrape_implied_pct,closing_implied_pct,clv_implied_delta_pct,odds_move_pct,clv_direction,bet_outcome,won_bet,match_status,match_method,closing_source,history_capture_mode,history_captured_at,tournament,location,signal_profile,policy_mode
2026-04-14,22:14:37,2026-04-16,2,plus_2_3_days,spread,Botic Van De Zandschulp,Francisco Cerundolo,24249,52279,Clay,ATP500,high,P1+,3.5,3.5,20.51,2.01,2.0,49.75124378109454,50.0,0.24875621890546595,-0.4975124378109319,positive,LOSS,0,matched,history,bookmaker_odds_history,daily,2026-04-16T09:08:30.595228+00:00,,,spread_v1_shadow,base
2026-04-14,22:14:37,2026-04-15,1,plus_1_day,spread,Cameron Norrie,Ethan Quinn,27851,82269,Clay,ATP500,high,P1+,-2.5,2.5,9.67,1.971,1.885,50.735667174023334,53.05039787798409,2.3147307039607545,-4.363267376966007,positive,WIN,1,matched,history,bookmaker_odds_history,close,2026-04-15T15:30:12.260531+00:00,,,spread_v1_shadow,base
2026-04-16,23:04:38,2026-04-17,1,plus_1_day,spread,Alexander Zverev,Francisco Cerundolo,24008,52279,Clay,ATP500,high,P1+,-3.5,3.5,12.46,1.971,1.99,50.735667174023334,50.25125628140703,-0.4844108926163049,0.9639776763064489,negative,WIN,1,matched,history,bookmaker_odds_history,close,2026-04-17T09:50:02.032774+00:00,,,spread_v1_shadow,base
2026-04-16,23:04:38,2026-04-17,1,plus_1_day,spread,Flavio Cobolli,Vit Kopriva,67546,42971,Clay,ATP500,high,P1+,-3.5,3.5,9.77,2.0,1.926,50.0,51.92107995846313,1.9210799584631344,-3.7000000000000033,positive,WIN,1,matched,history,bookmaker_odds_history,daily,2026-04-17T09:09:49.436676+00:00,,,spread_v1_shadow,base
2026-04-16,23:04:38,2026-04-17,1,plus_1_day,spread,Joao Fonseca,Ben Shelton,91521,87562,Clay,ATP500,high,P2-,-2.5,2.5,12.16,1.901,1.952,52.60389268805892,51.229508196721305,-1.3743844913376102,2.6827985270909904,negative,WIN,1,matched,history,bookmaker_odds_history,close,2026-04-17T13:30:21.993607+00:00,,,spread_v1_shadow,base
2026-04-17,09:09:56,2026-04-17,0,same_day,spread,Tomas Machac,Andrey Rublev,58327,29372,Clay,ATP500,medium,P2-,1.5,1.5,7.06,1.917,1.971,52.164840897235266,50.735667174023334,-1.4291737232119295,2.8169014084507005,negative,WIN,1,matched,history,bookmaker_odds_history,close,2026-04-17T09:50:02.032774+00:00,,,spread_v1_shadow,base
2026-04-19,12:33:02,2026-04-19,0,same_day,spread,Andrey Rublev,Arthur Fils,29372,83135,Clay,ATP500,medium,P1+,3.5,3.5,34.19,1.87,1.877,53.475935828877,53.276505061267976,-0.19943076760902123,0.37433155080213165,negative,LOSS,0,matched,history,bookmaker_odds_history,close,2026-04-19T13:51:39.262114+00:00,,,spread_v1_shadow,base
2026-04-19,23:46:29,2026-04-20,1,plus_1_day,spread,Elmer Moller,Hugo Gaston,81189,46747,Clay,Masters 1000,high,P1+,3.0,3.0,6.68,1.926,1.943,51.92107995846313,51.4668039114771,-0.4542760469860352,0.8826583592938864,negative,WIN,1,matched,history,bookmaker_odds_history,close,2026-04-20T09:55:33.076868+00:00,,,spread_v1_shadow,base
2026-04-19,23:46:29,2026-04-20,1,plus_1_day,spread,Billy Harris,Daniel Merida Aguilar,29180,83223,Clay,Masters 1000,medium,P1+,4.0,4.0,16.18,1.935,1.99,51.67958656330749,50.25125628140703,-1.4283302819004584,2.84237726098191,negative,LOSS,0,matched,history,bookmaker_odds_history,close,2026-04-20T10:55:29.390004+00:00,,,spread_v1_shadow,base
2026-04-19,23:46:29,2026-04-20,1,plus_1_day,spread,Nicolai Budkov Kjaer,Francesco Maestrelli,104215,63737,Clay,Masters 1000,high,P2-,-2.0,2.0,6.72,1.962,1.971,50.9683995922528,50.735667174023334,-0.23273241822946433,0.4587155963302836,negative,LOSS,0,matched,history,bookmaker_odds_history,close,2026-04-20T10:55:29.390004+00:00,,,spread_v1_shadow,base
