signal_date,time_utc,match_date,lag_days,lag_bucket,player1,player2,player1_id,player2_id,surface,series,confidence,side,value_pct,scrape_odds,closing_odds,scrape_implied_pct,closing_implied_pct,clv_implied_delta_pct,odds_move_pct,clv_direction,bet_outcome,won_bet,match_status,match_method,closing_source,history_capture_mode,history_captured_at,tournament,location,signal_profile,policy_mode
2026-03-13,14:49:23,2026-03-13,0,same_day,Mattia Bellucci,Raphael Collignon,72578,84235,Hard,ATP250,high,P2,33.31,1.813,1.719,55.15719801434087,58.17335660267597,3.016158588335105,-5.1847766133480295,positive,LOSS,0,matched,history,local_pinnacle_history,close,2026-03-13T17:42:40.791932+00:00,,,volume_200,base
2026-03-14,11:04:08,2026-03-14,0,same_day,Borna Gojo,Pavel Kotov,30550,45553,Hard,ATP250,high,P1,21.67,1.752,1.752,57.077625570776256,57.077625570776256,0.0,0.0,flat,LOSS,0,matched,history,local_pinnacle_history,daily,2026-03-14T11:05:03.486541+00:00,,,volume_200,base
2026-03-18,11:07:45,2026-03-19,1,plus_1_day,Stefanos Tsitsipas,Arthur Fery,30470,79065,Hard,Masters 1000,high,P2,17.92,3.29,3.09,30.3951367781155,32.36245954692557,1.9673227688100703,-6.079027355623101,positive,LOSS,0,matched,history,local_pinnacle_history,daily,2026-03-19T11:06:05.126575+00:00,,,volume_200,base
2026-03-18,11:07:45,2026-03-19,1,plus_1_day,Ethan Quinn,Hubert Hurkacz,82269,26473,Hard,Masters 1000,high,P1,29.34,2.16,2.17,46.29629629629629,46.08294930875576,-0.21334698754053028,0.4629629629629539,negative,WIN,1,matched,history,local_pinnacle_history,daily,2026-03-19T11:06:05.126575+00:00,,,volume_200,base
2026-03-18,11:07:45,2026-03-19,1,plus_1_day,Zhizhen Zhang,Adrian Mannarino,26140,7806,Hard,Masters 1000,high,P2,30.26,1.98,1.877,50.505050505050505,53.276505061267976,2.7714545562174675,-5.202020202020197,positive,WIN,1,matched,history,local_pinnacle_history,daily,2026-03-19T11:06:05.126575+00:00,,,volume_200,base
2026-03-18,11:07:45,2026-03-19,1,plus_1_day,Raphael Collignon,Grigor Dimitrov,84235,11953,Hard,Masters 1000,high,P1,34.13,2.24,2.18,44.64285714285714,45.87155963302752,1.2287024901703802,-2.67857142857143,positive,WIN,1,matched,history,local_pinnacle_history,daily,2026-03-19T11:06:05.126575+00:00,,,volume_200,base
2026-03-18,11:07:45,2026-03-19,1,plus_1_day,Martin Damm,Jacob Fearnley,72574,68090,Hard,Masters 1000,high,P1,17.71,2.06,2.08,48.54368932038835,48.07692307692307,-0.4667662434652775,0.9708737864077666,negative,WIN,1,matched,history,local_pinnacle_history,daily,2026-03-19T11:06:05.126575+00:00,,,volume_200,base
2026-03-18,11:07:45,2026-03-19,1,plus_1_day,Fabian Marozsan,Joao Fonseca,52140,91521,Hard,Masters 1000,high,P1,36.0,3.06,3.19,32.6797385620915,31.347962382445143,-1.33177617964636,4.2483660130719025,negative,LOSS,0,matched,history,local_pinnacle_history,daily,2026-03-19T11:06:05.126575+00:00,,,volume_200,base
2026-03-18,11:07:45,2026-03-19,1,plus_1_day,Alexandre Muller,Matteo Berrettini,28108,29812,Hard,Masters 1000,high,P1,54.68,4.3,4.47,23.25581395348837,22.371364653243848,-0.884449300244522,3.953488372093017,negative,LOSS,0,matched,history,local_pinnacle_history,daily,2026-03-19T11:06:05.126575+00:00,,,volume_200,base
2026-03-18,11:07:45,2026-03-19,1,plus_1_day,James Duckworth,Roberto Bautista Agut,11517,1837,Hard,Masters 1000,high,P1,29.21,2.3,2.37,43.47826086956522,42.19409282700421,-1.284168042561007,3.04347826086957,negative,LOSS,0,matched,history,local_pinnacle_history,daily,2026-03-19T11:06:05.126575+00:00,,,volume_200,base
