generated_utc,as_of_date,scope,eval_period,league_scope,window_days,source_file,policy_mode,bet_type,signals,settled,unsettled,wins,losses,invalid_odds,staked_units,pnl_units,roi_pct,win_rate_pct,avg_value_pct,avg_pin_odds
2026-05-17T20:03:01+00:00,2026-04-24,window,overall,combined,7,strict-signals-clay-fav-archive.csv,base,,8,8,0,5,3,0,16.0000,3.0800,19.2500,62.5000,14.7850,1.9175
2026-05-17T20:03:01+00:00,2026-04-24,all_time,overall,combined,7,strict-signals-clay-fav-archive.csv,base,,12,12,0,9,3,0,24.0000,10.7980,44.9917,75.0000,13.1033,1.9333
2026-05-17T20:03:01+00:00,2026-04-24,window,overall,combined,7,strict-signals-clay-fav-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-05-17T20:03:01+00:00,2026-04-24,all_time,overall,combined,7,strict-signals-clay-fav-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-05-17T20:03:01+00:00,2026-04-24,window,overall,combined,7,strict-signals-clay-fav-archive.csv,base,handicap,8,8,0,5,3,0,16.0000,3.0800,19.2500,62.5000,14.7850,1.9175
2026-05-17T20:03:01+00:00,2026-04-24,all_time,overall,combined,7,strict-signals-clay-fav-archive.csv,base,handicap,12,12,0,9,3,0,24.0000,10.7980,44.9917,75.0000,13.1033,1.9333
2026-05-17T20:03:01+00:00,2026-04-24,all_time,legacy,combined,7,strict-signals-clay-fav-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-05-17T20:03:01+00:00,2026-04-24,all_time,clean,combined,7,strict-signals-clay-fav-archive.csv,base,,12,12,0,9,3,0,24.0000,10.7980,44.9917,75.0000,13.1033,1.9333
2026-05-17T20:03:01+00:00,2026-04-24,window,clean,combined,7,strict-signals-clay-fav-archive.csv,base,,8,8,0,5,3,0,16.0000,3.0800,19.2500,62.5000,14.7850,1.9175
2026-05-17T20:03:01+00:00,2026-04-24,all_time,legacy,combined,7,strict-signals-clay-fav-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-05-17T20:03:01+00:00,2026-04-24,all_time,clean,combined,7,strict-signals-clay-fav-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-05-17T20:03:01+00:00,2026-04-24,window,clean,combined,7,strict-signals-clay-fav-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-05-17T20:03:01+00:00,2026-04-24,all_time,legacy,combined,7,strict-signals-clay-fav-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-05-17T20:03:01+00:00,2026-04-24,all_time,clean,combined,7,strict-signals-clay-fav-archive.csv,base,handicap,12,12,0,9,3,0,24.0000,10.7980,44.9917,75.0000,13.1033,1.9333
2026-05-17T20:03:01+00:00,2026-04-24,window,clean,combined,7,strict-signals-clay-fav-archive.csv,base,handicap,8,8,0,5,3,0,16.0000,3.0800,19.2500,62.5000,14.7850,1.9175
2026-05-17T20:03:01+00:00,2026-04-24,window,overall,ATP,7,strict-signals-clay-fav-archive.csv,base,,8,8,0,5,3,0,16.0000,3.0800,19.2500,62.5000,14.7850,1.9175
2026-05-17T20:03:01+00:00,2026-04-24,all_time,overall,ATP,7,strict-signals-clay-fav-archive.csv,base,,12,12,0,9,3,0,24.0000,10.7980,44.9917,75.0000,13.1033,1.9333
2026-05-17T20:03:01+00:00,2026-04-24,window,overall,ATP,7,strict-signals-clay-fav-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-05-17T20:03:01+00:00,2026-04-24,all_time,overall,ATP,7,strict-signals-clay-fav-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-05-17T20:03:01+00:00,2026-04-24,window,overall,ATP,7,strict-signals-clay-fav-archive.csv,base,handicap,8,8,0,5,3,0,16.0000,3.0800,19.2500,62.5000,14.7850,1.9175
2026-05-17T20:03:01+00:00,2026-04-24,all_time,overall,ATP,7,strict-signals-clay-fav-archive.csv,base,handicap,12,12,0,9,3,0,24.0000,10.7980,44.9917,75.0000,13.1033,1.9333
2026-05-17T20:03:01+00:00,2026-04-24,all_time,legacy,ATP,7,strict-signals-clay-fav-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-05-17T20:03:01+00:00,2026-04-24,all_time,clean,ATP,7,strict-signals-clay-fav-archive.csv,base,,12,12,0,9,3,0,24.0000,10.7980,44.9917,75.0000,13.1033,1.9333
2026-05-17T20:03:01+00:00,2026-04-24,window,clean,ATP,7,strict-signals-clay-fav-archive.csv,base,,8,8,0,5,3,0,16.0000,3.0800,19.2500,62.5000,14.7850,1.9175
2026-05-17T20:03:01+00:00,2026-04-24,all_time,legacy,ATP,7,strict-signals-clay-fav-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-05-17T20:03:01+00:00,2026-04-24,all_time,clean,ATP,7,strict-signals-clay-fav-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-05-17T20:03:01+00:00,2026-04-24,window,clean,ATP,7,strict-signals-clay-fav-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-05-17T20:03:01+00:00,2026-04-24,all_time,legacy,ATP,7,strict-signals-clay-fav-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-05-17T20:03:01+00:00,2026-04-24,all_time,clean,ATP,7,strict-signals-clay-fav-archive.csv,base,handicap,12,12,0,9,3,0,24.0000,10.7980,44.9917,75.0000,13.1033,1.9333
2026-05-17T20:03:01+00:00,2026-04-24,window,clean,ATP,7,strict-signals-clay-fav-archive.csv,base,handicap,8,8,0,5,3,0,16.0000,3.0800,19.2500,62.5000,14.7850,1.9175
2026-05-17T20:03:01+00:00,2026-04-24,window,overall,Challenger,7,strict-signals-clay-fav-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-05-17T20:03:01+00:00,2026-04-24,all_time,overall,Challenger,7,strict-signals-clay-fav-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-05-17T20:03:01+00:00,2026-04-24,window,overall,Challenger,7,strict-signals-clay-fav-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-05-17T20:03:01+00:00,2026-04-24,all_time,overall,Challenger,7,strict-signals-clay-fav-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
