generated_utc,as_of_date,scope,eval_period,league_scope,window_days,source_file,policy_mode,bet_type,signals,settled,unsettled,wins,losses,invalid_odds,staked_units,pnl_units,roi_pct,win_rate_pct,avg_value_pct,avg_pin_odds
2026-04-14T18:03:15+00:00,2026-04-14,window,overall,combined,7,strict-signals-volume200-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-14T18:03:15+00:00,2026-04-14,all_time,overall,combined,7,strict-signals-volume200-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-14T18:03:15+00:00,2026-04-14,all_time,clean,combined,7,strict-signals-volume200-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-14T18:03:15+00:00,2026-04-14,window,clean,combined,7,strict-signals-volume200-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-14T18:03:15+00:00,2026-04-14,all_time,overall,combined,7,strict-signals-volume200-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-14T18:03:15+00:00,2026-04-14,all_time,clean,combined,7,strict-signals-volume200-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-14T18:03:15+00:00,2026-04-14,all_time,overall,combined,7,strict-signals-volume200-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-14T18:03:15+00:00,2026-04-14,all_time,clean,combined,7,strict-signals-volume200-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-25,window,overall,combined,7,strict-signals-volume200-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-25,all_time,overall,combined,7,strict-signals-volume200-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-25,all_time,clean,combined,7,strict-signals-volume200-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-25,window,clean,combined,7,strict-signals-volume200-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-25,all_time,overall,combined,7,strict-signals-volume200-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-25,all_time,clean,combined,7,strict-signals-volume200-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-25,all_time,overall,combined,7,strict-signals-volume200-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-25,all_time,clean,combined,7,strict-signals-volume200-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
