generated_utc,as_of_date,scope,eval_period,league_scope,window_days,source_file,policy_mode,bet_type,signals,settled,unsettled,wins,losses,invalid_odds,staked_units,pnl_units,roi_pct,win_rate_pct,avg_value_pct,avg_pin_odds,
2026-03-04T19:23:57+00:00,2026-03-04,window,,,7,strict-signals-overlay-compare.csv,base,,10,0,10,0,0,0,0.0000,0.0000,,,34.0180,,
2026-03-04T19:23:57+00:00,2026-03-04,all_time,,,7,strict-signals-overlay-compare.csv,base,,10,0,10,0,0,0,0.0000,0.0000,,,34.0180,,
2026-03-04T19:37:19+00:00,2026-03-04,window,,,7,strict-signals-overlay-compare.csv,base,,10,0,10,0,0,0,0.0000,0.0000,,,34.0180,,
2026-03-04T19:37:19+00:00,2026-03-04,all_time,,,7,strict-signals-overlay-compare.csv,base,,10,0,10,0,0,0,0.0000,0.0000,,,34.0180,,
2026-03-04T19:37:19+00:00,2026-03-04,window,,,7,strict-signals-overlay-compare.csv,overlay,,3,0,3,0,0,0,0.0000,0.0000,,,26.4933,,
2026-03-04T19:37:19+00:00,2026-03-04,all_time,,,7,strict-signals-overlay-compare.csv,overlay,,3,0,3,0,0,0,0.0000,0.0000,,,26.4933,,
2026-03-08T22:53:41+00:00,2026-03-08,window,,,7,strict-signals-overlay-compare.csv,base,,65,57,8,18,39,0,57.0000,-8.6800,-15.2281,31.5789,33.4677,4.5349,
2026-03-08T22:53:41+00:00,2026-03-08,all_time,,,7,strict-signals-overlay-compare.csv,base,,65,57,8,18,39,0,57.0000,-8.6800,-15.2281,31.5789,33.4677,4.5349,
2026-03-08T22:53:41+00:00,2026-03-08,window,,,7,strict-signals-overlay-compare.csv,overlay,,20,18,2,8,10,0,18.0000,-2.4700,-13.7222,44.4444,22.2455,2.1317,
2026-03-08T22:53:41+00:00,2026-03-08,all_time,,,7,strict-signals-overlay-compare.csv,overlay,,20,18,2,8,10,0,18.0000,-2.4700,-13.7222,44.4444,22.2455,2.1317,
2026-03-12T20:19:51+00:00,2026-03-12,window,,,7,strict-signals-overlay-compare.csv,base,,,53,31,22,8,23,0,31.0000,-10.5260,-33.9548,25.8065,30.4856,['5.6085']
2026-03-12T20:19:51+00:00,2026-03-12,all_time,,,7,strict-signals-overlay-compare.csv,base,,,79,57,22,18,39,0,57.0000,-8.6800,-15.2281,31.5789,30.8904,['4.5349']
2026-03-12T20:19:51+00:00,2026-03-12,window,,,7,strict-signals-overlay-compare.csv,base,,ml,52,31,21,8,23,0,31.0000,-10.5260,-33.9548,25.8065,30.4856,['5.6085']
2026-03-12T20:19:51+00:00,2026-03-12,all_time,,,7,strict-signals-overlay-compare.csv,base,,ml,78,57,21,18,39,0,57.0000,-8.6800,-15.2281,31.5789,30.8904,['4.5349']
2026-03-12T20:19:51+00:00,2026-03-12,window,,,7,strict-signals-overlay-compare.csv,base,,handicap,1,0,1,0,0,0,0.0000,0.0000,,,40.2300,['']
2026-03-12T20:19:51+00:00,2026-03-12,all_time,,,7,strict-signals-overlay-compare.csv,base,,handicap,1,0,1,0,0,0,0.0000,0.0000,,,40.2300,['']
2026-03-12T20:19:51+00:00,2026-03-12,window,,,7,strict-signals-overlay-compare.csv,overlay,,,15,8,7,4,4,0,8.0000,-0.6860,-8.5750,50.0000,19.1933,['2.0793']
2026-03-12T20:19:51+00:00,2026-03-12,all_time,,,7,strict-signals-overlay-compare.csv,overlay,,,25,18,7,8,10,0,18.0000,-2.4700,-13.7222,44.4444,20.8428,['2.1317']
2026-03-12T20:19:51+00:00,2026-03-12,window,,,7,strict-signals-overlay-compare.csv,overlay,,ml,15,8,7,4,4,0,8.0000,-0.6860,-8.5750,50.0000,19.1933,['2.0793']
2026-03-12T20:19:51+00:00,2026-03-12,all_time,,,7,strict-signals-overlay-compare.csv,overlay,,ml,25,18,7,8,10,0,18.0000,-2.4700,-13.7222,44.4444,20.8428,['2.1317']
2026-03-12T20:19:51+00:00,2026-03-12,window,,,7,strict-signals-overlay-compare.csv,overlay,,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,['']
2026-03-12T20:19:51+00:00,2026-03-12,all_time,,,7,strict-signals-overlay-compare.csv,overlay,,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,['']
2026-03-12T20:21:29+00:00,2026-03-12,window,,,7,strict-signals-overlay-compare.csv,base,,,53,31,22,8,23,0,31.0000,-10.5260,-33.9548,25.8065,30.4856,['5.6085']
2026-03-12T20:21:29+00:00,2026-03-12,all_time,,,7,strict-signals-overlay-compare.csv,base,,,79,57,22,18,39,0,57.0000,-8.6800,-15.2281,31.5789,30.8904,['4.5349']
2026-03-12T20:21:29+00:00,2026-03-12,window,,,7,strict-signals-overlay-compare.csv,base,,ml,52,31,21,8,23,0,31.0000,-10.5260,-33.9548,25.8065,30.4856,['5.6085']
2026-03-12T20:21:29+00:00,2026-03-12,all_time,,,7,strict-signals-overlay-compare.csv,base,,ml,78,57,21,18,39,0,57.0000,-8.6800,-15.2281,31.5789,30.8904,['4.5349']
2026-03-12T20:21:29+00:00,2026-03-12,window,,,7,strict-signals-overlay-compare.csv,base,,handicap,1,0,1,0,0,0,0.0000,0.0000,,,40.2300,['']
2026-03-12T20:21:29+00:00,2026-03-12,all_time,,,7,strict-signals-overlay-compare.csv,base,,handicap,1,0,1,0,0,0,0.0000,0.0000,,,40.2300,['']
2026-03-12T20:21:29+00:00,2026-03-12,window,,,7,strict-signals-overlay-compare.csv,overlay,,,15,8,7,4,4,0,8.0000,-0.6860,-8.5750,50.0000,19.1933,['2.0793']
2026-03-12T20:21:29+00:00,2026-03-12,all_time,,,7,strict-signals-overlay-compare.csv,overlay,,,25,18,7,8,10,0,18.0000,-2.4700,-13.7222,44.4444,20.8428,['2.1317']
2026-03-12T20:21:29+00:00,2026-03-12,window,,,7,strict-signals-overlay-compare.csv,overlay,,ml,15,8,7,4,4,0,8.0000,-0.6860,-8.5750,50.0000,19.1933,['2.0793']
2026-03-12T20:21:29+00:00,2026-03-12,all_time,,,7,strict-signals-overlay-compare.csv,overlay,,ml,25,18,7,8,10,0,18.0000,-2.4700,-13.7222,44.4444,20.8428,['2.1317']
2026-03-12T20:21:29+00:00,2026-03-12,window,,,7,strict-signals-overlay-compare.csv,overlay,,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,['']
2026-03-12T20:21:29+00:00,2026-03-12,all_time,,,7,strict-signals-overlay-compare.csv,overlay,,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,['']
2026-03-13T14:14:40+00:00,2026-03-12,window,,,7,strict-signals-overlay-compare.csv,base,,,53,53,0,12,41,0,53.0000,-20.3990,-38.4887,22.6415,30.4856,['4.5212']
