date,time_utc,player1,player2,surface,league,series,tour_id,tour_name,challenger_event,data_coverage_tag,match_count_12m_p1,match_count_12m_p2,matches_total_p1,matches_total_p2,recent_challenger_plus_p1,recent_challenger_plus_p2,last_match_days_p1,last_match_days_p2,confidence,side,value_pct,skip_reason,shadow_reason,odds_capture_status,pin_odds1,pin_odds2,pinnacle_margin,pinnacle_league_name,bet_type,policy_mode,stake_units,stake_gbp,stake_model,signal_profile,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,spread_line,spread_odds,game_margin
2026-05-14,13:31:35,Alejandro Tabilo,Aleksandar Kovacevic,Clay,Challenger,Challenger,21662,Valencia Challenger,True,PARTIAL,30,11,356,274,12,12,77,78,high,P2,-2.74,coverage_thin,coverage_thin,matched_local_pinnacle,1.266,4.02,3.86,ATP Challenger Valencia - R16,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P1,LOSS,0,2026-05-14,30087,39152,30087,39152,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Arthur Fery,Dominic Stricker,Clay,Challenger,Challenger,21665,Zagreb Challenger,True,PARTIAL,5,11,226,266,12,7,113,77,medium,P1,3.26,coverage_thin,coverage_thin,missing_local_pinnacle,,,,,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P1,WIN,1,2026-05-14,79065,73196,79065,73196,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Benjamin Hassan,Hugo Dellien,Clay,Challenger,Challenger,21663,Oeiras 4 Challenger,True,PARTIAL,17,41,356,348,12,12,80,81,high,P1,1.86,coverage_thin,coverage_thin,matched_local_pinnacle,4.14,1.262,3.39,ATP Challenger Oeiras - QF,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P2,LOSS,0,2026-05-14,32887,18477,18477,32887,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Camilo Ugo Carabelli,Matteo Berrettini,Clay,Challenger,Challenger,21662,Valencia Challenger,True,PARTIAL,31,14,304,235,12,12,78,79,high,P1,6.16,coverage_thin,coverage_thin,missing_local_pinnacle,,,,,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P1,WIN,1,2026-05-14,42229,29812,42229,29812,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Damir Dzumhur,Jaume Antoni Munar Clar,Clay,Challenger,Challenger,21662,Valencia Challenger,True,PARTIAL,27,8,375,336,12,12,79,90,medium,P1,11.32,coverage_thin,coverage_thin,missing_local_pinnacle,,,,,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P2,LOSS,0,2026-05-14,13447,31358,31358,13447,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Diego Dedura,Lukas Neumayer,Clay,Challenger,Challenger,21665,Zagreb Challenger,True,PARTIAL,40,35,153,375,12,12,77,77,high,P1,45.2,coverage_thin,coverage_thin,matched_local_pinnacle,2.47,1.581,3.74,ATP Challenger Zagreb - R16,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P2,LOSS,0,2026-05-14,104494,83314,83314,104494,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Dusan Lajovic,Daniel Altmaier,Clay,Challenger,Challenger,21662,Valencia Challenger,True,PARTIAL,37,23,302,360,12,12,80,80,high,P1,3.98,coverage_thin,coverage_thin,matched_local_pinnacle,2.45,1.588,3.79,ATP Challenger Valencia - R16,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P1,WIN,1,2026-05-14,12190,29732,12190,29732,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Franco Roncadelli,Nicolas Kicker,Clay,Challenger,Challenger,21667,Cordoba Challenger,True,PARTIAL,48,41,273,254,12,12,79,84,high,P2,1.44,coverage_thin,coverage_thin,missing_local_pinnacle,,,,,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P1,LOSS,0,2026-05-14,58723,18648,58723,18648,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Guido Ivan Justo,Eduardo Ribeiro,Clay,Challenger,Challenger,21667,Cordoba Challenger,True,PARTIAL,50,27,254,220,12,12,77,79,high,P1,10.19,coverage_thin,coverage_thin,missing_local_pinnacle,,,,,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P1,WIN,1,2026-05-14,61966,44217,61966,44217,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Jan Choinski,Daniel Elahi Galan,Clay,Challenger,Challenger,21665,Zagreb Challenger,True,PARTIAL,37,25,253,298,12,12,81,81,high,P1,14.63,coverage_thin,coverage_thin,matched_local_pinnacle,1.699,2.22,3.9,ATP Challenger Zagreb - R16,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P1,WIN,1,2026-05-14,26421,26845,26421,26845,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Juan Bautista Torres,Miguel Tobon,Clay,Challenger,Challenger,21667,Cordoba Challenger,True,PARTIAL,48,28,350,93,4,12,78,77,high,P2,14.68,coverage_thin,coverage_thin,missing_local_pinnacle,,,,,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P1,LOSS,0,2026-05-14,77659,98292,77659,98292,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Juan Manuel La Serna,Valerio Aboian,Clay,Challenger,Challenger,21667,Cordoba Challenger,True,PARTIAL,37,31,221,379,12,10,77,79,high,P1,2.49,coverage_thin,coverage_thin,missing_local_pinnacle,,,,,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P1,WIN,1,2026-05-14,86275,73268,86275,73268,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Kriish Tyagi,Hamish Stewart,Hard,Challenger,Challenger,21666,Bengaluru 2 Challenger,True,PARTIAL,4,33,29,255,1,10,,77,low,P1,190.43,coverage_thin,coverage_thin,matched_local_pinnacle,5.99,1.149,3.73,ATP Challenger Bengaluru - QF,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P1,WIN,1,2026-05-14,100693,59443,100693,59443,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Laslo Djere,Colton Smith,Clay,Challenger,Challenger,21663,Oeiras 4 Challenger,True,PARTIAL,9,5,280,129,12,12,93,89,medium,P2,84.46,coverage_thin,coverage_thin,matched_local_pinnacle,1.215,4.75,3.36,ATP Challenger Oeiras - QF,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P1,LOSS,0,2026-05-14,24084,89108,24084,89108,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Leandro Riedi,Miomir Kecmanovic,Clay,Challenger,Challenger,21662,Valencia Challenger,True,PARTIAL,4,8,244,308,12,12,87,77,medium,P1,-1.85,coverage_thin,coverage_thin,matched_local_pinnacle,2.42,1.599,3.86,ATP Challenger Valencia - R16,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P2,LOSS,0,2026-05-14,79064,34337,34337,79064,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Luka Mikrut,Chris Rodesch,Clay,Challenger,Challenger,21665,Zagreb Challenger,True,PARTIAL,29,11,239,197,12,12,90,96,high,P1,4.74,coverage_thin,coverage_thin,missing_local_pinnacle,,,,,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P2,LOSS,0,2026-05-14,85851,54163,54163,85851,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Maximus Jones,Philip Sekulic,Hard,Challenger,Challenger,21666,Bengaluru 2 Challenger,True,PARTIAL,31,38,277,205,12,8,106,81,high,P1,29.79,coverage_thin,coverage_thin,matched_local_pinnacle,2.46,1.562,4.67,ATP Challenger Wuning - R1,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P2,LOSS,0,2026-05-14,82696,73918,73918,82696,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Nicolas Alvarez Varona,Adolfo Daniel Vallejo,Clay,Challenger,Challenger,21662,Valencia Challenger,True,PARTIAL,19,56,272,296,5,12,,77,medium,P1,4.4,coverage_thin,coverage_thin,matched_local_pinnacle,5.02,1.192,3.81,ATP Challenger Valencia - R16,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P2,LOSS,0,2026-05-14,46748,80391,80391,46748,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Petr Brunclik,Jaime Faria,Clay,Challenger,Challenger,21663,Oeiras 4 Challenger,True,PARTIAL,12,33,148,339,12,12,77,83,high,P1,23.08,coverage_thin,coverage_thin,matched_local_pinnacle,4.02,1.274,3.37,ATP Challenger Oeiras - QF,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P2,LOSS,0,2026-05-14,93848,83795,83795,93848,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Roberto Bautista Agut,Zizou Bergs,Clay,Challenger,Challenger,21662,Valencia Challenger,True,PARTIAL,14,12,242,359,12,12,94,79,high,P1,2.82,coverage_thin,coverage_thin,matched_local_pinnacle,2.53,1.556,3.79,ATP Challenger Valencia - R16,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P2,LOSS,0,2026-05-14,1837,37741,37741,1837,2026-05-17T19:28:00+00:00,,,,,,,
2026-05-14,13:31:35,Sebastian Baez,Pablo Carreno-Busta,Clay,Challenger,Challenger,21662,Valencia Challenger,True,PARTIAL,22,22,336,249,12,12,77,78,high,P2,23.2,coverage_thin,coverage_thin,matched_local_pinnacle,1.676,2.26,3.91,ATP Challenger Valencia - R16,match,base,1.0,100.0,flat_match,challenger_ml_nearmiss,settled,P2,WIN,1,2026-05-14,52721,14432,14432,52721,2026-05-17T19:28:00+00:00,,,,,,,
