date,time_utc,player1,player2,surface,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,stake_units,stake_gbp,stake_model,bet_type,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,raw_p1_win_prob,raw_p2_win_prob,calibrated_p1_win_prob,calibrated_p2_win_prob,raw_odds1_shadow,raw_odds2_shadow,calibrated_odds1,calibrated_odds2,raw_value_p1,raw_value_p2,raw_value_same_side,calibrated_selected_prob,calibration_new_edge,shadow_reason,threshold_tier,signal_profile,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,spread_line,spread_odds,game_margin,tournament_speed_signal,clay_speed_tier,league
2026-03-30,14:32:08,Alexei Popyrin,Patrick Kypson,Clay,ATP500,medium,2.3568,1.737,1.599,2.48,-32.15,42.77,P2,42.77,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5791,0.4209,0.4243,0.5757,1.73,2.38,2.3568,1.737,-7.57,4.2,4.2,0.5757,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,LOSS,0,2026-03-31,34233,46718,34233,46718,2026-04-02T08:48:31+00:00,,,,,,,,0.0,normal,ATP
2026-03-30,14:32:08,Daniel Antonio Nunez,Maximo Zeitune,Clay,ATP250,high,1.5584,2.791,2.03,1.8,30.27,-35.51,P1,30.27,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.4854,0.5146,0.6417,0.3583,2.06,1.94,1.5584,2.791,-1.46,-7.22,-1.46,0.6417,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,LOSS,0,2026-03-30,75578,99991,99991,75578,2026-03-31T00:16:53+00:00,,,,,,,,0.0,normal,Challenger
2026-03-30,14:32:08,Santiago De La Fuente,Nicolas Zanellato,Clay,ATP250,high,1.5983,2.6715,2.13,1.73,33.27,-35.24,P1,33.27,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.4581,0.5419,0.6257,0.3743,2.18,1.85,1.5983,2.6715,-2.29,-6.49,-2.29,0.6257,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,WIN,1,2026-03-30,70491,86687,70491,86687,2026-03-31T00:16:53+00:00,,,,,,,,0.0,normal,Challenger
2026-03-30,14:32:08,Jack Pinnington Jones,Zhizhen Zhang,Clay,ATP500,low,1.6904,2.4483,2.08,1.806,23.04,-26.24,P1,23.04,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.4368,0.5632,0.5916,0.4084,2.29,1.78,1.6904,2.4483,-9.17,1.46,-9.17,0.5916,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,LOSS,0,2026-03-30,79067,26140,26140,79067,2026-03-31T10:11:43+00:00,,,,,,,,0.0,normal,ATP
2026-03-30,14:32:08,Daniel Altmaier,Pedro Martinez Portero,Clay,ATP500,high,2.3568,1.737,1.952,1.917,-17.18,10.36,P2,10.36,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5843,0.4157,0.4243,0.5757,1.71,2.41,2.3568,1.737,14.15,-20.46,-20.46,0.5757,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,LOSS,0,2026-03-31,29732,27358,29732,27358,2026-04-01T10:09:30+00:00,,,,,,,,0.0,normal,ATP
2026-03-30,14:32:08,Henrique Rocha,Nicolai Budkov Kjaer,Clay,ATP500,high,1.737,2.3568,1.855,2.01,6.79,-14.72,P1,6.79,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.4247,0.5753,0.5757,0.4243,2.35,1.74,1.737,2.3568,-21.06,15.52,-21.06,0.5757,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,WIN,1,2026-03-30,83794,104215,83794,104215,2026-03-31T00:16:53+00:00,,,,,,,,0.0,normal,ATP
2026-03-30,14:32:08,Colton Smith,Thiago Agustin Tirante,Clay,ATP500,medium,1.737,2.3568,2.5,1.592,43.92,-32.45,P1,43.92,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.3851,0.6149,0.5757,0.4243,2.6,1.63,1.737,2.3568,-3.85,-2.33,-3.85,0.5757,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,LOSS,0,2026-03-30,89108,52394,52394,89108,2026-03-31T10:11:43+00:00,,,,,,,,0.0,normal,ATP
2026-03-30,14:32:08,Adolfo Daniel Vallejo,Zachary Svajda,Clay,ATP500,medium,2.564,1.6394,1.69,2.28,-34.09,39.08,P2,39.08,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5517,0.4483,0.39,0.61,1.81,2.23,2.564,1.6394,-6.63,2.24,2.24,0.61,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,LOSS,0,2026-03-30,80391,73620,80391,73620,2026-03-31T00:16:53+00:00,,,,,,,,0.0,normal,ATP
2026-03-30,14:32:08,Jesper De Jong,Yannick Hanfmann,Clay,ATP500,high,1.737,2.3568,2.46,1.595,41.62,-32.32,P1,41.62,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.4028,0.5972,0.5757,0.4243,2.48,1.67,1.737,2.3568,-0.81,-4.49,-0.81,0.5757,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,LOSS,0,2026-03-30,59166,14856,14856,59166,2026-03-31T00:16:53+00:00,,,,,,,,0.0,normal,ATP
2026-03-30,14:32:08,Yaroslav Demin,Michael Vrbensky,Clay,ATP250,medium,1.6173,2.6199,2.03,1.813,25.52,-30.8,P1,25.52,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.4535,0.5465,0.6183,0.3817,2.21,1.83,1.6173,2.6199,-8.14,-0.93,-8.14,0.6183,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,WIN,1,2026-03-30,85075,57304,85075,57304,2026-03-31T00:16:53+00:00,,,,,,,,0.0,normal,Challenger
