date,time_utc,player1,player2,surface,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,threshold_tier,bet_type,spread_line,spread_odds,stake_units,stake_gbp,stake_model,signal_profile,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,game_margin
2026-03-07,16:29:35,Juan Manuel Cerundolo,Arthur Rinderknech,Hard,Masters 1000,high,2.62,1.62,2.76,1.5,5.34,-7.41,P1,5.34,base,,,,False,False,False,none,none,internal,,,,,,,,no_match,,,,,,,,,,No oncourt_games row matched this player pair in date window,,,,
2026-03-07,16:29:35,Alexander Bublik,Vit Kopriva,Hard,Masters 1000,high,1.37,3.72,1.271,4.12,-7.23,10.75,P2,10.75,base,,,,False,False,False,none,none,public,,,,,,,,settled,P1,LOSS,0,2026-03-07,24245,42971,24245,42971,2026-03-13T14:12:07+00:00,,,,,
2026-03-07,16:29:35,Rinky Hijikata,Luciano Darderi,Hard,Masters 1000,high,2.6,1.63,2.74,1.505,5.38,-7.67,P1,5.38,base,,,,False,False,False,none,none,internal,,,,,,,,settled,P1,WIN,1,2026-03-07,58149,76127,58149,76127,2026-03-13T14:12:07+00:00,,,,,
2026-03-07,16:29:35,Cameron Norrie,Mackenzie Mcdonald,Hard,Masters 1000,high,1.55,2.81,1.645,2.38,6.13,-15.3,P1,6.13,base,,,,False,False,False,none,none,internal,,,,,,,,settled,P1,WIN,1,2026-03-07,27851,18094,27851,18094,2026-03-13T14:12:07+00:00,,,,,
2026-03-07,16:29:35,Sebastian Korda,Alex De Minaur,Hard,Masters 1000,high,3.04,1.49,2.51,1.588,-17.43,6.58,P2,6.58,base,,,,False,False,False,none,none,internal,,,,,,,,settled,P2,WIN,1,2026-03-07,42451,39309,39309,42451,2026-03-13T14:12:07+00:00,,,,,
2026-03-07,16:29:35,Aleksandar Kovacevic,Corentin Moutet,Hard,Masters 1000,high,2.87,1.54,2.37,1.645,-17.42,6.82,P2,6.82,base,,,,False,False,False,none,none,internal,,,,,,,,settled,P1,LOSS,0,2026-03-07,39152,36263,39152,36263,2026-03-13T14:12:07+00:00,,,,,
2026-03-07,16:29:35,Francisco Cerundolo,Benjamin Bonzi,Hard,Masters 1000,high,1.5,2.99,1.365,3.37,-9.0,12.71,P2,12.71,base,,,,False,False,False,none,none,public,,,,,,,,settled,P1,LOSS,0,2026-03-07,52279,28899,52279,28899,2026-03-13T14:12:07+00:00,,,,,
2026-03-07,16:29:35,Daniil Medvedev,Alejandro Tabilo,Hard,Masters 1000,high,1.38,3.62,1.283,4.0,-7.03,10.5,P2,10.5,base,,,,False,False,False,none,none,public,,,,,,,,settled,P1,LOSS,0,2026-03-07,22807,30087,22807,30087,2026-03-13T14:12:07+00:00,,,,,
2026-03-07,16:29:35,Ugo Humbert,Alex Michelsen,Hard,Masters 1000,high,1.78,2.28,1.917,1.971,7.7,-13.55,P1,7.7,base,,,,False,False,False,none,none,internal,,,,,,,,settled,P2,LOSS,0,2026-03-07,38911,92985,92985,38911,2026-03-13T14:12:07+00:00,,,,,
2026-03-07,16:29:35,Karen Khachanov,Joao Fonseca,Hard,Masters 1000,high,1.71,2.4,2.27,1.694,32.75,-29.42,P1,32.75,base,,,,False,False,False,none,none,public,,,,,,,,settled,P2,LOSS,0,2026-03-07,25543,91521,91521,25543,2026-03-13T14:12:07+00:00,,,,,
2026-03-07,16:29:35,Marton Fucsovics,Arthur Fils,Hard,Masters 1000,high,2.74,1.58,3.11,1.412,13.5,-10.63,P1,13.5,base,,,,False,False,False,none,none,public,,,,,,,,settled,P2,LOSS,0,2026-03-08,13674,83135,83135,13674,2026-03-13T14:12:07+00:00,,,,,
2026-03-07,16:29:35,Brandon Nakashima,Alexander Zverev,Hard,Masters 1000,high,3.25,1.44,3.74,1.313,15.08,-8.82,P1,15.08,base,,,,False,False,False,none,none,public,,,,,,,,settled,P2,LOSS,0,2026-03-08,56846,24008,24008,56846,2026-03-13T14:12:07+00:00,,,,,
2026-03-07,16:29:35,Ben Shelton,Learner Tien,Hard,Masters 1000,high,1.58,2.71,1.758,2.17,11.27,-19.93,P1,11.27,base,,,,False,False,False,none,none,public,,,,,,,,settled,P2,LOSS,0,2026-03-08,87562,93452,93452,87562,2026-03-13T14:12:07+00:00,,,,,
2026-03-07,23:58:27,Jacob Fearnley,Taylor Harry Fritz,Hard,Masters 1000,high,3.78,1.36,4.81,1.218,27.25,-10.44,P1,27.25,base,,,,False,False,False,none,none,public,,,,,,,,settled,P2,LOSS,0,2026-03-07,68090,29932,29932,68090,2026-03-13T14:12:07+00:00,,,,,
2026-03-08,11:46:19,Valentin Vacherot,Casper Ruud,Hard,Masters 1000,high,2.27,1.79,2.43,1.617,7.05,-9.66,P1,7.05,base,,,,False,False,False,none,none,internal,,,,,,,,settled,P2,LOSS,0,2026-03-13,36594,33648,33648,36594,2026-03-13T14:12:07+00:00, [from oncourt_today fallback],,,,
2026-03-08,11:46:19,Brandon Nakashima,Alexander Zverev,Hard,Masters 1000,high,3.14,1.47,3.68,1.329,17.2,-9.59,P1,17.2,base,,,,False,False,False,none,none,public,,,,,,,,settled,P2,LOSS,0,2026-03-08,56846,24008,24008,56846,2026-03-13T14:12:07+00:00,,,,,
