date,time_utc,player1,player2,surface,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,overlay_tournament_key,overlay_resolved_year,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,threshold_tier
2026-03-04,19:21:30,Juan Manuel Cerundolo,Botic Van De Zandschulp,Hard,Masters 1000,high,2.51,1.66,2.96,1.446,17.93,-12.89,P1,17.93,base,,,,no_match,,,,,,,,,,No oncourt_games row matched this player pair in date window,,,,,,,,,,,
2026-03-04,19:21:30,Sebastian Korda,Francisco Comesana,Hard,Masters 1000,high,1.43,3.31,1.191,5.29,-16.71,59.82,P2,59.82,base,,,,no_match,,,,,,,,,,No oncourt_games row matched this player pair in date window,,,,,,,,,,,
2026-03-04,19:21:30,Fabian Marozsan,Roberto Bautista Agut,Hard,Masters 1000,high,1.62,2.62,1.319,3.68,-18.58,40.46,P2,40.46,base,,,,no_match,,,,,,,,,,No oncourt_games row matched this player pair in date window,,,,,,,,,,,
2026-03-04,19:21:30,Joao Fonseca,Raphael Collignon,Hard,Masters 1000,high,2.2,1.83,1.787,2.13,-18.77,16.39,P2,16.39,base,,,,no_match,,,,,,,,,,No oncourt_games row matched this player pair in date window,,,,,,,,,,,
2026-03-04,19:21:30,Nuno Borges,Emilio Nava,Hard,Masters 1000,high,2.22,1.82,1.602,2.47,-27.84,35.71,P2,35.71,base,,,,no_match,,,,,,,,,,No oncourt_games row matched this player pair in date window,,,,,,,,,,,
2026-03-04,19:21:30,Alejandro Tabilo,Rafael Jodar,Hard,Masters 1000,high,1.68,2.47,2.14,1.781,27.38,-27.89,P1,27.38,base,,,,no_match,,,,,,,,,,No oncourt_games row matched this player pair in date window,,,,,,,,,,,
2026-03-04,19:21:30,Daniel Altmaier,Miomir Kecmanovic,Hard,Masters 1000,high,2.87,1.54,5.13,1.199,78.75,-22.14,P1,78.75,base,,,,no_match,,,,,,,,,,No oncourt_games row matched this player pair in date window,,,,,,,,,,,
2026-03-04,19:21:30,Matteo Berrettini,Adrian Mannarino,Hard,Masters 1000,high,1.64,2.56,1.433,3.02,-12.62,17.97,P2,17.97,base,,,,no_match,,,,,,,,,,No oncourt_games row matched this player pair in date window,,,,,,,,,,,
2026-03-04,19:21:30,Hubert Hurkacz,Aleksandar Kovacevic,Hard,Masters 1000,high,1.71,2.41,1.424,3.06,-16.73,26.97,P2,26.97,base,,,,no_match,,,,,,,,,,No oncourt_games row matched this player pair in date window,,,,,,,,,,,
2026-03-04,19:21:30,Mariano Navone,Marcos Giron,Hard,Masters 1000,high,2.66,1.6,3.16,1.403,18.8,-12.31,P1,18.8,base,,,,no_match,,,,,,,,,,No oncourt_games row matched this player pair in date window,,,,,,,,,,,
