stake_units,stake_gbp,stake_model,signal_profile,date,time_utc,player1,player2,surface,league,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,bet_type,spread_line,spread_odds,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,shadow_reason,spread_calibration_reason,spread_calibration_source,spread_surface_scope,threshold_tier,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,game_margin,ml_short_fav_model_guard,ml_short_fav_market_guard,atp500_short_fav_ml_guard,short_fav_dog_spread_guard
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-14,22:14:37,Botic Van De Zandschulp,Francisco Cerundolo,Clay,ATP,ATP500,high,,,2.01,1.847,20.51,-26.04,P1+,20.51,spread,3.5,2.01,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,LOSS,0,2026-04-16,24249,52279,52279,24249,2026-04-16T23:05:15+00:00,,,,,-9,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-14,22:14:37,Cameron Norrie,Ethan Quinn,Clay,ATP,ATP500,high,,,1.971,1.893,9.67,-16.03,P1+,9.67,spread,-2.5,1.971,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,WIN,1,2026-04-15,27851,82269,27851,82269,2026-04-16T23:05:15+00:00,,,,,3,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-16,23:04:38,Alexander Zverev,Francisco Cerundolo,Clay,ATP,ATP500,high,,,1.971,1.901,12.46,-18.37,P1+,12.46,spread,-3.5,1.971,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,WIN,1,2026-04-17,24008,52279,24008,52279,2026-04-17T23:01:36+00:00,,,,,8,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-16,23:04:38,Flavio Cobolli,Vit Kopriva,Clay,ATP,ATP500,high,,,2.0,1.877,9.77,-15.32,P1+,9.77,spread,-3.5,2.0,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,WIN,1,2026-04-17,67546,42971,67546,42971,2026-04-17T23:01:36+00:00,,,,,7,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-16,23:04:38,Cameron Norrie,Rafael Jodar,Clay,ATP,ATP500,medium,,,2.05,1.833,39.51,-41.44,P1+,39.51,spread,3.5,2.05,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,LOSS,0,2026-04-17,27851,99691,99691,27851,2026-04-17T23:01:36+00:00,,,,,-7,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-16,23:04:38,Arthur Fils,Lorenzo Musetti,Clay,ATP,ATP500,medium,,,1.971,1.901,-33.54,26.0,P2-,26.0,spread,0.0,1.901,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,LOSS,0,2026-04-17,83135,63572,83135,63572,2026-04-17T23:01:36+00:00,,,,,5,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-16,23:04:38,Joao Fonseca,Ben Shelton,Clay,ATP,ATP500,high,,,1.971,1.901,-19.19,12.16,P2-,12.16,spread,-2.5,1.901,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,WIN,1,2026-04-17,91521,87562,87562,91521,2026-04-17T23:01:36+00:00,,,,,-3,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-17,09:09:56,Tomas Machac,Andrey Rublev,Clay,ATP,ATP500,medium,,,1.971,1.917,-12.98,7.06,P2-,7.06,spread,1.5,1.917,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,WIN,1,2026-04-17,58327,29372,29372,58327,2026-04-17T23:01:36+00:00,,,,,-5,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-17,09:09:56,Alexander Zverev,Francisco Cerundolo,Clay,ATP,ATP500,high,,,1.971,1.917,12.73,-17.94,P1+,12.73,spread,-3.5,1.971,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,WIN,1,2026-04-17,24008,52279,24008,52279,2026-04-17T23:01:36+00:00,,,,,8,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-17,09:09:56,Flavio Cobolli,Vit Kopriva,Clay,ATP,ATP500,high,,,1.926,1.962,8.32,-14.15,P1+,8.32,spread,-3.5,1.926,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,WIN,1,2026-04-17,67546,42971,67546,42971,2026-04-17T23:01:36+00:00,,,,,7,,,,
