date,time_utc,player1,player2,surface,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason
2026-03-04,00:10:30,Juan Manuel Cerundolo,Botic Van De Zandschulp,Hard,Masters 1000,high,2.48,1.67,2.94,1.441,18.55,-13.71,P1,18.55,,,,
2026-03-04,00:10:30,Nuno Borges,Emilio Nava,Hard,Masters 1000,high,1.72,2.4,1.562,2.54,-9.19,5.83,P2,5.83,,,,
2026-03-04,00:10:30,Hubert Hurkacz,Aleksandar Kovacevic,Hard,Masters 1000,high,1.71,2.41,1.379,3.24,-19.36,34.44,P2,34.44,,,,
2026-03-04,00:10:30,Fabian Marozsan,Roberto Bautista Agut,Hard,Masters 1000,high,1.61,2.64,1.325,3.58,-17.7,35.61,P2,35.61,,,,
2026-03-04,00:10:30,Sebastian Korda,Francisco Comesana,Hard,Masters 1000,high,1.45,3.2,1.189,5.21,-18.0,62.81,P2,62.81,,,,
2026-03-04,00:10:30,Alejandro Tabilo,Rafael Jodar,Hard,Masters 1000,high,1.68,2.47,2.14,1.763,27.38,-28.62,P1,27.38,,,,
2026-03-04,00:10:30,Jacob Fearnley,Damir Dzumhur,Hard,Masters 1000,high,2.2,1.83,1.694,2.26,-23.0,23.5,P2,23.5,,,,
2026-03-04,00:10:30,Mattia Bellucci,Gabriel Diallo,Hard,Masters 1000,high,2.47,1.68,2.09,1.8,-15.38,7.14,P2,7.14,,,,
2026-03-04,00:10:30,Daniel Altmaier,Miomir Kecmanovic,Hard,Masters 1000,high,2.51,1.66,4.57,1.227,82.07,-26.08,P1,82.07,,,,
2026-03-04,00:10:30,Camilo Ugo Carabelli,Martin Damm,Hard,Masters 1000,high,2.24,1.81,2.53,1.565,12.95,-13.54,P1,12.95,,,,
2026-03-04,00:10:30,Matteo Berrettini,Adrian Mannarino,Hard,Masters 1000,high,1.64,2.56,1.405,3.1,-14.33,21.09,P2,21.09,,,,
2026-03-04,00:10:30,Reilly Opelka,Ethan Quinn,Hard,Masters 1000,high,2.31,1.76,2.01,1.87,-12.99,6.25,P2,6.25,,,,
2026-03-04,00:10:30,Quentin Halys,Adam Walton,Hard,Masters 1000,high,1.72,2.39,1.552,2.57,-9.77,7.53,P2,7.53,,,,
2026-03-04,00:10:30,Mariano Navone,Marcos Giron,Hard,Masters 1000,high,2.65,1.61,3.08,1.41,16.23,-12.42,P1,16.23,,,,
2026-03-04,00:10:30,Zizou Bergs,Jan-Lennard Struff,Hard,Masters 1000,high,1.76,2.32,1.855,2.02,5.4,-12.93,P1,5.4,,,,
2026-03-04,19:21:30,Juan Manuel Cerundolo,Botic Van De Zandschulp,Hard,Masters 1000,high,2.51,1.66,2.96,1.446,17.93,-12.89,P1,17.93,base,,,
2026-03-04,19:21:30,Sebastian Korda,Francisco Comesana,Hard,Masters 1000,high,1.43,3.31,1.191,5.29,-16.71,59.82,P2,59.82,base,,,
2026-03-04,19:21:30,Fabian Marozsan,Roberto Bautista Agut,Hard,Masters 1000,high,1.62,2.62,1.319,3.68,-18.58,40.46,P2,40.46,base,,,
2026-03-04,19:21:30,Joao Fonseca,Raphael Collignon,Hard,Masters 1000,high,2.2,1.83,1.787,2.13,-18.77,16.39,P2,16.39,base,,,
2026-03-04,19:21:30,Nuno Borges,Emilio Nava,Hard,Masters 1000,high,2.22,1.82,1.602,2.47,-27.84,35.71,P2,35.71,base,,,
2026-03-04,19:21:30,Alejandro Tabilo,Rafael Jodar,Hard,Masters 1000,high,1.68,2.47,2.14,1.781,27.38,-27.89,P1,27.38,base,,,
2026-03-04,19:21:30,Daniel Altmaier,Miomir Kecmanovic,Hard,Masters 1000,high,2.87,1.54,5.13,1.199,78.75,-22.14,P1,78.75,base,,,
2026-03-04,19:21:30,Matteo Berrettini,Adrian Mannarino,Hard,Masters 1000,high,1.64,2.56,1.433,3.02,-12.62,17.97,P2,17.97,base,,,
2026-03-04,19:21:30,Hubert Hurkacz,Aleksandar Kovacevic,Hard,Masters 1000,high,1.71,2.41,1.424,3.06,-16.73,26.97,P2,26.97,base,,,
2026-03-04,19:21:30,Mariano Navone,Marcos Giron,Hard,Masters 1000,high,2.66,1.6,3.16,1.403,18.8,-12.31,P1,18.8,base,,,
