date,time_utc,player1,player2,surface,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,threshold_tier,bet_type,spread_line,spread_odds,stake_units,stake_gbp,stake_model,signal_profile,game_margin
2026-03-04,00:10:30,Juan Manuel Cerundolo,Botic Van De Zandschulp,Hard,Masters 1000,high,2.48,1.67,2.94,1.441,18.55,-13.71,P1,18.55,,,,,settled,P1,WIN,1,2026-03-08,52934,24249,52934,24249,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,,,,,,,,,,,,,,
2026-03-04,00:10:30,Nuno Borges,Emilio Nava,Hard,Masters 1000,high,1.72,2.4,1.562,2.54,-9.19,5.83,P2,5.83,,,,,settled,P1,LOSS,0,2026-03-08,31446,56197,31446,56197,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,,,,,,,,,,,,,,
2026-03-04,00:10:30,Hubert Hurkacz,Aleksandar Kovacevic,Hard,Masters 1000,high,1.71,2.41,1.379,3.24,-19.36,34.44,P2,34.44,,,,,settled,P2,WIN,1,2026-03-08,26473,39152,39152,26473,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,,,,,,,,,,,,,,
2026-03-04,00:10:30,Fabian Marozsan,Roberto Bautista Agut,Hard,Masters 1000,high,1.61,2.64,1.325,3.58,-17.7,35.61,P2,35.61,,,,,settled,P2,WIN,1,2026-03-08,52140,1837,1837,52140,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,,,,,,,,,,,,,,
2026-03-04,00:10:30,Sebastian Korda,Francisco Comesana,Hard,Masters 1000,high,1.45,3.2,1.189,5.21,-18.0,62.81,P2,62.81,,,,,settled,P1,LOSS,0,2026-03-08,42451,61971,42451,61971,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,,,,,,,,,,,,,,
2026-03-04,00:10:30,Alejandro Tabilo,Rafael Jodar,Hard,Masters 1000,high,1.68,2.47,2.14,1.763,27.38,-28.62,P1,27.38,,,,,settled,P1,WIN,1,2026-03-08,30087,99691,30087,99691,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,,,,,,,,,,,,,,
2026-03-04,00:10:30,Jacob Fearnley,Damir Dzumhur,Hard,Masters 1000,high,2.2,1.83,1.694,2.26,-23.0,23.5,P2,23.5,,,,,settled,P1,LOSS,0,2026-03-08,68090,13447,68090,13447,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,,,,,,,,,,,,,,
2026-03-04,00:10:30,Mattia Bellucci,Gabriel Diallo,Hard,Masters 1000,high,2.47,1.68,2.09,1.8,-15.38,7.14,P2,7.14,,,,,settled,P2,WIN,1,2026-03-08,72578,68627,68627,72578,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,,,,,,,,,,,,,,
2026-03-04,00:10:30,Daniel Altmaier,Miomir Kecmanovic,Hard,Masters 1000,high,2.51,1.66,4.57,1.227,82.07,-26.08,P1,82.07,,,,,settled,P2,LOSS,0,2026-03-08,29732,34337,34337,29732,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,,,,,,,,,,,,,,
2026-03-04,00:10:30,Camilo Ugo Carabelli,Martin Damm,Hard,Masters 1000,high,2.24,1.81,2.53,1.565,12.95,-13.54,P1,12.95,,,,,settled,P1,WIN,1,2026-03-08,42229,72574,42229,72574,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,,,,,,,,,,,,,,
