season_year,surface,tournament_name,tournament_key,cpi,ta_surface_speed,sample_size,source_url,updated_at
2022,Clay,Barcelona,barcelona,0.72,0.72,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Bastad,bastad,0.74,0.74,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Belgrade,belgrade,0.56,0.56,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Buenos Aires,buenos aires,0.61,0.61,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Cordoba,cordoba,1.1,1.1,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Estoril,estoril,0.74,0.74,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Geneva,geneva,0.88,0.88,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Gstaad,gstaad,1.03,1.03,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Hamburg,hamburg,0.7,0.7,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Houston,houston,0.73,0.73,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Kitzbuhel,kitzbuhel,1.17,1.17,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Lyon,lyon,0.81,0.81,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Madrid Masters,madrid masters,0.97,0.97,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Marrakech,marrakech,0.72,0.72,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Monte Carlo Masters,monte carlo masters,0.61,0.61,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Munich,munich,0.64,0.64,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Rio de Janeiro,rio de janeiro,0.81,0.81,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Roland Garros,roland garros,0.68,0.68,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Rome Masters,rome masters,0.7,0.7,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Santiago,santiago,0.74,0.74,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Clay,Umag,umag,0.63,0.63,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Grass,Eastbourne,eastbourne,1.0,1.0,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Grass,Halle,halle,1.11,1.11,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Grass,Mallorca,mallorca,1.32,1.32,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Grass,Newport,newport,0.89,0.89,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Grass,Queen's Club,queen s club,1.2,1.2,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Grass,Stuttgart,stuttgart,1.21,1.21,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Grass,Wimbledon,wimbledon,1.03,1.03,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Grass,s Hertogenbosch,s hertogenbosch,0.9,0.9,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Acapulco,acapulco,0.92,0.92,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Adelaide 1,adelaide 1,1.09,1.09,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Adelaide 2,adelaide 2,1.17,1.17,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Antwerp,antwerp,1.2,1.2,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Astana,astana,0.76,0.76,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Atlanta,atlanta,1.22,1.22,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Atp Cup,cup,1.1,1.1,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Australian Open,australian open,1.15,1.15,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Basel,basel,1.15,1.15,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Canada Masters,canada masters,1.01,1.01,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Cincinnati Masters,cincinnati masters,1.16,1.16,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Dallas,dallas,1.2,1.2,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Delray Beach,delray beach,0.72,0.72,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Doha,doha,1.0,1.0,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Dubai,dubai,1.28,1.28,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Florence,florence,1.26,1.26,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Gijon,gijon,0.77,0.77,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Indian Wells Masters,indian wells masters,0.85,0.85,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Los Cabos,los cabos,0.86,0.86,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Marseille,marseille,1.26,1.26,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Melbourne,melbourne,1.0,1.0,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Metz,metz,1.0,1.0,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Miami Masters,miami masters,0.96,0.96,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Montpellier,montpellier,1.36,1.36,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Naples,naples,1.09,1.09,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,NextGen Finals,nextgen finals,1.34,1.34,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Paris Masters,paris masters,1.14,1.14,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Pune,pune,1.27,1.27,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Rotterdam,rotterdam,0.99,0.99,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,San Diego,san diego,1.05,1.05,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Seoul,seoul,1.27,1.27,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Sofia,sofia,1.12,1.12,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Stockholm,stockholm,0.91,0.91,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Sydney,sydney,1.13,1.13,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Tel Aviv,tel aviv,1.43,1.43,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Tokyo,tokyo,1.03,1.03,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Tour Finals,tour finals,14.0,14.0,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,US Open,us open,1.06,1.06,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Vienna,vienna,1.2,1.2,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Washington,washington,0.99,0.99,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2022,Hard,Winston-Salem,salem,1.05,1.05,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2022,2026-05-15T10:13:08Z
2023,Clay,Banja Luka,banja luka,0.48,0.48,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
2023,Clay,Barcelona,barcelona,0.51,0.51,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
2023,Clay,Bastad,bastad,0.86,0.86,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
2023,Clay,Buenos Aires,buenos aires,0.7,0.7,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
2023,Clay,Cordoba,cordoba,1.15,1.15,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
2023,Clay,Estoril,estoril,0.7,0.7,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
2023,Clay,Geneva,geneva,0.88,0.88,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
2023,Clay,Gstaad,gstaad,0.78,0.78,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
2023,Clay,Hamburg,hamburg,0.8,0.8,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
2023,Clay,Houston,houston,0.93,0.93,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
2023,Clay,Kitzbuhel,kitzbuhel,0.95,0.95,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
2023,Clay,Lyon,lyon,0.7,0.7,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
2023,Clay,Madrid Masters,madrid masters,0.92,0.92,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
2023,Clay,Marrakech,marrakech,0.59,0.59,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
2023,Clay,Monte Carlo Masters,monte carlo masters,0.61,0.61,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
2023,Clay,Munich,munich,0.63,0.63,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
2023,Clay,Rio De Janeiro,rio de janeiro,0.87,0.87,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
2023,Clay,Roland Garros,roland garros,0.62,0.62,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
2023,Clay,Rome Masters,rome masters,0.69,0.69,,https://www.tennisabstract.com/cgi-bin/surface-speed.cgi?year=2023,2026-05-15T10:13:08Z
