tournament_key,tournament_display,window_type,years,start_year,end_year,target_season_year,n_matches,fav_bets,fav_wins,fav_pl,fav_roi_pct_raw,fav_roi_pct_shrunk,dog_bets,dog_wins,dog_pl,dog_roi_pct_raw,dog_roi_pct_shrunk,n
australian open,Australian Open,year,2022,2022,2022,,123,123,93,3.71,3.0163,1.6601,123,30,-32.48,-26.4065,-22.4482,123
french open,French Open,year,2022,2022,2022,,121,121,89,2.415,1.9959,0.8245,121,32,-23.81,-19.6777,-17.0039,121
wimbledon,Wimbledon,year,2022,2022,2022,,120,120,86,-3.57,-2.975,-3.16,120,34,-29.46,-24.55,-20.8839,120
us open,US Open,year,2022,2022,2022,,118,118,79,-9.295,-7.8771,-7.071,118,39,5.12,4.339,2.1988,118
miami open,Miami Open,year,2022,2022,2022,,90,90,57,-8.2,-9.1111,-7.8084,90,33,-5.93,-6.5889,-6.4965,90
bnp paribas open,BNP Paribas Open,year,2022,2022,2022,,89,89,61,3.8,4.2697,2.21,89,28,-15.67,-17.6067,-14.736,89
european open,European Open,year,2022,2022,2022,,55,55,36,-2.06,-3.7455,-3.8001,55,19,-5.26,-9.5636,-8.3833,55
internazionali bnl d italia,Internazionali BNL d'Italia,year,2022,2022,2022,,55,55,40,2.8,5.0909,1.9176,55,15,-5.86,-10.6545,-9.0892,55
bnp paribas masters,BNP Paribas Masters,year,2022,2022,2022,,54,54,31,-10.06,-18.6296,-13.3691,54,23,17.71,32.7963,18.8621,54
canadian open,Canadian Open,year,2022,2022,2022,,54,54,37,7.5,13.8889,7.5357,54,17,-9.7,-17.963,-13.7688,54
mutua madrid open,Mutua Madrid Open,year,2022,2022,2022,,53,53,35,-2.05,-3.8679,-3.8796,53,18,-2.68,-5.0566,-5.4769,53
western southern financial group masters,Western & Southern Financial Group Masters,year,2022,2022,2022,,53,53,29,-9.98,-18.8302,-13.4338,53,24,10.2,19.2453,10.0412,53
monte carlo masters,Monte Carlo Masters,year,2022,2022,2022,,52,52,35,-0.33,-0.6346,-1.8293,52,17,-9.08,-17.4615,-13.3486,52
citi open,Citi Open,year,2022,2022,2022,,44,44,21,-14.25,-32.3864,-20.8379,44,23,15.15,34.4318,17.9516,44
barcelona open,Barcelona Open,year,2022,2022,2022,,43,43,29,-1.88,-4.3721,-4.1781,43,14,-11.31,-26.3023,-18.0491,43
salem open at wake forest university,Winston-Salem Open at Wake Forest University,year,2022,2022,2022,,41,41,24,-2.36,-5.7561,-4.9719,41,17,3.37,8.2195,2.1186,41
abn amro world tennis tournament,ABN AMRO World Tennis Tournament,year,2022,2022,2022,,31,31,17,-7.11,-22.9355,-13.5738,31,14,2.45,7.9032,0.9577,31
dubai tennis championships,Dubai Tennis Championships,year,2022,2022,2022,,31,31,21,1.53,4.9355,0.5901,31,10,8.26,26.6452,10.4823,31
swiss indoors,Swiss Indoors,year,2022,2022,2022,,31,31,20,-2.76,-8.9032,-6.4427,31,11,-3.75,-12.0968,-9.2063,31
vienna open,Vienna Open,year,2022,2022,2022,,31,31,25,3.59,11.5806,3.9671,31,6,-14.03,-45.2581,-26.0587,31
astana open,Astana Open,year,2022,2022,2022,,30,30,25,5.19,17.3,6.6999,30,5,-12.8,-42.6667,-24.443,30
queen s club championships,Queen's Club Championships,year,2022,2022,2022,,30,30,18,-0.2,-0.6667,-2.2834,30,12,4.5,15.0,4.3903,30
grand prix hassan ii,Grand Prix Hassan II,year,2022,2022,2022,,29,29,17,-0.58,-2.0,-2.9662,29,12,0.08,0.2759,-3.0268,29
halle open,Halle Open,year,2022,2022,2022,,29,29,20,1.29,4.4483,0.2033,29,9,-9.1,-31.3793,-18.5861,29
abierto mexicano,Abierto Mexicano,year,2022,2022,2022,,28,28,19,-5.52,-19.7143,-11.5346,28,9,6.0,21.4286,7.1279,28
rakuten japan open tennis championships,Rakuten Japan Open Tennis Championships,year,2022,2022,2022,,28,28,17,-4.01,-14.3214,-8.9311,28,11,-4.77,-17.0357,-11.4411,28
dallas open,Dallas Open,year,2022,2022,2022,,27,27,20,3.85,14.2593,4.7017,27,7,-7.05,-26.1111,-15.6418,27
delray beach open,Delray Beach Open,year,2022,2022,2022,,27,27,16,-2.39,-8.8519,-6.2457,27,11,-3.22,-11.9259,-8.9225,27
maharashtra open,Maharashtra Open,year,2022,2022,2022,,27,27,18,1.18,4.3704,0.0175,27,9,-3.3,-12.2222,-9.0628,27
open 13,Open 13,year,2022,2022,2022,,27,27,15,-5.12,-18.963,-11.0352,27,12,5.31,19.6667,6.0424,27
rosmalen grass court championships,Rosmalen Grass Court Championships,year,2022,2022,2022,,27,27,18,2.45,9.0741,2.2455,27,9,5.35,19.8148,6.1126,27
stockholm open,Stockholm Open,year,2022,2022,2022,,27,27,17,-1.83,-6.7778,-5.2632,27,10,-3.2,-11.8519,-8.8874,27
adelaide international 1,Adelaide International 1,year,2022,2022,2022,,26,26,15,0.99,3.8077,-0.3215,26,11,-4.25,-16.3462,-10.9211,26
eastbourne international,Eastbourne International,year,2022,2022,2022,,26,26,15,-0.84,-3.2308,-3.5894,26,11,-1.42,-5.4615,-5.8675,26
firenze open,Firenze Open,year,2022,2022,2022,,26,26,18,1.73,6.6538,0.9999,26,8,1.18,4.5385,-1.2247,26
geneva open,Geneva Open,year,2022,2022,2022,,26,26,15,-2.62,-10.0769,-6.7679,26,11,3.68,14.1538,3.2396,26
hall of fame championships,Hall of Fame Championships,year,2022,2022,2022,,26,26,17,0.51,1.9615,-1.1787,26,9,2.22,8.5385,0.6325,26
millennium estoril open,Millennium Estoril Open,year,2022,2022,2022,,26,26,15,-2.88,-11.0769,-7.2322,26,11,-1.63,-6.2692,-6.2425,26
napoli cup,Napoli Cup,year,2022,2022,2022,,26,26,15,-3.04,-11.6923,-7.5179,26,11,0.38,1.4615,-2.6533,26
nordea open,Nordea Open,year,2022,2022,2022,,26,26,14,-5.21,-20.0385,-11.3929,26,12,6.95,26.7308,9.0789,26
open sud de france,Open Sud de France,year,2022,2022,2022,,26,26,13,-4.55,-17.5,-10.2144,26,13,9.43,36.2692,13.5075,26
qatar exxon mobil open,Qatar Exxon Mobil Open,year,2022,2022,2022,,26,26,20,4.76,18.3077,6.4106,26,6,-12.14,-46.6923,-25.0104,26
san diego open,San Diego Open,year,2022,2022,2022,,26,26,19,3.1,11.9231,3.4463,26,7,-8.32,-32.0,-18.189,26
serbia open,Serbia Open,year,2022,2022,2022,,26,26,18,0.04,0.1538,-2.0179,26,8,-4.79,-18.4231,-11.8854,26
sofia open,Sofia Open,year,2022,2022,2022,,26,26,13,-6.88,-26.4615,-14.3751,26,13,5.71,21.9615,6.8646,26
tel aviv open,Tel Aviv Open,year,2022,2022,2022,,26,26,17,-1.03,-3.9615,-3.9287,26,9,-0.14,-0.5385,-3.5818,26
argentina open,Argentina Open,year,2022,2022,2022,,25,25,18,4.97,19.88,6.909,25,7,-8.88,-35.52,-19.5379,25
bmw open,BMW Open,year,2022,2022,2022,,25,25,17,0.57,2.28,-1.091,25,8,-1.32,-5.28,-5.7924,25
chile open,Chile Open,year,2022,2022,2022,,25,25,14,-3.47,-13.88,-8.4365,25,11,-2.92,-11.68,-8.7015,25
generali open,Generali Open,year,2022,2022,2022,,25,25,13,-3.53,-14.12,-8.5455,25,12,2.85,11.4,1.7894,25
los cabos open,Los Cabos Open,year,2022,2022,2022,,25,25,22,5.35,21.4,7.5999,25,3,-17.5,-70.0,-35.2106,25
mercedes cup,Mercedes Cup,year,2022,2022,2022,,25,25,15,-0.67,-2.68,-3.3455,25,10,-2.8,-11.2,-8.4833,25
rio open,Rio Open,year,2022,2022,2022,,25,25,16,-1.25,-5.0,-4.4001,25,9,-5.3,-21.2,-13.0288,25
sydney tennis classic,Sydney Tennis Classic,year,2022,2022,2022,,25,25,16,2.06,8.24,1.6181,25,9,-8.0,-32.0,-17.9379,25
adelaide international 2,Adelaide International 2,year,2022,2022,2022,,24,24,11,-5.7,-23.75,-12.7223,24,13,4.52,18.8333,4.9151,24
