source,name,name_normalized,tournament_key,mapped,alias_used,rows_count,season_years
backtest,Australian Open,australian open,australian open,True,False,481,"2022,2023,2024,2025"
backtest,French Open,french open,french open,True,False,480,"2022,2023,2024,2025"
backtest,Wimbledon,wimbledon,wimbledon,True,False,473,"2022,2023,2024,2025"
backtest,US Open,us open,us open,True,False,464,"2022,2023,2024,2025"
backtest,Miami Open,miami open,miami open,True,False,355,"2022,2023,2024,2025"
backtest,BNP Paribas Open,bnp paribas open,bnp paribas open,True,False,354,"2022,2023,2024,2025"
backtest,Internazionali BNL d'Italia,internazionali bnl d italia,internazionali bnl d italia,True,False,324,"2022,2023,2024,2025"
backtest,Mutua Madrid Open,mutua madrid open,mutua madrid open,True,False,314,"2022,2023,2024,2025"
backtest,Shanghai Masters,shanghai masters,shanghai masters,True,False,257,"2023,2024,2025"
backtest,Western & Southern Financial Group Masters,western southern financial group masters,western southern financial group masters,True,False,236,"2022,2023,2024,2025"
backtest,Canadian Open,canadian open,canadian open,True,False,235,"2022,2023,2024,2025"
backtest,Monte Carlo Masters,monte carlo masters,monte carlo masters,True,False,208,"2022,2023,2024,2025"
backtest,European Open,european open,european open,True,False,186,"2022,2023,2024,2025"
backtest,BNP Paribas Masters,bnp paribas masters,bnp paribas masters,True,False,185,"2022,2023,2024,2025"
backtest,Citi Open,citi open,citi open,True,False,172,"2022,2023,2024,2025"
backtest,Winston-Salem Open at Wake Forest University,winston salem open at wake forest university,salem open at wake forest university,True,False,164,"2022,2023,2024,2025"
backtest,Barcelona Open,barcelona open,barcelona open,True,False,155,"2022,2023,2024,2025"
backtest,Halle Open,halle open,halle open,True,False,120,"2022,2023,2024,2025"
backtest,ABN AMRO World Tennis Tournament,abn amro world tennis tournament,abn amro world tennis tournament,True,False,119,"2022,2023,2024,2025"
backtest,Queen's Club Championships,queen s club championships,queen s club championships,True,False,118,"2022,2023,2024,2025"
backtest,Dubai Tennis Championships,dubai tennis championships,dubai tennis championships,True,False,116,"2022,2023,2024,2025"
backtest,Abierto Mexicano,abierto mexicano,abierto mexicano,True,False,110,"2022,2023,2024,2025"
backtest,Rio Open,rio open,rio open,True,False,108,"2022,2023,2024,2025"
backtest,BMW Open,bmw open,bmw open,True,False,107,"2022,2023,2024,2025"
backtest,Eastbourne International,eastbourne international,eastbourne international,True,False,107,"2022,2023,2024,2025"
backtest,Qatar Exxon Mobil Open,qatar exxon mobil open,qatar exxon mobil open,True,False,107,"2022,2023,2024,2025"
backtest,Vienna Open,vienna open,vienna open,True,False,107,"2022,2023,2024,2025"
backtest,Nordea Open,nordea open,nordea open,True,False,106,"2022,2023,2024,2025"
backtest,Rosmalen Grass Court Championships,rosmalen grass court championships,rosmalen grass court championships,True,False,106,"2022,2023,2024,2025"
backtest,Swiss Indoors,swiss indoors,swiss indoors,True,False,106,"2022,2023,2024,2025"
backtest,Los Cabos Open,los cabos open,los cabos open,True,False,104,"2022,2023,2024,2025"
backtest,Dallas Open,dallas open,dallas open,True,False,103,"2022,2023,2024,2025"
backtest,Delray Beach Open,delray beach open,delray beach open,True,False,103,"2022,2023,2024,2025"
backtest,Generali Open,generali open,generali open,True,False,103,"2022,2023,2024,2025"
backtest,Grand Prix Hassan II,grand prix hassan ii,grand prix hassan ii,True,False,103,"2022,2023,2024,2025"
backtest,Open 13,open 13,open 13,True,False,103,"2022,2023,2024,2025"
backtest,Argentina Open,argentina open,argentina open,True,False,102,"2022,2023,2024,2025"
backtest,Mallorca Championships,mallorca championships,mallorca championships,True,False,102,"2022,2023,2024,2025"
backtest,Croatia Open,croatia open,croatia open,True,False,100,"2022,2023,2024,2025"
backtest,Geneva Open,geneva open,geneva open,True,False,100,"2022,2023,2024,2025"
backtest,Suisse Open Gstaad,suisse open gstaad,suisse open gstaad,True,False,99,"2022,2023,2024,2025"
backtest,Chile Open,chile open,chile open,True,False,98,"2022,2023,2024,2025"
backtest,Open Sud de France,open sud de france,open sud de france,True,False,97,"2022,2023,2024,2025"
backtest,Open de Moselle,open de moselle,open de moselle,True,False,93,"2022,2023,2024,2025"
backtest,Japan Open Tennis Championships,japan open tennis championships,japan open tennis championships,True,False,86,"2023,2024,2025"
backtest,ASB Classic,asb classic,asb classic,True,False,84,"2023,2024,2025,2026"
backtest,Brisbane International,brisbane international,brisbane international,True,False,84,"2024,2025,2026"
backtest,China Open,china open,china open,True,False,82,"2023,2024,2025"
backtest,Hall of Fame Championships,hall of fame championships,hall of fame championships,True,False,79,"2022,2023,2024"
backtest,Nordic Open,nordic open,nordic open,True,False,78,"2023,2024,2025"
backtest,U.S. Men's Clay Court Championships,u s men s clay court championships,u s men s clay court championships,True,False,76,"2022,2023,2024"
backtest,Atlanta Open,atlanta open,atlanta open,True,False,75,"2022,2023,2024"
backtest,Chengdu Open,chengdu open,chengdu open,True,False,75,"2023,2024,2025"
backtest,Stuttgart Open,stuttgart open,stuttgart open,True,False,75,"2023,2024,2025"
backtest,Lyon Open,lyon open,lyon open,True,False,70,"2022,2023,2024"
backtest,Cordoba Open,cordoba open,cordoba open,True,False,69,"2022,2023,2024"
backtest,Hong Kong Tennis Open,hong kong tennis open,hong kong tennis open,True,False,69,"2024,2025,2026"
backtest,Adelaide International,adelaide international,adelaide international,True,False,60,"2024,2025,2026"
backtest,Masters Cup,masters cup,masters cup,True,False,58,"2022,2023,2024,2025"
backtest,Astana Open,astana open,astana open,True,False,56,"2022,2023"
backtest,Adelaide International 1,adelaide international 1,adelaide international 1,True,False,54,"2022,2023"
backtest,Estoril Open,estoril open,estoril open,True,False,54,"2023,2024"
backtest,Sofia Open,sofia open,sofia open,True,False,52,"2022,2023"
backtest,Tiriac Open,tiriac open,tiriac open,True,False,52,"2024,2025"
backtest,Maharashtra Open,maharashtra open,maharashtra open,True,False,51,"2022,2023"
backtest,Adelaide International 2,adelaide international 2,adelaide international 2,True,False,50,"2022,2023"
backtest,Almaty Open,almaty open,almaty open,True,False,50,"2024,2025"
backtest,Hangzhou Open,hangzhou open,hangzhou open,True,False,45,"2024,2025"
backtest,Hamburg Open,hamburg open,hamburg open,True,False,29,2025
backtest,Rakuten Japan Open Tennis Championships,rakuten japan open tennis championships,rakuten japan open tennis championships,True,False,28,2022
backtest,Belgrade Open,belgrade open,belgrade open,True,False,27,2024
backtest,Stockholm Open,stockholm open,stockholm open,True,False,27,2022
backtest,Firenze Open,firenze open,firenze open,True,False,26,2022
backtest,Millennium Estoril Open,millennium estoril open,millennium estoril open,True,False,26,2022
backtest,Napoli Cup,napoli cup,napoli cup,True,False,26,2022
backtest,San Diego Open,san diego open,san diego open,True,False,26,2022
backtest,Serbia Open,serbia open,serbia open,True,False,26,2022
backtest,Srpska Open,srpska open,srpska open,True,False,26,2023
backtest,Tel Aviv Open,tel aviv open,tel aviv open,True,False,26,2022
backtest,Mercedes Cup,mercedes cup,mercedes cup,True,False,25,2022
backtest,Sydney Tennis Classic,sydney tennis classic,sydney tennis classic,True,False,25,2022
backtest,U.S.Men's Clay Court Championships,u s men s clay court championships,u s men s clay court championships,True,False,25,2025
backtest,Zhuhai Championships,zhuhai championships,zhuhai championships,True,False,25,2023
backtest,Gijon Open,gijon open,gijon open,True,False,24,2022
backtest,Hellenic Championship,hellenic championship,hellenic championship,True,False,23,2025
backtest,Melbourne Summer Set,melbourne summer set,melbourne summer set,True,False,22,2022
backtest,Korea Open,korea open,korea open,True,False,21,2022
sackmann,Australian Open,australian open,australian open,True,False,254,"2023,2024"
sackmann,Roland Garros,roland garros,roland garros,True,False,254,"2023,2024"
sackmann,Us Open,us open,us open,True,False,254,"2023,2024"
sackmann,Wimbledon,wimbledon,wimbledon,True,False,254,"2023,2024"
sackmann,Indian Wells Masters,indian wells masters,indian wells masters,True,False,190,"2023,2024"
sackmann,Madrid Masters,madrid masters,madrid masters,True,False,190,"2023,2024"
sackmann,Miami Masters,miami masters,miami masters,True,False,190,"2023,2024"
sackmann,Rome Masters,rome masters,rome masters,True,False,190,"2023,2024"
sackmann,Shanghai Masters,shanghai masters,shanghai masters,True,False,190,"2023,2024"
sackmann,Canada Masters,canada masters,canada masters,True,False,110,"2023,2024"
