tournament_key,tournament_display,window_type,years,start_year,end_year,target_season_year,segment_family,segment_type,n_matches,wins,losses,win_rate_pct_raw,win_rate_pct_shrunk,r1_matches,r1_wins,r1_win_rate_pct_raw,max_round,max_round_order,n
us open,US Open,year,2022,2022,2022,,entry,entry_MD,254,127,127,50.0,50.1743,128,64,50.0,F,9,254
wimbledon,Wimbledon,year,2022,2022,2022,,entry,entry_MD,254,127,127,50.0,50.1743,128,64,50.0,F,9,254
roland garros,Roland Garros,year,2022,2022,2022,,entry,entry_MD,226,118,108,52.2124,52.2267,100,55,55.0,F,9,226
australian open,Australian Open,year,2022,2022,2022,,entry,entry_MD,213,115,98,53.9906,53.853,99,55,55.5556,F,9,213
wimbledon,Wimbledon,year,2022,2022,2022,,seed,seed_unseeded,164,66,98,40.2439,40.5871,98,40,40.8163,F,9,164
indian wells masters,Indian Wells Masters,year,2022,2022,2022,,entry,entry_MD,152,79,73,51.9737,52.0219,42,21,50.0,F,9,152
miami masters,Miami Masters,year,2022,2022,2022,,entry,entry_MD,151,78,73,51.6556,51.7413,43,21,48.8372,F,9,151
australian open,Australian Open,year,2022,2022,2022,,seed,seed_unseeded,150,52,98,34.6667,35.6943,98,39,39.7959,R16,6,150
roland garros,Roland Garros,year,2022,2022,2022,,seed,seed_unseeded,149,53,96,35.5705,36.4972,96,39,40.625,QF,7,149
us open,US Open,year,2022,2022,2022,,seed,seed_unseeded,149,53,96,35.5705,36.4972,96,38,39.5833,R16,6,149
miami masters,Miami Masters,year,2022,2022,2022,,seed,seed_unseeded,120,55,65,45.8333,45.4859,64,32,50.0,SF,8,120
indian wells masters,Indian Wells Masters,year,2022,2022,2022,,seed,seed_unseeded,109,45,64,41.2844,41.6126,64,32,50.0,QF,7,109
cup,ATP Cup,year,2022,2022,2022,,entry,entry_MD,108,54,54,50.0,50.3731,0,0,,F,9,108
cup,ATP Cup,year,2022,2022,2022,,seed,seed_unseeded,108,54,54,50.0,48.969,0,0,,F,9,108
canada masters,Canada Masters,year,2022,2022,2022,,entry,entry_MD,91,50,41,54.9451,54.4843,34,21,61.7647,F,9,91
monte carlo masters,Monte Carlo Masters,year,2022,2022,2022,,entry,entry_MD,91,51,40,56.044,55.3852,33,21,63.6364,F,9,91
paris masters,Paris Masters,year,2022,2022,2022,,entry,entry_MD,89,47,42,52.809,52.7317,35,18,51.4286,F,9,89
rome masters,Rome Masters,year,2022,2022,2022,,entry,entry_MD,88,49,39,55.6818,55.0718,33,20,60.6061,F,9,88
madrid masters,Madrid Masters,year,2022,2022,2022,,entry,entry_MD,86,45,41,52.3256,52.3374,34,18,52.9412,F,9,86
cincinnati masters,Cincinnati Masters,year,2022,2022,2022,,entry,entry_MD,84,42,42,50.0,50.4592,34,18,52.9412,F,9,84
washington,Washington,year,2022,2022,2022,,entry,entry_MD,76,40,36,52.6316,52.5808,21,11,52.381,F,9,76
barcelona,Barcelona,year,2022,2022,2022,,entry,entry_MD,75,40,35,53.3333,53.1343,20,10,50.0,F,9,75
paris masters,Paris Masters,year,2022,2022,2022,,seed,seed_unseeded,73,33,40,45.2055,44.8175,41,19,46.3415,F,9,73
canada masters,Canada Masters,year,2022,2022,2022,,seed,seed_unseeded,72,33,39,45.8333,45.3047,40,17,42.5,F,9,72
salem,Winston-Salem,year,2022,2022,2022,,entry,entry_MD,72,38,34,52.7778,52.693,21,12,57.1429,F,9,72
monte carlo masters,Monte Carlo Masters,year,2022,2022,2022,,seed,seed_unseeded,71,30,41,42.2535,42.5058,41,18,43.9024,F,9,71
rome masters,Rome Masters,year,2022,2022,2022,,seed,seed_unseeded,70,28,42,40.0,40.7559,41,19,46.3415,QF,7,70
cincinnati masters,Cincinnati Masters,year,2022,2022,2022,,seed,seed_unseeded,67,28,39,41.791,42.1613,40,18,45.0,F,9,67
salem,Winston-Salem,year,2022,2022,2022,,seed,seed_unseeded,67,34,33,50.7463,49.0578,32,16,50.0,F,9,67
madrid masters,Madrid Masters,year,2022,2022,2022,,seed,seed_unseeded,64,24,40,37.5,38.9051,40,18,45.0,R16,6,64
washington,Washington,year,2022,2022,2022,,seed,seed_unseeded,64,33,31,51.5625,49.6194,32,16,50.0,F,9,64
barcelona,Barcelona,year,2022,2022,2022,,seed,seed_unseeded,53,21,32,39.6226,40.658,32,16,50.0,R16,6,53
tokyo,Tokyo,year,2022,2022,2022,,entry,entry_MD,52,29,23,55.7692,54.83,24,14,58.3333,F,9,52
vienna,Vienna,year,2022,2022,2022,,entry,entry_MD,51,30,21,58.8235,57.0107,22,15,68.1818,F,9,51
marrakech,Marrakech,year,2022,2022,2022,,entry,entry_MD,50,27,23,54.0,53.5394,24,12,50.0,F,9,50
astana,Astana,year,2022,2022,2022,,entry,entry_MD,48,27,21,56.25,55.1141,22,12,54.5455,F,9,48
hamburg,Hamburg,year,2022,2022,2022,,entry,entry_MD,48,27,21,56.25,55.1141,22,13,59.0909,F,9,48
marrakech,Marrakech,year,2022,2022,2022,,seed,seed_unseeded,48,25,23,52.0833,49.5299,24,13,54.1667,F,9,48
rotterdam,Rotterdam,year,2022,2022,2022,,entry,entry_MD,48,26,22,54.1667,53.6435,23,13,56.5217,F,9,48
halle,Halle,year,2022,2022,2022,,entry,entry_MD,47,24,23,51.0638,51.4591,24,13,54.1667,F,9,47
queen s club,Queen's Club,year,2022,2022,2022,,seed,seed_unseeded,47,23,24,48.9362,47.284,24,14,58.3333,F,9,47
basel,Basel,year,2022,2022,2022,,entry,entry_MD,46,25,21,54.3478,53.7539,22,12,54.5455,F,9,46
hamburg,Hamburg,year,2022,2022,2022,,seed,seed_unseeded,46,23,23,50.0,48.0005,24,12,50.0,F,9,46
naples,Naples,year,2022,2022,2022,,entry,entry_MD,46,25,21,54.3478,53.7539,18,11,61.1111,F,9,46
newport,Newport,year,2022,2022,2022,,entry,entry_MD,46,24,22,52.1739,52.2388,19,9,47.3684,F,9,46
san diego,San Diego,year,2022,2022,2022,,entry,entry_MD,46,26,20,56.5217,55.2691,17,11,64.7059,F,9,46
us open,US Open,year,2022,2022,2022,,seed,seed_17_32,46,30,16,65.2174,63.4861,16,13,81.25,SF,8,46
australian open,Australian Open,year,2022,2022,2022,,seed,seed_17_32,45,29,16,64.4444,62.9243,16,12,75.0,QF,7,45
geneva,Geneva,year,2022,2022,2022,,entry,entry_MD,45,24,21,53.3333,53.0425,18,9,50.0,F,9,45
queen s club,Queen's Club,year,2022,2022,2022,,entry,entry_MD,45,23,22,51.1111,51.504,23,10,43.4783,F,9,45
stuttgart,Stuttgart,year,2022,2022,2022,,entry,entry_MD,45,24,21,53.3333,53.0425,18,9,50.0,F,9,45
doha,Doha,year,2022,2022,2022,,entry,entry_MD,44,25,19,56.8182,55.4337,16,10,62.5,F,9,44
acapulco,Acapulco,year,2022,2022,2022,,entry,entry_MD,43,24,19,55.814,54.7263,20,11,55.0,F,9,43
delray beach,Delray Beach,year,2022,2022,2022,,entry,entry_MD,43,22,21,51.1628,51.5517,18,8,44.4444,F,9,43
dubai,Dubai,year,2022,2022,2022,,entry,entry_MD,43,21,22,48.8372,49.9644,23,10,43.4783,F,9,43
mallorca,Mallorca,year,2022,2022,2022,,entry,entry_MD,43,23,20,53.4884,53.139,17,10,58.8235,F,9,43
montpellier,Montpellier,year,2022,2022,2022,,entry,entry_MD,43,22,21,51.1628,51.5517,18,8,44.4444,F,9,43
sofia,Sofia,year,2022,2022,2022,,entry,entry_MD,43,23,20,53.4884,53.139,17,9,52.9412,F,9,43
stockholm,Stockholm,year,2022,2022,2022,,entry,entry_MD,43,23,20,53.4884,53.139,17,9,52.9412,F,9,43
vienna,Vienna,year,2022,2022,2022,,seed,seed_unseeded,43,18,25,41.8605,42.3497,25,9,36.0,F,9,43
wimbledon,Wimbledon,year,2022,2022,2022,,seed,seed_17_32,43,27,16,62.7907,61.7473,16,13,81.25,R16,6,43
adelaide 2,Adelaide-2,year,2022,2022,2022,,seed,seed_unseeded,42,23,19,54.7619,51.0973,20,11,55.0,F,9,42
basel,Basel,year,2022,2022,2022,,seed,seed_unseeded,42,18,24,42.8571,43.0328,24,12,50.0,F,9,42
florence,Florence,year,2022,2022,2022,,entry,entry_MD,42,22,20,52.381,52.3832,17,9,52.9412,F,9,42
los cabos,Los Cabos,year,2022,2022,2022,,entry,entry_MD,42,24,18,57.1429,55.609,15,9,60.0,F,9,42
adelaide 1,Adelaide 1,year,2022,2022,2022,,entry,entry_MD,41,21,20,51.2195,51.6026,17,9,52.9412,F,9,41
bastad,Bastad,year,2022,2022,2022,,entry,entry_MD,41,23,18,56.0976,54.8813,15,9,60.0,F,9,41
dallas,Dallas,year,2022,2022,2022,,entry,entry_MD,41,21,20,51.2195,51.6026,17,7,41.1765,F,9,41
melbourne,Melbourne,year,2022,2022,2022,,seed,seed_unseeded,41,20,21,48.7805,47.0169,21,11,52.381,F,9,41
pune,Pune,year,2022,2022,2022,,entry,entry_MD,41,22,19,53.6585,53.242,16,9,56.25,F,9,41
atlanta,Atlanta,year,2022,2022,2022,,entry,entry_MD,40,22,18,55.0,54.1293,16,8,50.0,F,9,40
dubai,Dubai,year,2022,2022,2022,,seed,seed_unseeded,40,15,25,37.5,39.4672,25,10,40.0,F,9,40
gijon,Gijon,year,2022,2022,2022,,seed,seed_unseeded,40,19,21,47.5,46.1338,21,11,52.381,F,9,40
hertogenbosch,'s-Hertogenbosch,year,2022,2022,2022,,entry,entry_MD,40,20,20,50.0,50.796,16,9,56.25,F,9,40
lyon,Lyon,year,2022,2022,2022,,entry,entry_MD,40,23,17,57.5,55.796,15,10,66.6667,F,9,40
