tournament_key,tournament_display,window_type,years,start_year,end_year,target_season_year,bet_side,segment_family,segment_type,n_bets,wins,losses,pl_units,roi_pct_raw,roi_pct_shrunk,win_rate_pct_raw,n
wimbledon,Wimbledon,year,2022,2022,2022,,dog,entry,entry_MD,111,31,80,-25.83,-23.2703,-19.7537,27.9279,111
wimbledon,Wimbledon,year,2022,2022,2022,,fav,entry,entry_MD,111,80,31,-2.67,-2.4054,-2.7676,72.0721,111
australian open,Australian Open,year,2022,2022,2022,,fav,entry,entry_MD,110,84,26,2.77,2.5182,1.0983,76.3636,110
french open,French Open,year,2022,2022,2022,,fav,entry,entry_MD,110,83,27,4.215,3.8318,2.1304,75.4545,110
us open,US Open,year,2022,2022,2022,,dog,entry,entry_MD,109,32,77,0.23,0.211,-1.2897,29.3578,109
us open,US Open,year,2022,2022,2022,,fav,entry,entry_MD,109,77,32,-3.315,-3.0413,-3.2715,70.6422,109
wimbledon,Wimbledon,year,2022,2022,2022,,dog,seed,seed_unseeded,99,28,71,-23.12,-23.3535,-19.5546,28.2828,99
french open,French Open,year,2022,2022,2022,,dog,seed,seed_unseeded,98,24,74,-32.87,-33.5408,-27.3245,24.4898,98
australian open,Australian Open,year,2022,2022,2022,,dog,seed,seed_unseeded,97,25,72,-20.17,-20.7938,-17.5397,25.7732,97
us open,US Open,year,2022,2022,2022,,dog,seed,seed_unseeded,95,28,67,2.47,2.6,0.2917,29.4737,95
french open,French Open,year,2022,2022,2022,,dog,entry,entry_MD,93,24,69,-26.08,-28.043,-22.8477,25.8065,93
australian open,Australian Open,year,2022,2022,2022,,dog,entry,entry_MD,88,22,66,-22.62,-25.7045,-20.8837,25.0,88
bnp paribas open,BNP Paribas Open,year,2022,2022,2022,,fav,entry,entry_MD,80,55,25,3.57,4.4625,2.1251,68.75,80
miami open,Miami Open,year,2022,2022,2022,,fav,entry,entry_MD,75,47,28,-8.55,-11.4,-9.3166,62.6667,75
miami open,Miami Open,year,2022,2022,2022,,dog,seed,seed_unseeded,70,24,46,-4.85,-6.9286,-6.9554,34.2857,70
bnp paribas open,BNP Paribas Open,year,2022,2022,2022,,dog,seed,seed_unseeded,66,18,48,-23.25,-35.2273,-26.4119,27.2727,66
bnp paribas open,BNP Paribas Open,year,2022,2022,2022,,dog,entry,entry_MD,57,17,40,-10.55,-18.5088,-14.4514,29.8246,57
miami open,Miami Open,year,2022,2022,2022,,dog,entry,entry_MD,57,21,36,0.91,1.5965,-1.279,36.8421,57
european open,European Open,year,2022,2022,2022,,fav,entry,entry_MD,52,33,19,-2.98,-5.7308,-5.1371,63.4615,52
european open,European Open,year,2022,2022,2022,,dog,seed,seed_unseeded,51,19,32,-1.26,-2.4706,-4.1548,37.2549,51
wimbledon,Wimbledon,year,2022,2022,2022,,fav,seed,seed_unseeded,49,32,17,-1.81,-3.6939,-3.9722,65.3061,49
internazionali bnl d italia,Internazionali BNL d'Italia,year,2022,2022,2022,,fav,entry,entry_MD,47,36,11,3.97,8.4468,3.5553,76.5957,47
monte carlo masters,Monte Carlo Masters,year,2022,2022,2022,,dog,seed,seed_unseeded,47,15,32,-7.81,-16.617,-12.8771,31.9149,47
monte carlo masters,Monte Carlo Masters,year,2022,2022,2022,,fav,entry,entry_MD,47,32,15,-0.46,-0.9787,-2.1979,68.0851,47
mutua madrid open,Mutua Madrid Open,year,2022,2022,2022,,fav,entry,entry_MD,47,30,17,-4.42,-9.4043,-7.3408,63.8298,47
internazionali bnl d italia,Internazionali BNL d'Italia,year,2022,2022,2022,,dog,seed,seed_unseeded,45,12,33,-6.0,-13.3333,-10.8072,26.6667,45
canadian open,Canadian Open,year,2022,2022,2022,,fav,entry,entry_MD,44,31,13,7.74,17.5909,8.7941,70.4545,44
western southern financial group masters,Western & Southern Financial Group Masters,year,2022,2022,2022,,fav,entry,entry_MD,44,25,19,-9.42,-21.4091,-14.3951,56.8182,44
canadian open,Canadian Open,year,2022,2022,2022,,dog,seed,seed_unseeded,42,11,31,-11.9,-28.3333,-19.4519,26.1905,42
mutua madrid open,Mutua Madrid Open,year,2022,2022,2022,,dog,seed,seed_unseeded,42,14,28,0.34,0.8095,-2.4519,33.3333,42
bnp paribas masters,BNP Paribas Masters,year,2022,2022,2022,,dog,seed,seed_unseeded,41,15,26,4.5,10.9756,3.3727,36.5854,41
western southern financial group masters,Western & Southern Financial Group Masters,year,2022,2022,2022,,dog,seed,seed_unseeded,41,17,24,5.29,12.9024,4.4853,41.4634,41
citi open,Citi Open,year,2022,2022,2022,,dog,seed,seed_unseeded,39,21,18,17.11,43.8718,21.7458,53.8462,39
french open,French Open,year,2022,2022,2022,,fav,seed,seed_unseeded,39,24,15,1.62,4.1538,0.4232,61.5385,39
monte carlo masters,Monte Carlo Masters,year,2022,2022,2022,,dog,entry,entry_MD,39,16,23,2.26,5.7949,0.3439,41.0256,39
bnp paribas masters,BNP Paribas Masters,year,2022,2022,2022,,fav,entry,entry_MD,38,26,12,-1.32,-3.4737,-3.7535,68.4211,38
citi open,Citi Open,year,2022,2022,2022,,fav,entry,entry_MD,38,18,20,-13.22,-34.7895,-21.2535,47.3684,38
barcelona open,Barcelona Open,year,2022,2022,2022,,fav,entry,entry_MD,37,24,13,-2.59,-7.0,-5.7051,64.8649,37
us open,US Open,year,2022,2022,2022,,fav,seed,seed_unseeded,37,20,17,-3.22,-8.7027,-6.7881,54.0541,37
australian open,Australian Open,year,2022,2022,2022,,fav,seed,seed_unseeded,36,20,16,-4.13,-11.4722,-8.2697,55.5556,36
canadian open,Canadian Open,year,2022,2022,2022,,dog,entry,entry_MD,35,13,22,-2.91,-8.3143,-7.5888,37.1429,35
internazionali bnl d italia,Internazionali BNL d'Italia,year,2022,2022,2022,,dog,entry,entry_MD,35,10,25,-4.12,-11.7714,-9.4503,28.5714,35
salem open at wake forest university,Winston-Salem Open at Wake Forest University,year,2022,2022,2022,,dog,seed,seed_unseeded,35,17,18,9.37,26.7714,11.1763,48.5714,35
salem open at wake forest university,Winston-Salem Open at Wake Forest University,year,2022,2022,2022,,fav,entry,entry_MD,34,22,12,1.66,4.8824,0.6681,64.7059,34
miami open,Miami Open,year,2022,2022,2022,,fav,seed,seed_unseeded,33,22,11,-1.27,-3.8485,-4.1238,66.6667,33
mutua madrid open,Mutua Madrid Open,year,2022,2022,2022,,dog,entry,entry_MD,33,11,22,-7.84,-23.7576,-15.6551,33.3333,33
bnp paribas masters,BNP Paribas Masters,year,2022,2022,2022,,dog,entry,entry_MD,31,11,20,0.81,2.6129,-1.9881,35.4839,31
european open,European Open,year,2022,2022,2022,,dog,entry,entry_MD,31,13,18,3.84,12.3871,2.9791,41.9355,31
salem open at wake forest university,Winston-Salem Open at Wake Forest University,year,2022,2022,2022,,dog,entry,entry_MD,31,13,18,1.66,5.3548,-0.5946,41.9355,31
australian open,Australian Open,year,2022,2022,2022,,fav,seed,seed_17_32,30,23,7,-1.51,-5.0333,-4.8717,76.6667,30
barcelona open,Barcelona Open,year,2022,2022,2022,,dog,entry,entry_MD,30,11,19,-5.07,-16.9,-11.8212,36.6667,30
barcelona open,Barcelona Open,year,2022,2022,2022,,dog,seed,seed_unseeded,30,9,21,-9.61,-32.0333,-19.5257,30.0,30
bnp paribas open,BNP Paribas Open,year,2022,2022,2022,,fav,seed,seed_unseeded,30,21,9,6.4,21.3333,8.4533,70.0,30
western southern financial group masters,Western & Southern Financial Group Masters,year,2022,2022,2022,,dog,entry,entry_MD,30,12,18,0.29,0.9667,-2.8879,40.0,30
astana open,Astana Open,year,2022,2022,2022,,fav,entry,entry_MD,29,24,5,4.54,15.6552,5.6061,82.7586,29
dubai tennis championships,Dubai Tennis Championships,year,2022,2022,2022,,dog,seed,seed_unseeded,29,10,19,10.26,35.3793,13.8214,34.4828,29
swiss indoors,Swiss Indoors,year,2022,2022,2022,,dog,seed,seed_unseeded,29,10,19,-3.69,-12.7241,-9.8227,34.4828,29
swiss indoors,Swiss Indoors,year,2022,2022,2022,,fav,entry,entry_MD,29,19,10,-2.36,-8.1379,-6.0888,65.5172,29
abn amro world tennis tournament,ABN AMRO World Tennis Tournament,year,2022,2022,2022,,dog,seed,seed_unseeded,28,11,17,-0.34,-1.2143,-4.2162,39.2857,28
abn amro world tennis tournament,ABN AMRO World Tennis Tournament,year,2022,2022,2022,,fav,entry,entry_MD,28,17,11,-4.11,-14.6786,-9.211,60.7143,28
citi open,Citi Open,year,2022,2022,2022,,dog,entry,entry_MD,28,16,12,15.38,54.9286,23.0298,57.1429,28
dubai tennis championships,Dubai Tennis Championships,year,2022,2022,2022,,fav,entry,entry_MD,28,18,10,-1.73,-6.1786,-5.1076,64.2857,28
