tournament_key,tournament_display,window_type,years,start_year,end_year,target_season_year,bet_side,segment_family,segment_type,n_bets,wins,losses,pl_units,roi_pct_raw,roi_pct_shrunk,win_rate_pct_raw,n
wimbledon,Wimbledon,year,2022,2022,2022,,dog,entry,entry_MD,111,31,80,-25.83,-23.2703,-19.4803,27.9279,111
wimbledon,Wimbledon,year,2022,2022,2022,,fav,entry,entry_MD,111,80,31,-2.67,-2.4054,-2.8703,72.0721,111
australian open,Australian Open,year,2022,2022,2022,,fav,entry,entry_MD,110,84,26,2.77,2.5182,0.9949,76.3636,110
us open,US Open,year,2022,2022,2022,,dog,entry,entry_MD,109,32,77,0.23,0.211,-1.0124,29.3578,109
us open,US Open,year,2022,2022,2022,,fav,entry,entry_MD,109,77,32,-3.315,-3.0413,-3.3756,70.6422,109
french open,French Open,year,2022,2022,2022,,fav,entry,entry_MD,107,81,26,4.595,4.2944,2.3488,75.7009,107
wimbledon,Wimbledon,year,2022,2022,2022,,dog,seed,seed_unseeded,99,28,71,-23.12,-23.3535,-19.1997,28.2828,99
australian open,Australian Open,year,2022,2022,2022,,dog,seed,seed_unseeded,97,25,72,-20.17,-20.7938,-17.1792,25.7732,97
french open,French Open,year,2022,2022,2022,,dog,seed,seed_unseeded,95,23,72,-32.13,-33.8211,-27.0221,24.2105,95
us open,US Open,year,2022,2022,2022,,dog,seed,seed_unseeded,95,28,67,2.47,2.6,0.6579,29.4737,95
french open,French Open,year,2022,2022,2022,,dog,entry,entry_MD,91,24,67,-24.08,-26.4615,-21.2539,26.3736,91
australian open,Australian Open,year,2022,2022,2022,,dog,entry,entry_MD,88,22,66,-22.62,-25.7045,-20.5569,25.0,88
bnp paribas open,BNP Paribas Open,year,2022,2022,2022,,fav,entry,entry_MD,76,52,24,3.0,3.9474,1.531,68.4211,76
miami open,Miami Open,year,2022,2022,2022,,fav,entry,entry_MD,70,44,26,-7.46,-10.6571,-8.8371,62.8571,70
miami open,Miami Open,year,2022,2022,2022,,dog,seed,seed_unseeded,67,23,44,-3.83,-5.7164,-5.647,34.3284,67
bnp paribas open,BNP Paribas Open,year,2022,2022,2022,,dog,seed,seed_unseeded,61,17,44,-19.71,-32.3115,-23.4699,27.8689,61
bnp paribas open,BNP Paribas Open,year,2022,2022,2022,,dog,entry,entry_MD,56,17,39,-9.55,-17.0536,-13.0084,30.3571,56
miami open,Miami Open,year,2022,2022,2022,,dog,entry,entry_MD,53,19,34,1.56,2.9434,-0.093,35.8491,53
european open,European Open,year,2022,2022,2022,,fav,entry,entry_MD,50,32,18,-2.51,-5.02,-4.8589,64.0,50
european open,European Open,year,2022,2022,2022,,dog,seed,seed_unseeded,49,18,31,-1.42,-2.898,-3.883,36.7347,49
wimbledon,Wimbledon,year,2022,2022,2022,,fav,seed,seed_unseeded,49,32,17,-1.81,-3.6939,-3.7002,65.3061,49
monte carlo masters,Monte Carlo Masters,year,2022,2022,2022,,dog,seed,seed_unseeded,47,15,32,-7.81,-16.617,-12.2826,31.9149,47
monte carlo masters,Monte Carlo Masters,year,2022,2022,2022,,fav,entry,entry_MD,47,32,15,-0.46,-0.9787,-2.3859,68.0851,47
internazionali bnl d italia,Internazionali BNL d'Italia,year,2022,2022,2022,,dog,seed,seed_unseeded,43,12,31,-4.0,-9.3023,-7.7364,27.907,43
internazionali bnl d italia,Internazionali BNL d'Italia,year,2022,2022,2022,,fav,entry,entry_MD,42,32,10,2.97,7.0714,2.2123,76.1905,42
mutua madrid open,Mutua Madrid Open,year,2022,2022,2022,,fav,entry,entry_MD,42,25,17,-7.4,-17.619,-12.1904,59.5238,42
