date,league,season,match,line,side,bookmaker,bookie_odds,market_prob,model_prob_raw,model_prob,model_fair,edge,stake,stake_label,lambda_h,lambda_a,lambda_total,lambda_h_recent,lambda_a_recent,divergence,consensus,policy_version,actual_total,won,pnl
2022-08-13,ligue-1,2022-2023,Paris SG vs Montpellier,9.5,under,synthetic_b365_1x2,2.798,0.3574,0.7187,0.5495,1.82,0.1921,0.38,MEDIUM,5.699,2.284,7.983,4.55,1.023,0.3019,conflict,V3,11,false,-0.38
2022-08-20,bundesliga,2022-2023,Union Berlin vs RB Leipzig,8.5,under,synthetic_b365_1x2,2.644,0.3782,0.8225,0.5314,1.882,0.1532,1.0,MEDIUM,2.885,3.346,6.231,2.768,3.666,0.0325,aligned,V3,14,false,-1.0
2022-09-02,la-liga,2022-2023,Celta vs Cadiz,8.5,under,synthetic_b365_1x2,2.898,0.345,0.7904,0.5139,1.946,0.1688,1.25,MEDIUM,3.631,2.879,6.51,3.682,2.502,0.0501,aligned,V3,4,true,2.3725
2022-09-03,bundesliga,2022-2023,Wolfsburg vs FC Koln,10.5,over,synthetic_b365_1x2,2.603,0.3842,0.7863,0.5371,1.862,0.1529,1.0,MEDIUM,5.281,8.186,13.467,4.61,11.893,0.2254,divergent,V3,9,false,-1.0
2022-09-10,ligue-1,2022-2023,Paris SG vs Brest,9.5,under,synthetic_b365_1x2,2.825,0.3539,0.619,0.5158,1.939,0.1618,0.5,MEDIUM,6.529,2.231,8.76,7.106,1.594,0.0068,aligned,V3,8,true,0.9125
2022-09-16,ligue-1,2022-2023,Auxerre vs Lorient,8.5,under,synthetic_b365_1x2,2.654,0.3768,0.8345,0.5387,1.856,0.1619,0.5,MEDIUM,2.605,3.515,6.12,2.512,2.844,0.1248,aligned,V3,14,false,-0.5
2022-10-01,ligue-1,2022-2023,Paris SG vs Nice,8.5,under,synthetic_b365_1x2,3.812,0.2623,0.6537,0.4548,2.199,0.1925,0.5,MEDIUM,5.137,2.423,7.56,5.548,2.456,0.0588,aligned,V3,4,true,1.406
2022-10-08,ligue-1,2022-2023,Marseille vs Ajaccio,8.5,under,synthetic_b365_1x2,3.275,0.3054,0.658,0.4565,2.191,0.1511,0.5,MEDIUM,3.929,3.6,7.529,3.908,3.665,0.0059,aligned,V3,13,false,-0.5
2022-10-09,la-liga,2022-2023,Barcelona vs Celta,8.5,under,synthetic_b365_1x2,3.493,0.2863,0.6576,0.4563,2.192,0.17,1.25,MEDIUM,4.67,2.861,7.532,4.654,2.782,0.0128,aligned,V3,9,false,-1.25
2022-10-29,serie-a,2022-2023,Inter vs Sampdoria,8.5,under,synthetic_b365_1x2,3.51,0.2849,0.671,0.4614,2.167,0.1765,1.5,MEDIUM,5.404,2.03,7.434,3.379,2.268,0.2403,divergent,V3,6,true,3.765
2022-11-09,serie-a,2022-2023,Torino vs Sampdoria,8.5,under,synthetic_b365_1x2,2.963,0.3375,0.8388,0.5413,1.847,0.2038,2.0,HIGH,3.673,2.408,6.081,2.9,2.078,0.1815,divergent,V3,7,true,3.926
2023-01-04,serie-a,2022-2023,Sassuolo vs Sampdoria,8.5,under,synthetic_b365_1x2,2.916,0.3429,0.7936,0.5155,1.94,0.1726,1.5,MEDIUM,3.5,2.984,6.483,2.94,3.472,0.0111,aligned,V3,10,false,-1.5
2023-01-15,serie-a,2022-2023,Atalanta vs Salernitana,8.5,under,synthetic_b365_1x2,3.285,0.3044,0.703,0.4741,2.109,0.1697,1.5,MEDIUM,3.961,3.236,7.197,3.44,2.788,0.1346,aligned,V3,7,true,3.4275
2023-01-25,bundesliga,2022-2023,Leverkusen vs Bochum,8.5,under,synthetic_b365_1x2,3.326,0.3006,0.7117,0.4777,2.094,0.177,0.5,MEDIUM,3.91,3.223,7.132,2.916,2.068,0.3013,conflict,V3,7,true,1.163
