match_date,league,home_team,away_team,line,actual_total,result_side,kickoff_utc,published_at_utc,close_at_utc,close_is_stale,lambda_poisson,nb_r,market_lambda,lambda_v2,blend_weight,p_market_over,p_poisson_over,p_nb_raw_over,p_v2_over,pub_over_odds,pub_under_odds,close_over_odds,close_under_odds,ev_over,ev_under,selected_side,selected_odds,selected_close_odds,selected_ev,published_to_close_clv,pnl_units,bet_result,brier_market,brier_poisson,brier_nb_raw,brier_v2
2026-04-10,bundesliga,Augsburg,Hoffenheim,10.0,8,under,2026-04-10T18:30:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,11.972,59.1218,10.5118,10.9498,0.3,0.475479,0.649828,0.630975,0.524526,2.0,1.813,1.9804,1.8333,0.160647,-0.228692,,,,,,,,0.22607992,0.42227683,0.39812916,0.27512719
2026-04-10,bundesliga,Augsburg,Hoffenheim,10.5,8,under,2026-04-10T18:30:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,11.972,59.1218,10.0373,10.6177,0.3,0.421024,0.649828,0.630975,0.487479,2.24,1.6289,2.21,1.6452,0.091952,-0.165154,,,,,,,,0.17726126,0.42227683,0.39812916,0.23763557
2026-04-10,bundesliga,Augsburg,Hoffenheim,11.0,8,under,2026-04-10T18:30:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,11.972,59.1218,10.4799,10.9275,0.3,0.363436,0.535197,0.525036,0.412498,2.57,1.4673,2.53,1.4831,0.169689,-0.18916,over,2.57,2.53,0.169689,0.01581,-1.0,lost,0.13208570,0.28643546,0.27566284,0.17015463
2026-04-10,bundesliga,Augsburg,Hoffenheim,9.0,8,under,2026-04-10T18:30:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,11.972,59.1218,10.6391,11.039,0.3,0.603658,0.755153,0.731089,0.645135,1.5495,2.36,1.5376,2.39,0.10305,-0.303161,,,,,,,,0.36440269,0.57025617,0.53449167,0.41619938
2026-04-10,bundesliga,Augsburg,Hoffenheim,9.5,8,under,2026-04-10T18:30:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,11.972,59.1218,10.0238,10.6083,0.3,0.53514,0.755153,0.731089,0.600356,1.7634,2.03,1.7463,2.05,0.058668,-0.188723,,,,,,,,0.28637480,0.57025617,0.53449167,0.36042775
2026-04-10,ligue-1,Marseille,Metz,10.0,11,over,2026-04-10T19:05:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,8.054,67.0569,10.0656,9.4621,0.3,0.424408,0.18951,0.200282,0.354044,2.22,1.6369,2.25,1.6211,-0.098853,-0.015986,,,,,,,,0.33130592,0.65689361,0.63954919,0.41725968
2026-04-10,ligue-1,Marseille,Metz,10.5,11,over,2026-04-10T19:05:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,8.054,67.0569,9.6768,9.19,0.3,0.379023,0.18951,0.200282,0.322675,2.47,1.5076,2.5,1.495,-0.202992,0.021135,,,,,,,,0.38561302,0.65689361,0.63954919,0.45876878
2026-04-10,ligue-1,Marseille,Metz,8.5,11,over,2026-04-10T19:05:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,8.054,67.0569,9.6083,9.142,0.3,0.608514,0.41499,0.414426,0.55354,1.5376,2.39,1.5495,2.37,-0.148876,0.067038,under,2.39,2.37,0.067038,0.008439,-1.0,lost,0.15326121,0.34223685,0.34289735,0.19932609
2026-04-10,ligue-1,Marseille,Metz,9.0,11,over,2026-04-10T19:05:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,8.054,67.0569,10.1871,9.5472,0.3,0.555076,0.290098,0.296475,0.479545,1.6993,2.12,1.7194,2.09,-0.063136,-0.033246,,,,,,,,0.19795778,0.50396071,0.49494688,0.27087314
2026-04-10,ligue-1,Marseille,Metz,9.5,11,over,2026-04-10T19:05:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,8.054,67.0569,9.6185,9.1492,0.3,0.488164,0.290098,0.296475,0.430845,1.9524,1.8621,1.9709,1.8333,-0.158818,0.059823,,,,,,,,0.26197651,0.50396071,0.49494688,0.32393727
