match_date,league,home_team,away_team,line,selected_side,selected_ev,selected_odds,selected_close_odds,bet_result,pnl_units,published_to_close_clv,actual_total,result_side,lambda_poisson,market_lambda,lambda_v2,lambda_gap_model_market,p_market_over,p_v2_over,line_bucket,line_type,side_line,side_league,edge_bucket,lambda_gap_bucket,fav_side,fav_prob,fav_gap,fav_bucket,pre_home_shot_pressure,pre_away_shot_pressure,pre_total_shot_pressure,pre_total_sot_pressure,pre_total_corner_pressure,pre_corner_per_shot,pre_recent_corner_delta,pre_recent_shot_delta,shot_pressure_bucket,corner_pressure_bucket,corner_per_shot_bucket,recent_corner_delta_bucket,recent_shot_delta_bucket,pre_feature_ready,post_match_total_shots,post_match_total_sot,post_match_corners_per_shot,post_match_shot_bucket
2026-04-10,bundesliga,Augsburg,Hoffenheim,11.0,over,0.230853,2.57,2.53,lost,-1.0,0.01581,8,under,11.972,10.4799,11.1451,1.4920999999999989,0.363436,0.436323,>=11.0,integer,over|>=11.0,over|bundesliga,>=10%,model>market,away,0.4751131221719457,0.20361990950226244,fav45-55,13.025,14.0,27.025,9.3,10.274999999999999,0.3651986546142527,1.5583333333333336,-0.2749999999999986,25-28,9.5-10.5,0.36-0.42,>=+1,flat,true,30,12,0.26666666666666666,>=30
2026-04-10,ligue-1,Paris FC,Monaco,10.0,over,0.092232,2.14,2.15,won,1.14,-0.004651,12,over,9.774,10.2039,10.3386,-0.4299000000000017,0.440508,0.456125,10.0-10.5,integer,over|10.0-10.5,over|ligue-1,6-10%,aligned,away,0.5032258064516129,0.25806451612903214,fav45-55,12.3,12.5,24.8,8.3,9.25,0.3868213323065075,1.8333333333333321,1.6999999999999993,22-25,8.5-9.5,0.36-0.42,>=+1,+1 to +3,true,31,11,0.3870967741935484,>=30
2026-04-11,serie-a,Milan,Udinese,10.0,over,0.062896,2.14,2.14,lost,-1.0,0.0,7,under,8.372,10.2333,10.2487,-1.8613,0.442607,0.444326,10.0-10.5,integer,over|10.0-10.5,over|serie-a,6-10%,model<<market,home,0.6697674418604651,0.5508837209302325,fav>=65,13.475000000000001,11.175,24.650000000000002,7.625,9.100000000000001,0.37543700416834747,0.06666666666666643,1.7666666666666657,22-25,8.5-9.5,0.36-0.42,flat,+1 to +3,true,32,9,0.21875,>=30
2026-04-11,epl,Arsenal,Bournemouth,11.0,over,0.061452,2.28,2.35,push,0.0,-0.029787,11,push,10.355,10.9501,10.9652,-0.5951000000000004,0.41498,0.416672,>=11.0,integer,over|>=11.0,over|epl,6-10%,model<market,home,0.6613756613756613,0.5343915343915343,fav>=65,13.875,11.575,25.45,8.425,10.0,0.3685929420303003,0.08333333333333215,-0.11666666666666714,25-28,9.5-10.5,0.36-0.42,flat,flat,true,23,6,0.4782608695652174,20-25
2026-04-11,serie-a,Atalanta,Juventus,10.0,over,0.101903,2.35,2.35,won,1.35,0.0,15,over,8.52,9.8734,10.0412,-1.3534000000000006,0.402249,0.421105,10.0-10.5,integer,over|10.0-10.5,over|serie-a,>=10%,model<market,away,0.4048278591214879,0.0979422239810051,balanced<45,12.225,14.6,26.825,8.925,9.55,0.33469275695103085,-0.8833333333333346,-0.158333333333335,25-28,9.5-10.5,0.30-0.36,-1 to -0.25,flat,true,29,5,0.5172413793103449,25-30
2026-04-11,ligue-1,Auxerre,Nantes,9.0,over,0.032378,1.7353,1.7353,lost,-1.0,0.0,5,under,8.662,10.1113,9.9402,-1.4492999999999991,0.546362,0.526452,9.0-9.5,integer,over|9.0-9.5,over|ligue-1,3-6%,model<market,home,0.47482014388489213,0.23741007194244607,fav45-55,12.05,11.175,23.225,8.05,9.100000000000001,0.3793453102612146,0.14999999999999858,-1.1416666666666693,22-25,8.5-9.5,0.36-0.42,flat,-3 to -1,true,18,4,0.2777777777777778,<20
2026-04-11,la-liga,Barcelona,Espanol,11.0,over,0.042503,2.11,2.09,won,1.11,0.009569,12,over,10.925,11.2643,11.1905,-0.3392999999999997,0.449747,0.441604,>=11.0,integer,over|>=11.0,over|la-liga,3-6%,aligned,home,0.7361963190184049,0.6306748466257668,fav>=65,16.175,10.7,26.875,9.5,10.25,0.39156857115513444,-0.16666666666666785,-0.625,25-28,9.5-10.5,0.36-0.42,flat,flat,true,30,12,0.4,>=30
2026-04-11,serie-a,Cagliari,Cremonese,9.0,over,0.04349,1.8621,1.885,won,0.8621,-0.012149,11,over,7.477,9.8708,9.7265,-2.393799999999999,0.514193,0.497677,9.0-9.5,integer,over|9.0-9.5,over|serie-a,3-6%,model<<market,home,0.4365343242714649,0.17582632505378443,balanced<45,13.475,11.45,24.924999999999997,8.475,9.125,0.3515434403783918,-1.375,-1.8416666666666615,22-25,8.5-9.5,0.30-0.36,<-1,-3 to -1,true,22,7,0.5,20-25
2026-04-11,epl,Liverpool,Fulham,11.0,over,0.154978,2.21,2.21,won,1.21,0.0,15,over,11.751,11.0726,11.4698,0.6783999999999999,0.428631,0.472612,>=11.0,integer,over|>=11.0,over|epl,>=10%,model>market,home,0.5746381507885073,0.3750270036724995,fav55-65,14.0,11.95,25.95,7.925000000000001,10.5,0.37381809053635684,0.6666666666666679,0.966666666666665,25-28,>=10.5,0.36-0.42,+0.25 to +1,flat,true,37,9,0.40540540540540543,>=30
2026-04-11,bundesliga,RB Leipzig,M'gladbach,8.5,under,0.125489,2.42,2.44,lost,-1.0,-0.008197,15,over,6.72,9.6644,8.9986,-2.944400000000001,0.613233,0.534922,<=8.5,half,under|<=8.5,under|bundesliga,>=10%,model<<market,home,0.6248878789690845,0.4510554326376846,fav55-65,14.6,11.274999999999999,25.875,9.825,8.525,0.3083160170728968,-1.0250000000000004,-1.9583333333333357,25-28,8.5-9.5,0.30-0.36,<-1,-3 to -1,true,39,14,0.38461538461538464,>=30
2026-04-11,la-liga,Sociedad,Alaves,10.0,over,0.036851,2.02,2.03,won,1.02,-0.004926,14,over,9.909,10.4761,10.334,-0.5670999999999999,0.472102,0.45568,10.0-10.5,integer,over|10.0-10.5,over|la-liga,3-6%,model<market,home,0.5459176541848509,0.34708869802910525,fav45-55,13.2,13.0,26.2,9.15,9.55,0.37470910771781063,0.9499999999999993,1.1333333333333364,25-28,9.5-10.5,0.36-0.42,+0.25 to +1,+1 to +3,true,24,6,0.5833333333333334,20-25
2026-04-11,ligue-1,Rennes,Angers,10.0,over,0.066319,2.13,2.21,won,1.13,-0.036199,14,over,9.431,10.2258,10.2511,-0.7948000000000004,0.44305,0.445982,10.0-10.5,integer,over|10.0-10.5,over|ligue-1,6-10%,model<market,home,0.6914119359534208,0.5807860262008735,fav>=65,13.75,11.25,25.0,8.575000000000001,9.45,0.3758747836556551,-0.6166666666666671,-1.0,25-28,8.5-9.5,0.36-0.42,-1 to -0.25,flat,true,21,11,0.6666666666666666,20-25
