season,variant,train,validation,mae,brier,log_loss,bias,alpha
2024-2025,v3_control,4901,1050,2.690357942772802,0.21158739330811763,0.6121605124256257,0.10613737249898372,0.017654891746239253
2024-2025,v3_plus_fav_gap,4901,1050,2.6891183841480495,0.21139769274748121,0.6117450522212188,0.10824158307821448,0.01738567074913589
2024-2025,v3_plus_corner_per_shot,4901,1050,2.685631091498016,0.21135946592435595,0.6116853036099604,0.07160757739898115,0.01762199995225202
2024-2025,v4_full,4901,1050,2.6849785667269117,0.21121094084056585,0.611362697592704,0.08100751741987955,0.017360848499802316
2024-2025,v4_lean_no_wide_block,4901,1050,2.6825368282913535,0.21108449128650983,0.6110726149880963,0.062850249918585,0.017403402589714137
2024-2025,v4_core,4901,1050,2.6834291443542972,0.21111956184593286,0.6111446209678775,0.06649037097535786,0.017408414920654803
2025-2026,v3_control,5951,950,2.7248761101202628,0.21272577775736484,0.6147319869177593,0.1244464678860864,0.018064252864295364
2025-2026,v3_plus_fav_gap,5951,950,2.721739591832369,0.21248850385994755,0.6142269634516797,0.1130834061717293,0.017771280302262906
2025-2026,v3_plus_corner_per_shot,5951,950,2.721304560146086,0.21255911694609794,0.6143712023820157,0.10030593987012788,0.018013717082442475
2025-2026,v4_full,5951,950,2.718939280774533,0.21236286763275886,0.6139530190333057,0.09392511280992977,0.01774834569864426
2025-2026,v4_lean_no_wide_block,5951,950,2.7175213954493365,0.21232156905668206,0.6138595188396228,0.09548695633116842,0.017767619419568094
2025-2026,v4_core,5951,950,2.718495159544241,0.21238164058152798,0.6140004683598109,0.09806672126439814,0.017774298967285714
