league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
bundesliga,2018-2019,24/08/2018,Bayern Munich,Hoffenheim,3,1,16,8,5,5,7,2,2,21,1,4,0,0,H,1,0,H,1.2,7.5,12,1.2,7.5,11.5,1.3,5.8,9
bundesliga,2018-2019,25/08/2018,Fortuna Dusseldorf,Augsburg,1,2,9,14,5,7,7,5,11,10,1,0,0,0,A,1,0,H,2.37,3.25,3,2.4,3.3,3,2.4,3.3,2.95
bundesliga,2018-2019,25/08/2018,Freiburg,Ein Frankfurt,0,2,22,10,6,2,6,4,7,12,1,2,0,0,A,0,1,A,2.3,3.3,3.25,2.35,3.2,3.2,2.4,3.3,2.95
bundesliga,2018-2019,25/08/2018,Hertha,Nurnberg,1,0,10,12,3,3,8,4,13,10,2,2,0,0,H,1,0,H,2.04,3.4,3.75,2.05,3.4,3.7,2.1,3.4,3.5
bundesliga,2018-2019,25/08/2018,M'gladbach,Leverkusen,2,0,17,13,7,3,9,5,10,10,1,2,0,0,H,0,0,D,2.8,3.5,2.45,2.85,3.5,2.4,2.8,3.4,2.5
bundesliga,2018-2019,25/08/2018,Werder Bremen,Hannover,1,1,15,13,3,4,4,3,5,6,0,0,0,0,D,0,0,D,1.85,3.6,4,1.87,3.75,4,1.9,3.5,4.1
bundesliga,2018-2019,25/08/2018,Wolfsburg,Schalke 04,2,1,11,9,7,4,7,2,16,11,5,3,0,1,H,1,0,H,3.1,3.3,2.37,3,3.3,2.4,2.85,3.3,2.5
bundesliga,2018-2019,26/08/2018,Dortmund,RB Leipzig,4,1,10,10,5,7,7,9,8,11,2,2,0,0,H,3,1,H,1.72,3.8,4.75,1.75,3.8,4.6,1.8,3.6,4.5
bundesliga,2018-2019,26/08/2018,Mainz,Stuttgart,1,0,8,12,3,3,6,3,15,6,1,2,0,0,H,0,0,D,2.7,3.25,2.7,2.8,3.25,2.6,2.65,3.3,2.65
bundesliga,2018-2019,31/08/2018,Hannover,Dortmund,0,0,7,8,0,3,4,1,11,5,0,0,0,0,D,0,0,D,5.5,4.33,1.57,5.5,4.33,1.57,5.5,4,1.6
bundesliga,2018-2019,01/09/2018,Augsburg,M'gladbach,1,1,18,7,7,2,9,4,12,12,1,2,0,0,D,1,0,H,2.62,3.4,2.7,2.65,3.4,2.65,2.65,3.4,2.65
bundesliga,2018-2019,01/09/2018,Ein Frankfurt,Werder Bremen,1,2,5,11,1,6,8,3,6,11,1,2,1,0,A,0,1,A,2.4,3.5,2.9,2.45,3.4,2.85,2.3,3.3,3.15
bundesliga,2018-2019,01/09/2018,Hoffenheim,Freiburg,3,1,20,9,7,4,6,4,13,14,1,2,0,0,H,0,1,A,1.55,4,6.5,1.6,4.1,5.5,1.6,4.2,5.3
bundesliga,2018-2019,01/09/2018,Leverkusen,Wolfsburg,1,3,16,12,3,5,5,3,13,13,3,3,0,0,A,1,1,D,1.61,4.33,5,1.65,3.9,5.25,1.65,4.1,5
bundesliga,2018-2019,01/09/2018,Nurnberg,Mainz,1,1,19,6,4,1,5,1,10,11,2,2,0,0,D,0,1,A,2.37,3.3,3.1,2.35,3.3,3.1,2.4,3.3,2.95
bundesliga,2018-2019,01/09/2018,Stuttgart,Bayern Munich,0,3,4,20,0,6,0,12,3,5,0,0,0,0,A,0,1,A,11,5.5,1.28,11,5.25,1.3,9.5,5.5,1.3
bundesliga,2018-2019,02/09/2018,RB Leipzig,Fortuna Dusseldorf,1,1,23,14,7,8,3,3,11,15,1,4,0,0,D,0,0,D,1.4,4.75,8,1.42,4.75,7.5,1.45,4.5,7.1
bundesliga,2018-2019,02/09/2018,Schalke 04,Hertha,0,2,16,5,4,3,9,0,16,15,1,1,1,0,A,0,1,A,1.75,3.6,5,1.78,3.5,5,1.75,3.7,4.8
