league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
bundesliga,2019-2020,16/08/2019,Bayern Munich,Hertha,2,2,17,6,7,3,12,0,6,17,3,3,0,0,D,1,2,A,1.14,8,15,1.18,7,16,1.25,6.1,11,1.33,3.4,1.8,2,1.14,8,15,1.18,8,13,1.25,6.1,11,1.3,3.5,2.03,1.9
bundesliga,2019-2020,17/08/2019,Dortmund,Augsburg,5,1,23,5,10,1,10,0,8,6,0,0,0,0,H,1,1,D,1.2,7,13,1.22,6.5,12.5,1.25,6.1,11,1.44,2.75,2.02,1.77,1.12,8,26,1.16,8,16.5,1.2,6.5,15,1.3,3.5,1.92,2.01
bundesliga,2019-2020,17/08/2019,Freiburg,Mainz,3,0,19,19,8,5,5,5,6,15,1,3,0,0,H,0,0,D,2.25,3.25,3.4,2.2,3.3,3.4,2.15,3.4,3.35,1.9,1.9,1.94,1.99,2.55,3.3,2.7,2.5,3.3,2.85,2.6,3.3,2.7,1.9,1.9,1.92,2.01
bundesliga,2019-2020,17/08/2019,Leverkusen,Paderborn,3,2,13,11,4,6,6,6,8,9,2,0,0,0,H,2,2,D,1.25,6,12,1.3,5.5,10,1.27,5.8,10.5,1.36,3.2,1.98,1.95,1.22,6.5,11,1.25,6.25,11,1.27,5.8,10.5,1.28,3.75,2.07,1.86
bundesliga,2019-2020,17/08/2019,Werder Bremen,Fortuna Dusseldorf,1,3,23,12,10,7,14,5,8,13,0,2,0,0,A,0,1,A,1.75,3.75,4.75,1.75,4,4.4,1.7,4,4.7,1.66,2.2,1.99,1.94,1.66,4.2,4.5,1.7,4,4.75,1.65,4.1,5,1.66,2.2,1.92,2.01
bundesliga,2019-2020,17/08/2019,Wolfsburg,FC Koln,2,1,14,11,5,2,2,6,14,18,1,3,0,0,H,1,0,H,1.95,3.5,4,1.91,3.6,4,1.9,3.8,3.85,1.66,2.2,1.92,2.01,2.05,3.4,3.6,2.05,3.5,3.6,2.1,3.6,3.45,1.72,2.1,2.11,1.82
bundesliga,2019-2020,17/08/2019,M'gladbach,Schalke 04,0,0,16,8,4,1,8,3,8,10,3,2,0,0,D,0,0,D,2,3.5,3.75,2.1,3.5,3.5,2.05,3.45,3.65,1.8,2,2.08,1.85,2.15,3.6,3.2,2.15,3.4,3.4,2,3.6,3.6,1.9,1.9,1.99,1.94
bundesliga,2019-2020,18/08/2019,Ein Frankfurt,Hoffenheim,1,0,17,10,8,1,10,5,16,9,3,1,0,0,H,1,0,H,2.25,3.6,3,2.35,3.5,2.95,2.3,3.75,2.9,1.53,2.5,2.04,1.89,2.05,3.75,3.3,2.2,3.75,3,2.1,3.7,3.25,1.5,2.62,1.88,2.05
bundesliga,2019-2020,18/08/2019,Union Berlin,RB Leipzig,0,4,13,14,2,8,3,6,14,5,1,0,0,0,A,0,3,A,5,3.8,1.7,4.4,4.1,1.72,4.65,4,1.7,1.72,2.1,1.98,1.95,4.5,4,1.72,4.75,4,1.7,5,3.8,1.7,1.66,2.2,1.92,2.01
bundesliga,2019-2020,23/08/2019,FC Koln,Dortmund,1,3,13,14,1,6,7,8,11,10,2,1,0,0,A,1,0,H,6.5,4.75,1.44,6.5,4.75,1.42,6.5,4.3,1.5,1.44,2.75,1.92,2.01,5.5,4.75,1.5,6,4.75,1.48,6.5,4.3,1.5,1.44,2.75,2.06,1.87
