league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
bundesliga,2024-2025,23/08/2024,M'gladbach,Leverkusen,2,3,14,25,7,9,2,4,11,7,1,0,0,0,A,0,2,A,5.25,4.5,1.55,5,4.4,1.58,1.44,2.75,1.98,1.92,4.75,4.5,1.62,4.75,4.33,1.63,1.44,2.75,1.86,2.04
bundesliga,2024-2025,24/08/2024,Augsburg,Werder Bremen,2,2,10,12,3,6,4,2,11,10,3,1,0,0,D,2,1,H,2.2,3.6,3.1,2.25,3.5,3,1.73,2.1,1.99,1.91,2.45,3.6,2.7,2.45,3.5,2.7,1.67,2.2,1.88,2.05
bundesliga,2024-2025,24/08/2024,Freiburg,Stuttgart,3,1,15,9,4,2,6,3,7,10,2,1,0,0,H,1,1,D,3.5,3.6,2.05,3.4,3.6,2.05,1.67,2.2,1.83,2.07,3.7,3.8,1.91,3.5,3.7,2,1.53,2.5,1.95,1.98
bundesliga,2024-2025,24/08/2024,Hoffenheim,Holstein Kiel,3,2,20,15,8,6,8,6,8,14,2,3,0,1,H,2,0,H,1.65,4.5,4.5,1.65,4.2,4.6,1.53,2.5,2.08,1.82,1.62,4.75,4.5,1.61,4.4,4.8,1.4,3,2.03,1.9
bundesliga,2024-2025,24/08/2024,Mainz,Union Berlin,1,1,15,15,3,4,8,9,9,15,1,3,0,0,D,0,0,D,2,3.4,3.9,2,3.3,3.9,2.2,1.67,2.05,1.85,2.05,3.3,3.75,2.05,3.3,3.7,2.07,1.83,2.1,1.83
bundesliga,2024-2025,24/08/2024,RB Leipzig,Bochum,1,0,12,10,3,4,9,3,9,17,1,3,1,0,H,0,0,D,1.25,7,9,1.27,6.25,9.75,1.36,3.2,1.87,2.03,1.22,7.5,11,1.23,6.75,12,1.33,3.4,1.99,1.94
bundesliga,2024-2025,24/08/2024,Dortmund,Ein Frankfurt,2,0,17,7,5,2,7,7,6,3,0,1,0,0,H,0,0,D,1.7,4.1,4.5,1.71,4.2,4.33,1.5,2.63,1.89,2.01,1.7,4,4.5,1.75,4,4.2,1.5,2.63,1.93,2
bundesliga,2024-2025,25/08/2024,Wolfsburg,Bayern Munich,2,3,11,14,2,8,1,7,13,11,2,3,0,0,A,0,1,A,6.25,4.75,1.45,6,4.8,1.47,1.44,2.75,1.92,1.98,6,4.75,1.45,6.5,4.6,1.46,1.44,2.75,1.95,1.98
bundesliga,2024-2025,25/08/2024,St Pauli,Heidenheim,0,2,11,6,3,3,4,2,10,15,2,3,0,0,A,0,0,D,2.1,3.5,3.4,2.1,3.5,3.4,1.87,2.03,1.84,2.06,1.95,3.5,3.75,2,3.5,3.7,2.03,1.87,2.02,1.91
bundesliga,2024-2025,30/08/2024,Union Berlin,St Pauli,1,0,10,8,5,2,5,4,10,11,3,1,0,0,H,1,0,H,1.91,3.5,4.1,1.93,3.5,4,2.03,1.87,1.95,1.98,1.95,3.4,4.2,1.95,3.4,4,2.1,1.73,1.99,1.94
bundesliga,2024-2025,31/08/2024,Bochum,M'gladbach,0,2,16,15,4,6,3,4,9,10,1,0,0,0,A,0,0,D,2.6,3.6,2.6,2.5,3.6,2.6,1.57,2.38,1.98,1.92,2.88,3.8,2.3,2.8,3.7,2.3,1.5,2.63,1.86,2.07
bundesliga,2024-2025,31/08/2024,Ein Frankfurt,Hoffenheim,3,1,17,10,7,3,1,4,10,10,0,3,0,0,H,2,0,H,1.8,4.2,3.9,1.82,4,3.9,1.44,2.75,2.03,1.87,1.62,4.5,4.5,1.68,4.2,4.5,1.4,3,1.75,2.05
bundesliga,2024-2025,31/08/2024,Holstein Kiel,Wolfsburg,0,2,12,12,5,4,1,7,17,14,4,7,0,0,A,0,2,A,3.2,3.7,2.15,3.1,3.6,2.15,1.73,2.1,1.99,1.91,2.9,3.7,2.3,2.9,3.6,2.3,1.62,2.3,1.89,2.04
bundesliga,2024-2025,31/08/2024,Stuttgart,Mainz,3,3,28,9,13,7,11,2,6,12,4,2,0,0,D,2,1,H,1.62,4.33,5.25,1.61,4.2,5.25,1.62,2.3,1.75,2.05,1.67,4.33,4.75,1.65,4.2,4.8,1.57,2.38,1.87,2.06
bundesliga,2024-2025,31/08/2024,Werder Bremen,Dortmund,0,0,5,9,1,4,5,6,11,16,2,7,0,1,D,0,0,D,4.1,4,1.8,3.75,4,1.83,1.44,2.75,2.03,1.78,3.9,3.75,1.91,3.75,3.75,1.9,1.57,2.38,1.98,1.95
bundesliga,2024-2025,31/08/2024,Leverkusen,RB Leipzig,2,3,27,10,10,4,18,2,7,8,3,1,0,0,A,2,1,H,1.75,4.2,4.1,1.8,4,3.9,1.5,2.63,2.01,1.89,1.62,4.5,4.75,1.63,4.33,4.6,1.44,2.75,1.73,2.08
bundesliga,2024-2025,01/09/2024,Heidenheim,Augsburg,4,0,17,15,9,1,5,6,15,11,0,3,0,0,H,2,0,H,2.38,3.5,2.9,2.37,3.5,2.8,1.73,2.1,2.07,1.83,2.38,3.5,2.9,2.45,3.4,2.8,1.8,2,2.09,1.84
bundesliga,2024-2025,01/09/2024,Bayern Munich,Freiburg,2,0,11,8,4,4,2,4,13,12,1,0,0,0,H,1,0,H,1.2,8,11,1.2,7.75,11.5,1.25,4,2.03,1.78,1.2,7.5,11,1.2,7.5,12,1.29,3.75,1.9,2.03
bundesliga,2024-2025,13/09/2024,Dortmund,Heidenheim,4,2,13,11,7,4,8,1,13,18,2,2,0,0,H,3,1,H,1.4,5.5,6.5,1.39,5,7.5,1.5,2.63,2.07,1.83,1.33,5.75,7.5,1.34,5.5,7.75,1.44,2.75,1.95,1.95
bundesliga,2024-2025,14/09/2024,Freiburg,Bochum,2,1,27,13,9,2,5,6,5,16,0,3,0,0,H,0,1,A,1.7,3.9,5,1.73,3.9,4.5,1.67,2.2,1.9,2,1.55,4.2,5.75,1.6,4.2,5.25,1.62,2.3,1.95,1.98
bundesliga,2024-2025,14/09/2024,Hoffenheim,Leverkusen,1,4,14,20,5,8,4,12,9,10,2,2,0,0,A,1,2,A,5.75,4.5,1.48,5.25,4.75,1.55,1.33,3.4,1.89,2.01,7,5,1.42,6.25,5.25,1.42,1.33,3.4,2.03,1.78
bundesliga,2024-2025,14/09/2024,M'gladbach,Stuttgart,1,3,15,12,7,7,6,2,14,12,2,2,0,0,A,1,1,D,2.75,4,2.3,2.75,3.8,2.3,1.44,2.75,1.83,2.07,2.63,3.8,2.45,2.65,3.75,2.4,1.5,2.63,2.02,1.91
bundesliga,2024-2025,14/09/2024,RB Leipzig,Union Berlin,0,0,16,11,3,3,6,5,9,19,2,3,0,0,D,0,0,D,1.48,4.5,6.5,1.46,4.5,6.75,1.67,2.2,2.07,1.83,1.48,4.75,6.25,1.47,4.6,6.25,1.57,2.38,2.08,1.85
bundesliga,2024-2025,14/09/2024,Wolfsburg,Ein Frankfurt,1,2,17,15,4,7,5,4,7,18,1,2,0,0,A,0,1,A,2.63,3.6,2.5,2.55,3.5,2.6,1.73,2.1,2.01,1.89,2.7,3.6,2.45,2.75,3.3,2.5,1.87,2.03,2.04,1.89
bundesliga,2024-2025,14/09/2024,Holstein Kiel,Bayern Munich,1,6,5,23,1,13,2,10,12,11,0,1,0,0,A,0,4,A,11,7,1.22,10.5,7,1.23,1.29,3.75,1.97,1.93,11,7.5,1.2,11.5,7.5,1.21,1.3,3.5,2.05,1.88
bundesliga,2024-2025,15/09/2024,Augsburg,St Pauli,3,1,18,12,10,3,7,7,12,10,4,3,0,0,H,0,0,D,2.1,3.6,3.4,2.05,3.5,3.5,1.73,2.1,1.82,2.08,2.05,3.25,3.9,2.05,3.25,3.75,2.1,1.73,2.1,1.83
bundesliga,2024-2025,15/09/2024,Mainz,Werder Bremen,1,2,11,11,5,5,10,4,12,7,3,1,0,1,A,1,1,D,2,3.7,3.5,2.05,3.5,3.6,1.73,2.1,2.05,1.85,2.15,3.6,3.2,2.2,3.5,3.2,1.73,2.1,1.92,2.01
bundesliga,2024-2025,20/09/2024,Augsburg,Mainz,2,3,30,5,9,3,14,1,7,12,3,5,1,1,A,1,2,A,2.38,3.5,2.9,2.4,3.4,2.8,1.67,2.2,2.1,1.83,2.3,3.5,3,2.35,3.4,2.9,1.73,2.1,2.08,1.85
bundesliga,2024-2025,21/09/2024,Bochum,Holstein Kiel,2,2,14,13,3,4,2,5,20,9,4,1,0,0,D,2,1,H,1.91,3.5,4,1.98,3.7,3.5,1.62,2.3,2.02,1.91,1.75,3.8,4.33,1.83,3.8,4,1.5,2.63,1.75,2.05
bundesliga,2024-2025,21/09/2024,Heidenheim,Freiburg,0,3,7,14,2,5,3,9,6,7,1,1,0,0,A,0,0,D,2.7,3.5,2.55,2.75,3.5,2.45,1.73,2.1,2.02,1.91,3.25,3.5,2.2,3.2,3.4,2.2,1.8,2,1.97,1.96
bundesliga,2024-2025,21/09/2024,Union Berlin,Hoffenheim,2,1,12,6,2,3,5,5,17,18,3,3,0,0,H,2,0,H,2,3.6,3.7,2.05,3.6,3.4,1.73,2.1,2.06,1.87,1.8,3.9,4.2,1.87,3.75,3.9,1.57,2.38,1.78,2.03
bundesliga,2024-2025,21/09/2024,Werder Bremen,Bayern Munich,0,5,0,25,0,7,1,4,4,13,0,3,0,0,A,0,2,A,8,5.5,1.36,7.25,5.5,1.36,1.36,3.2,1.94,1.99,8.5,5.75,1.33,8.25,6,1.31,1.36,3.2,1.86,2.07
bundesliga,2024-2025,21/09/2024,Ein Frankfurt,M'gladbach,2,0,14,22,4,7,8,5,10,12,1,1,0,0,H,1,0,H,1.75,4,4.33,1.75,4,4.2,1.5,2.63,2.02,1.91,1.73,4.1,4.33,1.75,4.1,4.1,1.44,2.75,1.97,1.96
bundesliga,2024-2025,22/09/2024,Leverkusen,Wolfsburg,4,3,20,8,7,4,6,2,6,14,4,5,0,1,H,2,3,A,1.3,5.75,8,1.31,5.75,9,1.44,2.75,1.88,2.05,1.27,6,8.5,1.28,6,9.75,1.36,3.2,2,1.93
bundesliga,2024-2025,22/09/2024,Stuttgart,Dortmund,5,1,16,6,9,3,6,4,10,6,1,3,0,0,H,2,0,H,2.3,3.75,2.9,2.3,3.8,2.75,1.44,2.75,2.06,1.87,2.25,3.75,3,2.3,3.7,2.85,1.44,2.75,2.05,1.88
bundesliga,2024-2025,22/09/2024,St Pauli,RB Leipzig,0,0,15,10,4,5,3,1,6,9,2,1,0,0,D,0,0,D,5.75,3.9,1.62,5,4,1.65,1.67,2.2,1.83,2.1,5.5,3.9,1.62,4.8,4.1,1.65,1.67,2.2,2.05,1.75
bundesliga,2024-2025,27/09/2024,Dortmund,Bochum,4,2,23,10,8,6,11,0,12,9,2,0,0,0,H,1,2,A,1.25,7,9,1.24,6.75,10.5,1.29,3.75,1.75,2.03,1.22,7,11,1.2,7.5,12,1.29,3.75,1.89,2.01
