league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
epl,2017-2018,11/08/2017,Arsenal,Leicester,4,3,27,6,10,3,9,4,9,12,0,1,0,0,H,2,2,D,M Dean,1.53,4.5,6.5,1.5,4.6,6.75,1.47,4.5,6.5
epl,2017-2018,12/08/2017,Brighton,Man City,0,2,6,14,2,4,3,10,6,9,0,2,0,0,A,0,0,D,M Oliver,11,5.5,1.33,11,5.25,1.3,8,5.3,1.35
epl,2017-2018,12/08/2017,Chelsea,Burnley,2,3,19,10,6,5,8,5,16,11,3,3,2,0,A,0,3,A,C Pawson,1.25,6.5,15,1.22,6.5,12.5,1.22,6.2,13.5
epl,2017-2018,12/08/2017,Crystal Palace,Huddersfield,0,3,14,8,4,6,12,9,7,19,1,3,0,0,A,0,2,A,J Moss,1.83,3.6,5,1.8,3.5,4.75,1.85,3.5,4.3
epl,2017-2018,12/08/2017,Everton,Stoke,1,0,9,9,4,1,6,7,13,10,1,1,0,0,H,1,0,H,N Swarbrick,1.7,3.8,5.75,1.7,3.6,5.5,1.7,3.7,5
epl,2017-2018,12/08/2017,Southampton,Swansea,0,0,29,4,2,0,13,0,10,13,2,1,0,0,D,0,0,D,M Jones,1.62,4,6.5,1.57,4,6,1.65,3.8,5.3
epl,2017-2018,12/08/2017,Watford,Liverpool,3,3,9,14,4,5,3,3,14,8,0,3,0,0,D,2,1,H,A Taylor,6,4.2,1.62,6,4.2,1.55,5.5,4,1.6
epl,2017-2018,12/08/2017,West Brom,Bournemouth,1,0,16,9,6,2,8,2,15,3,3,1,0,0,H,1,0,H,R Madley,2.4,3.3,3.3,2.4,3.2,3.1,2.3,3.3,3.15
epl,2017-2018,13/08/2017,Man United,West Ham,4,0,22,9,6,1,11,1,19,7,2,2,0,0,H,1,0,H,M Atkinson,1.3,5.75,12,1.28,5.5,11,1.33,5.3,8.7
epl,2017-2018,13/08/2017,Newcastle,Tottenham,0,2,6,18,3,6,5,7,6,10,1,2,1,0,A,0,0,D,A Marriner,5.5,4,1.7,5.25,3.8,1.67,4.8,3.6,1.75
epl,2017-2018,19/08/2017,Bournemouth,Watford,0,2,6,19,2,7,8,5,6,14,1,3,0,0,A,0,0,D,R East,2,3.6,4,1.95,3.5,4,1.9,3.5,4.1
epl,2017-2018,19/08/2017,Burnley,West Brom,0,1,20,8,0,1,5,5,11,11,1,0,0,1,A,0,0,D,M Atkinson,2.63,3.2,3,2.55,3,3.1,2.4,3.2,3.05
epl,2017-2018,19/08/2017,Leicester,Brighton,2,0,14,5,4,2,6,2,8,10,1,0,0,0,H,1,0,H,L Probert,1.73,3.8,5.5,1.75,3.6,5,1.75,3.6,4.8
epl,2017-2018,19/08/2017,Liverpool,Crystal Palace,1,0,23,4,13,1,4,2,12,13,1,3,0,0,H,0,0,D,K Friend,1.36,5.25,9.5,1.34,5.25,9,1.35,5.3,8
epl,2017-2018,19/08/2017,Southampton,West Ham,3,2,14,16,5,8,7,2,18,10,1,1,0,1,H,2,1,H,L Mason,1.75,3.8,5.25,1.7,3.8,5,1.75,3.6,4.8
epl,2017-2018,19/08/2017,Stoke,Arsenal,1,0,11,18,4,6,2,9,6,11,0,0,0,0,H,0,0,D,A Marriner,4.5,3.8,1.85,4.5,3.75,1.78,4.8,3.6,1.75
epl,2017-2018,19/08/2017,Swansea,Man United,0,4,6,17,1,8,3,5,12,11,1,1,0,0,A,0,1,A,J Moss,11,5,1.36,9.25,4.75,1.36,7.5,4.8,1.4
epl,2017-2018,20/08/2017,Huddersfield,Newcastle,1,0,7,13,3,5,7,3,13,10,3,4,0,0,H,0,0,D,C Pawson,2.5,3.25,3.2,2.4,3.25,3.1,2.3,3.3,3.15
epl,2017-2018,20/08/2017,Tottenham,Chelsea,1,2,18,9,6,2,14,3,14,21,3,3,0,0,A,0,1,A,A Taylor,2.1,3.6,3.75,2,3.5,3.75,2.1,3.4,3.5
epl,2017-2018,21/08/2017,Man City,Everton,1,1,19,7,6,2,7,1,7,9,1,2,1,1,D,0,1,A,R Madley,1.33,5.75,10,1.33,5.25,9.25,1.35,5.3,8
epl,2017-2018,26/08/2017,Bournemouth,Man City,1,2,9,19,3,8,2,5,13,14,5,4,0,1,A,1,1,D,M Dean,11,6,1.3,9.25,5.25,1.33,9,6,1.3
epl,2017-2018,26/08/2017,Crystal Palace,Swansea,0,2,16,7,3,3,1,1,9,6,4,1,0,0,A,0,1,A,A Marriner,1.95,3.5,4.33,1.9,3.5,4.2,1.9,3.5,4.1
epl,2017-2018,26/08/2017,Huddersfield,Southampton,0,0,16,6,6,3,5,4,10,10,0,1,0,0,D,0,0,D,S Attwell,3.9,3.4,2.1,3.9,3.2,2.1,3.15,3.3,2.3
epl,2017-2018,26/08/2017,Man United,Leicester,2,0,22,11,7,4,9,3,8,7,1,2,0,0,H,0,0,D,M Oliver,1.33,5.5,11,1.34,5,9.75,1.25,6,11
epl,2017-2018,26/08/2017,Newcastle,West Ham,3,0,16,8,8,3,7,5,17,11,1,3,0,0,H,1,0,H,N Swarbrick,2.3,3.4,3.4,2.25,3.25,3.4,2.3,3.3,3.15
epl,2017-2018,26/08/2017,Watford,Brighton,0,0,8,16,0,2,3,11,7,18,0,1,1,0,D,0,0,D,G Scott,1.91,3.4,4,1.9,3.5,4.25,1.85,3.5,4.3
epl,2017-2018,27/08/2017,Chelsea,Everton,2,0,18,7,7,0,6,3,12,7,2,2,0,0,H,2,0,H,J Moss,1.45,4.5,8.5,1.42,4.6,8,1.45,4.5,7
epl,2017-2018,27/08/2017,Liverpool,Arsenal,4,0,18,8,10,0,4,3,6,9,2,4,0,0,H,2,0,H,C Pawson,2.15,3.7,3.5,2.15,3.4,3.4,2.1,3.4,3.5
epl,2017-2018,27/08/2017,Tottenham,Burnley,1,1,28,13,5,3,10,7,9,9,0,0,0,0,D,0,0,D,L Mason,1.25,6.5,15,1.22,6.5,12.5,1.27,6,10
epl,2017-2018,27/08/2017,West Brom,Stoke,1,1,10,16,2,2,10,4,10,9,2,2,0,0,D,0,0,D,A Taylor,2.4,3.1,3.5,2.35,3.1,3.3,2.3,3.3,3.15
epl,2017-2018,09/09/2017,Arsenal,Bournemouth,3,0,17,7,9,2,10,3,14,10,0,1,0,0,H,2,0,H,A Taylor,1.36,5.5,9,1.36,5.25,8,1.33,5.5,8.5
epl,2017-2018,09/09/2017,Brighton,West Brom,3,1,12,12,6,3,2,6,9,4,2,0,0,0,H,1,0,H,C Kavanagh,2.7,3.1,3,2.6,3,3,2.65,3.3,2.65
epl,2017-2018,09/09/2017,Everton,Tottenham,0,3,12,15,1,6,7,3,14,14,3,1,0,0,A,0,2,A,G Scott,3.8,3.5,2.1,3.6,3.4,2.1,3.5,3.4,2.1
epl,2017-2018,09/09/2017,Leicester,Chelsea,1,2,8,16,2,6,2,9,11,8,1,0,0,0,A,0,1,A,L Mason,4.75,3.9,1.8,4.6,3.8,1.75,4.5,3.6,1.8
epl,2017-2018,09/09/2017,Man City,Liverpool,5,0,13,10,7,3,8,3,10,9,2,2,0,1,H,2,0,H,J Moss,1.85,4,4.2,1.85,3.8,4,2,3.4,3.8
epl,2017-2018,09/09/2017,Southampton,Watford,0,2,9,12,1,3,7,4,8,11,0,0,0,0,A,0,1,A,L Probert,1.65,4,6,1.65,3.8,5.5,1.65,3.8,5.3
epl,2017-2018,09/09/2017,Stoke,Man United,2,2,10,18,5,8,5,11,10,10,0,0,0,0,D,1,1,D,N Swarbrick,7.5,4.5,1.5,6.5,4.33,1.5,6.2,4,1.55
epl,2017-2018,10/09/2017,Burnley,Crystal Palace,1,0,4,23,2,5,3,13,7,14,1,1,0,0,H,1,0,H,M Oliver,2.3,3.25,3.5,2.3,3.2,3.3,2.5,3.3,2.85
epl,2017-2018,10/09/2017,Swansea,Newcastle,0,1,10,16,4,8,7,5,11,15,2,3,0,0,A,0,0,D,M Jones,2.4,3.25,3.3,2.4,3.1,3.2,2.2,3.35,3.3
epl,2017-2018,11/09/2017,West Ham,Huddersfield,2,0,19,10,3,2,10,3,11,14,1,2,0,0,H,0,0,D,K Friend,1.95,3.5,4.5,1.83,3.5,4.5,2,3.4,3.8
epl,2017-2018,15/09/2017,Bournemouth,Brighton,2,1,15,9,3,2,6,4,5,12,0,0,0,0,H,0,0,D,C Pawson,2.15,3.4,3.8,2.1,3.3,3.7,2.2,3.35,3.3
epl,2017-2018,16/09/2017,Crystal Palace,Southampton,0,1,14,13,3,4,5,5,14,13,5,1,0,0,A,0,1,A,R Madley,3,3.3,2.6,2.95,3.25,2.5,2.85,3.3,2.5
epl,2017-2018,16/09/2017,Huddersfield,Leicester,1,1,15,10,3,1,8,4,6,6,1,1,0,0,D,0,0,D,J Moss,3.5,3.4,2.25,3.2,3.25,2.3,2.85,3.3,2.5
epl,2017-2018,16/09/2017,Liverpool,Burnley,1,1,35,5,9,4,12,2,7,9,1,2,0,0,D,1,1,D,R East,1.29,6,13,1.26,5.75,12,1.3,5.5,9.5
epl,2017-2018,16/09/2017,Newcastle,Stoke,2,1,14,13,3,4,7,5,13,11,3,1,0,0,H,1,0,H,S Attwell,2.38,3.25,3.4,2.35,3.25,3.2,2.3,3.3,3.15
epl,2017-2018,16/09/2017,Tottenham,Swansea,0,0,26,4,8,0,11,1,11,9,1,3,0,0,D,0,0,D,M Dean,1.22,7,15,1.22,6.5,12.5,1.27,5.8,10.5
epl,2017-2018,16/09/2017,Watford,Man City,0,6,7,28,1,10,3,11,8,6,2,0,0,0,A,0,3,A,A Taylor,9,6,1.33,9.25,5.25,1.33,8,5.3,1.35
epl,2017-2018,16/09/2017,West Brom,West Ham,0,0,6,9,1,1,2,3,15,7,2,2,0,0,D,0,0,D,P Tierney,2.38,3.25,3.4,2.3,3.2,3.25,2.3,3.3,3.15
epl,2017-2018,17/09/2017,Chelsea,Arsenal,0,0,13,11,4,2,5,1,11,15,1,3,1,0,D,0,0,D,M Oliver,1.8,4,4.5,1.75,4,4.4,1.85,3.5,4.3
epl,2017-2018,17/09/2017,Man United,Everton,4,0,16,7,7,3,4,1,15,14,1,1,0,0,H,1,0,H,A Marriner,1.36,5.25,10,1.34,5,10,1.35,5.3,8
epl,2017-2018,23/09/2017,Burnley,Huddersfield,0,0,5,9,3,2,3,4,9,13,3,2,0,0,D,0,0,D,C Kavanagh,2.15,3.25,3.9,2.15,3.1,3.75,2.2,3.25,3.4
epl,2017-2018,23/09/2017,Everton,Bournemouth,2,1,12,8,4,4,4,6,12,11,3,1,0,0,H,0,0,D,M Atkinson,1.65,4,5.75,1.65,3.75,5.5,1.65,3.8,5.3
epl,2017-2018,23/09/2017,Leicester,Liverpool,2,3,12,23,7,6,3,6,13,14,3,3,0,0,A,1,2,A,A Taylor,4.1,3.9,1.91,4,3.75,1.87,3.8,3.4,2
epl,2017-2018,23/09/2017,Man City,Crystal Palace,5,0,25,5,9,0,8,2,6,7,3,1,0,0,H,1,0,H,N Swarbrick,1.14,10,21,1.15,8.5,15,1.15,7.5,18
epl,2017-2018,23/09/2017,Southampton,Man United,0,1,14,9,4,4,8,4,12,9,1,4,0,0,A,0,1,A,C Pawson,5.5,3.8,1.73,5.25,3.7,1.7,4.8,3.6,1.75
epl,2017-2018,23/09/2017,Stoke,Chelsea,0,4,13,7,2,4,5,0,5,14,2,2,0,0,A,0,2,A,M Dean,6,4.1,1.62,5.75,4,1.6,5.7,3.9,1.6
epl,2017-2018,23/09/2017,Swansea,Watford,1,2,10,8,3,4,5,4,9,16,1,3,0,0,A,0,1,A,L Mason,2.4,3.3,3.25,2.35,3.2,3.2,2.2,3.35,3.3
epl,2017-2018,23/09/2017,West Ham,Tottenham,2,3,10,15,4,5,4,3,10,20,4,2,0,1,A,0,2,A,M Oliver,6,4.33,1.6,5.5,4.1,1.6,4.9,3.8,1.7
epl,2017-2018,24/09/2017,Brighton,Newcastle,1,0,7,17,3,5,2,8,6,8,2,1,0,0,H,0,0,D,A Marriner,2.8,3.1,2.9,2.7,3.1,2.8,2.65,3.3,2.65
epl,2017-2018,25/09/2017,Arsenal,West Brom,2,0,16,7,6,3,7,4,8,17,1,4,0,0,H,1,0,H,R Madley,1.33,5.5,11,1.34,5.25,8.75,1.33,5.3,8.7
epl,2017-2018,30/09/2017,Bournemouth,Leicester,0,0,19,8,4,1,7,5,6,10,1,0,0,0,D,0,0,D,G Scott,2.8,3.25,2.5,2.7,3.3,2.5,2.65,3.3,2.65
epl,2017-2018,30/09/2017,Chelsea,Man City,0,1,4,17,2,6,4,8,8,13,0,2,0,0,A,0,0,D,M Atkinson,2.75,3.3,2.5,2.75,3.5,2.5,2.65,3.3,2.65
epl,2017-2018,30/09/2017,Huddersfield,Tottenham,0,4,6,14,1,7,4,7,7,4,1,1,0,0,A,0,3,A,N Swarbrick,8.5,4.75,1.36,8,4.75,1.36,7,4.5,1.45
epl,2017-2018,30/09/2017,Man United,Crystal Palace,4,0,18,6,7,1,6,5,6,9,0,0,0,0,H,2,0,H,M Dean,1.17,7,15,1.15,7,16.5,1.17,7.5,15
epl,2017-2018,30/09/2017,Stoke,Southampton,2,1,17,21,6,3,5,6,11,10,1,2,0,0,H,1,0,H,M Jones,2.88,3.2,2.45,2.8,3.2,2.5,2.7,3.15,2.7
