league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
epl,2023-2024,11/08/2023,Burnley,Man City,0,3,6,17,1,8,6,5,11,8,0,0,1,0,A,0,2,A,C Pawson,8,5.5,1.33,8.75,5.25,1.34,8,5.5,1.35,1.67,2.2,1.86,2.07,9,5.25,1.33,8.75,5.25,1.33,8.5,5.25,1.35,1.67,2.2,1.95,1.98
epl,2023-2024,12/08/2023,Arsenal,Nott'm Forest,2,1,15,6,7,2,8,3,12,12,2,2,0,0,H,2,0,H,M Oliver,1.18,7,15,1.17,7.5,15.5,1.2,7.25,14,1.44,2.75,1.88,2.02,1.18,7,15,1.18,7,14.5,1.2,7,14,1.5,2.63,1.95,1.98
epl,2023-2024,12/08/2023,Bournemouth,West Ham,1,1,14,16,5,3,10,4,9,14,1,4,0,0,D,0,0,D,P Bankes,2.7,3.4,2.55,2.65,3.4,2.55,2.7,3.45,2.6,1.9,2,1.95,1.95,2.63,3.5,2.6,2.65,3.5,2.5,2.6,3.5,2.6,1.73,2.1,2.02,1.91
epl,2023-2024,12/08/2023,Brighton,Luton,4,1,27,9,12,3,6,7,11,12,2,2,0,0,H,1,0,H,D Coote,1.33,5.5,9,1.32,5.5,9,1.35,5.25,8.5,1.62,2.3,1.95,1.95,1.25,6.5,11,1.26,6,11,1.3,5.5,9.5,1.53,2.5,2.01,1.92
epl,2023-2024,12/08/2023,Everton,Fulham,0,1,19,9,9,2,10,4,12,6,0,2,0,0,A,0,0,D,S Attwell,2.2,3.4,3.3,2.2,3.4,3.25,2.25,3.4,3.25,2.01,1.89,1.93,1.97,2.3,3.2,3.2,2.35,3.2,3.1,2.35,3.25,3.15,2.1,1.73,2.06,1.87
epl,2023-2024,12/08/2023,Sheffield United,Crystal Palace,0,1,8,24,1,8,5,5,18,11,3,0,0,0,A,0,0,D,J Brooks,3,3.3,2.38,3,3.25,2.4,3,3.25,2.4,2.2,1.67,1.84,2.06,3.6,3.2,2.15,3.75,3.1,2.15,3.7,3.15,2.15,2.5,1.53,2.1,1.83
epl,2023-2024,12/08/2023,Newcastle,Aston Villa,5,1,17,16,13,6,6,5,12,17,4,4,0,0,H,2,1,H,A Madley,1.75,3.75,4.6,1.73,3.9,4.4,1.75,3.85,4.5,1.73,2.1,2.01,1.89,1.62,4,5.25,1.65,4,5,1.63,4.1,5.25,1.67,2.2,1.84,2.09
epl,2023-2024,13/08/2023,Brentford,Tottenham,2,2,11,18,6,6,3,6,12,13,1,4,0,0,D,2,2,D,R Jones,2.75,3.4,2.45,2.7,3.6,2.45,2.85,3.6,2.35,1.73,2.1,2.03,1.87,2.5,3.6,2.63,2.5,3.4,2.7,2.55,3.5,2.7,1.73,2.1,1.88,2.02
epl,2023-2024,13/08/2023,Chelsea,Liverpool,1,1,10,13,4,1,4,4,5,12,3,3,0,0,D,1,1,D,A Taylor,2.9,3.4,2.38,2.8,3.6,2.35,2.75,3.65,2.4,1.67,2.2,1.81,2.09,3.1,3.6,2.15,3,3.75,2.2,2.95,3.5,2.35,1.53,2.5,1.98,1.92
epl,2023-2024,14/08/2023,Man United,Wolves,1,0,15,23,3,6,8,7,14,10,2,3,0,0,H,0,0,D,S Hooper,1.33,5.5,9,1.3,5.75,9.5,1.33,5.5,9,1.62,2.3,1.99,1.91,1.25,6,10,1.26,6,11,1.3,5.75,10,1.62,2.3,1.8,2
epl,2023-2024,18/08/2023,Nott'm Forest,Sheffield United,2,1,16,7,4,3,6,7,5,9,2,3,0,0,H,1,0,H,P Bankes,1.95,3.4,4,1.93,3.4,4.1,1.95,3.4,4.1,2.2,1.67,1.98,1.95,1.91,3.4,4.2,1.93,3.4,4.1,1.95,3.4,4.2,2.2,1.67,1.94,1.99
epl,2023-2024,19/08/2023,Fulham,Brentford,0,3,10,17,2,8,5,5,13,12,2,2,1,0,A,0,1,A,D Bond,2.7,3.3,2.63,2.65,3.4,2.6,2.7,3.4,2.6,1.96,1.94,1.98,1.92,2.8,3.2,2.63,2.87,3.1,2.6,2.8,3.15,2.7,2.1,1.73,2.01,1.92
epl,2023-2024,19/08/2023,Liverpool,Bournemouth,3,1,26,13,10,5,10,2,11,13,1,3,1,0,H,2,1,H,T Bramall,1.2,7,13,1.23,6.5,13,1.25,6.75,11,1.33,3.4,2.04,1.86,1.2,7.5,12,1.2,7.5,12,1.22,7.25,11,1.25,4,1.86,2.07
epl,2023-2024,19/08/2023,Wolves,Brighton,1,4,16,16,5,8,5,3,14,11,3,6,1,0,A,0,1,A,A Madley,4,3.8,1.85,3.75,3.75,1.9,3.9,3.8,1.9,1.73,2.1,2.03,1.87,4.2,4,1.8,4,4,1.8,4.1,4,1.8,1.53,2.5,1.88,2.05
epl,2023-2024,19/08/2023,Tottenham,Man United,2,0,17,22,6,6,5,6,9,8,1,3,0,0,H,0,0,D,M Oliver,2.8,3.6,2.38,2.8,3.6,2.3,2.8,3.65,2.35,1.57,2.38,1.82,2.08,3,3.75,2.2,2.95,3.75,2.2,3.05,3.5,2.3,1.53,2.5,1.94,1.99
epl,2023-2024,19/08/2023,Man City,Newcastle,1,0,14,7,4,1,3,0,12,11,1,5,0,0,H,1,0,H,R Jones,1.67,4,5,1.68,4,4.75,1.7,4,4.7,1.73,2.1,1.92,1.98,1.83,3.75,4.33,1.83,3.6,4.2,1.8,3.75,4.3,1.85,2.05,1.87,2.06
epl,2023-2024,20/08/2023,Aston Villa,Everton,4,0,13,9,7,2,7,6,8,12,3,4,0,0,H,2,0,H,A Taylor,1.7,4,4.5,1.66,3.9,5,1.7,3.95,4.7,1.92,1.98,1.91,1.99,1.8,3.8,4.2,1.82,3.75,4.1,1.83,3.8,4.1,1.73,2.1,2.03,1.78
epl,2023-2024,20/08/2023,West Ham,Chelsea,3,1,12,17,6,4,3,9,12,9,2,3,1,0,H,1,1,D,J Brooks,3.75,3.5,2,3.75,3.6,1.95,3.55,3.5,2.05,1.96,1.94,1.82,2.08,3.1,3.6,2.15,3.2,3.5,2.15,3.2,3.55,2.2,1.73,2.1,1.96,1.97
epl,2023-2024,21/08/2023,Crystal Palace,Arsenal,0,1,14,14,2,3,1,8,14,10,2,1,0,1,A,0,0,D,D Coote,5.5,4,1.6,5.75,4.1,1.57,5.75,4.1,1.6,1.94,1.96,1.84,2.06,4.2,3.4,1.91,4.1,3.5,1.88,4.2,3.5,1.9,2,1.8,2,1.93
epl,2023-2024,25/08/2023,Chelsea,Luton,3,0,19,11,8,1,6,4,15,12,2,3,0,0,H,1,0,H,R Jones,1.29,5.5,11,1.31,5.5,9.5,1.3,5.75,10,1.67,2.2,1.95,1.98,1.25,6,11,,,,1.27,5.75,11,1.62,2.3,2.05,1.75
epl,2023-2024,26/08/2023,Bournemouth,Tottenham,0,2,11,17,3,6,6,2,18,11,1,3,0,0,A,0,1,A,T Robinson,3.8,3.75,1.91,3.5,3.9,1.93,3.6,3.9,1.95,1.53,2.5,1.96,1.94,3.5,3.8,2,,,,3.45,3.85,2,1.57,2.38,1.84,2.09
epl,2023-2024,26/08/2023,Arsenal,Fulham,2,2,19,8,11,3,8,3,6,5,0,3,0,1,D,0,1,A,P Tierney,1.2,7,13,1.22,6.75,12.5,1.22,6.75,12,1.44,2.75,1.85,2.05,1.3,5.75,10,,,,1.27,5.75,11,1.5,2.63,2.04,1.89
epl,2023-2024,26/08/2023,Brentford,Crystal Palace,1,1,12,15,1,5,8,6,9,15,0,0,0,0,D,1,0,H,P Bankes,2.15,3.4,3.5,2.1,3.4,3.6,2.15,3.35,3.4,2.1,1.73,1.87,2.03,2.15,3.4,3.5,,,,2.15,3.3,3.55,2.2,1.67,1.85,2.08
epl,2023-2024,26/08/2023,Everton,Wolves,0,1,15,11,7,2,7,0,10,14,3,4,0,0,A,0,0,D,C Pawson,2.3,3.3,3.2,2.3,3.3,3.1,2.3,3.3,3.15,2.1,1.73,2.02,1.88,2.4,3.3,2.9,,,,2.4,3.35,2.95,1.99,1.91,2.11,1.82
epl,2023-2024,26/08/2023,Man United,Nott'm Forest,3,2,18,9,9,4,11,3,13,11,4,4,0,1,H,1,2,A,S Attwell,1.3,6,8,1.31,5.75,8.75,1.33,5.75,8.75,1.5,2.63,1.89,2.01,1.36,5,8,,,,1.37,5.25,8.25,1.57,2.38,2.06,1.87
epl,2023-2024,26/08/2023,Brighton,West Ham,1,3,25,12,10,3,17,4,10,9,1,3,0,0,A,0,1,A,A Taylor,1.53,4.75,5.25,1.52,4.6,5.5,1.53,4.7,5.5,1.5,2.63,1.86,2.04,1.5,4.75,5.5,,,,1.55,4.6,5.5,1.44,2.75,2.08,1.85
epl,2023-2024,27/08/2023,Burnley,Aston Villa,1,3,9,16,2,6,4,6,12,11,2,0,0,0,A,0,2,A,M Salisbury,3.4,3.4,2.15,3.3,3.5,2.15,3.25,3.5,2.2,1.86,2.04,2.02,1.88,3.2,3.4,2.25,,,,3.1,3.5,2.25,1.8,2,1.93,2
epl,2023-2024,27/08/2023,Sheffield United,Man City,1,2,6,30,2,9,1,12,11,2,3,0,0,0,A,0,0,D,J Gillett,13,8,1.17,16,7,1.19,16,7.25,1.17,1.57,2.38,1.94,1.96,12,7,1.2,,,,13,6.75,1.22,1.57,2.38,2.08,1.85
epl,2023-2024,27/08/2023,Newcastle,Liverpool,1,2,23,9,8,4,5,9,16,10,1,2,0,1,A,1,0,H,J Brooks,2.2,3.75,3,2.2,3.9,2.95,2.25,3.65,3.05,1.5,2.63,1.94,1.96,2.2,3.75,3.1,,,,2.25,3.7,2.95,1.53,2.5,1.95,1.98
epl,2023-2024,01/09/2023,Luton,West Ham,1,2,16,9,1,3,9,6,8,13,1,1,0,0,A,0,1,A,P Tierney,4.75,3.8,1.73,4.5,3.8,1.75,4.7,3.8,1.73,1.87,2.03,1.94,1.99,4.5,4,1.73,4.4,3.9,1.73,4.6,3.9,1.73,1.73,2.1,1.93,2
epl,2023-2024,02/09/2023,Sheffield United,Everton,2,2,13,16,8,6,4,6,11,13,1,2,0,0,D,2,1,H,A Madley,2.9,3.25,2.5,3,3.1,2.45,2.95,3.2,2.5,2.2,1.67,2.13,1.81,3.1,3.4,2.38,3,3.25,2.37,3.05,3.35,2.35,2.04,1.86,1.89,2.04
epl,2023-2024,02/09/2023,Brentford,Bournemouth,2,2,21,12,7,5,5,2,6,13,1,2,0,0,D,1,1,D,R Madley,1.73,3.8,4.75,1.66,4.1,4.75,1.73,3.95,4.6,1.73,2.1,1.95,1.98,1.73,4,4.5,1.71,3.9,4.6,1.75,3.85,4.6,1.8,2,1.97,1.96
epl,2023-2024,02/09/2023,Burnley,Tottenham,2,5,16,20,4,10,7,4,15,9,4,3,0,0,A,1,2,A,D England,3.6,4,1.85,3.8,3.9,1.85,3.75,3.95,1.9,1.62,2.3,2.03,1.9,3.5,3.8,1.95,3.6,3.7,1.95,3.5,3.75,2,1.67,2.2,1.88,2.05
epl,2023-2024,02/09/2023,Chelsea,Nott'm Forest,0,1,21,7,2,3,8,0,10,9,3,4,0,0,A,0,0,D,T Robinson,1.4,4.5,8.5,1.37,5,7.75,1.4,5,7.75,1.62,2.3,1.86,2.07,1.4,4.75,7.5,1.41,4.6,7.75,1.43,4.7,7.5,1.73,2.1,1.92,2.01
epl,2023-2024,02/09/2023,Man City,Fulham,5,1,7,6,5,4,4,5,12,12,2,4,0,0,H,2,1,H,M Oliver,1.17,8,15,1.16,8.5,16.5,1.15,8,16,1.4,3,2.03,1.9,1.18,8,13,1.19,7.5,14,1.2,7,14,1.44,2.75,1.88,2.05
epl,2023-2024,02/09/2023,Brighton,Newcastle,3,1,15,9,6,2,5,3,14,17,4,4,0,0,H,1,0,H,S Attwell,2.5,3.8,2.55,2.6,3.75,2.45,2.55,3.8,2.5,1.5,2.63,1.94,1.99,2.5,3.8,2.5,2.55,3.7,2.5,2.55,3.55,2.6,1.5,2.63,1.99,1.94
epl,2023-2024,03/09/2023,Crystal Palace,Wolves,3,2,16,12,11,4,4,2,12,12,1,3,0,0,H,0,0,D,R Jones,1.91,3.3,4.33,1.9,3.4,4.2,1.95,3.4,4.1,2.2,1.67,1.98,1.95,1.85,3.4,4.5,1.9,3.4,4.2,1.95,3.45,4.2,2.1,1.73,1.89,2.04
epl,2023-2024,03/09/2023,Liverpool,Aston Villa,3,0,17,9,4,3,7,3,12,7,0,1,0,0,H,2,0,H,S Hooper,1.65,4.5,4.5,1.66,4.4,4.4,1.67,4.3,4.5,1.4,3,2.05,1.75,1.6,4.75,4.75,1.6,4.5,4.8,1.6,4.4,4.9,1.4,3,2.05,1.88
epl,2023-2024,03/09/2023,Arsenal,Man United,3,1,17,10,5,2,12,3,8,7,2,3,0,0,H,1,1,D,A Taylor,1.75,3.8,4.5,1.75,4,4.2,1.8,3.85,4.3,1.57,2.38,2.01,1.92,1.75,4.1,4.2,1.73,4.1,4.2,1.77,4,4.2,1.44,2.75,1.96,1.97
epl,2023-2024,16/09/2023,Wolves,Liverpool,1,3,11,16,2,6,4,4,10,4,1,3,0,0,A,1,0,H,M Oliver,6,5,1.45,6.25,4.8,1.46,6.25,4.9,1.45,1.44,2.75,1.92,1.98,4.33,4.33,1.7,4.5,4.2,1.68,4.5,4.3,1.67,1.53,2.5,2.02,1.91
