league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
epl,2024-2025,16/08/2024,Man United,Fulham,1,0,14,10,5,2,7,8,12,10,2,3,0,0,H,0,0,D,R Jones,1.6,4.2,5.25,1.6,4.4,5.25,1.53,2.5,2.05,1.88,1.67,4.1,5,1.65,4.2,4.8,1.62,2.3,1.86,2.07
epl,2024-2025,17/08/2024,Ipswich,Liverpool,0,2,7,18,2,5,2,10,9,18,3,1,0,0,A,0,0,D,T Robinson,8.5,5.5,1.33,7.5,5.5,1.36,1.4,3,2.02,1.91,8,5.75,1.33,8,5.75,1.34,1.36,3.2,2.05,1.88
epl,2024-2025,17/08/2024,Arsenal,Wolves,2,0,18,9,6,3,8,2,17,14,2,2,0,0,H,1,0,H,J Gillett,1.18,7.5,13,1.2,7.5,13.5,1.44,2.75,1.93,2,1.14,8.5,15,1.16,8.5,18,1.4,3,2.02,1.91
epl,2024-2025,17/08/2024,Everton,Brighton,0,3,9,10,1,5,1,5,8,8,1,1,1,0,A,0,1,A,S Hooper,2.63,3.3,2.63,2.65,3.4,2.6,1.8,2,1.96,1.97,3.1,3.4,2.3,3,3.4,2.37,1.93,1.97,1.87,2.06
epl,2024-2025,17/08/2024,Newcastle,Southampton,1,0,3,19,1,4,3,12,15,16,2,4,1,0,H,1,0,H,C Pawson,1.36,5.25,8,1.35,5.5,7.75,1.4,3,1.98,1.95,1.4,5,7,1.39,5.25,7.25,1.44,2.75,1.87,2.06
epl,2024-2025,17/08/2024,Nott'm Forest,Bournemouth,1,1,14,13,8,4,2,6,17,8,1,3,0,0,D,1,0,H,M Oliver,2.45,3.5,2.8,2.45,3.5,2.8,1.73,2.1,1.82,2.11,2.2,3.4,3.25,2.2,3.4,3.25,1.89,2.01,1.94,1.99
epl,2024-2025,17/08/2024,West Ham,Aston Villa,1,2,14,15,3,3,5,3,18,11,1,2,0,0,A,1,1,D,T Harrington,2.45,3.6,2.75,2.45,3.6,2.7,1.57,2.38,2.08,1.73,2.4,3.5,2.8,2.5,3.5,2.75,1.73,2.1,1.83,2.1
epl,2024-2025,18/08/2024,Brentford,Crystal Palace,2,1,9,14,5,6,4,7,6,15,1,5,0,0,H,1,0,H,S Barrott,2.4,3.4,2.9,2.4,3.4,2.87,1.8,2,2.11,1.82,2.88,3.2,2.55,2.8,3.2,2.6,2.07,1.83,2.07,1.86
epl,2024-2025,18/08/2024,Chelsea,Man City,0,2,10,11,3,5,4,3,12,9,1,1,0,0,A,0,1,A,A Taylor,4.1,3.9,1.8,3.9,4.1,1.82,1.5,2.63,2.07,1.86,3.6,3.9,1.95,3.6,3.75,1.98,1.57,2.38,1.94,1.99
epl,2024-2025,19/08/2024,Leicester,Tottenham,1,1,7,15,3,7,2,13,11,12,1,1,0,0,D,0,1,A,C Kavanagh,5,4.33,1.62,5,4.33,1.63,1.53,2.5,1.86,2.07,4.5,4.2,1.7,4.33,4.2,1.72,1.57,2.38,2.03,1.9
