league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
la-liga,2016-2017,19/08/16,La Coruna,Eibar,2,1,11,12,6,6,1,8,14,17,3,3,0,0,H,0,0,D,1.95,3.4,4.2,1.95,3.3,4.2,2,3.3,3.6
la-liga,2016-2017,19/08/16,Malaga,Osasuna,1,1,14,8,4,3,5,3,11,22,2,3,0,0,D,0,0,D,1.62,3.75,6,1.65,3.5,6.25,1.7,3.6,4.7
la-liga,2016-2017,20/08/16,Barcelona,Betis,6,2,30,6,12,2,10,2,17,13,1,3,0,0,H,3,1,H,1.08,11,29,1.09,11,23,1.1,8,20
la-liga,2016-2017,20/08/16,Granada,Villarreal,1,1,7,12,1,3,7,3,17,11,2,3,0,0,D,0,0,D,2.5,3.2,3,2.55,3.1,3,2.6,3.2,2.6
la-liga,2016-2017,20/08/16,Sevilla,Espanol,6,4,16,10,11,7,8,2,8,15,2,2,0,0,H,3,3,D,1.67,4,5,1.67,3.9,5.25,1.6,3.7,5.4
la-liga,2016-2017,21/08/16,Ath Madrid,Alaves,1,1,27,2,6,1,20,2,7,15,0,4,0,0,D,0,0,D,1.2,6.5,17,1.2,6,18.5,1.22,5.5,12
la-liga,2016-2017,21/08/16,Sociedad,Real Madrid,0,3,8,18,0,8,4,7,22,11,2,3,0,0,A,0,2,A,4.75,3.8,1.75,5,3.75,1.72,4.5,3.7,1.7
la-liga,2016-2017,21/08/16,Sp Gijon,Ath Bilbao,2,1,12,13,4,4,2,5,18,15,3,3,0,0,H,0,0,D,4,3.5,1.95,4.2,3.5,1.91,3.6,3.3,2
la-liga,2016-2017,22/08/16,Celta,Leganes,0,1,10,15,2,6,8,4,5,13,4,1,0,1,A,0,0,D,1.65,3.75,5.75,1.57,3.9,6.25,1.6,3.7,5.4
la-liga,2016-2017,22/08/16,Valencia,Las Palmas,2,4,17,6,8,4,12,1,15,18,2,2,0,0,A,2,3,A,1.73,3.75,5,1.7,3.8,5,1.75,3.5,4.5
la-liga,2016-2017,26/08/16,Betis,La Coruna,0,0,15,12,5,1,13,2,20,15,0,2,0,0,D,0,0,D,2.2,3.2,3.5,2.2,3.3,3.4,2.3,3.3,2.9
