league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
la-liga,2022-2023,12/08/2022,Osasuna,Sevilla,2,1,12,10,5,3,5,2,16,9,5,3,0,0,H,1,1,D,3.2,3.1,2.4,3.2,3,2.4,3.2,3.05,2.45,2.62,1.5,1.83,2.07,3.1,3.1,2.55,3.1,2.95,2.5,3.15,3.05,2.45,2.62,1.5,1.73,2.08
la-liga,2022-2023,13/08/2022,Celta,Espanol,2,2,8,10,3,2,3,3,17,15,5,2,0,0,D,1,0,H,1.8,3.75,4.75,1.83,3.6,4.33,1.83,3.55,4.6,2,1.8,1.77,2.02,1.72,3.6,4.75,1.75,3.5,5,1.77,3.5,5,2.2,1.66,2,1.9
la-liga,2022-2023,13/08/2022,Valladolid,Villarreal,0,3,12,10,6,4,4,5,6,10,1,0,0,0,A,0,0,D,3.9,3.6,1.9,3.8,3.5,1.95,3.85,3.6,1.95,1.99,1.91,1.95,1.95,3.3,3.4,2.2,4,3.4,1.95,3.35,3.35,2.2,2,1.8,2.02,1.88
la-liga,2022-2023,13/08/2022,Barcelona,Vallecano,0,0,21,4,6,2,8,0,16,14,3,6,1,0,D,0,0,D,1.22,7,12,1.21,6.75,13.5,1.22,6.75,13,1.53,2.5,2.09,1.81,1.22,6.5,12,1.25,6.25,11,1.22,6.5,12,1.5,2.62,1.82,2.08
la-liga,2022-2023,14/08/2022,Cadiz,Sociedad,0,1,7,15,2,7,3,6,9,20,4,2,0,0,A,0,1,A,3.6,3.2,2.2,3.4,3.2,2.2,3.45,3.2,2.2,2.37,1.57,1.99,1.91,3.8,3,2.15,3.7,3,2.2,3.65,3.05,2.25,2.62,1.5,2.05,1.85
la-liga,2022-2023,14/08/2022,Valencia,Girona,1,0,17,5,2,1,4,4,18,14,2,3,1,0,H,1,0,H,1.85,3.4,4.5,1.85,3.5,4.33,1.9,3.5,4.3,2.1,1.72,1.9,2,1.85,3.5,4.33,1.88,3.5,4.2,1.95,3.5,4.1,2.04,1.86,1.85,2.05
la-liga,2022-2023,14/08/2022,Almeria,Real Madrid,1,2,10,29,6,15,2,15,11,4,3,1,0,0,A,1,0,H,7.5,5,1.4,7,4.8,1.42,7.75,4.8,1.4,1.57,2.37,1.97,1.93,7,4.75,1.44,6.75,4.8,1.43,7.75,4.8,1.4,1.53,2.5,1.99,1.91
la-liga,2022-2023,15/08/2022,Ath Bilbao,Mallorca,0,0,23,6,6,2,7,2,13,12,0,6,0,0,D,0,0,D,1.6,3.75,6.5,1.6,3.8,5.75,1.6,3.8,6,2.1,1.72,2.09,1.81,1.57,3.75,7,1.57,3.8,6.25,1.57,3.9,6.5,2.2,1.66,2.05,1.85
la-liga,2022-2023,15/08/2022,Getafe,Ath Madrid,0,3,10,12,0,5,3,6,14,19,2,1,0,0,A,0,1,A,5,3.1,1.9,4.6,3.2,1.9,4.6,3.15,1.95,2.75,1.44,1.95,1.85,5.5,3.1,1.83,5.25,3,1.87,5.5,3.1,1.83,3.2,1.36,2.04,1.86
la-liga,2022-2023,15/08/2022,Betis,Elche,3,0,17,4,8,2,8,4,10,18,3,6,0,1,H,2,0,H,1.44,4.5,7,1.44,4.6,7,1.45,4.6,7,1.8,2,2.06,1.84,1.57,4,5.5,1.57,4,6,1.6,4,5.75,2.05,1.85,2.09,1.81
la-liga,2022-2023,19/08/2022,Espanol,Vallecano,0,2,13,8,1,3,9,2,12,17,2,5,1,1,A,0,1,A,2.45,3.1,3.1,2.5,3,3.1,2.5,3.05,3.1,2.5,1.53,2.11,1.79,2.5,3.1,3,2.55,2.95,3.1,2.55,3,3.05,2.62,1.5,1.75,2.17
la-liga,2022-2023,19/08/2022,Sevilla,Valladolid,1,1,18,6,2,3,12,2,20,10,3,2,1,1,D,0,0,D,1.5,4.2,6.5,1.47,4,6.5,1.55,4.2,6,1.98,1.92,1.94,1.96,1.5,4.2,7,1.49,4,6.25,1.57,4.1,5.75,2.04,1.86,1.97,1.93
la-liga,2022-2023,20/08/2022,Osasuna,Cadiz,2,0,16,9,3,2,2,2,11,13,2,5,0,1,H,1,0,H,1.9,3.25,4.5,1.93,3.2,4.33,1.95,3.25,4.3,2.37,1.57,1.95,1.95,1.9,3.3,4.5,1.9,3.2,4.6,1.9,3.3,4.5,2.5,1.53,1.93,1.97
la-liga,2022-2023,20/08/2022,Mallorca,Betis,1,2,13,8,7,3,5,2,22,17,7,8,0,0,A,0,1,A,3.1,3.2,2.4,2.95,3.2,2.45,3.05,3.2,2.4,2.2,1.66,1.83,2.07,3.25,3.2,2.3,3.2,3.1,2.35,3.15,3.2,2.4,2.2,1.66,1.86,2.04
la-liga,2022-2023,20/08/2022,Celta,Real Madrid,1,4,15,16,2,7,2,2,12,8,2,2,0,0,A,1,2,A,4.5,4.2,1.66,4.1,4,1.71,4.7,4.2,1.67,1.66,2.2,2.02,1.88,5,4.2,1.65,4.6,4,1.65,5,4.1,1.65,1.72,2.1,2.06,1.84
la-liga,2022-2023,21/08/2022,Ath Bilbao,Valencia,1,0,12,10,2,0,6,3,11,15,5,2,0,0,H,1,0,H,1.8,3.75,4.5,1.75,3.6,4.8,1.77,3.65,4.7,2.1,1.72,2.03,1.87,1.66,3.75,5.25,1.7,3.6,5.25,1.73,3.6,5.25,2.1,1.72,1.87,2.03
la-liga,2022-2023,21/08/2022,Ath Madrid,Villarreal,0,2,13,19,5,5,5,6,8,11,2,3,1,0,A,0,0,D,1.85,3.5,4.33,1.9,3.4,4.1,1.9,3.5,4.1,2.05,1.85,1.95,1.95,1.85,3.4,4.5,1.9,3.4,4.2,1.9,3.45,4.3,2,1.8,1.96,1.94
la-liga,2022-2023,21/08/2022,Sociedad,Barcelona,1,4,10,15,5,7,3,6,16,9,2,1,0,0,A,1,1,D,3.3,3.6,2.1,3.3,3.6,1.98,3.35,3.6,2.1,1.8,2,2.05,1.85,3.5,3.4,2.1,3.5,3.4,2,3.7,3.55,2,1.95,1.95,2.03,1.87
la-liga,2022-2023,22/08/2022,Elche,Almeria,1,1,13,12,3,7,6,5,12,16,1,4,0,1,D,1,1,D,2.5,3.2,3,2.4,3.2,2.65,2.5,3.2,3,2.2,1.66,2.08,1.73,2.3,3.2,3.3,2.37,3.2,2.75,2.35,3.2,3.15,2.2,1.66,1.98,1.92
