league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
la-liga,2025-2026,15/08/2025,Girona,Vallecano,1,3,7,16,2,5,2,4,8,17,0,1,1,0,A,0,3,A,2.25,3.25,3.3,2.25,3.25,3.25,2.2,1.67,1.98,1.88,2.45,3.2,3.1,2.35,3.2,3.1,2.2,1.67,2.1,1.78
la-liga,2025-2026,15/08/2025,Villarreal,Oviedo,2,0,25,5,10,4,10,1,10,8,1,2,0,1,H,2,0,H,1.4,4.75,8,1.4,4.6,8,1.85,2,1.88,1.98,1.4,4.75,8,1.41,4.6,7.75,1.83,2.03,1.9,1.95
la-liga,2025-2026,16/08/2025,Mallorca,Barcelona,0,3,4,24,1,8,3,6,8,17,4,1,2,0,A,0,2,A,7,5,1.4,6.5,4.75,1.46,1.62,2.3,1.88,1.98,9.5,5.5,1.3,8.75,5.75,1.31,1.44,2.75,2,1.85
la-liga,2025-2026,16/08/2025,Alaves,Levante,2,1,15,7,4,3,10,1,15,13,0,1,0,0,H,1,0,H,2.15,3,3.8,2.25,3,3.5,2.63,1.5,1.83,2.03,2.1,3.1,3.9,2.05,3.1,3.9,2.63,1.5,1.8,2.05
la-liga,2025-2026,16/08/2025,Valencia,Sociedad,1,1,18,13,2,3,8,7,5,11,1,2,0,0,D,0,0,D,2.6,2.9,3.1,2.55,2.95,3,2.75,1.44,1.75,2.13,2.45,3,3.2,2.45,2.95,3.2,2.63,1.5,2.1,1.78
la-liga,2025-2026,17/08/2025,Celta,Getafe,0,2,11,10,3,3,9,3,15,17,3,2,0,0,A,0,0,D,1.73,3.5,5.25,1.72,3.5,5.25,2.38,1.57,1.98,1.88,1.67,3.5,5.75,1.7,3.4,5.75,2.63,1.5,1.93,1.93
la-liga,2025-2026,17/08/2025,Ath Bilbao,Sevilla,3,2,14,12,3,6,10,1,8,12,0,2,0,0,H,2,0,H,1.57,3.9,6,1.6,3.8,6,2.1,1.73,2.05,1.8,1.53,3.8,6.5,1.58,3.7,6.5,2.2,1.67,2,1.85
la-liga,2025-2026,17/08/2025,Espanol,Ath Madrid,2,1,10,15,5,4,1,3,14,11,3,3,0,0,H,0,1,A,6,3.9,1.57,6.5,4,1.53,2.2,1.67,1.8,2.05,5.5,3.9,1.62,5.75,3.8,1.62,2,1.85,1.73,2.08
la-liga,2025-2026,18/08/2025,Elche,Betis,1,1,6,12,2,4,1,3,14,13,0,1,0,0,D,0,1,A,3.4,3.3,2.2,3.4,3.25,2.2,2.2,1.67,1.98,1.88,3.2,3.25,2.3,3.2,3.2,2.35,2.2,1.67,1.88,1.98
la-liga,2025-2026,19/08/2025,Real Madrid,Osasuna,1,0,18,2,5,0,7,0,10,12,1,0,0,1,H,0,0,D,1.22,6.25,13,1.22,6.5,13,1.5,2.63,2.03,1.78,1.22,7,11,1.22,6.75,12,1.44,2.75,2.03,1.78
la-liga,2025-2026,22/08/2025,Betis,Alaves,1,0,16,11,5,5,5,2,10,17,2,3,0,0,H,1,0,H,1.91,3.4,4.2,1.87,3.4,4.33,2.2,1.67,1.9,1.95,1.83,3.4,4.5,1.85,3.4,4.5,2.2,1.67,1.83,2.03
la-liga,2025-2026,23/08/2025,Mallorca,Celta,1,1,12,8,4,2,3,4,12,12,3,3,0,0,D,0,1,A,3,3.1,2.55,2.95,3.1,2.5,2.38,1.57,2.1,1.78,3.3,3.2,2.3,3.1,3.2,2.4,2.1,1.73,1.88,1.98
la-liga,2025-2026,23/08/2025,Ath Madrid,Elche,1,1,13,6,6,2,10,2,14,7,0,3,0,0,D,1,1,D,1.25,5.25,15,1.25,5.75,12.5,1.8,2,2,1.85,1.29,5.75,10,1.27,5.75,11.5,1.67,2.2,1.83,2.03
la-liga,2025-2026,23/08/2025,Levante,Barcelona,2,3,8,26,5,10,0,11,10,8,3,1,0,0,A,2,0,H,11,6,1.25,10.5,6.5,1.25,1.36,3.2,1.98,1.88,12,6.5,1.22,12.5,7,1.22,1.33,3.4,1.93,1.93
la-liga,2025-2026,24/08/2025,Osasuna,Valencia,1,0,16,4,4,1,3,4,14,13,2,1,0,1,H,1,0,H,2.4,3.2,3.1,2.35,3.1,3.2,2.38,1.57,2.05,1.8,2.2,3.3,3.4,2.25,3.2,3.4,2.3,1.62,1.88,1.98
