league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
ligue-1,2022-2023,05/08/2022,Lyon,Ajaccio,2,1,11,8,6,4,4,3,10,18,1,6,1,1,H,2,1,H,1.33,5.25,8.5,1.33,5.25,8,1.35,5.25,9,1.66,2.2,2,1.93,1.33,5,8.5,1.35,5.25,7.5,1.35,5.25,8.5,1.66,2.2,2.08,1.85
ligue-1,2022-2023,06/08/2022,Strasbourg,Monaco,1,2,11,24,7,11,3,7,18,15,0,2,0,0,A,0,1,A,2.62,3.25,2.75,2.6,3.3,2.7,2.6,3.3,2.7,2.03,1.87,1.91,2.02,2.3,3.2,3.2,2.4,3.2,3,2.45,3.2,3.05,2.2,1.66,2.03,1.9
ligue-1,2022-2023,06/08/2022,Clermont,Paris SG,0,5,7,18,1,12,0,6,13,13,2,1,0,0,A,0,3,A,9.5,6.5,1.25,10,6.5,1.25,10,6.5,1.25,1.4,3,1.99,1.94,13,7,1.2,13,7,1.21,11,6.75,1.25,1.4,3,1.94,1.99
ligue-1,2022-2023,07/08/2022,Toulouse,Nice,1,1,6,11,4,4,6,3,10,8,1,2,0,0,D,1,0,H,2.87,3.3,2.5,2.8,3.4,2.45,2.85,3.35,2.5,1.91,1.99,2.08,1.85,2.5,3.25,2.87,2.45,3.25,2.87,2.5,3.25,2.9,2.01,1.89,1.81,2.13
ligue-1,2022-2023,07/08/2022,Angers,Nantes,0,0,16,14,6,4,3,6,15,13,3,3,0,0,D,0,0,D,2.7,3.25,2.7,2.65,3.2,2.7,2.7,3.25,2.7,2.1,1.72,1.97,1.96,3,3.25,2.37,3.1,3.1,2.4,3.1,3.2,2.4,2.2,1.66,1.85,2.08
ligue-1,2022-2023,07/08/2022,Lens,Brest,3,2,17,6,7,4,6,3,16,14,2,4,0,0,H,1,0,H,1.57,4.33,5.25,1.53,4.4,5.75,1.55,4.4,5.5,1.66,2.2,1.98,1.95,1.6,4.2,5.25,1.62,3.9,5.5,1.63,4.1,5.25,1.89,2.01,2.07,1.86
ligue-1,2022-2023,07/08/2022,Lille,Auxerre,4,1,16,10,7,2,7,2,10,9,2,1,0,0,H,3,0,H,1.7,4,4.5,1.73,3.9,4.5,1.73,3.95,4.6,1.86,2.04,1.93,2,1.6,4.2,5.25,1.63,3.8,5.25,1.63,4,5.25,1.92,1.98,1.77,2.02
ligue-1,2022-2023,07/08/2022,Montpellier,Troyes,3,2,17,15,6,10,3,6,13,10,1,0,0,0,H,2,2,D,2.2,3.5,3.3,2.2,3.1,3.3,2.2,3.35,3.35,1.97,1.93,1.92,2.01,2.15,3.2,3.6,2.1,2.95,3.7,2.15,3.25,3.6,2.2,1.66,1.9,2.03
ligue-1,2022-2023,07/08/2022,Rennes,Lorient,0,1,21,8,6,2,7,2,11,5,3,1,0,0,A,0,0,D,1.36,5.25,8.5,1.33,5.25,8.75,1.35,5.25,8.25,1.61,2.3,2.03,1.9,1.5,4.75,6,1.49,4.6,6.25,1.47,4.6,6.5,1.8,2,2.08,1.73
ligue-1,2022-2023,07/08/2022,Marseille,Reims,4,1,16,16,6,6,6,7,14,10,2,0,0,0,H,2,0,H,1.57,4.2,5.5,1.53,4.1,6.25,1.57,4.1,6,1.96,1.94,2.04,1.89,1.61,3.8,5.25,1.63,3.8,5.5,1.6,3.9,6,2.03,1.87,2.1,1.7
